"","SRP.Date","SRP.Flow","SRP.concentrations.SRP","lnC","lnQ"
"1",2009-07-07,33,0.094,-2.36446049671213,3.49650756146648
"2",2009-07-14,22,0.072,-2.63108915996608,3.09104245335832
"3",2009-07-21,38,0.063,-2.7646205525906,3.63758615972639
"4",2009-07-28,32,0.075,-2.59026716544583,3.46573590279973
"5",2009-08-04,24,0.0625,-2.77258872223978,3.17805383034795
"6",2009-08-11,52,0.083,-2.48891467118554,3.95124371858143
"7",2009-08-18,23,0.061,-2.79688141480883,3.13549421592915
"8",2009-08-20,67,0.07,-2.65926003693278,4.20469261939097
"9",2009-08-25,24,0.065,-2.7333680090865,3.17805383034795
"10",2009-09-01,20,0.071,-2.64507540194082,2.99573227355399
"11",2009-09-05,153,0.274,-1.29462717259407,5.03043792139244
"12",2009-09-08,36,0.112,-2.18925640768704,3.58351893845611
"13",2009-09-10,273,0.144,-1.93794197940614,5.60947179518496
"14",2009-09-15,66,0.08,-2.52572864430826,4.18965474202643
"15",2009-09-22,2730,0.345,-1.06421086195078,7.91205688817901
"16",2009-09-29,86,0.066,-2.71810053695571,4.45434729625351
"17",2009-10-06,62,0.05,-2.99573227355399,4.12713438504509
"18",2009-10-09,9880,0.384,-0.95711272639441,9.19826779074191
"19",2009-10-13,1310,0.138,-1.98050159382493,7.1777824161952
"20",2009-10-20,213,0.054,-2.91877123241786,5.36129216570943
"21",2009-10-27,604,0.059,-2.83021783507642,6.40357419793482
"22",2009-11-03,313,0.049,-3.01593498087151,5.74620319054015
"23",2009-11-10,139,0.036,-3.32423634052603,4.93447393313069
"24",2009-11-17,183,0.043,-3.14655516328857,5.20948615284142
"25",2009-11-23,116,0.025,-3.68887945411394,4.75359019110636
"26",2009-12-01,92,0.016,-4.13516655674236,4.52178857704904
"27",2009-12-08,69,0.007,-4.96184512992682,4.23410650459726
"28",2009-12-15,61,0.006,-5.11599580975408,4.11087386417331
"29",2009-12-21,51,0.003,-5.80914299031403,3.93182563272433
"30",2009-12-29,117,0.014,-4.26869794936688,4.76217393479776
"31",2010-01-05,87,0.018,-4.01738352108597,4.46590811865458
"32",2010-01-12,59,0.025,-3.68887945411394,4.07753744390572
"33",2010-01-19,64,0.034,-3.38139475436598,4.15888308335967
"34",2010-01-26,370,0.032,-3.44201937618241,5.91350300563827
"35",2010-02-03,611,0.156,-1.8578992717326,6.4150969591716
"36",2010-02-10,426,0.0385,-3.2570970376884,6.05443934626937
"37",2010-02-16,305,0.02,-3.91202300542815,5.72031177660741
"38",2010-02-23,367,0.035,-3.35240721749272,5.90536184805457
"39",2010-03-02,211,0.006,-5.11599580975408,5.35185813347607
"40",2010-03-08,171,0.005,-5.29831736654804,5.14166355650266
"41",2010-03-16,152,0.016,-4.13516655674236,5.02388052084628
"42",2010-03-22,892,0.094,-2.36446049671213,6.79346613258001
"43",2010-03-30,346,0.032,-3.44201937618241,5.84643877505772
"44",2010-04-07,213,0.029,-3.54045944899566,5.36129216570943
"45",2010-04-13,113,0.008,-4.8283137373023,4.72738781871234
"46",2010-04-20,78,0.02,-3.91202300542815,4.35670882668959
"47",2010-04-27,94,0.035,-3.35240721749272,4.54329478227
"48",2010-05-04,60,0.0265,-3.63061054598996,4.0943445622221
"49",2010-05-11,96,0.044,-3.12356564506388,4.56434819146784
"50",2010-05-14,1240,0.057,-2.86470401114759,7.12286665859908
"51",2010-05-14,1240,0.119,-2.12863178587061,7.12286665859908
"52",2010-05-18,319,0.048,-3.03655426807425,5.76519110278484
"53",2010-05-25,873,0.04,-3.2188758248682,6.7719355558396
"54",2010-06-01,107,0.042,-3.17008566069877,4.67282883446191
"55",2010-06-08,105,0.172,-1.76026080216868,4.65396035015752
"56",2010-06-15,52,0.053,-2.93746336543002,3.95124371858143
"57",2010-06-23,27,0.0495,-3.00578260940749,3.29583686600433
"58",2010-08-04,45,0.053,-2.93746336543002,3.80666248977032
"59",2010-08-09,35,0.0555,-2.89137225822975,3.55534806148941
"60",2010-08-18,28,0.046,-3.07911388249304,3.3322045101752
"61",2010-08-25,21,0.039,-3.24419363285249,3.04452243772342
"62",2010-09-02,58,0.044,-3.12356564506388,4.06044301054642
"63",2010-09-08,27,0.043,-3.14655516328857,3.29583686600433
"64",2010-09-15,152,0.087,-2.44184716032755,5.02388052084628
"65",2010-09-23,27,0.052,-2.95651156040071,3.29583686600433
"66",2010-09-30,24,0.048,-3.03655426807425,3.17805383034795
"67",2010-10-07,20,0.031,-3.47376807449699,2.99573227355399
