"","Date","concentrations.SO4","Flow"
"1",2012-02-08,45.833,64
"2",2012-02-15,4.861,47
"3",2012-02-29,58.139,47
"4",2012-03-15,68.344,37
"5",2012-03-20,18.251,262
"6",2012-03-28,41.094,116
"7",2012-04-11,45.667,40
"8",2012-04-15,20.143,99
"9",2012-04-25,24.659,36
"10",2012-04-30,51.579,77
"11",2012-05-09,71.075,33
"12",2012-05-17,72.083,28
"13",2012-05-23,75.681,25
"14",2012-05-31,10.586,28
"15",2012-06-06,24.568,25
"16",2012-06-13,82.443,23
"17",2012-06-20,100.573,21
"18",2012-06-28,97.457,23
"19",2012-07-11,83.645,15
"20",2012-07-18,206.11,18
"21",2012-07-25,113.39,19
"22",2012-08-01,127.16,24
"23",2012-08-16,105.91,29
"24",2012-08-22,105.895,26
"25",2012-08-27,41.594,272
"26",2012-09-06,77.172,30
"27",2012-09-12,77.319,39
"28",2012-09-27,72.407,40
"29",2012-10-03,93.612,31
"30",2012-10-10,92.403,24
"31",2012-10-12,30.244,138
"32",2012-10-16,58.989,55
"33",2012-10-25,77.014,30
"34",2012-11-01,76.209,24
"35",2012-11-08,88.004,25
"36",2012-11-15,99.45,27
"37",2012-11-29,86.256,24
"38",2012-12-06,79.772,29
"39",2012-12-13,92.526,24
"40",2013-01-03,41.924,27
"41",2013-01-11,84.699,25
"42",2013-01-14,76.722,25
"43",2013-01-24,78.204,26
"44",2013-01-30,17.671,154
"45",2013-02-07,79.674,29
"46",2013-02-13,80.4845,38
"47",2013-02-21,79.751,72
"48",2013-02-28,63.238,34
"49",2013-03-07,81.335,27
"50",2013-03-10,22.108,251
"51",2013-03-20,61.509,35
"52",2013-03-28,68.088,33
"53",2013-04-04,45.108,52
"54",2013-04-18,6.935,743
"55",2013-04-25,48.837,62
"56",2013-04-29,27.3615,87
"57",2013-05-09,46.788,211
"58",2013-05-20,44.959,72
"59",2013-05-31,22.495,169
"60",2013-06-07,40.689,67
"61",2013-06-13,51.636,54
"62",2013-06-26,69.325,47
"63",2013-07-10,72.156,42
"64",2013-07-17,79.092,41
"65",2013-08-01,40.657,78
"66",2013-08-08,4.673,1400
"67",2013-08-21,51.458,28
"68",2013-08-29,62.675,22
"69",2013-09-05,65.881,19
"70",2013-09-12,77.065,18
"71",2013-09-19,76.415,17
"72",2013-09-20,28.133,180
"73",2013-10-03,71.744,35
"74",2013-10-05,8.033,397
"75",2013-10-21,63.036,35
"76",2013-10-30,73.927,96
"77",2013-11-07,48.009,62
"78",2013-11-14,105.68,40
"79",2013-11-21,41.702,95
"80",2013-12-03,56.95,34
"81",2013-12-13,67.572,48
"82",2013-12-20,50.0475,54
"83",2013-12-21,7.771,577
"84",2014-01-08,0.038,50
"85",2014-01-10,46.079,144
"86",2014-01-23,55.883,49
"87",2014-01-29,62.418,44
"88",2014-02-06,62.231,42
"89",2014-02-13,73.89,41
"90",2014-02-20,43.904,42
"91",2014-02-26,86.04,38
"92",2014-03-06,68.27,52
"93",2014-03-13,73.63,38
"94",2014-03-16,13.503,334
"95",2014-03-28,49.108,97
"96",2014-04-03,51.563,125
"97",2014-04-08,40.336,68
"98",2014-04-15,52.223,52
"99",2014-04-24,56.58,42
"100",2014-04-29,63.626,37
"101",2014-05-08,18.342,141
"102",2014-05-12,14.61,163
"103",2014-05-15,35.228,73
"104",2014-05-21,59.535,48
"105",2014-05-29,61.195,49
"106",2014-06-03,0.038,60
"107",2014-06-16,48.246,54
"108",2014-06-19,62.512,52
"109",2014-07-02,66.42,42
"110",2014-07-07,57.623,35
"111",2014-07-22,81.6805,34
"112",2014-07-31,58.956,49
"113",2014-08-06,86.756,34
"114",2014-08-13,104.36,35
"115",2014-08-21,91.819,34
"116",2014-08-28,95.681,30
"117",2014-08-30,100.24,34
"118",2014-09-02,33.996,80
"119",2014-09-06,49.593,52
"120",2014-09-11,82.913,34
"121",2014-09-17,39.945,61
"122",2014-09-24,82.785,34
"123",2014-10-01,82.21,33
"124",2014-10-09,114.24,33
"125",2014-10-10,9.026,451
"126",2014-10-13,7.932,484
"127",2014-10-23,70.255,46
"128",2014-10-29,79.256,44
"129",2014-11-06,60.944,47
"130",2014-11-13,81.025,38
"131",2014-11-19,79.808,34
"132",2014-12-02,88.227,34
"133",2014-12-11,75.0125,38
"134",2014-12-17,62.831,50
"135",2015-01-08,68.429,41
"136",2015-01-15,65.72,40
"137",2015-01-21,54.425,38
"138",2015-01-29,69.828,36
"139",2015-02-04,54.3565,37
"140",2015-02-11,74.349,36
"141",2015-02-18,83.817,36
"142",2015-02-25,63.682,37
"143",2015-03-06,61.084,49
"144",2015-03-11,43.614,52
"145",2015-03-14,26.792,120
"146",2015-03-19,42.011,58
"147",2015-03-26,19.507,145
"148",2015-04-01,43.846,60
"149",2015-04-14,44.99415,57
"150",2015-04-22,45.89,54
"151",2015-04-29,55.363,51
"152",2015-05-08,15.097,290
"153",2015-05-24,12.975,221
"154",2015-06-01,25.464,89
"155",2015-06-19,7.616,818
