"","Date","concentrations.SRP","Flow"
"1",2012-02-08,0.149,64
"2",2012-02-15,0.039,47
"3",2012-02-29,0.188,47
"4",2012-03-15,0.124,37
"5",2012-03-20,0.168,262
"6",2012-03-28,0.15,116
"7",2012-04-11,0.145,40
"8",2012-04-15,0.124,99
"9",2012-04-25,0.235,36
"10",2012-04-30,0.148,77
"11",2012-05-09,0.227,33
"12",2012-05-17,0.158,28
"13",2012-05-23,0.14,25
"14",2012-05-31,0.142,28
"15",2012-06-06,0.05,25
"16",2012-06-13,0.179,23
"17",2012-06-20,0.222,21
"18",2012-06-28,0.154,23
"19",2012-07-11,0.948,15
"20",2012-07-18,0.594,18
"21",2012-07-25,0.353,19
"22",2012-08-01,0.335,24
"23",2012-08-16,0.352,29
"24",2012-08-22,0.3355,26
"25",2012-08-27,0.223,272
"26",2012-09-06,0.402,30
"27",2012-09-12,0.313,39
"28",2012-09-27,0.221,40
"29",2012-10-03,0.258,31
"30",2012-10-10,0.257,24
"31",2012-10-12,0.212,138
"32",2012-10-16,0.236,55
"33",2012-10-25,0.179,30
"34",2012-11-01,0.19,24
"35",2012-11-08,0.276,25
"36",2012-11-15,0.236,27
"37",2012-11-29,0.196,24
"38",2012-12-06,0.154,29
"39",2012-12-13,0.276,24
"40",2013-01-03,0.188,27
"41",2013-01-11,0.158,25
"42",2013-01-14,0.141,25
"43",2013-01-24,0.199,26
"44",2013-01-30,0.17,154
"45",2013-02-07,0.145,29
"46",2013-02-13,0.1995,38
"47",2013-02-21,0.093,72
"48",2013-02-28,0.088,34
"49",2013-03-07,0.089,27
"50",2013-03-10,0.102,251
"51",2013-03-20,0.09,35
"52",2013-03-28,0.072,33
"53",2013-04-04,0.077,52
"54",2013-04-18,0.258,743
"55",2013-04-25,0.08,62
"56",2013-04-29,0.082,87
"57",2013-05-09,0.062,211
"58",2013-05-20,0.083,72
"59",2013-05-31,0.091,169
"60",2013-06-07,0.083,67
"61",2013-06-13,0.119,54
"62",2013-06-26,0.119,47
"63",2013-07-10,0.127,42
"64",2013-07-17,0.119,41
"65",2013-08-01,0.118,78
"66",2013-08-08,0.278,1400
"67",2013-08-21,0.087,28
"68",2013-08-29,0.0845,22
"69",2013-09-05,0.097,19
"70",2013-09-12,0.114,18
"71",2013-09-19,0.134,17
"72",2013-09-20,0.191,180
"73",2013-10-03,0.1505,35
"74",2013-10-05,0.143,397
"75",2013-10-21,0.114,35
"76",2013-10-30,0.154,96
"77",2013-11-07,0.134,62
"78",2013-11-14,0.111,40
"79",2013-11-21,0.125,95
"80",2013-12-03,0.124,34
"81",2013-12-13,0.084,48
"82",2013-12-20,0.079,54
"83",2013-12-21,0.125,577
"84",2014-01-08,0.073,50
"85",2014-01-10,0.081,144
"86",2014-01-23,0.065,49
"87",2014-01-29,0.053,44
"88",2014-02-06,0.059,42
"89",2014-02-13,0.063,41
"90",2014-02-20,0.01,42
"91",2014-02-26,0.072,38
"92",2014-03-06,0.063,52
"93",2014-03-13,0.0765,38
"94",2014-03-16,0.068,334
"95",2014-03-28,0.066,97
"96",2014-04-03,0.084,125
"97",2014-04-08,0.071,68
"98",2014-04-15,0.081,52
"99",2014-04-24,0.071,42
"100",2014-04-29,0.084,37
"101",2014-05-08,0.128,141
"102",2014-05-12,0.111,163
"103",2014-05-15,0.079,73
"104",2014-05-21,0.072,48
"105",2014-05-29,0.076,49
"106",2014-06-03,0.078,60
"107",2014-06-16,0.097,54
"108",2014-06-19,0.126,52
"109",2014-07-02,0.103,42
"110",2014-07-07,0.102,35
"111",2014-07-22,0.087,34
"112",2014-07-31,0.091,49
"113",2014-08-06,0.097,34
"114",2014-08-13,0.293,35
"115",2014-08-21,0.262,34
"116",2014-08-28,0.2105,30
"117",2014-08-30,0.173,34
"118",2014-09-02,0.183,80
"119",2014-09-06,0.129,52
"120",2014-09-11,0.16,34
"121",2014-09-17,0.188,61
"122",2014-09-24,0.171,34
"123",2014-10-01,0.159,33
"124",2014-10-09,0.329,33
"125",2014-10-10,0.191,451
"126",2014-10-13,0.215,484
"127",2014-10-23,0.152,46
"128",2014-10-29,0.218,44
"129",2014-11-06,0.14,47
"130",2014-11-13,0.096,38
"131",2014-11-19,0.148,34
"132",2014-12-02,0.1935,34
"133",2014-12-11,0.193,38
"134",2014-12-17,0.187,50
"135",2015-01-08,0.108,41
"136",2015-01-15,0.077,40
"137",2015-01-21,0.077,38
"138",2015-01-29,0.081,36
"139",2015-02-04,0.063,37
"140",2015-02-11,0.068,36
"141",2015-02-18,0.057,36
"142",2015-02-25,0.056,37
"143",2015-03-06,0.048,49
"144",2015-03-11,0.053,52
"145",2015-03-14,0.091,120
"146",2015-03-19,0.06,58
"147",2015-03-26,0.06,145
"148",2015-04-01,0.06,60
"149",2015-04-14,0.0695,57
"150",2015-04-22,0.078,54
"151",2015-04-29,0.218,51
"152",2015-05-08,0.128,290
"153",2015-05-24,0.078,221
"154",2015-06-01,0.068,89
"155",2015-06-19,0.222,818
