id,folds,span,const
1,5,0.8,NO3
2,5,0.35,NO3
3,5,0.9,NO3
4,5,0.8,NO3
5,5,0.85,NO3
6,5,0.85,NO3
7,5,0.9,NO3
8,5,0.85,NO3
9,5,0.75,NO3
10,5,0.8,NO3
11,5,0.9,NO3
12,5,0.85,NO3
13,5,0.45,NO3
14,5,0.65,NO3
15,5,0.75,NO3
16,5,0.85,NO3
17,5,0.7,NO3
18,5,0.9,NO3
19,5,0.85,NO3
20,5,0.9,NO3
21,5,0.6,NO3
22,5,0.5,NO3
23,5,0.85,NO3
24,5,0.85,NO3
25,5,0.8,NO3
26,5,0.9,NO3
27,5,0.8,NO3
28,5,0.85,NO3
29,5,0.7,NO3
30,5,0.8,NO3
31,5,0.85,NO3
32,5,0.85,NO3
33,5,0.75,NO3
34,5,0.55,NO3
35,5,0.85,NO3
36,5,0.9,NO3
37,5,0.85,NO3
38,5,0.9,NO3
39,5,0.85,NO3
40,5,0.7,NO3
41,5,0.9,NO3
42,5,0.75,NO3
43,5,0.55,NO3
44,5,0.9,NO3
45,5,0.85,NO3
46,5,0.9,NO3
47,5,0.6,NO3
48,5,0.85,NO3
49,5,0.9,NO3
50,5,0.9,NO3
1,6,0.8,NO3
2,6,0.85,NO3
3,6,0.85,NO3
4,6,0.8,NO3
5,6,0.6,NO3
6,6,0.9,NO3
7,6,0.85,NO3
8,6,0.65,NO3
9,6,0.55,NO3
10,6,0.7,NO3
11,6,0.65,NO3
12,6,0.7,NO3
13,6,0.6,NO3
14,6,0.9,NO3
15,6,0.55,NO3
16,6,0.85,NO3
17,6,0.85,NO3
18,6,0.8,NO3
19,6,0.85,NO3
20,6,0.9,NO3
21,6,0.85,NO3
22,6,0.9,NO3
23,6,0.8,NO3
24,6,0.85,NO3
25,6,0.7,NO3
26,6,0.85,NO3
27,6,0.9,NO3
28,6,0.55,NO3
29,6,0.85,NO3
30,6,0.8,NO3
31,6,0.7,NO3
32,6,0.9,NO3
33,6,0.85,NO3
34,6,0.85,NO3
35,6,0.75,NO3
36,6,0.55,NO3
37,6,0.85,NO3
38,6,0.9,NO3
39,6,0.85,NO3
40,6,0.4,NO3
41,6,0.9,NO3
42,6,0.9,NO3
43,6,0.8,NO3
44,6,0.75,NO3
45,6,0.8,NO3
46,6,0.45,NO3
47,6,0.55,NO3
48,6,0.9,NO3
49,6,0.9,NO3
50,6,0.9,NO3
1,7,0.75,NO3
2,7,0.9,NO3
3,7,0.85,NO3
4,7,0.7,NO3
5,7,0.9,NO3
6,7,0.45,NO3
7,7,0.75,NO3
8,7,0.75,NO3
9,7,0.75,NO3
10,7,0.8,NO3
11,7,0.35,NO3
12,7,0.85,NO3
13,7,0.85,NO3
14,7,0.65,NO3
15,7,0.8,NO3
16,7,0.9,NO3
17,7,0.85,NO3
18,7,0.9,NO3
19,7,0.8,NO3
20,7,0.9,NO3
21,7,0.8,NO3
22,7,0.9,NO3
23,7,0.85,NO3
24,7,0.75,NO3
25,7,0.9,NO3
26,7,0.6,NO3
27,7,0.75,NO3
28,7,0.9,NO3
29,7,0.9,NO3
30,7,0.9,NO3
31,7,0.8,NO3
32,7,0.6,NO3
33,7,0.8,NO3
34,7,0.65,NO3
35,7,0.85,NO3
36,7,0.85,NO3
37,7,0.85,NO3
38,7,0.75,NO3
39,7,0.8,NO3
40,7,0.9,NO3
41,7,0.75,NO3
42,7,0.9,NO3
43,7,0.85,NO3
44,7,0.75,NO3
45,7,0.8,NO3
46,7,0.9,NO3
47,7,0.9,NO3
48,7,0.9,NO3
49,7,0.75,NO3
50,7,0.6,NO3
1,8,0.85,NO3
2,8,0.9,NO3
3,8,0.85,NO3
4,8,0.85,NO3
5,8,0.9,NO3
6,8,0.85,NO3
7,8,0.7,NO3
8,8,0.85,NO3
9,8,0.65,NO3
10,8,0.9,NO3
11,8,0.8,NO3
12,8,0.55,NO3
13,8,0.85,NO3
14,8,0.65,NO3
15,8,0.7,NO3
16,8,0.6,NO3
17,8,0.8,NO3
18,8,0.65,NO3
19,8,0.8,NO3
20,8,0.55,NO3
21,8,0.8,NO3
22,8,0.9,NO3
23,8,0.9,NO3
24,8,0.8,NO3
25,8,0.85,NO3
26,8,0.85,NO3
27,8,0.9,NO3
28,8,0.7,NO3
29,8,0.8,NO3
30,8,0.75,NO3
31,8,0.8,NO3
32,8,0.85,NO3
33,8,0.65,NO3
34,8,0.8,NO3
35,8,0.55,NO3
36,8,0.8,NO3
37,8,0.8,NO3
38,8,0.85,NO3
39,8,0.9,NO3
40,8,0.8,NO3
41,8,0.65,NO3
42,8,0.55,NO3
43,8,0.7,NO3
44,8,0.75,NO3
45,8,0.85,NO3
46,8,0.6,NO3
47,8,0.55,NO3
48,8,0.8,NO3
49,8,0.9,NO3
50,8,0.9,NO3
1,9,0.9,NO3
2,9,0.9,NO3
3,9,0.9,NO3
4,9,0.75,NO3
5,9,0.9,NO3
6,9,0.9,NO3
7,9,0.85,NO3
8,9,0.7,NO3
9,9,0.85,NO3
10,9,0.85,NO3
11,9,0.9,NO3
12,9,0.75,NO3
13,9,0.9,NO3
14,9,0.9,NO3
15,9,0.85,NO3
16,9,0.7,NO3
17,9,0.9,NO3
18,9,0.75,NO3
19,9,0.9,NO3
20,9,0.35,NO3
21,9,0.8,NO3
22,9,0.7,NO3
23,9,0.9,NO3
24,9,0.75,NO3
25,9,0.7,NO3
26,9,0.9,NO3
27,9,0.85,NO3
28,9,0.9,NO3
29,9,0.8,NO3
30,9,0.85,NO3
31,9,0.8,NO3
32,9,0.9,NO3
33,9,0.85,NO3
34,9,0.85,NO3
35,9,0.85,NO3
36,9,0.85,NO3
37,9,0.8,NO3
38,9,0.7,NO3
39,9,0.85,NO3
40,9,0.8,NO3
41,9,0.85,NO3
42,9,0.8,NO3
43,9,0.8,NO3
44,9,0.6,NO3
45,9,0.9,NO3
46,9,0.9,NO3
47,9,0.9,NO3
48,9,0.65,NO3
49,9,0.9,NO3
50,9,0.9,NO3
1,10,0.85,NO3
2,10,0.6,NO3
3,10,0.9,NO3
4,10,0.85,NO3
5,10,0.65,NO3
6,10,0.9,NO3
7,10,0.75,NO3
8,10,0.8,NO3
9,10,0.65,NO3
10,10,0.85,NO3
11,10,0.9,NO3
12,10,0.75,NO3
13,10,0.9,NO3
14,10,0.7,NO3
15,10,0.85,NO3
16,10,0.8,NO3
17,10,0.9,NO3
18,10,0.9,NO3
19,10,0.7,NO3
20,10,0.9,NO3
21,10,0.8,NO3
22,10,0.9,NO3
23,10,0.65,NO3
24,10,0.75,NO3
25,10,0.85,NO3
26,10,0.7,NO3
27,10,0.7,NO3
28,10,0.85,NO3
29,10,0.9,NO3
30,10,0.65,NO3
31,10,0.9,NO3
32,10,0.65,NO3
33,10,0.9,NO3
34,10,0.75,NO3
35,10,0.8,NO3
36,10,0.85,NO3
37,10,0.85,NO3
38,10,0.9,NO3
39,10,0.8,NO3
40,10,0.75,NO3
41,10,0.9,NO3
42,10,0.9,NO3
43,10,0.85,NO3
44,10,0.9,NO3
45,10,0.8,NO3
46,10,0.9,NO3
47,10,0.65,NO3
48,10,0.9,NO3
49,10,0.8,NO3
50,10,0.85,NO3
1,11,0.85,NO3
2,11,0.85,NO3
3,11,0.6,NO3
4,11,0.85,NO3
5,11,0.9,NO3
6,11,0.85,NO3
7,11,0.9,NO3
8,11,0.75,NO3
9,11,0.75,NO3
10,11,0.9,NO3
11,11,0.8,NO3
12,11,0.85,NO3
13,11,0.9,NO3
14,11,0.9,NO3
15,11,0.85,NO3
16,11,0.6,NO3
17,11,0.9,NO3
18,11,0.85,NO3
19,11,0.9,NO3
20,11,0.9,NO3
21,11,0.75,NO3
22,11,0.9,NO3
23,11,0.9,NO3
24,11,0.9,NO3
25,11,0.85,NO3
26,11,0.85,NO3
27,11,0.9,NO3
28,11,0.8,NO3
29,11,0.9,NO3
30,11,0.9,NO3
31,11,0.8,NO3
32,11,0.9,NO3
33,11,0.8,NO3
34,11,0.9,NO3
35,11,0.9,NO3
36,11,0.85,NO3
37,11,0.75,NO3
38,11,0.7,NO3
39,11,0.6,NO3
40,11,0.85,NO3
41,11,0.45,NO3
42,11,0.85,NO3
43,11,0.85,NO3
44,11,0.85,NO3
45,11,0.6,NO3
46,11,0.9,NO3
47,11,0.75,NO3
48,11,0.9,NO3
49,11,0.85,NO3
50,11,0.75,NO3
1,12,0.7,NO3
2,12,0.6,NO3
3,12,0.75,NO3
4,12,0.9,NO3
5,12,0.9,NO3
6,12,0.6,NO3
7,12,0.9,NO3
8,12,0.85,NO3
9,12,0.85,NO3
10,12,0.85,NO3
11,12,0.8,NO3
12,12,0.85,NO3
13,12,0.8,NO3
14,12,0.7,NO3
15,12,0.8,NO3
16,12,0.75,NO3
17,12,0.8,NO3
18,12,0.9,NO3
19,12,0.85,NO3
20,12,0.7,NO3
21,12,0.85,NO3
22,12,0.9,NO3
23,12,0.75,NO3
24,12,0.85,NO3
25,12,0.5,NO3
26,12,0.9,NO3
27,12,0.9,NO3
28,12,0.75,NO3
29,12,0.9,NO3
30,12,0.85,NO3
31,12,0.75,NO3
32,12,0.9,NO3
33,12,0.75,NO3
34,12,0.9,NO3
35,12,0.7,NO3
36,12,0.9,NO3
37,12,0.85,NO3
38,12,0.85,NO3
39,12,0.9,NO3
40,12,0.85,NO3
41,12,0.7,NO3
42,12,0.9,NO3
43,12,0.85,NO3
44,12,0.9,NO3
45,12,0.9,NO3
46,12,0.8,NO3
47,12,0.9,NO3
48,12,0.6,NO3
49,12,0.9,NO3
50,12,0.8,NO3
1,13,0.65,NO3
2,13,0.8,NO3
3,13,0.85,NO3
4,13,0.85,NO3
5,13,0.85,NO3
6,13,0.9,NO3
7,13,0.85,NO3
8,13,0.8,NO3
9,13,0.8,NO3
10,13,0.85,NO3
11,13,0.55,NO3
12,13,0.9,NO3
13,13,0.8,NO3
14,13,0.85,NO3
15,13,0.85,NO3
16,13,0.85,NO3
17,13,0.6,NO3
18,13,0.75,NO3
19,13,0.8,NO3
20,13,0.9,NO3
21,13,0.65,NO3
22,13,0.9,NO3
23,13,0.65,NO3
24,13,0.7,NO3
25,13,0.85,NO3
26,13,0.65,NO3
27,13,0.85,NO3
28,13,0.65,NO3
29,13,0.8,NO3
30,13,0.85,NO3
31,13,0.85,NO3
32,13,0.75,NO3
33,13,0.85,NO3
34,13,0.85,NO3
35,13,0.9,NO3
36,13,0.85,NO3
37,13,0.6,NO3
38,13,0.8,NO3
39,13,0.9,NO3
40,13,0.85,NO3
41,13,0.9,NO3
42,13,0.9,NO3
43,13,0.65,NO3
44,13,0.9,NO3
45,13,0.75,NO3
46,13,0.9,NO3
47,13,0.8,NO3
48,13,0.85,NO3
49,13,0.9,NO3
50,13,0.9,NO3
1,14,0.9,NO3
2,14,0.85,NO3
3,14,0.75,NO3
4,14,0.9,NO3
5,14,0.75,NO3
6,14,0.9,NO3
7,14,0.6,NO3
8,14,0.9,NO3
9,14,0.85,NO3
10,14,0.75,NO3
11,14,0.8,NO3
12,14,0.9,NO3
13,14,0.9,NO3
14,14,0.9,NO3
15,14,0.85,NO3
16,14,0.9,NO3
17,14,0.85,NO3
18,14,0.9,NO3
19,14,0.9,NO3
20,14,0.6,NO3
21,14,0.7,NO3
