"","Date","concentrations.TP","Flow"
"1",2012-02-08,0.174,64
"2",2012-02-15,0.048,47
"3",2012-02-29,0.21,47
"4",2012-03-15,0.142,37
"5",2012-03-20,0.252,262
"6",2012-03-28,0.16,116
"7",2012-04-11,0.166,40
"8",2012-04-15,0.262,99
"9",2012-04-25,0.262,36
"10",2012-04-30,0.188,77
"11",2012-05-09,0.254,33
"12",2012-05-17,0.176,28
"13",2012-05-23,0.166,25
"14",2012-05-31,0.18,28
"15",2012-06-06,0.07,25
"16",2012-06-13,0.198,23
"17",2012-06-20,0.247,21
"18",2012-06-28,0.18,23
"19",2012-07-11,0.96,15
"20",2012-07-18,0.634,18
"21",2012-07-25,0.39,19
"22",2012-08-01,0.366,24
"23",2012-08-16,0.36,29
"24",2012-08-22,0.361,26
"25",2012-08-27,0.272,272
"26",2012-09-06,0.43,30
"27",2012-09-12,0.326,39
"28",2012-09-27,0.246,40
"29",2012-10-03,0.296,31
"30",2012-10-10,0.304,24
"31",2012-10-12,0.346,138
"32",2012-10-16,0.266,55
"33",2012-10-25,0.215,30
"34",2012-11-01,0.208,24
"35",2012-11-08,0.302,25
"36",2012-11-15,0.262,27
"37",2012-11-29,0.227,24
"38",2012-12-06,0.198,29
"39",2012-12-13,0.292,24
"40",2013-01-03,0.202,27
"41",2013-01-11,0.21,25
"42",2013-01-14,0.158,25
"43",2013-01-24,0.212,26
"44",2013-01-30,0.5,154
"45",2013-02-07,0.164,29
"46",2013-02-13,0.221,38
"47",2013-02-21,0.328,72
"48",2013-02-28,0.102,34
"49",2013-03-07,0.11,27
"50",2013-03-10,0.184,251
"51",2013-03-20,0.11,35
"52",2013-03-28,0.092,33
"53",2013-04-04,0.079,52
"54",2013-04-18,3.064,743
"55",2013-04-25,0.088,62
"56",2013-04-29,0.093,87
"57",2013-05-09,0.088,211
"58",2013-05-20,0.116,72
"59",2013-05-31,0.134,169
"60",2013-06-07,0.112,67
"61",2013-06-13,0.142,54
"62",2013-06-26,0.138,47
"63",2013-07-10,0.142,42
"64",2013-07-17,0.142,41
"65",2013-08-01,0.14,78
"66",2013-08-08,1.073,1400
"67",2013-08-21,0.098,28
"68",2013-08-29,0.112,22
"69",2013-09-05,0.122,19
"70",2013-09-12,0.15,18
"71",2013-09-19,0.146,17
"72",2013-09-20,0.274,180
"73",2013-10-03,0.174,35
"74",2013-10-05,0.202,397
"75",2013-10-21,0.132,35
"76",2013-10-30,0.178,96
"77",2013-11-07,0.14,62
"78",2013-11-14,0.132,40
"79",2013-11-21,0.166,95
"80",2013-12-03,0.138,34
"81",2013-12-13,0.1,48
"82",2013-12-20,0.099,54
"83",2013-12-21,0.24,577
"84",2014-01-08,0.084,50
"85",2014-01-10,0.174,144
"86",2014-01-23,0.076,49
"87",2014-01-29,0.08,44
"88",2014-02-06,0.08,42
"89",2014-02-13,0.08,41
"90",2014-02-20,0.014,42
"91",2014-02-26,0.098,38
"92",2014-03-06,0.056,52
"93",2014-03-13,0.101,38
"94",2014-03-16,0.134,334
"95",2014-03-28,0.096,97
"96",2014-04-03,0.132,125
"97",2014-04-08,0.096,68
"98",2014-04-15,0.104,52
"99",2014-04-24,0.104,42
"100",2014-04-29,0.104,37
"101",2014-05-08,0.438,141
"102",2014-05-12,0.33,163
"103",2014-05-15,0.092,73
"104",2014-05-21,0.096,48
"105",2014-05-29,0.1,49
"106",2014-06-03,0.1,60
"107",2014-06-16,0.12,54
"108",2014-06-19,0.466,52
"109",2014-07-02,0.11,42
"110",2014-07-07,0.11,35
"111",2014-07-22,0.107,34
"112",2014-07-31,0.116,49
"113",2014-08-06,0.126,34
"114",2014-08-13,0.32,35
"115",2014-08-21,0.282,34
"116",2014-08-28,0.227,30
"117",2014-08-30,0.196,34
"118",2014-09-02,0.286,80
"119",2014-09-06,0.206,52
"120",2014-09-11,0.174,34
"121",2014-09-17,0.536,61
"122",2014-09-24,0.18,34
"123",2014-10-01,0.168,33
"124",2014-10-09,0.334,33
"125",2014-10-10,0.77,451
"126",2014-10-13,0.328,484
"127",2014-10-23,0.166,46
"128",2014-10-29,0.186,44
"129",2014-11-06,0.154,47
"130",2014-11-13,0.108,38
"131",2014-11-19,0.16,34
"132",2014-12-02,0.21,34
"133",2014-12-11,0.206,38
"134",2014-12-17,0.206,50
"135",2015-01-08,0.126,41
"136",2015-01-15,0.098,40
"137",2015-01-21,0.098,38
"138",2015-01-29,0.092,36
"139",2015-02-04,0.078,37
"140",2015-02-11,0.09,36
"141",2015-02-18,0.086,36
"142",2015-02-25,0.08,37
"143",2015-03-06,0.082,49
"144",2015-03-11,0.08,52
"145",2015-03-14,0.176,120
"146",2015-03-19,0.106,58
"147",2015-03-26,0.19,145
"148",2015-04-01,0.104,60
"149",2015-04-14,0.102,57
"150",2015-04-22,0.104,54
"151",2015-04-29,0.234,51
"152",2015-05-08,0.322,290
"153",2015-05-24,0.208,221
"154",2015-06-01,0.088,89
"155",2015-06-19,0.7,818
