"","Dates","Flow","Conc","lnQ","lnC","Reg_Residuals","Special_Residuals","Reg_Pvalue","Special_Span","Special_Pvalue","Reg_Perc_Change_yr","Special_Perc_Change_yr"
"1",2012-02-08,64,0.174,4.15888308335967,-1.74869997976761,0.218319957564195,0.32512471568773,0.0901498352834436,0.8,0.0497020329764981,-7.15972785378938,-8.46232490641086
"2",2012-02-15,47,0.048,3.85014760171006,-3.03655426807425,-0.830230303302902,-0.9024592610111,NA,NA,NA,NA,NA
"3",2012-02-29,47,0.21,3.85014760171006,-1.56064774826467,0.645676216506679,0.57344725879848,NA,NA,NA,NA,NA
"4",2012-03-15,37,0.142,3.61091791264422,-1.95192822138088,0.0846250799017958,0.031732141049696,NA,NA,NA,NA,NA
"5",2012-03-20,262,0.252,5.5683445037611,-1.37832619147071,-5.55368574763904e-05,-0.0605166145257909,NA,NA,NA,NA,NA
"6",2012-03-28,116,0.16,4.75359019110636,-1.83258146374831,-0.150249969122087,-0.104488656980043,NA,NA,NA,NA,NA
"7",2012-04-11,40,0.166,3.68887945411394,-1.79576749062559,0.38832708662628,0.262199173166914,NA,NA,NA,NA,NA
"8",2012-04-15,99,0.262,4.59511985013459,-1.33941077522104,0.452718051018501,0.491982499152962,NA,NA,NA,NA,NA
"9",2012-04-25,36,0.262,3.58351893845611,-1.33941077522104,0.620603152034571,0.620384377408043,NA,NA,NA,NA,NA
"10",2012-04-30,77,0.188,4.34380542185368,-1.67131331615219,0.249639390026315,0.320271761229944,NA,NA,NA,NA,NA
"11",2012-05-09,33,0.254,3.49650756146648,-1.3704210119636,0.379320449422975,0.501265820898065,NA,NA,NA,NA,NA
"12",2012-05-17,28,0.176,3.3322045101752,-1.73727128394399,-0.170749614439521,-0.0210892548231361,NA,NA,NA,NA,NA
"13",2012-05-23,25,0.166,3.2188758248682,-1.79576749062559,-0.250119081977378,-0.199894786528588,NA,NA,NA,NA,NA
"14",2012-05-31,28,0.18,3.3322045101752,-1.71479842809193,-0.148276758587461,0.0013836010289241,NA,NA,NA,NA,NA
"15",2012-06-06,25,0.07,3.2188758248682,-2.65926003693278,-1.11361162828457,-1.06338733283578,NA,NA,NA,NA,NA
"16",2012-06-13,23,0.198,3.13549421592915,-1.6194882482876,-0.100443373394457,-0.117998087119881,NA,NA,NA,NA,NA
"17",2012-06-20,21,0.247,3.04452243772342,-1.39836694235416,0.040531801240187,-0.00648677999141367,NA,NA,NA,NA,NA
"18",2012-06-28,23,0.18,3.13549421592915,-1.71479842809193,-0.195753553198787,-0.213308266924211,NA,NA,NA,NA,NA
"19",2012-07-11,15,0.96,2.70805020110221,-0.0408219945202552,0.74079884847694,0.890354223548244,NA,NA,NA,NA,NA
"20",2012-07-18,18,0.634,2.89037175789616,-0.455706324544911,0.748233686355332,0.735456209810716,NA,NA,NA,NA,NA
