"","X.5.45.","NO3test5to45modes","NO3test5to45stdevs","X.5.45..1","TNtest5to45modes","TNtest5to45stdevs","X.5.45..2","SRPtest5to45modes","SRPtest5to45stdevs","X.5.45..3","TPtest5to45modes","TPtest5to45stdevs","X.5.45..4","TSStest5to45modes","TSStest5to45stdevs","X.5.45..5","Cltest5to45modes","Cltest5to45stdevs","X.5.45..6","SO4test5to45modes","SO4test5to45stdevs"
"folds.5",5,0.9,0.131124763884263,5,0.9,0.185927617849202,5,0.75,0.117469609300062,5,0.75,0.12862948940871,5,0.9,0.10320876682506,5,0.9,0.0716651651494357,5,0.9,0.0516100872029984
"folds.6",6,0.9,0.129529051858165,6,0.9,0.181753987609659,6,0.8,0.112793938101622,6,0.75,0.119799956300199,6,0.9,0.0979903674455409,6,0.9,0.0652011402407097,6,0.85,0.0514510175526899
"folds.7",7,0.9,0.125621577687835,7,0.9,0.178089741299031,7,0.8,0.102565245720125,7,0.75,0.112422768507446,7,0.9,0.0855651733995725,7,0.85,0.0625887957813326,7,0.9,0.050676084749767
"folds.8",8,0.9,0.109603788668506,8,0.9,0.176615919959621,8,0.75,0.100676341439912,8,0.75,0.107984527401652,8,0.9,0.08566957906268,8,0.85,0.0563085086656373,8,0.9,0.0487673636334358
"folds.9",9,0.9,0.106518055258703,9,0.9,0.169458183856892,9,0.75,0.0989635983268282,9,0.75,0.107803625271239,9,0.9,0.079544750721637,9,0.85,0.0516003885653984,9,0.9,0.0467245190524277
"folds.10",10,0.9,0.0946409896235078,10,0.9,0.171975392238354,10,0.8,0.096692538217522,10,0.7,0.109246200081432,10,0.9,0.081336188597546,10,0.85,0.0506630461405968,10,0.9,0.0474341649025257
"folds.11",11,0.9,0.0998196572021962,11,0.9,0.165991394786426,11,0.8,0.0917123828125797,11,0.7,0.105410193097294,11,0.9,0.076254916643534,11,0.9,0.0476410239936881,11,0.85,0.0430235810751328
"folds.12",12,0.9,0.100343641285068,12,0.9,0.165358227322814,12,0.75,0.0907695797975104,12,0.75,0.101701785890186,12,0.9,0.0750956013981468,12,0.85,0.0477601406094144,12,0.9,0.0480923369454311
"folds.13",13,0.9,0.0952799468317876,13,0.9,0.162275108105682,13,0.8,0.0841966690497853,13,0.75,0.103384069206845,13,0.9,0.0776389419383424,13,0.85,0.0469249608625511,13,0.9,0.0481529719613308
"folds.14",14,0.9,0.0922757406489502,14,0.9,0.146055887667435,14,0.8,0.0828489073038471,14,0.75,0.098196843738076,14,0.9,0.0734789027486744,14,0.85,0.0419845233413481,14,0.9,0.0452925094404297
"folds.15",15,0.9,0.0901052659890584,15,0.9,0.145982262007481,15,0.8,0.0844504699920722,15,0.75,0.0937899064214617,15,0.9,0.0743567510480819,15,0.85,0.0442998021719338,15,0.9,0.0453810195669614
"folds.16",16,0.9,0.0855856436699661,16,0.9,0.151737055903079,16,0.8,0.0791660739664869,16,0.75,0.0962759526520463,16,0.9,0.071980422207578,16,0.85,0.0413096112785388,16,0.9,0.0469339194271349
"folds.17",17,0.9,0.0821442949034514,17,0.9,0.151897936072163,17,0.8,0.0808314525647271,17,0.75,0.0955566249329086,17,0.9,0.0686273248036794,17,0.85,0.0368287096414448,17,0.9,0.0437320247643531
"folds.18",18,0.9,0.0791665639322867,18,0.9,0.143240061488451,18,0.8,0.0790131829702049,18,0.75,0.0915293265441062,18,0.9,0.0712812634464241,18,0.85,0.0437871535363377,18,0.9,0.0432627052050801
"folds.19",19,0.9,0.0779258136462651,19,0.9,0.133675527478468,19,0.8,0.0789920866273942,19,0.75,0.0904608930597812,19,0.9,0.0684716427863818,19,0.85,0.0358212319813356,19,0.9,0.0416496662014799
"folds.20",20,0.9,0.0761390645933949,20,0.9,0.141642693608434,20,0.8,0.0820517671503332,20,0.75,0.0940014562321977,20,0.9,0.0706412605188192,20,0.85,0.0378061741889709,20,0.9,0.0463903229355225
"folds.21",21,0.9,0.078132865970376,21,0.9,0.135283772859864,21,0.8,0.0724639809045055,21,0.7,0.0871651177808976,21,0.9,0.0687293512534763,21,0.85,0.036842297089824,21,0.9,0.0421161640142033
"folds.22",22,0.9,0.0671393900605129,22,0.9,0.126770741185894,22,0.8,0.0694897749948065,22,0.75,0.0897175944101643,22,0.9,0.0690604579107817,22,0.85,0.0335487036339039,22,0.9,0.0424292085447954
"folds.23",23,0.9,0.079374289148173,23,0.9,0.146142901804185,23,0.8,0.0784468221402493,23,0.75,0.0894123709118155,23,0.9,0.0742648319547366,23,0.85,0.0396090757135139,23,0.9,0.0478915817613451
"folds.24",24,0.9,0.0714149150394376,24,0.9,0.139758084998051,24,0.8,0.0709187349504133,24,0.75,0.0904941389770033,24,0.9,0.0701773636036747,24,0.85,0.0343222670873883,24,0.9,0.0437693472164682
"folds.25",25,0.9,0.0644134037804756,25,0.9,0.11312429936626,25,0.8,0.0703799036006077,25,0.75,0.0841140456325379,25,0.9,0.0657760327663997,25,0.85,0.0313964287098984,25,0.9,0.0429506083164692
"folds.26",26,0.9,0.0794301526446295,26,0.9,0.157453808152428,26,0.8,0.0830942516342416,26,0.75,0.0958152287377015,26,0.9,0.0744646391415582,26,0.85,0.0512867217496676,26,0.8,0.0541999551211543
"folds.27",27,0.9,0.0784256851298609,27,0.9,0.143147760308296,27,0.8,0.0751409086726808,27,0.75,0.0919158638431148,27,0.9,0.0739379931214449,27,0.85,0.0438390164050171,27,0.8,0.0496340713728084
"folds.28",28,0.9,0.0658536004839272,28,0.9,0.125154949008264,28,0.8,0.0738446377913152,28,0.75,0.0909619237459915,28,0.9,0.069322764267199,28,0.85,0.0372497992953995,28,0.9,0.0465635927326078
"folds.29",29,0.9,0.0628867612836338,29,0.9,0.120418023985201,29,0.8,0.0702704449639778,29,0.75,0.0840801223058516,29,0.9,0.0670370902670415,29,0.85,0.0311712872552474,29,0.9,0.0454650092606068
"folds.30",30,0.9,0.0619677335393187,30,0.9,0.0959937748231874,30,0.8,0.0663378527743453,30,0.75,0.0837493370209666,30,0.9,0.0668159739461633,30,0.85,0.0304125372572303,30,0.9,0.0444620554447764
"folds.31",31,0.9,0.0517160715063707,31,0.9,0.0941733966076865,31,0.8,0.0664433948916273,31,0.75,0.080641680169628,31,0.9,0.0646875720829124,31,0.85,0.0283856168374626,31,0.9,0.0445787479048567
"folds.32",32,0.9,0.0840091366164123,32,0.9,0.155330502687222,32,0.8,0.0791794125980951,32,0.75,0.0974714865521743,32,0.9,0.0711713626598709,32,0.85,0.0467553586614793,32,0.9,0.0551641467176198
