"","NO3.Date","NO3.Flow","NO3.concentrations.NO3","lnC","lnQ"
"1",2012-02-08,64,4.289,1.45605360553474,4.15888308335967
"2",2012-02-15,47,4.109,1.41317968990127,3.85014760171006
"3",2012-02-29,47,3.863,1.35144408368414,3.85014760171006
"4",2012-03-15,37,3.3,1.19392246847243,3.61091791264422
"5",2012-03-20,262,1.717,0.540578581915338,5.5683445037611
"6",2012-03-28,116,3.778,1.32919476907932,4.75359019110636
"7",2012-04-11,40,3.909,1.36328158681082,3.68887945411394
"8",2012-04-15,99,1.627,0.486737828236901,4.59511985013459
"9",2012-04-25,36,4.111,1.41366630791574,3.58351893845611
"10",2012-04-30,77,3.382,1.21846725047639,4.34380542185368
"11",2012-05-09,33,3.681,1.30318445439688,3.49650756146648
"12",2012-05-17,28,3.457,1.24040116093949,3.3322045101752
"13",2012-05-23,25,3.772,1.32760536477121,3.2188758248682
"14",2012-05-31,28,0.618,-0.481266821524446,3.3322045101752
"15",2012-06-06,25,3.163,1.15152094432351,3.2188758248682
"16",2012-06-13,23,3.165,1.15215305559614,3.13549421592915
"17",2012-06-20,21,3.1035,1.13253050687157,3.04452243772342
"18",2012-06-28,23,3.112,1.13526560631615,3.13549421592915
"19",2012-07-11,15,2.821,1.03709143201986,2.70805020110221
"20",2012-07-18,18,2.946,1.08044831804044,2.89037175789616
"21",2012-07-25,19,2.509,0.919884267384285,2.94443897916644
"22",2012-08-01,24,2.456,0.898534010284896,3.17805383034795
"23",2012-08-16,29,2.922,1.07226831332851,3.36729582998647
"24",2012-08-22,26,3.143,1.14517775781543,3.25809653802148
"25",2012-08-27,272,2.275,0.821980052402914,5.605802066296
"26",2012-09-06,30,3.448,1.23779435280145,3.40119738166216
"27",2012-09-12,39,3.556,1.26863631765166,3.66356164612965
"28",2012-09-27,40,3.37,1.21491274436427,3.68887945411394
"29",2012-10-03,31,3.253,1.17957764749121,3.43398720448515
"30",2012-10-10,24,3.9495,1.37358898862234,3.17805383034795
"31",2012-10-12,138,1.618,0.4811908186363,4.92725368515721
"32",2012-10-16,55,3.059,1.11808806516877,4.00733318523247
"33",2012-10-25,30,3.215,1.16782735768958,3.40119738166216
"34",2012-11-01,24,3.732,1.3169442829851,3.17805383034795
"35",2012-11-08,25,4.076,1.40511611536048,3.2188758248682
"36",2012-11-15,27,4.144,1.42166150495718,3.29583686600433
"37",2012-11-29,24,4.4555,1.49413928807064,3.17805383034795
"38",2012-12-06,29,3.719,1.31345481494293,3.36729582998647
"39",2012-12-13,24,4.204,1.4360364530147,3.17805383034795
"40",2013-01-03,27,3.577,1.27452446027688,3.29583686600433
"41",2013-01-11,25,3.927,1.36787577559587,3.2188758248682
"42",2013-01-14,25,3.5,1.25276296849537,3.2188758248682
"43",2013-01-24,26,3.78,1.3297240096315,3.25809653802148
"44",2013-01-30,154,1.184,0.168898536461814,5.03695260241363
"45",2013-02-07,29,3.668,1.29964655439422,3.36729582998647
"46",2013-02-13,38,4.1395,1.42057500759672,3.63758615972639
"47",2013-02-21,72,4.245,1.44574181976331,4.27666611901606
"48",2013-02-28,34,3.985,1.38253731224218,3.52636052461616
"49",2013-03-07,27,4.178,1.42983266313437,3.29583686600433
"50",2013-03-10,251,1.666,0.510425543744651,5.52545293913178
"51",2013-03-20,35,4.199,1.43484640170206,3.55534806148941
"52",2013-03-28,33,4.109,1.41317968990127,3.49650756146648
"53",2013-04-04,52,3.986,1.3827882217906,3.95124371858143
"54",2013-04-18,743,0.783,-0.244622582991334,6.61069604471776
"55",2013-04-25,62,4.304,1.45954482285948,4.12713438504509
"56",2013-04-29,87,3.6195,1.28633589475106,4.46590811865458
"57",2013-05-09,211,4.024,1.39227643279744,5.35185813347607
"58",2013-05-20,72,3.561,1.27004140429564,4.27666611901606
"59",2013-05-31,169,2.137,0.759402976337011,5.12989871492307
"60",2013-06-07,67,3.542,1.26469153936064,4.20469261939097
"61",2013-06-13,54,3.838,1.34495139758551,3.98898404656427
"62",2013-06-26,47,3.244,1.17680713625317,3.85014760171006
"63",2013-07-10,42,3.369,1.21461596442442,3.73766961828337
"64",2013-07-17,41,3.087,1.12719974552002,3.71357206670431
"65",2013-08-01,78,2.813,1.03425152950772,4.35670882668959
"66",2013-08-08,1400,0.762,-0.271808723295491,7.24422751560335
"67",2013-08-21,28,3.256,1.18049944814029,3.3322045101752
"68",2013-08-29,22,2.892,1.06194830429652,3.09104245335832
"69",2013-09-05,19,3.934,1.36965671996687,2.94443897916644
"70",2013-09-12,18,3.448,1.23779435280145,2.89037175789616
"71",2013-09-19,17,3.664,1.29855544681188,2.83321334405622
"72",2013-09-20,180,1.997,0.691646054433678,5.19295685089021
"73",2013-10-03,35,3.9595,1.37611775466833,3.55534806148941
"74",2013-10-05,397,0.895,-0.110931560707282,5.98393628068719
"75",2013-10-21,35,3.459,1.24097952995503,3.55534806148941
"76",2013-10-30,96,3.673,1.30100876683753,4.56434819146784
"77",2013-11-07,62,3.665,1.29882833533861,4.12713438504509
"78",2013-11-14,40,4.122,1.41633848246827,3.68887945411394
"79",2013-11-21,95,2.269,0.819339205797705,4.55387689160054
"80",2013-12-03,34,3.98,1.38128181929635,3.52636052461616
"81",2013-12-13,48,4.06,1.40118297361364,3.87120101090789
"82",2013-12-20,54,4.061,1.40142924870416,3.98898404656427
"83",2013-12-21,577,0.599,-0.512493680866688,6.3578422665081
"84",2014-01-08,50,4.769,1.56213663931609,3.91202300542815
"85",2014-01-10,144,2.911,1.06849666476349,4.969813299576
"86",2014-01-23,49,4.287,1.45558718761584,3.89182029811063
"87",2014-01-29,44,4.222,1.44030894942613,3.78418963391826
