"","SO4.Date","SO4.Flow","SO4.concentrations.SO4","lnC","lnQ"
"1",2012-02-08,64,45.833,3.8250043556848,4.15888308335967
"2",2012-02-15,47,4.861,1.58124417806332,3.85014760171006
"3",2012-02-29,47,58.139,4.06283669512041,3.85014760171006
"4",2012-03-15,37,68.344,4.22455377584932,3.61091791264422
"5",2012-03-20,262,18.251,2.90421987304788,5.5683445037611
"6",2012-03-28,116,41.094,3.71586212544382,4.75359019110636
"7",2012-04-11,40,45.667,3.82137593640345,3.68887945411394
"8",2012-04-15,99,20.143,3.00285683349629,4.59511985013459
"9",2012-04-25,36,24.659,3.20514194541356,3.58351893845611
"10",2012-04-30,77,51.579,3.94311461290582,4.34380542185368
"11",2012-05-09,33,71.075,4.26373565753706,3.49650756146648
"12",2012-05-17,28,72.083,4.27781823285573,3.3322045101752
"13",2012-05-23,25,75.681,4.32652713818698,3.2188758248682
"14",2012-05-31,28,10.586,2.3595323734358,3.3322045101752
"15",2012-06-06,25,24.568,3.20144478313852,3.2188758248682
"16",2012-06-13,23,82.443,4.41210714546205,3.13549421592915
"17",2012-06-20,21,100.573,4.61088383198066,3.04452243772342
"18",2012-06-28,23,97.457,4.57941125508236,3.13549421592915
"19",2012-07-11,15,83.645,4.42658165278324,2.70805020110221
"20",2012-07-18,18,206.11,5.32841000685521,2.89037175789616
"21",2012-07-25,19,113.39,4.73083320398375,2.94443897916644
"22",2012-08-01,24,127.16,4.8454461360426,3.17805383034795
"23",2012-08-16,29,105.91,4.66258967685558,3.36729582998647
"24",2012-08-22,26,105.895,4.66244803713956,3.25809653802148
"25",2012-08-27,272,41.594,3.72795592609573,5.605802066296
"26",2012-09-06,30,77.172,4.34603669694073,3.40119738166216
"27",2012-09-12,39,77.319,4.34793972099214,3.66356164612965
"28",2012-09-27,40,72.407,4.28230297980084,3.68887945411394
"29",2012-10-03,31,93.612,4.53915858039418,3.43398720448515
"30",2012-10-10,24,92.403,4.52615944565305,3.17805383034795
"31",2012-10-12,138,30.244,3.40929781769602,4.92725368515721
"32",2012-10-16,55,58.989,4.07735098584553,4.00733318523247
"33",2012-10-25,30,77.014,4.34398722350858,3.40119738166216
"34",2012-11-01,24,76.209,4.33347956595436,3.17805383034795
"35",2012-11-08,25,88.004,4.47738226799063,3.2188758248682
"36",2012-11-15,27,99.45,4.59965500529998,3.29583686600433
"37",2012-11-29,24,86.256,4.45731961870931,3.17805383034795
"38",2012-12-06,29,79.772,4.37917256569098,3.36729582998647
"39",2012-12-13,24,92.526,4.52748968610357,3.17805383034795
"40",2013-01-03,27,41.924,3.73585845530793,3.29583686600433
"41",2013-01-11,25,84.699,4.43910379521287,3.2188758248682
"42",2013-01-14,25,76.722,4.34018849905709,3.2188758248682
"43",2013-01-24,26,78.204,4.35932079713824,3.25809653802148
"44",2013-01-30,154,17.671,2.87192487782592,5.03695260241363
"45",2013-02-07,29,79.674,4.37794330923625,3.36729582998647
"46",2013-02-13,38,80.4845,4.38806461930119,3.63758615972639
"47",2013-02-21,72,79.751,4.37890928077129,4.27666611901606
"48",2013-02-28,34,63.238,4.14690538628773,3.52636052461616
"49",2013-03-07,27,81.335,4.39857642821842,3.29583686600433
"50",2013-03-10,251,22.108,3.09593953397102,5.52545293913178
"51",2013-03-20,35,61.509,4.11918350556902,3.55534806148941
"52",2013-03-28,33,68.088,4.22080098617466,3.49650756146648
"53",2013-04-04,52,45.108,3.80905961437004,3.95124371858143
"54",2013-04-18,743,6.935,1.93658105376679,6.61069604471776
"55",2013-04-25,62,48.837,3.88848822229448,4.12713438504509
"56",2013-04-29,87,27.3615,3.30913691581294,4.46590811865458
"57",2013-05-09,211,46.788,3.84562675978846,5.35185813347607
"58",2013-05-20,72,44.959,3.8057509633452,4.27666611901606
"59",2013-05-31,169,22.495,3.11329306229314,5.12989871492307
"60",2013-06-07,67,40.689,3.70595778564869,4.20469261939097
"61",2013-06-13,54,51.636,3.94421910364446,3.98898404656427
"62",2013-06-26,47,69.325,4.23880559150184,3.85014760171006
"63",2013-07-10,42,72.156,4.27883044184543,3.73766961828337
"64",2013-07-17,41,79.092,4.37061173185858,3.71357206670431
"65",2013-08-01,78,40.657,3.70517102289082,4.35670882668959
"66",2013-08-08,1400,4.673,1.54180126371829,7.24422751560335
"67",2013-08-21,28,51.458,3.94076594096036,3.3322045101752
"68",2013-08-29,22,62.675,4.13796264404436,3.09104245335832
"69",2013-09-05,19,65.881,4.18785008430778,2.94443897916644
"70",2013-09-12,18,77.065,4.34464922159868,2.89037175789616
"71",2013-09-19,17,76.415,4.3361790119798,2.83321334405622
"72",2013-09-20,180,28.133,3.33694326452238,5.19295685089021
"73",2013-10-03,35,71.744,4.27310422744969,3.55534806148941
"74",2013-10-05,397,8.033,2.08355805719168,5.98393628068719
"75",2013-10-21,35,63.036,4.14370599175983,3.55534806148941
"76",2013-10-30,96,73.927,4.30307811981965,4.56434819146784
"77",2013-11-07,62,48.009,3.87138849333196,4.12713438504509
"78",2013-11-14,40,105.68,4.66041566021407,3.68887945411394
"79",2013-11-21,95,41.702,3.73054908928533,4.55387689160054
"80",2013-12-03,34,56.95,4.04217368989319,3.52636052461616
"81",2013-12-13,48,67.572,4.21319369606048,3.87120101090789
"82",2013-12-20,54,50.0475,3.91297255446373,3.98898404656427
"83",2013-12-21,577,7.771,2.05039885622711,6.3578422665081
"84",2014-01-08,50,0.038,-3.27016911925575,3.91202300542815
"85",2014-01-10,144,46.079,3.83035731476327,4.969813299576
"86",2014-01-23,49,55.883,4.0232602194187,3.89182029811063
"87",2014-01-29,44,62.418,4.13385369531681,3.78418963391826
"88",2014-02-06,42,62.231,4.13085326787191,3.73766961828337
"89",2014-02-13,41,73.89,4.30257750080056,3.71357206670431
"90",2014-02-20,42,43.904,3.78200543210342,3.73766961828337
"91",2014-02-26,38,86.04,4.45481230439953,3.63758615972639
"92",2014-03-06,52,68.27,4.22347043143019,3.95124371858143
"93",2014-03-13,38,73.63,4.29905255138063,3.63758615972639
"94",2014-03-16,334,13.503,2.60291188297891,5.8111409929767
"95",2014-03-28,97,49.108,3.89402195431859,4.57471097850338
"96",2014-04-03,125,51.563,3.94280436101758,4.8283137373023
"97",2014-04-08,68,40.336,3.69724437044556,4.21950770517611
"98",2014-04-15,52,52.223,3.955523010874,3.95124371858143
"99",2014-04-24,42,56.58,4.03565556587342,3.73766961828337
"100",2014-04-29,37,63.626,4.15302219183951,3.61091791264422
"101",2014-05-08,141,18.342,2.90919351213675,4.94875989037817
"102",2014-05-12,163,14.61,2.68170622576261,5.09375020080676
"103",2014-05-15,73,35.228,3.56184122094321,4.29045944114839
"104",2014-05-21,48,59.535,4.08656437490314,3.87120101090789
"105",2014-05-29,49,61.195,4.1140654868343,3.89182029811063
"106",2014-06-03,60,0.038,-3.27016911925575,4.0943445622221
"107",2014-06-16,54,48.246,3.87631292279407,3.98898404656427
"108",2014-06-19,52,62.512,4.13535853831271,3.95124371858143
"109",2014-07-02,42,66.42,4.1959982159486,3.73766961828337
"110",2014-07-07,35,57.623,4.05392179355615,3.55534806148941
"111",2014-07-22,34,81.6805,4.40281529528723,3.52636052461616
"112",2014-07-31,49,58.956,4.07679140297451,3.89182029811063
"113",2014-08-06,34,86.756,4.46309958070036,3.52636052461616
"114",2014-08-13,35,104.36,4.64784646026853,3.55534806148941
"115",2014-08-21,34,91.819,4.51981924788832,3.52636052461616
"116",2014-08-28,30,95.681,4.56101974165272,3.40119738166216
"117",2014-08-30,34,100.24,4.60756731058781,3.52636052461616
"118",2014-09-02,80,33.996,3.52624287063638,4.38202663467388
"119",2014-09-06,52,49.593,3.90384969473898,3.95124371858143
"120",2014-09-11,34,82.913,4.41779186528728,3.52636052461616
"121",2014-09-17,61,39.945,3.68750350793401,4.11087386417331
"122",2014-09-24,34,82.785,4.41624688555957,3.52636052461616
"123",2014-10-01,33,82.21,4.40927694916404,3.49650756146648
"124",2014-10-09,33,114.24,4.73830149859127,3.49650756146648
"125",2014-10-10,451,9.026,2.20010930140481,6.11146733950268
"126",2014-10-13,484,7.932,2.07090521065755,6.18208490671663
"127",2014-10-23,46,70.255,4.2521314800583,3.8286413964891
"128",2014-10-29,44,79.256,4.37268311967073,3.78418963391826
"129",2014-11-06,47,60.944,4.10995540973625,3.85014760171006
"130",2014-11-13,38,81.025,4.39475774902761,3.63758615972639
