"","SRP.Date","SRP.Flow","SRP.concentrations.SRP","lnC","lnQ"
"1",2012-02-08,64,0.149,-1.90380897303668,4.15888308335967
"2",2012-02-15,47,0.039,-3.24419363285249,3.85014760171006
"3",2012-02-29,47,0.188,-1.67131331615219,3.85014760171006
"4",2012-03-15,37,0.124,-2.0874737133771,3.61091791264422
"5",2012-03-20,262,0.168,-1.78379129957888,5.5683445037611
"6",2012-03-28,116,0.15,-1.89711998488588,4.75359019110636
"7",2012-04-11,40,0.145,-1.93102153656156,3.68887945411394
"8",2012-04-15,99,0.124,-2.0874737133771,4.59511985013459
"9",2012-04-25,36,0.235,-1.44816976483798,3.58351893845611
"10",2012-04-30,77,0.148,-1.91054300521802,4.34380542185368
"11",2012-05-09,33,0.227,-1.48280526150073,3.49650756146648
"12",2012-05-17,28,0.158,-1.84516024595517,3.3322045101752
"13",2012-05-23,25,0.14,-1.96611285637283,3.2188758248682
"14",2012-05-31,28,0.142,-1.95192822138088,3.3322045101752
"15",2012-06-06,25,0.05,-2.99573227355399,3.2188758248682
"16",2012-06-13,23,0.179,-1.72036947314138,3.13549421592915
"17",2012-06-20,21,0.222,-1.50507789710986,3.04452243772342
"18",2012-06-28,23,0.154,-1.87080267656851,3.13549421592915
"19",2012-07-11,15,0.948,-0.0534007767271153,2.70805020110221
"20",2012-07-18,18,0.594,-0.520875959619492,2.89037175789616
"21",2012-07-25,19,0.353,-1.04128722204884,2.94443897916644
"22",2012-08-01,24,0.335,-1.09362474715707,3.17805383034795
"23",2012-08-16,29,0.352,-1.04412410338404,3.36729582998647
"24",2012-08-22,26,0.3355,-1.0921333225704,3.25809653802148
"25",2012-08-27,272,0.223,-1.50058350752202,5.605802066296
"26",2012-09-06,30,0.402,-0.911303190363116,3.40119738166216
"27",2012-09-12,39,0.313,-1.16155208844198,3.66356164612965
"28",2012-09-27,40,0.221,-1.50959257746438,3.68887945411394
"29",2012-10-03,31,0.258,-1.35479569406052,3.43398720448515
"30",2012-10-10,24,0.257,-1.35867919408692,3.17805383034795
"31",2012-10-12,138,0.212,-1.55116900431012,4.92725368515721
"32",2012-10-16,55,0.236,-1.44392347395653,4.00733318523247
"33",2012-10-25,30,0.179,-1.72036947314138,3.40119738166216
"34",2012-11-01,24,0.19,-1.66073120682165,3.17805383034795
"35",2012-11-08,25,0.276,-1.28735441326499,3.2188758248682
"36",2012-11-15,27,0.236,-1.44392347395653,3.29583686600433
"37",2012-11-29,24,0.196,-1.62964061975162,3.17805383034795
"38",2012-12-06,29,0.154,-1.87080267656851,3.36729582998647
"39",2012-12-13,24,0.276,-1.28735441326499,3.17805383034795
"40",2013-01-03,27,0.188,-1.67131331615219,3.29583686600433
"41",2013-01-11,25,0.158,-1.84516024595517,3.2188758248682
"42",2013-01-14,25,0.141,-1.95899538860397,3.2188758248682
"43",2013-01-24,26,0.199,-1.61445045425764,3.25809653802148
"44",2013-01-30,154,0.17,-1.77195684193188,5.03695260241363
"45",2013-02-07,29,0.145,-1.93102153656156,3.36729582998647
"46",2013-02-13,38,0.1995,-1.61194104265222,3.63758615972639
"47",2013-02-21,72,0.093,-2.37515578582888,4.27666611901606
"48",2013-02-28,34,0.088,-2.43041846450393,3.52636052461616
"49",2013-03-07,27,0.089,-2.41911890925,3.29583686600433
"50",2013-03-10,251,0.102,-2.28278246569787,5.52545293913178
"51",2013-03-20,35,0.09,-2.40794560865187,3.55534806148941
"52",2013-03-28,33,0.072,-2.63108915996608,3.49650756146648
"53",2013-04-04,52,0.077,-2.56394985712845,3.95124371858143
"54",2013-04-18,743,0.258,-1.35479569406052,6.61069604471776
"55",2013-04-25,62,0.08,-2.52572864430826,4.12713438504509
"56",2013-04-29,87,0.082,-2.50103603171788,4.46590811865458
"57",2013-05-09,211,0.062,-2.78062089393705,5.35185813347607
"58",2013-05-20,72,0.083,-2.48891467118554,4.27666611901606
"59",2013-05-31,169,0.091,-2.39689577246529,5.12989871492307
"60",2013-06-07,67,0.083,-2.48891467118554,4.20469261939097
"61",2013-06-13,54,0.119,-2.12863178587061,3.98898404656427
"62",2013-06-26,47,0.119,-2.12863178587061,3.85014760171006
"63",2013-07-10,42,0.127,-2.06356819252355,3.73766961828337
"64",2013-07-17,41,0.119,-2.12863178587061,3.71357206670431
"65",2013-08-01,78,0.118,-2.13707065451647,4.35670882668959
"66",2013-08-08,1400,0.278,-1.2801341652915,7.24422751560335
"67",2013-08-21,28,0.087,-2.44184716032755,3.3322045101752
"68",2013-08-29,22,0.0845,-2.47100374461901,3.09104245335832
"69",2013-09-05,19,0.097,-2.33304430047875,2.94443897916644
"70",2013-09-12,18,0.114,-2.17155683058764,2.89037175789616
"71",2013-09-19,17,0.134,-2.00991547903123,2.83321334405622
"72",2013-09-20,180,0.191,-1.65548185093551,5.19295685089021
"73",2013-10-03,35,0.1505,-1.89379219479321,3.55534806148941
"74",2013-10-05,397,0.143,-1.94491064872223,5.98393628068719
"75",2013-10-21,35,0.114,-2.17155683058764,3.55534806148941
"76",2013-10-30,96,0.154,-1.87080267656851,4.56434819146784
"77",2013-11-07,62,0.134,-2.00991547903123,4.12713438504509
"78",2013-11-14,40,0.111,-2.1982250776698,3.68887945411394
"79",2013-11-21,95,0.125,-2.07944154167984,4.55387689160054
"80",2013-12-03,34,0.124,-2.0874737133771,3.52636052461616
"81",2013-12-13,48,0.084,-2.47693848013882,3.87120101090789
"82",2013-12-20,54,0.079,-2.53830742651512,3.98898404656427
"83",2013-12-21,577,0.125,-2.07944154167984,6.3578422665081
"84",2014-01-08,50,0.073,-2.61729583783375,3.91202300542815
"85",2014-01-10,144,0.081,-2.5133061243097,4.969813299576
"86",2014-01-23,49,0.065,-2.7333680090865,3.89182029811063
"87",2014-01-29,44,0.053,-2.93746336543002,3.78418963391826
"88",2014-02-06,42,0.059,-2.83021783507642,3.73766961828337
"89",2014-02-13,41,0.063,-2.7646205525906,3.71357206670431
"90",2014-02-20,42,0.01,-4.60517018598809,3.73766961828337
"91",2014-02-26,38,0.072,-2.63108915996608,3.63758615972639
"92",2014-03-06,52,0.063,-2.7646205525906,3.95124371858143
"93",2014-03-13,38,0.0765,-2.57046453814965,3.63758615972639
"94",2014-03-16,334,0.068,-2.68824757380603,5.8111409929767
"95",2014-03-28,97,0.066,-2.71810053695571,4.57471097850338
"96",2014-04-03,125,0.084,-2.47693848013882,4.8283137373023
"97",2014-04-08,68,0.071,-2.64507540194082,4.21950770517611
"98",2014-04-15,52,0.081,-2.5133061243097,3.95124371858143
"99",2014-04-24,42,0.071,-2.64507540194082,3.73766961828337
"100",2014-04-29,37,0.084,-2.47693848013882,3.61091791264422
"101",2014-05-08,141,0.128,-2.05572501506252,4.94875989037817
"102",2014-05-12,163,0.111,-2.1982250776698,5.09375020080676
"103",2014-05-15,73,0.079,-2.53830742651512,4.29045944114839
"104",2014-05-21,48,0.072,-2.63108915996608,3.87120101090789
"105",2014-05-29,49,0.076,-2.57702193869581,3.89182029811063
"106",2014-06-03,60,0.078,-2.55104645229255,4.0943445622221
"107",2014-06-16,54,0.097,-2.33304430047875,3.98898404656427
"108",2014-06-19,52,0.126,-2.07147337203066,3.95124371858143
"109",2014-07-02,42,0.103,-2.2730262907525,3.73766961828337
"110",2014-07-07,35,0.102,-2.28278246569787,3.55534806148941
"111",2014-07-22,34,0.087,-2.44184716032755,3.52636052461616
"112",2014-07-31,49,0.091,-2.39689577246529,3.89182029811063
"113",2014-08-06,34,0.097,-2.33304430047875,3.52636052461616
"114",2014-08-13,35,0.293,-1.22758266996507,3.55534806148941
"115",2014-08-21,34,0.262,-1.33941077522104,3.52636052461616
"116",2014-08-28,30,0.2105,-1.5582696258597,3.40119738166216
"117",2014-08-30,34,0.173,-1.75446368448436,3.52636052461616
"118",2014-09-02,80,0.183,-1.69826912614072,4.38202663467388
"119",2014-09-06,52,0.129,-2.04794287462046,3.95124371858143
"120",2014-09-11,34,0.16,-1.83258146374831,3.52636052461616
"121",2014-09-17,61,0.188,-1.67131331615219,4.11087386417331
"122",2014-09-24,34,0.171,-1.76609172247948,3.52636052461616
"123",2014-10-01,33,0.159,-1.83885107676191,3.49650756146648
"124",2014-10-09,33,0.329,-1.11169752821677,3.49650756146648
"125",2014-10-10,451,0.191,-1.65548185093551,6.11146733950268
"126",2014-10-13,484,0.215,-1.53711725085447,6.18208490671663
"127",2014-10-23,46,0.152,-1.88387475813586,3.8286413964891
"128",2014-10-29,44,0.218,-1.52326021619305,3.78418963391826
"129",2014-11-06,47,0.14,-1.96611285637283,3.85014760171006
"130",2014-11-13,38,0.096,-2.3434070875143,3.63758615972639
"131",2014-11-19,34,0.148,-1.91054300521802,3.52636052461616
