"","NO3test5to30stats.X.5.30.","NO3test5to30stats.NO3test5to30modes","NO3test5to30stats.NO3test5to30stdevs","TNtest5to30stats.X.5.30.","TNtest5to30stats.TNtest5to30modes","TNtest5to30stats.TNtest5to30stdevs","SRPtest5to30stats.X.5.30.","SRPtest5to30stats.SRPtest5to30modes","SRPtest5to30stats.SRPtest5to30stdevs","TPtest5to30stats.X.5.30.","TPtest5to30stats.TPtest5to30modes","TPtest5to30stats.TPtest5to30stdevs","TSStest5to30stats.X.5.30.","TSStest5to30stats.TSStest5to30modes","TSStest5to30stats.TSStest5to30stdevs","Cltest5to30stats.X.5.30.","Cltest5to30stats.Cltest5to30modes","Cltest5to30stats.Cltest5to30stdevs","SO4test5to30stats.X.5.30.","SO4test5to30stats.SO4test5to30modes","SO4test5to30stats.SO4test5to30stdevs"
"1",5,0.65,0.0988144003386435,5,0.65,0.106980829867709,5,0.55,0.0742376217951243,5,0.5,0.114392806966672,5,0.2,0.150509339326468,5,0.9,0.0310365156891435,5,0.35,0.0967639669821491
"2",6,0.7,0.0650274667242345,6,0.65,0.090913729009699,6,0.4,0.088230912256142,6,0.4,0.114057808472149,6,0.45,0.16034401791658,6,0.9,0.031638906557643,6,0.3,0.097415583549899
"3",7,0.7,0.0726748419541537,7,0.7,0.0828633002638215,7,0.5,0.0705951377177477,7,0.4,0.100183505098781,7,0.2,0.148585164200226,7,0.9,0.0307225902394379,7,0.2,0.0934650431215558
"4",8,0.7,0.0991854581178149,8,0.65,0.10678989480589,8,0.5,0.0707106781186548,8,0.5,0.0978806019847547,8,0.5,0.131121535770663,8,0.9,0.0232335085247008,8,0.3,0.0622699849077239
"5",9,0.7,0.0847324721504967,9,0.65,0.0706818107248742,9,0.55,0.0732691432114419,9,0.5,0.102325012402957,9,0.5,0.141280586357902,9,0.9,0.0194043967245802,9,0.3,0.0808185167709803
"6",10,0.65,0.063277813115286,10,0.65,0.067005939426049,10,0.55,0.0643729566745261,10,0.45,0.105583896422103,10,0.5,0.146440766042737,10,0.9,0.0248259245671182,10,0.3,0.0654653670707977
"7",11,0.65,0.0730110419381751,11,0.65,0.0789019024110422,11,0.55,0.0718629648308899,11,0.45,0.107854777646725,11,0.5,0.133710775289695,11,0.9,0.0233867222053498,11,0.35,0.0826598636656539
"8",12,0.65,0.0620730313782869,12,0.65,0.0724287123131907,12,0.5,0.0594532915619566,12,0.5,0.0866378811431789,12,0.5,0.135390591419411,12,0.9,0.0225876975726313,12,0.2,0.0904918532808566
"9",13,0.7,0.0570445583088611,13,0.65,0.0673174023047623,13,0.5,0.0601783064852159,13,0.5,0.100249688278817,13,0.5,0.152583199117928,13,0.9,0.0164130361329658,13,0.3,0.0709196153171652
"10",14,0.65,0.0589794152952657,14,0.65,0.0562429133857986,14,0.55,0.0635754412858761,14,0.5,0.0840614449709987,14,0.2,0.14671922373106,14,0.9,0.00989743318610786,14,0.3,0.0486973158544552
"11",15,0.65,0.0462910049886276,15,0.65,0.0600679886903675,15,0.5,0.0687275009567139,15,0.5,0.0924110162175882,15,0.2,0.137766439442757,15,0.9,0.0151522881682831,15,0.3,0.0568205194324324
"12",16,0.7,0.063887656499994,16,0.65,0.0534522483824849,16,0.5,0.0630840061880561,16,0.5,0.0795394908975717,16,0.55,0.154774358473283,16,0.9,0.0119948968741047,16,0.25,0.0634790661299825
"13",17,0.65,0.0465218842512393,17,0.65,0.056793575376812,17,0.5,0.0544827252157854,17,0.4,0.0883464885596271,17,0.2,0.164096163941782,17,0.9,0.0151522881682831,17,0.3,0.0551528488357028
