"","Date","concentrations.Cl","Flow"
"1",2009-07-07,13.612,327
"2",2009-07-14,15.549,260
"3",2009-07-21,16.752,270
"4",2009-07-28,15.986,283
"5",2009-08-04,15.138,241
"6",2009-08-11,15.409,394
"7",2009-08-18,16.771,222
"8",2009-08-25,15.989,230
"9",2009-09-01,19.429,205
"10",2009-09-08,13.529,263
"11",2009-09-10,15.277,445
"12",2009-09-15,12.791,350
"13",2009-09-22,7.259,2990
"14",2009-09-29,12.893,336
"15",2009-10-06,16.005,249
"16",2009-10-09,2.963,17300
"17",2009-10-13,6.863,2210
"18",2009-10-20,9.353,815
"19",2009-10-27,10.37,1100
"20",2009-10-30,6.257,7660
"21",2009-11-03,7.5755,1330
"22",2009-11-10,10.362,652
"23",2009-11-17,11.33,725
"24",2009-11-23,12.327,501
"25",2009-12-01,12.57,426
"26",2009-12-08,14.153,369
"27",2009-12-15,14.606,353
"28",2009-12-21,16.33,312
"29",2009-12-29,12.527,397
"30",2010-01-05,13.655,368
"31",2010-01-12,16.203,307
"32",2010-01-19,17.466,306
"33",2010-01-26,12.345,835
"34",2010-02-03,15.635,1150
"35",2010-02-10,11.681,1160
"36",2010-02-16,11.861,755
"37",2010-02-23,13.791,979
"38",2010-03-02,12.464,576
"39",2010-03-08,13.324,449
"40",2010-03-16,14.136,393
"41",2010-03-22,11.648,1430
"42",2010-03-30,8.246,1310
"43",2010-04-07,9.701,915
"44",2010-04-13,10.845,579
"45",2010-04-20,12.146,440
"46",2010-04-25,15.074,985
"47",2010-04-27,11.779,521
"48",2010-05-04,13.279,355
"49",2010-05-11,14.477,586
"50",2010-05-14,10.085,1200
"51",2010-05-15,5.52,3550
"52",2010-05-18,7.429,1340
"53",2010-05-26,8.957,2710
"54",2010-06-01,10.3335,518
"55",2010-06-08,12.057,511
"56",2010-06-15,12.633,371
"57",2010-06-23,14.253,256
"58",2010-08-04,13.325,261
"59",2010-08-09,15.237,221
"60",2010-08-18,17.312,178
"61",2010-08-25,18.792,151
"62",2010-09-02,19.538,490
"63",2010-09-08,15.341,208
"64",2010-09-15,12.486,871
"65",2010-09-23,14.045,230
"66",2010-09-30,14.991,234
"67",2010-10-07,17.129,191
"68",2010-10-13,19.207,178
"69",2010-10-21,19.644,196
"70",2010-10-28,19.958,209
"71",2010-11-03,19.058,189
"72",2010-11-11,21.178,169
"73",2010-11-16,21.968,165
"74",2010-11-29,15.482,310
"75",2010-12-09,19.861,221
"76",2010-12-16,21.028,207
"77",2011-01-06,17.461,243
"78",2011-01-12,19.531,202
"79",2011-01-21,21.565,197
"80",2011-01-26,21.942,190
"81",2011-02-06,23.278,229
"82",2011-02-12,28.941,287
"83",2011-02-14,24.472,640
"84",2011-02-25,19.915,672
"85",2011-02-28,10.989,1930
"86",2011-03-05,16.245,793
"87",2011-03-14,16.347,595
"88",2011-03-31,17.7475,295
"89",2011-04-07,18.602,261
"90",2011-04-11,18.781,383
"91",2011-04-20,15.2115,329
"92",2011-04-23,8.451,2990
"93",2011-04-25,2.848,53100
"94",2011-04-26,1.591,47500
"95",2011-05-11,9.269,995
"96",2011-05-18,10.298,739
"97",2011-05-24,1.714,33600
"98",2011-06-09,10.844,636
"99",2011-06-16,11.5815,535
"100",2011-07-14,15.474,317
"101",2011-07-20,17.04,248
"102",2011-07-28,17.625,208
"103",2011-08-04,20.1415,186
"104",2011-08-31,20.258,183
"105",2011-09-07,21.54,145
"106",2011-09-15,21.866,150
"107",2011-09-19,12.765,860
"108",2011-09-29,15.63,227
"109",2011-10-05,18.489,170
"110",2011-10-13,20.118,387
"111",2011-10-27,19.881,198
"112",2011-11-02,19.95,178
"113",2011-11-09,4.616,6260
"114",2011-11-16,12.726,552
"115",2011-11-30,11.063,558
"116",2011-12-07,10.934,686
"117",2012-01-04,12.645,393
"118",2012-01-11,14.735,393
"119",2012-01-18,14.718,339
"120",2012-01-26,7.092,2620
"121",2012-02-01,10.886,613
"122",2012-02-04,10.047,1940
"123",2012-02-15,12.729,502
"124",2012-02-29,14.601,362
"125",2012-03-15,13.101,443
"126",2012-03-20,11.344,2440
"127",2012-03-22,5.028,5700
"128",2012-03-28,8.63,1050
"129",2012-04-11,11.801,440
"130",2012-04-16,11.401,829
"131",2012-04-25,13.063,313
"132",2012-05-02,15.628,466
"133",2012-05-09,15.609,250
"134",2012-05-17,16.64,194
"135",2012-05-23,18.69,164
"136",2012-05-31,20.779,197
"137",2012-06-13,18.599,162
"138",2012-06-20,21.568,140
"139",2012-06-28,22.5805,122
"140",2012-07-11,25.186,108
"141",2012-07-18,25.518,94
"142",2012-07-25,26.393,76
"143",2012-08-01,28.075,77
"144",2012-08-16,27.542,98
"145",2012-08-21,24.749,104
"146",2012-08-27,25.726,285
"147",2012-09-04,21.814,140
"148",2012-09-06,21.778,128
"149",2012-09-11,19.686,162
"150",2012-09-25,22.507,134
"151",2012-10-02,25.086,128
"152",2012-10-09,26.344,129
"153",2012-10-13,25.642,499
"154",2012-10-16,15.448,327
"155",2012-10-23,22.087,161
"156",2012-11-01,24.111,143
"157",2012-11-15,26.432,153
"158",2012-11-27,26.75,114
"159",2012-12-04,25.269,153
"160",2012-12-11,23.576,141
"161",2013-01-03,23.988,184
"162",2013-01-11,23.992,139
"163",2013-01-15,27.686,151
"164",2013-01-22,25.974,123
"165",2013-01-30,22.4,1780
"166",2013-02-05,0.011,285
"167",2013-02-12,1.523,342
"168",2013-02-19,20.012,239
"169",2013-02-26,19.462,368
"170",2013-03-05,18.482,281
"171",2013-03-10,11.396,1760
"172",2013-03-19,14.01,476
"173",2013-03-26,15.132,451
"174",2013-04-05,10.526,982
"175",2013-04-11,11.915,1670
"176",2013-04-18,7.611,3690
"177",2013-04-25,10.234,762
"178",2013-05-03,10.217,806
"179",2013-05-10,3.606,11500
"180",2013-05-21,4.127,1630
