"","Date","concentrations.NO3","Flow"
"1",2009-07-07,2.423,327
"2",2009-07-14,2.275,260
"3",2009-07-21,2.116,270
"4",2009-07-28,2.096,283
"5",2009-08-04,1.97,241
"6",2009-08-11,1.886,394
"7",2009-08-18,1.869,222
"8",2009-08-25,1.826,230
"9",2009-09-01,2.026,205
"10",2009-09-08,1.7075,263
"11",2009-09-10,2.159,445
"12",2009-09-15,1.789,350
"13",2009-09-22,1.312,2990
"14",2009-09-29,2.342,336
"15",2009-10-06,2.474,249
"16",2009-10-09,0.884,17300
"17",2009-10-13,2.637,2210
"18",2009-10-20,3.187,815
"19",2009-10-27,2.905,1100
"20",2009-10-30,1.737,7660
"21",2009-11-03,2.859,1330
"22",2009-11-10,3.151,652
"23",2009-11-17,3.064,725
"24",2009-11-23,2.905,501
"25",2009-12-01,2.776,426
"26",2009-12-08,2.938,369
"27",2009-12-15,2.933,353
"28",2009-12-21,2.972,312
"29",2009-12-29,2.41,397
"30",2010-01-05,2.493,368
"31",2010-01-12,2.941,307
"32",2010-01-19,2.716,306
"33",2010-01-26,2.152,835
"34",2010-02-03,2.416,1150
"35",2010-02-10,2.802,1160
"36",2010-02-16,2.921,755
"37",2010-02-23,2.398,979
"38",2010-03-02,2.936,576
"39",2010-03-08,2.9135,449
"40",2010-03-16,2.98,393
"41",2010-03-22,1.941,1430
"42",2010-03-30,3.114,1310
"43",2010-04-07,2.736,915
"44",2010-04-13,2.555,579
"45",2010-04-20,2.868,440
"46",2010-04-25,3.02,985
"47",2010-04-27,2.438,521
"48",2010-05-04,2.382,355
"49",2010-05-11,2.784,586
"50",2010-05-14,1.994,1200
"51",2010-05-15,1.121,3550
"52",2010-05-18,1.856,1340
"53",2010-05-26,2.538,2710
"54",2010-06-01,2.7295,518
"55",2010-06-08,2.59,511
"56",2010-06-15,2.345,371
"57",2010-06-23,2.149,256
"58",2010-08-04,2.049,261
"59",2010-08-09,1.979,221
"60",2010-08-18,1.898,178
"61",2010-08-25,1.824,151
"62",2010-09-02,1.913,490
"63",2010-09-08,1.978,208
"64",2010-09-15,2.353,871
"65",2010-09-23,2.127,230
"66",2010-09-30,2.144,234
"67",2010-10-07,2.352,191
"68",2010-10-13,2.482,178
"69",2010-10-21,2.568,196
"70",2010-10-28,2.244,209
"71",2010-11-03,2.296,189
"72",2010-11-11,2.349,169
"73",2010-11-16,2.338,165
"74",2010-11-29,2.1345,310
"75",2010-12-09,2.419,221
"76",2010-12-16,2.435,207
"77",2011-01-06,2.39,243
"78",2011-01-12,2.644,202
"79",2011-01-21,2.73,197
"80",2011-01-26,2.714,190
"81",2011-02-06,2.485,229
"82",2011-02-12,2.301,287
"83",2011-02-14,2.575,640
"84",2011-02-25,2.63,672
"85",2011-02-28,1.591,1930
"86",2011-03-05,2.9,793
"87",2011-03-14,2.744,595
"88",2011-03-31,2.322,295
"89",2011-04-07,1.744,261
"90",2011-04-11,2.065,383
"91",2011-04-20,1.718,329
"92",2011-04-23,1.735,2990
"93",2011-04-25,1.328,53100
"94",2011-04-26,0.767,47500
"95",2011-05-11,3.306,995
"96",2011-05-18,3.059,739
"97",2011-05-24,0.751,33600
"98",2011-06-09,2.873,636
"99",2011-06-16,2.8615,535
"100",2011-07-14,2.291,317
"101",2011-07-20,2.059,248
"102",2011-07-28,1.97,208
"103",2011-08-04,1.77,186
"104",2011-08-10,1.78,349
"105",2011-08-17,1.77,282
"106",2011-08-31,1.67,183
"107",2011-09-07,1.6095,145
"108",2011-09-15,1.738,150
"109",2011-09-19,2.449,860
"110",2011-09-29,2.439,227
"111",2011-10-05,2.57,170
"112",2011-10-13,2.412,387
"113",2011-10-27,2.285,198
"114",2011-11-02,5.78,178
"115",2011-11-09,2.303,6260
"116",2011-11-16,3.882,552
"117",2011-11-30,3.4,558
"118",2011-12-07,3.015,686
"119",2012-01-04,3.672,393
"120",2012-01-11,3.399,393
"121",2012-01-18,2.977,339
"122",2012-01-26,2.0225,2620
"123",2012-02-01,3.518,613
"124",2012-02-04,2.756,1940
"125",2012-02-15,3.381,502
"126",2012-02-29,2.73,362
"127",2012-03-15,2.256,443
"128",2012-03-20,2.274,2440
"129",2012-03-22,2.1285,5700
"130",2012-03-28,3.282,1050
"131",2012-04-11,2.949,440
"132",2012-04-16,2.928,829
"133",2012-04-25,2.692,313
"134",2012-05-02,2.741,466
"135",2012-05-09,2.404,250
"136",2012-05-17,2.436,194
"137",2012-05-23,2.278,164
"138",2012-05-31,2.172,197
