"","Date","concentrations.SRP","Flow"
"1",2009-07-07,0.062,327
"2",2009-07-14,0.06,260
"3",2009-07-21,0.054,270
"4",2009-07-28,0.059,283
"5",2009-08-04,0.057,241
"6",2009-08-11,0.067,394
"7",2009-08-18,0.06,222
"8",2009-08-25,0.061,230
"9",2009-09-01,0.057,205
"10",2009-09-08,0.0775,263
"11",2009-09-10,0.09,445
"12",2009-09-15,0.138,350
"13",2009-09-22,0.484,2990
"14",2009-09-29,0.069,336
"15",2009-10-06,0.06,249
"16",2009-10-09,0.266,17300
"17",2009-10-13,0.101,2210
"18",2009-10-20,0.071,815
"19",2009-10-27,0.063,1100
"20",2009-10-30,0.144,7660
"21",2009-11-03,0.0605,1330
"22",2009-11-10,0.053,652
"23",2009-11-17,0.039,725
"24",2009-11-23,0.034,501
"25",2009-12-01,0.025,426
"26",2009-12-08,0.013,369
"27",2009-12-15,0.008,353
"28",2009-12-21,0.007,312
"29",2009-12-29,0.014,397
"30",2010-01-05,0.0145,368
"31",2010-01-12,0.012,307
"32",2010-01-19,0.014,306
"33",2010-01-26,0.047,835
"34",2010-02-03,0.034,1150
"35",2010-02-10,0.044,1160
"36",2010-02-16,0.03,755
"37",2010-02-23,0.037,979
"38",2010-03-02,0.013,576
"39",2010-03-08,0.0105,449
"40",2010-03-16,0.037,393
"41",2010-03-22,0.056,1430
"42",2010-03-30,0.042,1310
"43",2010-04-07,0.043,915
"44",2010-04-13,0.008,579
"45",2010-04-20,0.021,440
"46",2010-04-25,0.036,985
"47",2010-04-27,0.042,521
"48",2010-05-04,0.025,355
"49",2010-05-11,0.043,586
"50",2010-05-14,0.08,1200
"51",2010-05-15,0.11,3550
"52",2010-05-18,0.066,1340
"53",2010-05-26,0.058,2710
"54",2010-06-01,0.0575,518
"55",2010-06-08,0.049,511
"56",2010-06-15,0.055,371
"57",2010-06-23,0.057,256
"58",2010-08-04,0.067,261
"59",2010-08-09,0.059,221
"60",2010-08-18,0.068,178
"61",2010-08-25,0.057,151
"62",2010-09-02,0.058,490
"63",2010-09-08,0.068,208
"64",2010-09-15,0.085,871
"65",2010-09-23,0.065,230
"66",2010-09-30,0.051,234
"67",2010-10-07,0.036,191
"68",2010-10-13,0.039,178
"69",2010-10-21,0.049,196
"70",2010-10-28,0.051,209
"71",2010-11-03,0.041,189
"72",2010-11-11,0.036,169
"73",2010-11-16,0.04,165
"74",2010-11-29,0.066,310
"75",2010-12-09,0.022,221
"76",2010-12-16,0.012,207
"77",2011-01-06,0.03,243
"78",2011-01-12,0.033,202
"79",2011-01-21,0.028,197
"80",2011-01-26,0.026,190
"81",2011-02-06,0.021,229
"82",2011-02-12,0.023,287
"83",2011-02-14,0.022,640
"84",2011-02-25,0.035,672
"85",2011-02-28,0.2,1930
"86",2011-03-05,0.063,793
"87",2011-03-14,0.044,595
"88",2011-03-31,0.015,295
"89",2011-04-07,0.014,261
"90",2011-04-11,0.051,383
"91",2011-04-20,0.0385,329
"92",2011-04-23,0.186,2990
"93",2011-04-25,0.277,53100
"94",2011-04-26,0.161,47500
"95",2011-05-11,0.064,995
"96",2011-05-18,0.049,739
"97",2011-05-24,0.183,33600
"98",2011-06-09,0.041,636
"99",2011-06-16,0.0435,535
"100",2011-07-14,0.054,317
"101",2011-07-20,0.049,248
"102",2011-07-28,0.063,208
"103",2011-08-04,0.0525,186
"104",2011-08-10,0.07,349
"105",2011-08-17,0.066,282
"106",2011-08-31,0.06,183
"107",2011-09-07,0.0605,145
"108",2011-09-15,0.053,150
"109",2011-09-19,0.306,860
"110",2011-09-29,0.059,227
"111",2011-10-05,0.055,170
"112",2011-10-13,0.063,387
"113",2011-10-27,0.043,198
"114",2011-11-02,0.041,178
"115",2011-11-09,0.146,6260
"116",2011-11-16,0.064,552
"117",2011-11-30,0.049,558
"118",2011-12-07,0.05,686
"119",2012-01-04,0.031,393
"120",2012-01-11,0.027,393
"121",2012-01-18,0.012,339
"122",2012-01-26,0.137,2620
"123",2012-02-01,0.034,613
"124",2012-02-04,0.073,1940
"125",2012-02-15,0.028,502
"126",2012-02-29,0.012,362
"127",2012-03-15,0.039,443
"128",2012-03-20,0.046,2440
"129",2012-03-22,0.0995,5700
"130",2012-03-28,0.05,1050
"131",2012-04-11,0.037,440
"132",2012-04-16,0.082,829
"133",2012-04-25,0.037,313
"134",2012-05-02,0.0575,466
"135",2012-05-09,0.061,250
"136",2012-05-17,0.048,194
"137",2012-05-23,0.049,164
"138",2012-05-31,0.06,197
"139",2012-06-13,0.055,162
"140",2012-06-20,0.046,140
"141",2012-06-28,0.182,122
"142",2012-07-11,0.05,108
"143",2012-07-18,0.04,94
"144",2012-07-25,0.033,76
"145",2012-08-01,0.037,77
"146",2012-08-16,0.046,98
"147",2012-08-21,0.057,104
"148",2012-08-27,0.05,285
"149",2012-09-04,0.068,140
"150",2012-09-06,0.067,128
"151",2012-09-11,0.075,162
"152",2012-09-25,0.065,134
"153",2012-10-02,0.074,128
"154",2012-10-09,0.066,129
"155",2012-10-13,0.058,499
"156",2012-10-16,0.067,327
"157",2012-10-23,0.056,161
"158",2012-11-01,0.049,143
"159",2012-11-15,0.042,153
"160",2012-11-27,0.029,114
"161",2012-12-04,0.017,153
"162",2012-12-11,0.048,141
"163",2013-01-03,0.029,184
"164",2013-01-11,0.002,139
"165",2013-01-15,0.027,151
"166",2013-01-22,0.012,123
"167",2013-01-30,0.05,1780
"168",2013-02-05,0.032,285
"169",2013-02-12,0.037,342
"170",2013-02-19,0.021,239
"171",2013-02-26,0.019,368
"172",2013-03-05,0.009,281
"173",2013-03-10,0.206,1760
"174",2013-03-19,0.039,476
"175",2013-03-26,0.025,451
"176",2013-04-05,0.032,982
"177",2013-04-11,0.046,1670
"178",2013-04-18,0.181,3690
"179",2013-04-25,0.048,762
"180",2013-05-03,0.045,806
"181",2013-05-10,0.219,11500
"182",2013-05-21,0.186,1630
"183",2013-05-29,0.05,732
"184",2013-06-07,0.05,724
"185",2013-06-26,0.055,267
"186",2013-07-10,0.038,187
"187",2013-07-17,0.0465,198
"188",2013-08-01,0.081,802
"189",2013-08-08,0.097,2410
"190",2013-08-21,0.056,375
"191",2013-08-29,0.044,248
"192",2013-09-05,0.051,202
"193",2013-09-12,0.048,175
"194",2013-09-19,0.059,166
"195",2013-09-20,0.056,543
"196",2013-10-03,0.061,219
"197",2013-10-06,0.096,1780
"198",2013-10-21,0.043,262
"199",2013-10-30,0.035,237
"200",2013-11-07,0.052,605
"201",2013-11-14,0.035,293
"202",2013-11-21,0.024,252
"203",2013-12-03,0.018,236
"204",2013-12-13,0.008,256
