"","Date","concentrations.TSS","Flow"
"1",2009-07-07,14.1,327
"2",2009-07-14,11.4,260
"3",2009-07-21,12.1,270
"4",2009-07-28,11.7,283
"5",2009-08-04,9.5,241
"6",2009-08-11,14.5,394
"7",2009-08-18,10.6,222
"8",2009-08-25,10.4,230
"9",2009-09-01,12,205
"10",2009-09-08,14.85,263
"11",2009-09-10,24.6,445
"12",2009-09-15,16.4,350
"13",2009-09-22,167.4,2990
"14",2009-09-29,13.6,336
"15",2009-10-06,11.9,249
"16",2009-10-09,345.5,17300
"17",2009-10-13,23.2,2210
"18",2009-10-20,6.7,815
"19",2009-10-27,4.7,1100
"20",2009-10-30,324.3,7660
"21",2009-11-03,6,1330
"22",2009-11-10,4.4,652
"23",2009-11-17,3.3,725
"24",2009-11-23,2.5,501
"25",2009-12-01,2,426
"26",2009-12-08,1.1,369
"27",2009-12-15,1.5,353
"28",2009-12-21,1.2,312
"29",2009-12-29,1.5,397
"30",2010-01-05,0.95,368
"31",2010-01-12,1,307
"32",2010-01-19,1.2,306
"33",2010-01-26,4.5,835
"34",2010-02-03,6.3,1150
"35",2010-02-10,4.7,1160
"36",2010-02-16,2.3,755
"37",2010-02-23,7.2,979
"38",2010-03-02,3.9,576
"39",2010-03-08,4.3,449
"40",2010-03-16,5.3,393
"41",2010-03-22,13.3,1430
"42",2010-03-30,12.4,1310
"43",2010-04-07,14.1,915
"44",2010-04-13,9.5,579
"45",2010-04-20,6.9,440
"46",2010-04-25,22.2,985
"47",2010-04-27,10.1,521
"48",2010-05-04,13.1,355
"49",2010-05-11,15,586
"50",2010-05-14,45,1200
"51",2010-05-15,150.1,3550
"52",2010-05-18,29.6,1340
"53",2010-05-26,20.8,2710
"54",2010-06-01,9.4,518
"55",2010-06-08,17.3,511
"56",2010-06-15,16.7,371
"57",2010-06-23,1.7,256
"58",2010-08-04,6.6,261
"59",2010-08-09,6.3,221
"60",2010-08-18,9.9,178
"61",2010-08-25,13.3,151
"62",2010-09-02,11.5,490
"63",2010-09-08,11.3,208
"64",2010-09-15,25.8,871
"65",2010-09-23,9.2,230
"66",2010-09-30,8.5,234
"67",2010-10-07,6.3,191
"68",2010-10-13,8.6,178
"69",2010-10-21,8.6,196
"70",2010-10-28,7.9,209
"71",2010-11-03,5.4,189
"72",2010-11-11,5.5,169
"73",2010-11-16,3.5,165
"74",2010-11-29,4.65,310
"75",2010-12-09,1.7,221
"76",2010-12-16,1.7,207
"77",2011-01-06,2.3,243
"78",2011-01-12,1.1,202
"79",2011-01-21,1.5,197
"80",2011-01-26,2.9,190
"81",2011-02-06,1.5,229
"82",2011-02-12,1.7,287
"83",2011-02-14,7.9,640
"84",2011-02-25,11,672
"85",2011-02-28,482.1,1930
"86",2011-03-05,16.7,793
"87",2011-03-14,11.9,595
"88",2011-03-31,5.15,295
"89",2011-04-07,8.1,261
"90",2011-04-11,13.5,383
"91",2011-04-20,11.65,329
"92",2011-04-23,385.4,2990
"93",2011-04-25,367.6,53100
"94",2011-04-26,531.3,47500
"95",2011-05-11,13.8,995
"96",2011-05-18,8,739
"97",2011-05-24,338.6,33600
"98",2011-06-09,5.7,636
"99",2011-06-16,8.3,535
"100",2011-07-14,6.6,317
"101",2011-07-20,4.6,248
"102",2011-07-28,7.2,208
"103",2011-08-04,9.2,186
"104",2011-08-10,14.9,349
"105",2011-08-17,7.9,282
"106",2011-08-31,8.1,183
"107",2011-09-07,9.5,145
"108",2011-09-15,9.9,150
"109",2011-09-19,52.3,860
"110",2011-09-29,8.7,227
"111",2011-10-05,6.3,170
"112",2011-10-13,17.9,387
"113",2011-10-27,7.55,198
"114",2011-11-02,5.2,178
"115",2011-11-09,138.8,6260
"116",2011-11-16,8.4,552
"117",2011-11-30,2.9,558
"118",2011-12-07,3,686
"119",2012-01-04,3.4,393
"120",2012-01-11,4.1,393
"121",2012-01-18,3.9,339
"122",2012-01-26,72.6,2620
"123",2012-02-01,6.8,613
"124",2012-02-04,129.9,1940
"125",2012-02-15,4.8,502
"126",2012-02-29,6.7,362
"127",2012-03-15,10,443
"128",2012-03-20,29.3,2440
"129",2012-03-22,80,5700
"130",2012-03-28,17.7,1050
"131",2012-04-11,13.8,440
