"","NO3.Date","NO3.Flow","NO3.concentrations.NO3","lnC","lnQ"
"1",2009-07-07,327,2.423,0.885006441834389,5.78996017089725
"2",2009-07-14,260,2.275,0.821980052402914,5.56068163101553
"3",2009-07-21,270,2.116,0.749527513996053,5.59842195899838
"4",2009-07-28,283,2.096,0.740030766458796,5.64544689764324
"5",2009-08-04,241,1.97,0.678033542749897,5.48479693349065
"6",2009-08-11,394,1.886,0.634458184211266,5.97635090929793
"7",2009-08-18,222,1.869,0.625403528473426,5.40267738187228
"8",2009-08-25,230,1.826,0.602127782172777,5.4380793089232
"9",2009-09-01,205,2.026,0.706063405826492,5.32300997913841
"10",2009-09-08,263,1.7075,0.535030312462808,5.57215403217776
"11",2009-09-10,445,2.159,0.76964515153267,6.09807428216624
"12",2009-09-15,350,1.789,0.581656804526582,5.85793315448346
"13",2009-09-22,2990,1.312,0.271552690521897,8.00302866638473
"14",2009-09-29,336,2.342,0.851005265175526,5.8171111599632
"15",2009-10-06,249,2.474,0.905836273970296,5.51745289646471
"16",2009-10-09,17300,0.884,-0.123298216344494,9.75846178048587
"17",2009-10-13,2210,2.637,0.96964190737115,7.7007477945118
"18",2009-10-20,815,3.187,1.1590800354352,6.70318811324086
"19",2009-10-27,1100,2.905,1.06643339030387,7.00306545878646
"20",2009-10-30,7660,1.737,0.552159487258968,8.94376726273464
"21",2009-11-03,1330,2.859,1.05047191334017,7.1929342212158
"22",2009-11-10,652,3.151,1.14771986277514,6.48004456192665
"23",2009-11-17,725,3.064,1.11972125187834,6.58617165485467
"24",2009-11-23,501,2.905,1.06643339030387,6.21660610108486
"25",2009-12-01,426,2.776,1.02101104264456,6.05443934626937
"26",2009-12-08,369,2.938,1.07772907775169,5.91079664404053
"27",2009-12-15,353,2.933,1.07602578999531,5.8664680569333
"28",2009-12-21,312,2.972,1.08923512685551,5.74300318780948
"29",2009-12-29,397,2.41,0.879626747502564,5.98393628068719
"30",2010-01-05,368,2.493,0.913486804541421,5.90808293816893
"31",2010-01-12,307,2.941,1.07874965957186,5.7268477475872
"32",2010-01-19,306,2.716,0.99916020969645,5.72358510195238
"33",2010-01-26,835,2.152,0.766397642299538,6.72743172485086
"34",2010-02-03,1150,2.416,0.882113280072569,7.0475172213573
"35",2010-02-10,1160,2.802,1.03033344791482,7.05617528410041
"36",2010-02-16,755,2.921,1.0719260234056,6.62671774924902
"37",2010-02-23,979,2.398,0.874635056605323,6.88653164253051
"38",2010-03-02,576,2.936,1.07704811075227,6.35610766069589
"39",2010-03-08,449,2.9135,1.06935510760099,6.10702288774225
"40",2010-03-16,393,2.98,1.09192330051731,5.97380961186926
"41",2010-03-22,1430,1.941,0.663203304186873,7.26542972325395
"42",2010-03-30,1310,3.114,1.13590807341181,7.1777824161952
"43",2010-04-07,915,2.736,1.0064969997603,6.81892406527552
"44",2010-04-13,579,2.555,0.938052223655668,6.361302477573
"45",2010-04-20,440,2.868,1.05361492273737,6.08677472691231
"46",2010-04-25,985,3.02,1.10525683138678,6.89264164117209
"47",2010-04-27,521,2.438,0.89117803105908,6.25575004175337
"48",2010-05-04,355,2.382,0.867940470933108,5.87211778947542
"49",2010-05-11,586,2.784,1.02388874247217,6.37331978957701
"50",2010-05-14,1200,1.994,0.690142671539647,7.09007683577609
"51",2010-05-15,3550,1.121,0.114221144090023,8.17470288246946
"52",2010-05-18,1340,1.856,0.618423634364009,7.20042489294496
"53",2010-05-26,2710,2.538,0.931376369292196,7.90470391387375
"54",2010-06-01,518,2.7295,1.00411844223968,6.24997524225948
"55",2010-06-08,511,2.59,0.951657875711446,6.2363695902037
"56",2010-06-15,371,2.345,0.852285401898243,5.91620206260743
"57",2010-06-23,256,2.149,0.765002617660373,5.54517744447956
"58",2010-08-04,261,2.049,0.717351869256763,5.56452040732269
"59",2010-08-09,221,1.979,0.682591666620429,5.39816270151775
"60",2010-08-18,178,1.898,0.640800700187736,5.18178355029209
"61",2010-08-25,151,1.824,0.60103189165214,5.01727983681492
"62",2010-09-02,490,1.913,0.648672690458116,6.19440539110467
"63",2010-09-08,208,1.978,0.68208623320052,5.33753807970132
"64",2010-09-15,871,2.353,0.855691109745226,6.7696419768525
"65",2010-09-23,230,2.127,0.7547125362181,5.4380793089232
"66",2010-09-30,234,2.144,0.762673243208556,5.4553211153577
"67",2010-10-07,191,2.352,0.85526603003638,5.25227342804663
"68",2010-10-13,178,2.482,0.909064686782416,5.18178355029209
"69",2010-10-21,196,2.568,0.943127385827715,5.27811465923052
"70",2010-10-28,209,2.244,0.80825998766045,5.34233425196481
"71",2010-11-03,189,2.296,0.83116847845732,5.24174701505964
"72",2010-11-11,169,2.349,0.853989705676776,5.12989871492307
"73",2010-11-16,165,2.338,0.849295863049877,5.10594547390058
"74",2010-11-29,310,2.1345,0.75823242721588,5.73657229747919
"75",2010-12-09,221,2.419,0.88335423162789,5.39816270151775
"76",2010-12-16,207,2.435,0.889946756534553,5.33271879326537
"77",2011-01-06,243,2.39,0.871293365943419,5.49306144334055
"78",2011-01-12,202,2.644,0.97229292198944,5.30826769740121
"79",2011-01-21,197,2.73,1.00430160919687,5.28320372873799
"80",2011-01-26,190,2.714,0.998423561412677,5.24702407216049
"81",2011-02-06,229,2.485,0.910272659548592,5.43372200355424
"82",2011-02-12,287,2.301,0.833343811053229,5.65948221575962
"83",2011-02-14,640,2.575,0.945849534115699,6.46146817635372
"84",2011-02-25,672,2.63,0.966983846189673,6.51025834052315
"85",2011-02-28,1930,1.591,0.46436274935565,7.56527528189893
"86",2011-03-05,793,2.9,1.06471073699243,6.67582322163485
"87",2011-03-14,595,2.744,1.00941670986364,6.38856140554563
"88",2011-03-31,295,2.322,0.8424288832757,5.68697535633982
"89",2011-04-07,261,1.744,0.556181325486788,5.56452040732269
"90",2011-04-11,383,2.065,0.725130226412996,5.94803498918065
"91",2011-04-20,329,1.718,0.541160823562064,5.79605775076537
"92",2011-04-23,2990,1.735,0.551007413398823,8.00302866638473
"93",2011-04-25,53100,1.328,0.283674051054242,10.87993220723
"94",2011-04-26,47500,0.767,-0.265268477614881,10.7684849900227
"95",2011-05-11,995,3.306,1.19573899939883,6.90274273715859
"96",2011-05-18,739,3.059,1.11808806516877,6.6052979209482
"97",2011-05-24,33600,0.751,-0.286349627218002,10.4222813459513
"98",2011-06-09,636,2.873,1.05535677999715,6.45519856334012
"99",2011-06-16,535,2.8615,1.05134596286702,6.28226674689601
"100",2011-07-14,317,2.291,0.828988403471358,5.75890177387728
"101",2011-07-20,248,2.059,0.722220428045652,5.51342874616498
"102",2011-07-28,208,1.97,0.678033542749897,5.33753807970132
"103",2011-08-04,186,1.77,0.570979546585738,5.2257466737132
"104",2011-08-10,349,1.78,0.576613364303994,5.85507192220243
"105",2011-08-17,282,1.77,0.570979546585738,5.64190707093811
"106",2011-08-31,183,1.67,0.512823626428664,5.20948615284142
"107",2011-09-07,145,1.6095,0.475923571756726,4.97673374242057
"108",2011-09-15,150,1.738,0.5527350268432,5.01063529409626
"109",2011-09-19,860,2.449,0.895679777970031,6.75693238924755
"110",2011-09-29,227,2.439,0.891588119233783,5.4249500174814
"111",2011-10-05,170,2.57,0.943905898907128,5.13579843705026
"112",2011-10-13,387,2.412,0.880456278864939,5.95842469302978
"113",2011-10-27,198,2.285,0.826366024346168,5.28826703069454
"114",2011-11-02,178,5.78,1.75440368268429,5.18178355029209
"115",2011-11-09,6260,2.303,0.834212620838548,8.74193546409414
"116",2011-11-16,552,3.882,1.35635048474682,6.31354804627709
"117",2011-11-30,558,3.4,1.22377543162212,6.32435896238131
"118",2011-12-07,686,3.015,1.10359983017915,6.53087762772588
"119",2012-01-04,393,3.672,1.30073647275824,5.97380961186926
"120",2012-01-11,393,3.399,1.22348127071398,5.97380961186926
"121",2012-01-18,339,2.977,1.09091608203364,5.82600010738045
"122",2012-01-26,2620,2.0225,0.70433436995051,7.87092959675514
"123",2012-02-01,613,3.518,1.25789264631537,6.41836493593621
"124",2012-02-04,1940,2.756,1.01378035315141,7.57044325205737
"125",2012-02-15,502,3.381,1.21817152372575,6.21860011969173
"126",2012-02-29,362,2.73,1.00430160919687,5.89164421182577
"127",2012-03-15,443,2.256,0.813593333635812,6.09356977004514
"128",2012-03-20,2440,2.274,0.821540395328344,7.79975331828725
"129",2012-03-22,5700,2.1285,0.75541750628607,8.64822145382264
"130",2012-03-28,1050,3.282,1.1884529926679,6.95654544315157
