"","TP.Date","TP.Flow","TP.concentrations.TP","lnC","lnQ"
"1",2009-07-07,327,0.058,-2.84731226843572,5.78996017089725
"2",2009-07-14,260,0.09,-2.40794560865187,5.56068163101553
"3",2009-07-21,270,0.09,-2.40794560865187,5.59842195899838
"4",2009-07-28,283,0.098,-2.32278780031156,5.64544689764324
"5",2009-08-04,241,0.096,-2.3434070875143,5.48479693349065
"6",2009-08-11,394,0.12,-2.12026353620009,5.97635090929793
"7",2009-08-18,222,0.108,-2.22562405185792,5.40267738187228
"8",2009-08-25,230,0.096,-2.3434070875143,5.4380793089232
"9",2009-09-01,205,0.092,-2.3859667019331,5.32300997913841
"10",2009-09-08,263,0.128,-2.05572501506252,5.57215403217776
"11",2009-09-10,445,0.156,-1.8578992717326,6.09807428216624
"12",2009-09-15,350,0.202,-1.59948758158093,5.85793315448346
"13",2009-09-22,2990,0.954,-0.0470916075338506,8.00302866638473
"14",2009-09-29,336,0.108,-2.22562405185792,5.8171111599632
"15",2009-10-06,249,0.088,-2.43041846450393,5.51745289646471
"16",2009-10-09,17300,1.098,0.093490343087339,9.75846178048587
"17",2009-10-13,2210,0.168,-1.78379129957888,7.7007477945118
"18",2009-10-20,815,0.09,-2.40794560865187,6.70318811324086
"19",2009-10-27,1100,0.082,-2.50103603171788,7.00306545878646
"20",2009-10-30,7660,0.73,-0.3147107448397,8.94376726273464
"21",2009-11-03,1330,0.09,-2.40794560865187,7.1929342212158
"22",2009-11-10,652,0.084,-2.47693848013882,6.48004456192665
"23",2009-11-17,725,0.064,-2.74887219562247,6.58617165485467
"24",2009-11-23,501,0.05,-2.99573227355399,6.21660610108486
"25",2009-12-01,426,0.034,-3.38139475436598,6.05443934626937
"26",2009-12-08,369,0.022,-3.81671282562382,5.91079664404053
"27",2009-12-15,353,0.016,-4.13516655674236,5.8664680569333
"28",2009-12-21,312,0.016,-4.13516655674236,5.74300318780948
"29",2009-12-29,397,0.028,-3.57555076880693,5.98393628068719
"30",2010-01-05,368,0.025,-3.68887945411394,5.90808293816893
"31",2010-01-12,307,0.016,-4.13516655674236,5.7268477475872
"32",2010-01-19,306,0.056,-2.88240358824699,5.72358510195238
"33",2010-01-26,835,0.066,-2.71810053695571,6.72743172485086
"34",2010-02-03,1150,0.064,-2.74887219562247,7.0475172213573
"35",2010-02-10,1160,0.064,-2.74887219562247,7.05617528410041
"36",2010-02-16,755,0.042,-3.17008566069877,6.62671774924902
"37",2010-02-23,979,0.07,-2.65926003693278,6.88653164253051
"38",2010-03-02,576,0.026,-3.64965874096066,6.35610766069589
"39",2010-03-08,449,0.023,-3.77226106305299,6.10702288774225
"40",2010-03-16,393,0.058,-2.84731226843572,5.97380961186926
"41",2010-03-22,1430,0.116,-2.15416508787577,7.26542972325395
"42",2010-03-30,1310,0.06,-2.81341071676004,7.1777824161952
"43",2010-04-07,915,0.094,-2.36446049671213,6.81892406527552
"44",2010-04-13,579,0.032,-3.44201937618241,6.361302477573
"45",2010-04-20,440,0.044,-3.12356564506388,6.08677472691231
"46",2010-04-25,985,0.094,-2.36446049671213,6.89264164117209
"47",2010-04-27,521,0.074,-2.60369018577797,6.25575004175337
"48",2010-05-04,355,0.064,-2.74887219562247,5.87211778947542
"49",2010-05-11,586,0.08,-2.52572864430826,6.37331978957701
"50",2010-05-14,1200,0.2,-1.6094379124341,7.09007683577609
"51",2010-05-15,3550,0.47,-0.755022584278033,8.17470288246946
"52",2010-05-18,1340,0.134,-2.00991547903123,7.20042489294496
"53",2010-05-26,2710,0.104,-2.26336437984076,7.90470391387375
"54",2010-06-01,518,0.104,-2.26336437984076,6.24997524225948
"55",2010-06-08,511,0.086,-2.45340798272863,6.2363695902037
"56",2010-06-15,371,0.094,-2.36446049671213,5.91620206260743
"57",2010-06-23,256,0.094,-2.36446049671213,5.54517744447956
"58",2010-08-04,261,0.09,-2.40794560865187,5.56452040732269
"59",2010-08-09,221,0.084,-2.47693848013882,5.39816270151775
"60",2010-08-18,178,0.096,-2.3434070875143,5.18178355029209
"61",2010-08-25,151,0.094,-2.36446049671213,5.01727983681492
"62",2010-09-02,490,0.092,-2.3859667019331,6.19440539110467
"63",2010-09-08,208,0.102,-2.28278246569787,5.33753807970132
"64",2010-09-15,871,0.13,-2.04022082852655,6.7696419768525
"65",2010-09-23,230,0.08,-2.52572864430826,5.4380793089232
"66",2010-09-30,234,0.076,-2.57702193869581,5.4553211153577
"67",2010-10-07,191,0.06,-2.81341071676004,5.25227342804663
"68",2010-10-13,178,0.064,-2.74887219562247,5.18178355029209
"69",2010-10-21,196,0.076,-2.57702193869581,5.27811465923052
"70",2010-10-28,209,0.07,-2.65926003693278,5.34233425196481
"71",2010-11-03,189,0.066,-2.71810053695571,5.24174701505964
"72",2010-11-11,169,0.058,-2.84731226843572,5.12989871492307
