Site,Date,Flow
Richland Creek,2009-07-01,9
Richland Creek,2009-07-02,8
Richland Creek,2009-07-03,23
Richland Creek,2009-07-04,31
Richland Creek,2009-07-05,18
Richland Creek,2009-07-06,9.9
Richland Creek,2009-07-07,6
Richland Creek,2009-07-08,5
Richland Creek,2009-07-09,4
Richland Creek,2009-07-10,5
Richland Creek,2009-07-11,4
Richland Creek,2009-07-12,4
Richland Creek,2009-07-13,5
Richland Creek,2009-07-14,4
Richland Creek,2009-07-15,4
Richland Creek,2009-07-16,4
Richland Creek,2009-07-17,3
Richland Creek,2009-07-18,3
Richland Creek,2009-07-19,3
Richland Creek,2009-07-20,3
Richland Creek,2009-07-21,10
Richland Creek,2009-07-22,9
Richland Creek,2009-07-23,8
Richland Creek,2009-07-24,7
Richland Creek,2009-07-25,6
Richland Creek,2009-07-26,5
Richland Creek,2009-07-27,4
Richland Creek,2009-07-28,4
Richland Creek,2009-07-29,3
Richland Creek,2009-07-30,20
Richland Creek,2009-07-31,25
Richland Creek,2009-08-01,10
Richland Creek,2009-08-02,6
Richland Creek,2009-08-03,5
Richland Creek,2009-08-04,4
Richland Creek,2009-08-05,99
Richland Creek,2009-08-06,179
Richland Creek,2009-08-07,53
Richland Creek,2009-08-08,27
Richland Creek,2009-08-09,17
Richland Creek,2009-08-10,14
Richland Creek,2009-08-11,37
Richland Creek,2009-08-12,37
Richland Creek,2009-08-13,20
Richland Creek,2009-08-14,14
Richland Creek,2009-08-15,8.8
Richland Creek,2009-08-16,5.3
Richland Creek,2009-08-17,16
Richland Creek,2009-08-18,66
Richland Creek,2009-08-19,40
Richland Creek,2009-08-20,44
Richland Creek,2009-08-21,112
Richland Creek,2009-08-22,55
Richland Creek,2009-08-23,35
Richland Creek,2009-08-24,24
Richland Creek,2009-08-25,20
Richland Creek,2009-08-26,18
Richland Creek,2009-08-27,16
Richland Creek,2009-08-28,14
Richland Creek,2009-08-29,12
Richland Creek,2009-08-30,10
Richland Creek,2009-08-31,9.2
Richland Creek,2009-09-01,8.2
Richland Creek,2009-09-02,8.9
Richland Creek,2009-09-03,6.2
Richland Creek,2009-09-04,4.6
Richland Creek,2009-09-05,5.6
Richland Creek,2009-09-06,8.5
Richland Creek,2009-09-07,15
Richland Creek,2009-09-08,19
Richland Creek,2009-09-09,16
Richland Creek,2009-09-10,17
Richland Creek,2009-09-11,15
Richland Creek,2009-09-12,12
Richland Creek,2009-09-13,11
Richland Creek,2009-09-14,9.8
Richland Creek,2009-09-15,8.3
Richland Creek,2009-09-16,124
Richland Creek,2009-09-17,241
Richland Creek,2009-09-18,155
Richland Creek,2009-09-19,93
Richland Creek,2009-09-20,63
Richland Creek,2009-09-21,51
Richland Creek,2009-09-22,2350
Richland Creek,2009-09-23,332
Richland Creek,2009-09-24,222
Richland Creek,2009-09-25,152
Richland Creek,2009-09-26,108
Richland Creek,2009-09-27,82
Richland Creek,2009-09-28,64
Richland Creek,2009-09-29,51
Richland Creek,2009-09-30,44
Richland Creek,2009-10-01,40
Richland Creek,2009-10-02,36
Richland Creek,2009-10-03,33
Richland Creek,2009-10-04,31
Richland Creek,2009-10-05,28
Richland Creek,2009-10-06,32
Richland Creek,2009-10-07,34
Richland Creek,2009-10-08,417
Richland Creek,2009-10-09,6260
Richland Creek,2009-10-10,1050
Richland Creek,2009-10-11,507
Richland Creek,2009-10-12,366
Richland Creek,2009-10-13,752
Richland Creek,2009-10-14,811
Richland Creek,2009-10-15,488
Richland Creek,2009-10-16,351
Richland Creek,2009-10-17,271
Richland Creek,2009-10-18,219
Richland Creek,2009-10-19,186
Richland Creek,2009-10-20,159
Richland Creek,2009-10-21,139
Richland Creek,2009-10-22,273
Richland Creek,2009-10-23,494
Richland Creek,2009-10-24,332
Richland Creek,2009-10-25,257
Richland Creek,2009-10-26,247
Richland Creek,2009-10-27,433
Richland Creek,2009-10-28,427
Richland Creek,2009-10-29,619
Richland Creek,2009-10-30,2060
Richland Creek,2009-10-31,696
Richland Creek,2009-11-01,413
Richland Creek,2009-11-02,252
Richland Creek,2009-11-03,207
Richland Creek,2009-11-04,185
Richland Creek,2009-11-05,162
Richland Creek,2009-11-06,139
Richland Creek,2009-11-07,126
Richland Creek,2009-11-08,115
Richland Creek,2009-11-09,112
Richland Creek,2009-11-10,102
Richland Creek,2009-11-11,92
Richland Creek,2009-11-12,83
Richland Creek,2009-11-13,76
Richland Creek,2009-11-14,70
Richland Creek,2009-11-15,69
Richland Creek,2009-11-16,239
Richland Creek,2009-11-17,194
Richland Creek,2009-11-18,156
Richland Creek,2009-11-19,135
Richland Creek,2009-11-20,121
Richland Creek,2009-11-21,117
Richland Creek,2009-11-22,107
Richland Creek,2009-11-23,99
Richland Creek,2009-11-24,103
Richland Creek,2009-11-25,113
Richland Creek,2009-11-26,100
Richland Creek,2009-11-27,91
Richland Creek,2009-11-28,87
Richland Creek,2009-11-29,84
Richland Creek,2009-11-30,87
Richland Creek,2009-12-01,81
Richland Creek,2009-12-02,75
Richland Creek,2009-12-03,70
Richland Creek,2009-12-04,64
Richland Creek,2009-12-05,58
Richland Creek,2009-12-06,55
Richland Creek,2009-12-07,51
Richland Creek,2009-12-08,57
Richland Creek,2009-12-09,74
Richland Creek,2009-12-10,73
Richland Creek,2009-12-11,66
Richland Creek,2009-12-12,65
Richland Creek,2009-12-13,64
Richland Creek,2009-12-14,61
Richland Creek,2009-12-15,58
Richland Creek,2009-12-16,53
Richland Creek,2009-12-17,49
Richland Creek,2009-12-18,47
Richland Creek,2009-12-19,45
Richland Creek,2009-12-20,44
Richland Creek,2009-12-21,38
Richland Creek,2009-12-22,37
Richland Creek,2009-12-23,37
Richland Creek,2009-12-24,184
Richland Creek,2009-12-25,858
Richland Creek,2009-12-26,433
Richland Creek,2009-12-27,315
Richland Creek,2009-12-28,246
Richland Creek,2009-12-29,209
Richland Creek,2009-12-30,193
Richland Creek,2009-12-31,197
Richland Creek,2010-01-01,180
Richland Creek,2010-01-02,158
Richland Creek,2010-01-03,145
Richland Creek,2010-01-04,131
Richland Creek,2010-01-05,116
Richland Creek,2010-01-06,107
Richland Creek,2010-01-07,100
Richland Creek,2010-01-08,93
Richland Creek,2010-01-09,86
Richland Creek,2010-01-10,79
Richland Creek,2010-01-11,72
Richland Creek,2010-01-12,65
Richland Creek,2010-01-13,62
Richland Creek,2010-01-14,62
Richland Creek,2010-01-15,64
Richland Creek,2010-01-16,67
Richland Creek,2010-01-17,65
Richland Creek,2010-01-18,61
Richland Creek,2010-01-19,56
Richland Creek,2010-01-20,59
Richland Creek,2010-01-21,456
Richland Creek,2010-01-22,291
Richland Creek,2010-01-23,231
Richland Creek,2010-01-24,435
Richland Creek,2010-01-25,348
Richland Creek,2010-01-26,269
Richland Creek,2010-01-27,222
Richland Creek,2010-01-28,197
Richland Creek,2010-01-29,285
Richland Creek,2010-01-30,251
Richland Creek,2010-01-31,216
Richland Creek,2010-02-01,221
Richland Creek,2010-02-02,245
Richland Creek,2010-02-03,290
Richland Creek,2010-02-04,503
Richland Creek,2010-02-05,780
Richland Creek,2010-02-06,582
Richland Creek,2010-02-07,453
