"","Date","concentrations.Cl","Flow"
"1",2009-07-09,6.935,78
"2",2009-07-15,10.286,152
"3",2009-07-22,6.206,310
"4",2009-07-29,5.634,97
"5",2009-08-05,5.89,75
"6",2009-08-12,9.435,50
"7",2009-08-19,10.7,41
"8",2009-08-26,9.026,44
"9",2009-09-02,12.74,30
"10",2009-09-02,13.13,30
"11",2009-09-09,6.271,139
"12",2009-09-16,5.623,449
"13",2009-09-17,2.981,1470
"14",2009-09-23,2.346,3530
"15",2009-09-30,4.483,302
"16",2009-10-07,5.568,187
"17",2009-10-09,1.507,24500
"18",2009-10-14,2.983,4430
"19",2009-10-21,4.033,687
"20",2009-10-28,3.866,808
"21",2009-10-30,2.046,9400
"22",2009-11-04,3.379,896
"23",2009-11-11,4.134,407
"24",2009-11-18,3.738,560
"25",2009-11-24,3.759,327
"26",2009-12-02,3.958,229
"27",2009-12-02,3.985,229
"28",2009-12-09,4.936,210
"29",2009-12-16,5.831,179
"30",2009-12-22,5.836,156
"31",2009-12-31,3.643,471
"32",2009-12-31,3.494,471
"33",2010-01-06,3.912,335
"34",2010-01-13,4.821,256
"35",2010-01-13,4.983,256
"36",2010-01-20,5.153,266
"37",2010-01-27,3.625,890
"38",2010-02-04,4.418,1080
"39",2010-02-11,4.154,899
"40",2010-02-17,4.128,651
"41",2010-02-25,3.658,835
"42",2010-03-03,4.204,545
"43",2010-03-10,4.738,454
"44",2010-03-10,4.652,454
"45",2010-03-17,4.773,453
"46",2010-03-23,3.045,4360
"47",2010-03-31,3.501,1110
"48",2010-04-07,3.398,963
"49",2010-04-14,4.088,478
"50",2010-04-21,3.905,379
"51",2010-04-28,3.645,393
"52",2010-05-05,3.785,370
"53",2010-05-12,2.953,654
"54",2010-05-14,2.582,1750
"55",2010-05-15,2.475,4560
"56",2010-05-17,2.309,3490
"57",2010-05-20,1.715,6590
"58",2010-05-26,3.211,825
"59",2010-06-02,3.727,317
"60",2010-06-09,4.833,178
"61",2010-06-16,5.327,152
"62",2010-06-16,5.271,152
"63",2010-06-24,5.717,90
"64",2010-06-24,5.635,90
"65",2011-07-15,8.1365,37
"66",2011-07-21,9.81,23
"67",2011-08-18,6.943,102
"68",2011-09-01,10.923,23
"69",2011-09-08,12.773,15
"70",2011-09-16,13.539,14
"71",2011-09-22,8.323,121
"72",2011-09-26,8.09,121
"73",2011-10-06,11.548,41
"74",2011-10-13,10.663,224
"75",2011-10-26,10.789,57
"76",2011-11-03,10.926,62
"77",2011-11-09,3.3065,4380
"78",2011-11-17,6.121,209
"79",2011-12-01,4.997,307
"80",2011-12-08,4.01,735
"81",2011-12-15,3.676,2750
"82",2012-01-05,4.861,218
"83",2012-01-12,5.417,267
"84",2012-01-19,4.735,175
"85",2012-01-26,1.8315,7540
"86",2012-02-02,5.117,670
"87",2012-02-09,3.575,746
"88",2012-02-16,4.372,533
"89",2012-03-01,5.356,290
"90",2012-03-13,2.4965,1820
"91",2012-03-20,2.663,3890
"92",2012-03-21,1.716,12800
"93",2012-03-22,1.841,13300
"94",2012-03-29,3.109,988
"95",2012-04-12,4.757,215
"96",2012-04-19,4.5145,188
"97",2012-04-26,5.781,122
"98",2012-05-02,5.9445,122
"99",2012-05-10,7.364,61
"100",2012-05-16,8.046,48
"101",2012-05-24,10.543,32
"102",2012-06-01,13.158,26
"103",2012-06-05,12.865,27
"104",2012-06-14,13.816,25
"105",2012-06-21,13.702,15
"106",2012-06-28,16.319,9
"107",2012-07-12,19.243,11
"108",2012-07-19,26.241,6.1
"109",2012-08-02,28.277,4.3
"110",2012-08-17,46.77,5.3
"111",2012-08-20,44.581,6.3
"112",2012-08-29,37.981,13
"113",2012-09-05,42.206,10
"114",2012-09-11,17.853,51
"115",2012-09-25,16.21,16
"116",2012-10-01,20.197,17
"117",2012-10-09,19.7395,16
"118",2012-10-15,11.229,164
"119",2012-10-24,10.736,40
"120",2012-10-31,15.688,28
"121",2012-11-07,15.788,22
"122",2012-11-14,19.573,26
"123",2012-11-28,15.651,23
"124",2012-12-05,19.013,45
"125",2012-12-12,13.001,45
"126",2013-01-10,9.926,71
"127",2013-01-15,7.903,188
"128",2013-01-23,7.494,86
"129",2013-01-31,3.1605,2430
"130",2013-02-06,5.457,251
"131",2013-02-11,6.363,566
"132",2013-02-20,5.571,297
"133",2013-02-27,4.199,1620
"134",2013-03-06,4.901,338
"135",2013-03-11,3.481,2510
"136",2013-03-19,4.4085,396
"137",2013-03-29,4.116,416
"138",2013-04-03,3.545,710
"139",2013-04-12,3.596,899
"140",2013-04-19,3.39,3080
"141",2013-04-24,3.41,651
"142",2013-04-27,2.46,2870
"143",2013-05-10,1.987,4280
"144",2013-05-22,2.721,1920
"145",2013-05-22,3.652,1920
"146",2013-05-30,3.736,287
"147",2013-06-06,2.952,514
"148",2013-06-12,4.2,192
"149",2013-06-25,6.183,59
"150",2013-07-08,9.401,24
"151",2013-07-19,10.151,15
"152",2013-07-31,8.407,76
"153",2013-08-07,6.028,195
"154",2013-08-09,2.618,2570
"155",2013-08-14,2.919,2250
"156",2013-08-20,4.255,287
"157",2013-08-28,6.476,91
"158",2013-09-04,7.92,53
"159",2013-09-11,9.533,35
"160",2013-09-18,15.767,39
"161",2013-09-23,11.077,42
"162",2013-10-02,14.959,31
"163",2013-10-06,7.09,602
"164",2013-10-24,8.1975,61
"165",2013-10-30,8.89,60
"166",2013-11-06,7.257,110
"167",2013-11-13,6.241,131
"168",2013-11-22,5.2055,709
"169",2013-12-02,5.292,147
"170",2013-12-12,7.258,136
"171",2013-12-18,5.758,902
"172",2014-01-09,5.638,400
"173",2014-01-12,4.129,2080
"174",2014-01-22,5.039,365
"175",2014-01-28,5.251,233
"176",2014-02-06,6.386,173
"177",2014-02-12,8.166,142
"178",2014-02-21,6.215,187
"179",2014-02-25,5.832,156
"180",2014-03-07,8.3405,241
"181",2014-03-11,4.754,842
"182",2014-03-17,2.835,7440
"183",2014-03-27,4.623,556
"184",2014-04-03,4.175,727
"185",2014-04-07,3.004,3330
"186",2014-04-14,3.696,972
"187",2014-04-22,3.995,476
"188",2014-04-28,4.324,376
"189",2014-05-13,5.387,326
"190",2014-05-14,3.72,649
"191",2014-05-20,3.643,428
"192",2014-05-28,4.276,176
"193",2014-06-02,5.059,308
"194",2014-06-10,3.186,1150
"195",2014-06-20,4.905,143
"196",2014-07-01,4.64,256
"197",2014-07-09,6.332,85
"198",2014-07-23,7.826,62
"199",2014-07-29,10.167,41
"200",2014-08-05,9.514,48
"201",2014-08-12,12.052,38
"202",2014-08-19,10.896,32
"203",2014-08-27,9.135,26
"204",2014-09-04,20.892,41
"205",2014-09-10,10.998,23
"206",2014-09-17,15.691,37
"207",2014-09-24,12.1485,26
"208",2014-10-01,16.287,18
"209",2014-10-08,11.741,28
"210",2014-10-10,6.396,636
"211",2014-10-13,4.061,1520
"212",2014-10-14,2.933,3110
"213",2014-10-22,5.679,173
"214",2014-10-29,7.628,79
"215",2014-11-06,8.691,161
"216",2014-11-12,6.788,134
"217",2014-11-19,6.942,82
"218",2014-12-05,7.779,104
"219",2014-12-10,6.169,227
"220",2014-12-17,5.28,509
"221",2015-01-05,3.027,1690
"222",2015-01-07,4.069,764
"223",2015-01-14,5.345,308
"224",2015-01-21,5.32,195
"225",2015-01-28,5.775,140
"226",2015-02-04,6.494,138
"227",2015-02-11,6.393,108
"228",2015-02-18,5.9795,96
"229",2015-02-25,5.253,486
"230",2015-03-05,4.337,2140
"231",2015-03-11,3.982,2280
"232",2015-03-14,3.171,5720
"233",2015-03-19,4.207,1950
"234",2015-03-26,2.888,7260
"235",2015-04-01,3.9675,1170
"236",2015-04-15,4.248,591
"237",2015-04-22,3.195,687
"238",2015-04-29,3.907,397
"239",2015-05-12,1.8135,6680
"240",2015-05-18,1.957,4080
"241",2015-06-01,2.675,2400
"242",2015-06-20,2.038,6920
