"","Date","concentrations.NO3","Flow"
"1",2009-07-09,0.197,78
"2",2009-07-15,0.343,152
"3",2009-07-22,0.347,310
"4",2009-07-29,0.2,97
"5",2009-08-05,0.132,75
"6",2009-08-12,0.148,50
"7",2009-08-19,0.065,41
"8",2009-08-26,0.081,44
"9",2009-09-02,0.025,30
"10",2009-09-02,0.025,30
"11",2009-09-09,0.156,139
"12",2009-09-16,0.393,449
"13",2009-09-17,0.571,1470
"14",2009-09-23,0.862,3530
"15",2009-09-30,0.997,302
"16",2009-10-07,0.659,187
"17",2009-10-09,0.754,24500
"18",2009-10-14,1.116,4430
"19",2009-10-21,1.344,687
"20",2009-10-28,0.886,808
"21",2009-10-30,0.484,9400
"22",2009-11-04,1.091,896
"23",2009-11-11,0.91,407
"24",2009-11-18,0.784,560
"25",2009-11-24,0.551,327
"26",2009-12-02,0.547,229
"27",2009-12-02,0.526,229
"28",2009-12-09,0.561,210
"29",2009-12-16,0.462,179
"30",2009-12-22,0.428,156
"31",2009-12-31,0.704,471
"32",2009-12-31,0.703,471
"33",2010-01-06,0.674,335
"34",2010-01-13,0.639,256
"35",2010-01-13,0.645,256
"36",2010-01-20,0.495,266
"37",2010-01-27,1.131,890
"38",2010-02-04,1,1080
"39",2010-02-11,1.225,899
"40",2010-02-17,1.122,651
"41",2010-02-25,0.942,835
"42",2010-03-03,0.897,545
"43",2010-03-10,0.698,454
"44",2010-03-10,0.692,454
"45",2010-03-17,0.689,453
"46",2010-03-23,0.997,4360
"47",2010-03-31,1.074,1110
"48",2010-04-07,0.803,963
"49",2010-04-14,0.526,478
"50",2010-04-21,0.469,379
"51",2010-04-28,0.501,393
"52",2010-05-05,0.394,370
"53",2010-05-12,0.673,654
"54",2010-05-14,0.609,1750
"55",2010-05-15,0.63,4560
"56",2010-05-17,0.625,3490
"57",2010-05-20,0.458,6590
"58",2010-05-26,0.972,825
"59",2010-06-02,0.452,317
"60",2010-06-09,0.518,178
"61",2010-06-16,0.427,152
"62",2010-06-16,0.435,152
"63",2010-06-24,0.393,90
"64",2010-06-24,0.393,90
"65",2011-07-15,0.016,37
"66",2011-07-21,0.014,23
"67",2011-07-29,0.01,19
"68",2011-08-03,0.01,16
"69",2011-08-11,0.48,127
"70",2011-08-18,0.1,102
"71",2011-09-01,0.01,23
"72",2011-09-08,0.004,15
"73",2011-09-16,0.08,14
"74",2011-09-22,0.941,121
"75",2011-09-26,1.334,121
"76",2011-10-06,0.212,41
"77",2011-10-13,1.777,224
"78",2011-10-26,0.552,57
"79",2011-11-03,0.25,62
"80",2011-11-09,2.737,4380
"81",2011-11-17,2.542,209
"82",2011-12-01,2.43,307
"83",2011-12-08,2.106,735
"84",2011-12-15,2.065,2750
"85",2012-01-05,1.592,218
"86",2012-01-12,1.571,267
"87",2012-01-19,1.02,175
"88",2012-01-26,0.9305,7540
"89",2012-02-02,1.858,670
"90",2012-02-09,1.405,746
"91",2012-02-16,1.499,533
"92",2012-03-01,0.98,290
"93",2012-03-13,0.5905,1820
"94",2012-03-20,0.967,3890
"95",2012-03-21,0.705,12800
"96",2012-03-22,1.052,13300
"97",2012-03-29,1.409,988
"98",2012-04-12,0.729,215
"99",2012-04-19,0.705,188
"100",2012-04-26,0.605,122
"101",2012-05-02,0.67,122
"102",2012-05-10,0.403,61
"103",2012-05-16,0.217,48
"104",2012-05-24,0.0525,32
"105",2012-06-01,0.004,26
"106",2012-06-05,0.021,27
"107",2012-06-14,0.023,25
"108",2012-06-21,0.899,15
"109",2012-06-28,0.103,9
"110",2012-07-12,0.004,11
"111",2012-07-19,0.004,6.1
"112",2012-08-02,0.008,4.3
"113",2012-08-17,0.004,5.3
"114",2012-08-20,0.004,6.3
"115",2012-08-29,0.0645,13
"116",2012-09-05,0.069,10
"117",2012-09-11,0.004,51
"118",2012-09-25,0.018,16
"119",2012-10-01,0.004,17
"120",2012-10-09,0.004,16
"121",2012-10-15,2.115,164
"122",2012-10-24,0.417,40
"123",2012-10-31,0.058,28
"124",2012-11-07,0.146,22
"125",2012-11-14,0.379,26
"126",2012-11-28,0.004,23
"127",2012-12-05,0.189,45
"128",2012-12-12,0.324,45
"129",2013-01-10,0.697,71
"130",2013-01-15,1.212,188
"131",2013-01-23,1.074,86
"132",2013-01-31,2.142,2430
"133",2013-02-06,2.726,251
"134",2013-02-11,2.559,566
"135",2013-02-20,1.721,297
"136",2013-02-27,1.585,1620
"137",2013-03-06,1.703,338
"138",2013-03-11,1.521,2510
"139",2013-03-19,1.523,396
"140",2013-03-29,1.062,416
"141",2013-04-03,0.932,710
"142",2013-04-12,0.852,899
"143",2013-04-19,0.926,3080
"144",2013-04-24,1.095,651
"145",2013-04-27,0.985,2870
"146",2013-05-10,0.861,4280
"147",2013-05-22,0.814,1920
"148",2013-05-22,1.006,1920
"149",2013-05-30,0.769,287
"150",2013-06-06,0.626,514
"151",2013-06-12,0.518,192
"152",2013-06-25,0.193,59
"153",2013-07-08,0.063,24
"154",2013-07-19,0.0495,15
"155",2013-07-31,0.283,76
"156",2013-08-07,0.746,195
"157",2013-08-09,1.156,2570
"158",2013-08-14,1.202,2250
"159",2013-08-20,1.003,287
"160",2013-08-28,0.432,91
"161",2013-09-04,0.237,53
"162",2013-09-11,0.132,35
"163",2013-09-18,0.134,39
