"","Dates","Flow","Conc","lnQ","lnC","Reg_Residuals","Special_Residuals","Reg_Pvalue","Special_Span","Special_Pvalue","Reg_Perc_Change_yr","Special_Perc_Change_yr"
"1",2009-07-09,78,6.216,4.35670882668959,1.82712661306535,-0.372705915329507,-0.377162565232994,6.11860336109813e-10,0.55,5.89831720033832e-10,5.894838367837,5.90685028249993
"2",2009-07-15,152,8.204,5.02388052084628,2.10462184021013,0.0148338498013567,0.0190074711504797,NA,NA,NA,NA,NA
"3",2009-07-22,310,6.043,5.73657229747919,1.79890057737942,-0.151830859398176,-0.156624415660381,NA,NA,NA,NA,NA
"4",2009-07-29,97,5.884,4.57471097850338,1.77223680273919,-0.36308626012646,-0.371674169546362,NA,NA,NA,NA,NA
"5",2009-08-05,75,5.54,4.31748811353631,1.71199450075919,-0.500401070440373,-0.503823078871412,NA,NA,NA,NA,NA
"6",2009-08-12,50,5.806,3.91202300542815,1.75889186560244,-0.567766335438265,-0.562250236285682,NA,NA,NA,NA,NA
"7",2009-08-19,41,6.38,3.71357206670431,1.8531680973567,-0.526394911799506,-0.519898660897222,NA,NA,NA,NA,NA
"8",2009-08-26,44,6.792,3.78418963391826,1.91574544900905,-0.445672332966618,-0.438625883361584,NA,NA,NA,NA,NA
"9",2009-09-02,30,7.784,3.40119738166216,2.0520703448837,-0.413201150846566,-0.411314576262824,NA,NA,NA,NA,NA
"10",2009-09-02,30,7.851,3.40119738166216,2.06064091221612,-0.404630583514146,-0.402744008930404,NA,NA,NA,NA,NA
"11",2009-09-09,139,6.258,4.93447393313069,1.83386064524669,-0.265391322583934,-0.263402578409596,NA,NA,NA,NA,NA
"12",2009-09-16,449,6.615,6.10702288774225,1.88933979756692,-0.0122792180879427,-0.0136139316775354,NA,NA,NA,NA,NA
"13",2009-09-17,1470,6.2,7.29301767977278,1.82454929205105,0.0257689533615815,0.02832398074781,NA,NA,NA,NA,NA
"14",2009-09-23,3530,4.538,8.16905314992734,1.51248638635765,-0.152347770800693,-0.150020083748931,NA,NA,NA,NA,NA
"15",2009-09-30,302,6.34,5.71042701737487,1.84687876844913,-0.109058666528041,-0.113845564862187,NA,NA,NA,NA,NA
"16",2009-10-07,187,6.898,5.23110861685459,1.93123151451465,-0.137609911512981,-0.130272718210368,NA,NA,NA,NA,NA
"17",2009-10-09,24500,2.84,10.1064283965328,1.04380405217311,-0.0403551075420785,-0.0461825105714395,NA,NA,NA,NA,NA
"18",2009-10-14,4430,4.925,8.39615486303918,1.59432427462405,-0.0230605842402873,-0.0210061171981524,NA,NA,NA,NA,NA
"19",2009-10-21,687,6.029,6.53233429222235,1.79658115950727,-0.0642833488171499,-0.0615552531430783,NA,NA,NA,NA,NA
"20",2009-10-28,808,5.887,6.69456205852109,1.77274653004612,-0.0747253614072962,-0.0719881810585539,NA,NA,NA,NA,NA
"21",2009-10-30,9400,3.506,9.14846496825809,1.25447578649904,-0.165096020634969,-0.165165649877689,NA,NA,NA,NA,NA
"22",2009-11-04,896,5.429,6.79794041297493,1.69175495492331,-0.149691315683454,-0.147935178471865,NA,NA,NA,NA,NA
"23",2009-11-11,407,5.795,6.00881318544259,1.75699547679172,-0.157036834217774,-0.15883166721179,NA,NA,NA,NA,NA
"24",2009-11-18,560,5.756,6.32793678372919,1.75024278902512,-0.127241317644218,-0.127949793619514,NA,NA,NA,NA,NA
"25",2009-11-24,327,6.131,5.78996017089725,1.81335786878055,-0.128585090790833,-0.133291433266396,NA,NA,NA,NA,NA
"26",2009-12-02,229,6.226,5.43372200355424,1.82873407201942,-0.191342189583468,-0.191693121900335,NA,NA,NA,NA,NA
"27",2009-12-02,229,6.184,5.43372200355424,1.82196531128512,-0.198110950317768,-0.198461882634636,NA,NA,NA,NA,NA
"28",2009-12-09,210,6.598,5.34710753071747,1.88676657280639,-0.15633672936849,-0.152367030315392,NA,NA,NA,NA,NA
"29",2009-12-16,179,7.065,5.18738580584075,1.95515301613649,-0.11932880721236,-0.112211032377977,NA,NA,NA,NA,NA
"30",2009-12-22,156,6.947,5.04985600724954,1.93830991171074,-0.148845403488452,-0.144121997804946,NA,NA,NA,NA,NA
"31",2009-12-31,471,6.058,6.15485809401642,1.80137971260505,-0.0946525552508981,-0.0959149606139351,NA,NA,NA,NA,NA
"32",2009-12-31,471,5.945,6.15485809401642,1.78255053014275,-0.113481737713198,-0.114744143076235,NA,NA,NA,NA,NA
"33",2010-01-06,335,6.401,5.81413053182507,1.85645422815987,-0.0819545654914731,-0.0864796436856805,NA,NA,NA,NA,NA
"34",2010-01-13,256,6.82,5.54517744447956,1.91985947185537,-0.0757625626257818,-0.0794266669270456,NA,NA,NA,NA,NA
