"","Date","concentrations.SRP","Flow"
"1",2009-07-09,0.068,78
"2",2009-07-15,0.115,152
"3",2009-07-22,0.116,310
"4",2009-07-29,0.039,97
"5",2009-08-05,0.093,75
"6",2009-08-12,0.206,50
"7",2009-08-19,0.166,41
"8",2009-08-26,0.216,44
"9",2009-09-02,0.283,30
"10",2009-09-02,0.273,30
"11",2009-09-09,0.098,139
"12",2009-09-16,0.166,449
"13",2009-09-17,0.094,1470
"14",2009-09-23,0.024,3530
"15",2009-09-30,0.064,302
"16",2009-10-07,0.06,187
"17",2009-10-09,0.103,24500
"18",2009-10-14,0.035,4430
"19",2009-10-21,0.022,687
"20",2009-10-28,0.039,808
"21",2009-10-30,0.049,9400
"22",2009-11-04,0.026,896
"23",2009-11-11,0.036,407
"24",2009-11-18,0.026,560
"25",2009-11-24,0.029,327
"26",2009-12-02,0.023,229
"27",2009-12-02,0.025,229
"28",2009-12-09,0.023,210
"29",2009-12-16,0.008,179
"30",2009-12-22,0.001,156
"31",2009-12-31,0.022,471
"32",2009-12-31,0.023,471
"33",2010-01-06,0.019,335
"34",2010-01-13,0.043,256
"35",2010-01-13,0.033,256
"36",2010-01-20,0.002,266
"37",2010-01-27,0.007,890
"38",2010-02-04,0.013,1080
"39",2010-02-11,0.023,899
"40",2010-02-17,0.028,651
"41",2010-02-25,0.036,835
"42",2010-03-03,0.019,545
"43",2010-03-10,0.041,454
"44",2010-03-10,0.042,454
"45",2010-03-17,0.06,453
"46",2010-03-23,0.037,4360
"47",2010-03-31,0.019,1110
"48",2010-04-07,0.022,963
"49",2010-04-14,0.005,478
"50",2010-04-21,0.031,379
"51",2010-04-28,0.043,393
"52",2010-05-05,0.05,370
"53",2010-05-12,0.048,654
"54",2010-05-14,0.125,1750
"55",2010-05-15,0.057,4560
"56",2010-05-17,0.018,3490
"57",2010-05-20,0.187,6590
"58",2010-05-26,0.044,825
"59",2010-06-02,0.019,317
"60",2010-06-09,0.082,178
"61",2010-06-16,0.092,152
"62",2010-06-16,0.095,152
"63",2010-06-24,0.103,90
"64",2010-06-24,0.108,90
"65",2011-07-15,0.1735,37
"66",2011-07-21,0.134,23
"67",2011-07-29,0.088,19
"68",2011-08-03,0.082,16
"69",2011-08-11,0.683,127
"70",2011-08-18,0.154,102
"71",2011-09-01,0.146,23
"72",2011-09-08,0.141,15
"73",2011-09-16,0.13,14
"74",2011-09-22,0.087,121
"75",2011-09-26,0.097,121
"76",2011-10-06,0.218,41
"77",2011-10-13,0.21,224
"78",2011-10-26,0.141,57
"79",2011-11-03,0.194,62
"80",2011-11-09,0.035,4380
"81",2011-11-17,0.122,209
"82",2011-12-01,0.042,307
"83",2011-12-08,0.012,735
"84",2011-12-15,0.124,2750
"85",2012-01-05,0.017,218
"86",2012-01-12,0.008,267
"87",2012-01-19,0.004,175
"88",2012-01-26,0.038,7540
"89",2012-02-02,0.012,670
"90",2012-02-09,0.015,746
"91",2012-02-16,0.01,533
"92",2012-03-01,0.007,290
"93",2012-03-13,0.03,1820
"94",2012-03-20,0.109,3890
"95",2012-03-21,0.039,12800
"96",2012-03-22,0.027,13300
"97",2012-03-29,0.006,988
"98",2012-04-12,0.003,215
"99",2012-04-19,5e-04,188
"100",2012-04-26,0.002,122
"101",2012-05-02,0.0055,122
"102",2012-05-10,0.008,61
"103",2012-05-16,0.003,48
"104",2012-05-24,0.0045,32
"105",2012-06-01,0.008,26
"106",2012-06-05,0.01,27
"107",2012-06-14,0.011,25
"108",2012-06-21,0.043,15
"109",2012-06-28,0.012,9
"110",2012-07-12,0.006,11
"111",2012-07-19,0.013,6.1
"112",2012-08-02,0.02,4.3
"113",2012-08-17,0.016,5.3
"114",2012-08-20,0.017,6.3
"115",2012-08-29,0.013,13
"116",2012-09-05,0.016,10
"117",2012-09-11,0.023,51
"118",2012-09-25,0.014,16
"119",2012-10-01,0.014,17
"120",2012-10-09,0.019,16
"121",2012-10-15,0.043,164
"122",2012-10-24,0.005,40
"123",2012-10-31,0.01,28
"124",2012-11-07,0.009,22
"125",2012-11-14,0.01,26
"126",2012-11-28,0.002,23
"127",2012-12-05,0.0135,45
"128",2012-12-12,0.023,45
"129",2013-01-10,0.002,71
"130",2013-01-15,0.003,188
"131",2013-01-23,0.003,86
"132",2013-01-31,0.0155,2430
"133",2013-02-06,0.009,251
"134",2013-02-11,0.011,566
"135",2013-02-20,0.002,297
"136",2013-02-27,0.001,1620
"137",2013-03-06,0.002,338
"138",2013-03-11,0.01,2510
"139",2013-03-19,0.0085,396
"140",2013-03-29,0.006,416
"141",2013-04-03,0.009,710
"142",2013-04-12,0.006,899
"143",2013-04-19,0.032,3080
"144",2013-04-24,0.01,651
"145",2013-04-27,0.017,2870
"146",2013-05-10,0.074,4280
"147",2013-05-22,0.008,1920
"148",2013-05-22,0.01,1920
"149",2013-05-30,0.006,287
"150",2013-06-06,0.009,514
"151",2013-06-12,0.006,192
"152",2013-06-25,0.01,59
"153",2013-07-08,0.006,24
"154",2013-07-19,0.009,15
"155",2013-07-31,0.009,76
"156",2013-08-07,0.009,195
"157",2013-08-09,0.019,2570
"158",2013-08-14,0.02,2250
"159",2013-08-20,0.007,287
"160",2013-08-28,0.005,91
"161",2013-09-04,0.012,53
"162",2013-09-11,0.006,35
"163",2013-09-18,0.011,39
"164",2013-09-23,0.011,42
"165",2013-10-02,0.01,31
"166",2013-10-06,0.042,602
"167",2013-10-24,0.0065,61
"168",2013-10-30,0.004,60
"169",2013-11-06,0.003,110
"170",2013-11-13,0.006,131
"171",2013-11-22,0.0325,709
"172",2013-12-02,0.002,147
"173",2013-12-12,0.005,136
"174",2013-12-18,0.004,902
"175",2014-01-09,0.013,400
"176",2014-01-12,0.012,2080
"177",2014-01-22,0.008,365
"178",2014-01-28,0.012,233
"179",2014-02-06,0.007,173
"180",2014-02-12,0.007,142
"181",2014-02-21,0.005,187
"182",2014-02-25,0.003,156
"183",2014-03-07,0.006,241
"184",2014-03-11,0.002,842
"185",2014-03-17,0.021,7440
"186",2014-03-27,0.009,556
"187",2014-04-03,0.006,727
"188",2014-04-07,0.061,3330
"189",2014-04-14,0.01,972
"190",2014-04-22,0.005,476
"191",2014-04-28,0.003,376
"192",2014-05-13,0.003,326
"193",2014-05-14,0.005,649
"194",2014-05-20,0.003,428
"195",2014-05-28,0.004,176
"196",2014-06-02,0.004,308
"197",2014-06-10,0.015,1150
"198",2014-06-20,0.0085,143
"199",2014-07-01,0.011,256
"200",2014-07-09,0.007,85
"201",2014-07-23,0.008,62
"202",2014-07-29,0.0075,41
"203",2014-08-05,0.007,48
"204",2014-08-12,0.009,38
"205",2014-08-19,0.009,32
"206",2014-08-27,0.008,26
"207",2014-09-04,0.012,41
"208",2014-09-10,0.009,23
"209",2014-09-17,0.008,37
"210",2014-09-24,0.006,26
"211",2014-10-01,0.007,18
"212",2014-10-08,0.008,28
"213",2014-10-10,0.1025,636
"214",2014-10-13,0.05,1520
"215",2014-10-14,0.018,3110
"216",2014-10-22,0.008,173
"217",2014-10-29,0.008,79
"218",2014-11-06,0.01,161
"219",2014-11-12,0.006,134
"220",2014-11-19,0.011,82
"221",2014-12-05,0.0055,104
"222",2014-12-10,0.007,227
"223",2014-12-17,0.006,509
"224",2015-01-05,0.022,1690
"225",2015-01-07,0.007,764
"226",2015-01-14,0.007,308
"227",2015-01-21,0.003,195
"228",2015-01-28,0.005,140
"229",2015-02-04,0.002,138
"230",2015-02-11,0.005,108
"231",2015-02-18,0.001,96
"232",2015-02-25,0.007,486
"233",2015-03-05,0.004,2140
"234",2015-03-11,0.005,2280
"235",2015-03-14,0.023,5720
"236",2015-03-19,0.013,1950
"237",2015-03-26,0.072,7260
"238",2015-04-01,0.0115,1170
"239",2015-04-15,0.008,591
"240",2015-04-22,0.006,687
"241",2015-04-29,0.001,397
"242",2015-05-12,0.0175,6680
"243",2015-05-18,0.024,4080
"244",2015-06-01,0.019,2400
"245",2015-06-20,0.044,6920
