"","Date","concentrations.TN","Flow"
"1",2009-07-09,0.38,78
"2",2009-07-15,0.57,152
"3",2009-07-22,0.53,310
"4",2009-07-29,0.34,97
"5",2009-08-05,0.21,75
"6",2009-08-12,0.26,50
"7",2009-08-19,0.24,41
"8",2009-08-26,0.27,44
"9",2009-09-02,0.19,30
"10",2009-09-02,0.19,30
"11",2009-09-09,0.33,139
"12",2009-09-16,0.67,449
"13",2009-09-17,1.7,1470
"14",2009-09-23,1.12,3530
"15",2009-09-30,1.35,302
"16",2009-10-07,0.81,187
"17",2009-10-09,1.05,24500
"18",2009-10-14,1.33,4430
"19",2009-10-21,1.47,687
"20",2009-10-28,1,808
"21",2009-10-30,1.04,9400
"22",2009-11-04,1.16,896
"23",2009-11-11,0.96,407
"24",2009-11-18,0.92,560
"25",2009-11-24,0.67,327
"26",2009-12-02,0.59,229
"27",2009-12-02,0.63,229
"28",2009-12-09,0.66,210
"29",2009-12-16,0.52,179
"30",2009-12-22,0.48,156
"31",2009-12-31,0.78,471
"32",2009-12-31,0.77,471
"33",2010-01-06,0.73,335
"34",2010-01-13,0.7,256
"35",2010-01-13,0.71,256
"36",2010-01-20,0.6,266
"37",2010-01-27,1.22,890
"38",2010-02-04,1.11,1080
"39",2010-02-11,1.3,899
"40",2010-02-17,1.11,651
"41",2010-02-25,1.04,835
"42",2010-03-03,0.97,545
"43",2010-03-10,0.86,454
"44",2010-03-10,0.83,454
"45",2010-03-17,0.83,453
"46",2010-03-23,1.37,4360
"47",2010-03-31,1.26,1110
"48",2010-04-07,0.9,963
"49",2010-04-14,0.65,478
"50",2010-04-21,0.59,379
"51",2010-04-28,0.6,393
"52",2010-05-05,0.53,370
"53",2010-05-12,0.87,654
"54",2010-05-14,1.09,1750
"55",2010-05-15,1.01,4560
"56",2010-05-17,0.85,3490
"57",2010-05-20,1.69,6590
"58",2010-05-26,1.13,825
"59",2010-06-02,0.57,317
"60",2010-06-09,0.66,178
"61",2010-06-16,0.53,152
"62",2010-06-16,0.55,152
"63",2010-06-24,0.52,90
"64",2010-06-24,0.53,90
"65",2011-07-15,0.16,37
"66",2011-07-21,0.16,23
"67",2011-07-29,0.2,19
"68",2011-08-03,0.14,16
"69",2011-08-11,0.74,127
"70",2011-08-18,0.22,102
"71",2011-09-01,0.25,23
"72",2011-09-08,0.18,15
"73",2011-09-16,0.19,14
"74",2011-09-22,0.99,121
"75",2011-09-26,1.5,121
"76",2011-10-06,0.42,41
"77",2011-10-13,1.98,224
"78",2011-10-26,0.64,57
"79",2011-11-03,0.51,62
"80",2011-11-09,3.45,4380
"81",2011-11-17,2.82,209
"82",2011-12-01,2.65,307
"83",2011-12-08,2.26,735
"84",2011-12-15,2.59,2750
"85",2012-01-05,1.71,218
"86",2012-01-12,1.62,267
"87",2012-01-19,1.18,175
"88",2012-01-26,1.685,7540
"89",2012-02-02,1.84,670
"90",2012-02-09,1.53,746
"91",2012-02-16,1.54,533
"92",2012-03-01,1.08,290
"93",2012-03-13,0.89,1820
"94",2012-03-20,1.56,3890
"95",2012-03-21,1.53,12800
"96",2012-03-22,1.37,13300
"97",2012-03-29,1.48,988
"98",2012-04-12,0.9,215
"99",2012-04-19,0.915,188
"100",2012-04-26,0.82,122
"101",2012-05-02,0.89,122
"102",2012-05-10,0.54,61
"103",2012-05-16,0.69,48
"104",2012-05-24,0.23,32
"105",2012-06-01,0.23,26
"106",2012-06-05,0.3,27
"107",2012-06-14,0.26,25
"108",2012-06-21,0.84,15
"109",2012-06-28,0.32,9
"110",2012-07-12,0.32,11
"111",2012-07-19,0.26,6.1
"112",2012-08-02,0.27,4.3
"113",2012-08-17,0.32,5.3
"114",2012-08-20,0.38,6.3
"115",2012-08-29,0.325,13
"116",2012-09-05,0.34,10
"117",2012-09-11,0.21,51
"118",2012-09-25,0.18,16
"119",2012-10-01,0.21,17
"120",2012-10-09,0.185,16
"121",2012-10-15,2.51,164
"122",2012-10-24,0.71,40
"123",2012-10-31,0.2,28
"124",2012-11-07,0.35,22
"125",2012-11-14,0.6,26
"126",2012-11-28,0.14,23
"127",2012-12-05,0.46,45
"128",2012-12-12,0.45,45
"129",2013-01-10,0.89,71
"130",2013-01-15,1.47,188
"131",2013-01-23,1.19,86
"132",2013-01-31,2.505,2430
"133",2013-02-06,2.75,251
"134",2013-02-11,2.53,566
"135",2013-02-20,1.65,297
"136",2013-02-27,1.57,1620
"137",2013-03-06,1.78,338
"138",2013-03-11,1.99,2510
"139",2013-03-19,1.545,396
"140",2013-03-29,1.07,416
"141",2013-04-03,0.95,710
"142",2013-04-12,0.98,899
"143",2013-04-19,1.47,3080
"144",2013-04-24,1.28,651
"145",2013-04-27,1.3,2870
"146",2013-05-10,1.61,4280
"147",2013-05-22,1.16,1920
"148",2013-05-22,1.13,1920
"149",2013-05-30,0.93,287
"150",2013-06-06,0.75,514
"151",2013-06-12,0.58,192
"152",2013-06-25,0.36,59
"153",2013-07-08,0.24,24
"154",2013-07-19,0.25,15
"155",2013-07-31,0.47,76
"156",2013-08-07,1.01,195
"157",2013-08-09,1.83,2570
"158",2013-08-14,1.57,2250
"159",2013-08-20,1.24,287
"160",2013-08-28,0.56,91
"161",2013-09-04,0.41,53
"162",2013-09-11,0.31,35
"163",2013-09-18,0.35,39
"164",2013-09-23,0.28,42
"165",2013-10-02,0.32,31
"166",2013-10-06,1.17,602
"167",2013-10-24,0.53,61
"168",2013-10-30,0.48,60
"169",2013-11-06,0.64,110
"170",2013-11-13,0.62,131
"171",2013-11-22,1.175,709
"172",2013-12-02,1.26,147
"173",2013-12-12,1.34,136
"174",2013-12-18,1.76,902
"175",2014-01-09,1.87,400
"176",2014-01-12,1.56,2080
"177",2014-01-22,1.72,365
"178",2014-01-28,1.66,233
"179",2014-02-06,1.51,173
"180",2014-02-12,1.52,142
"181",2014-02-21,1.14,187
"182",2014-02-25,1.01,156
"183",2014-03-07,1.165,241
"184",2014-03-11,1.16,842
"185",2014-03-17,1.54,7440
"186",2014-03-27,1.55,556
"187",2014-04-03,0.89,727
"188",2014-04-07,2.01,3330
"189",2014-04-14,1.14,972
"190",2014-04-22,0.72,476
"191",2014-04-28,0.77,376
"192",2014-05-13,0.71,326
"193",2014-05-14,0.75,649
"194",2014-05-20,0.38,428
"195",2014-05-28,0.5,176
"196",2014-06-02,0.55,308
"197",2014-06-10,0.83,1150
"198",2014-06-20,0.44,143
"199",2014-07-01,0.32,256
"200",2014-07-09,0.33,85
"201",2014-07-23,0.25,62
"202",2014-07-29,0.225,41
"203",2014-08-05,0.24,48
"204",2014-08-12,0.17,38
"205",2014-08-19,0.26,32
"206",2014-08-27,0.2,26
"207",2014-09-04,0.42,41
"208",2014-09-10,0.32,23
"209",2014-09-17,0.23,37
"210",2014-09-24,0.19,26
"211",2014-10-01,0.24,18
"212",2014-10-08,0.22,28
"213",2014-10-10,1.42,636
"214",2014-10-13,1.23,1520
"215",2014-10-14,1.23,3110
"216",2014-10-22,0.79,173
"217",2014-10-29,0.55,79
"218",2014-11-06,0.62,161
"219",2014-11-12,0.5,134
"220",2014-11-19,0.45,82
"221",2014-12-05,0.475,104
"222",2014-12-10,0.72,227
"223",2014-12-17,0.74,509
"224",2015-01-05,1.3,1690
"225",2015-01-07,1.35,764
"226",2015-01-14,1.36,308
"227",2015-01-21,1.11,195
"228",2015-01-28,0.92,140
"229",2015-02-04,0.88,138
"230",2015-02-11,0.91,108
"231",2015-02-18,0.94,96
"232",2015-02-25,1.12,486
"233",2015-03-05,1.12,2140
"234",2015-03-11,1.07,2280
"235",2015-03-14,1.74,5720
"236",2015-03-19,1.42,1950
"237",2015-03-26,1.77,7260
"238",2015-04-01,1.385,1170
"239",2015-04-15,0.95,591
"240",2015-04-22,0.49,687
"241",2015-04-29,0.59,397
"242",2015-05-12,1.01,6680
"243",2015-05-18,0.97,4080
"244",2015-06-01,1.08,2400
"245",2015-06-20,0.96,6920
