"","Dates","Flow","Conc","lnQ","lnC","Reg_Residuals","Special_Residuals","Reg_Pvalue","Special_Span","Special_Pvalue","Reg_Perc_Change_yr","Special_Perc_Change_yr"
"1",2009-07-09,78,0.092,4.35670882668959,-2.3859667019331,0.946102033155024,0.989055469565538,1.05720719418094e-15,0.7,3.00577396411837e-15,-23.8602487415918,-23.5796318166948
"2",2009-07-15,152,0.15,5.02388052084628,-1.89711998488588,1.77748359175025,1.77811471648006,NA,NA,NA,NA,NA
"3",2009-07-22,310,0.144,5.73657229747919,-1.93794197940614,1.78021155313566,1.77269606339692,NA,NA,NA,NA,NA
"4",2009-07-29,97,0.06,4.57471097850338,-2.81341071676004,0.660648734424841,0.678008272320933,NA,NA,NA,NA,NA
"5",2009-08-05,75,0.12,4.31748811353631,-2.12026353620009,1.18589439691505,1.23543867478156,NA,NA,NA,NA,NA
"6",2009-08-12,50,0.254,3.91202300542815,-1.3704210119636,1.77041756145339,1.83921053064002,NA,NA,NA,NA,NA
"7",2009-08-19,41,0.316,3.71357206670431,-1.15201306539522,1.94102425539173,1.99539338874509,NA,NA,NA,NA,NA
"8",2009-08-26,44,0.238,3.78418963391826,-1.43548460531066,1.67418479380114,1.73335933549821,NA,NA,NA,NA,NA
"9",2009-09-02,30,0.31,3.40119738166216,-1.17118298150295,1.86293457899118,1.9013856595484,NA,NA,NA,NA,NA
"10",2009-09-02,30,0.308,3.40119738166216,-1.17765549600856,1.85646206448557,1.89491314504279,NA,NA,NA,NA,NA
"11",2009-09-09,139,0.112,4.93447393313069,-2.18925640768704,1.45354814738944,1.46368097454452,NA,NA,NA,NA,NA
"12",2009-09-16,449,0.206,6.10702288774225,-1.57987911019256,1.99272067530335,2.04921449795657,NA,NA,NA,NA,NA
"13",2009-09-17,1470,0.292,7.29301767977278,-1.23100147671386,1.6152172260471,1.59983356267455,NA,NA,NA,NA,NA
"14",2009-09-23,3530,0.134,8.16905314992734,-2.00991547903123,-0.0881690782144628,-0.00151343306787943,NA,NA,NA,NA,NA
"15",2009-09-30,302,0.092,5.71042701737487,-2.3859667019331,1.33876829270376,1.32736983014131,NA,NA,NA,NA,NA
"16",2009-10-07,187,0.072,5.23110861685459,-2.63108915996608,1.11399580670887,1.0778417683888,NA,NA,NA,NA,NA
"17",2009-10-09,24500,1.325,10.1064283965328,0.281412459438185,0.566126467741716,0.263240814536632,NA,NA,NA,NA,NA
"18",2009-10-14,4430,0.12,8.39615486303918,-2.12026353620009,-0.413995213600223,-0.331561385214981,NA,NA,NA,NA,NA
"19",2009-10-21,687,0.028,6.53233429222235,-3.57555076880693,-0.13592361633558,-0.145138612026379,NA,NA,NA,NA,NA
"20",2009-10-28,808,0.038,6.69456205852109,-3.27016911925575,0.078155377310023,0.0595686597941043,NA,NA,NA,NA,NA
"21",2009-10-30,9400,0.68,9.14846496825809,-0.385662480811985,0.664697084688738,0.641907834058847,NA,NA,NA,NA,NA
"22",2009-11-04,896,0.03,6.79794041297493,-3.50655789731998,-0.224524782816417,-0.250467908335971,NA,NA,NA,NA,NA
"23",2009-11-11,407,0.048,6.00881318544259,-3.03655426807425,0.560351569855095,0.622755617731285,NA,NA,NA,NA,NA
"24",2009-11-18,560,0.04,6.32793678372919,-3.2188758248682,0.301408856855236,0.319374608054339,NA,NA,NA,NA,NA
"25",2009-11-24,327,0.042,5.78996017089725,-3.17008566069877,0.530635417416864,0.533910461540007,NA,NA,NA,NA,NA
"26",2009-12-02,229,0.036,5.43372200355424,-3.32423634052603,0.454245049068922,0.397979285531985,NA,NA,NA,NA,NA
"27",2009-12-02,229,0.034,5.43372200355424,-3.38139475436598,0.397086635228971,0.340820871692035,NA,NA,NA,NA,NA
"28",2009-12-09,210,0.024,5.34710753071747,-3.72970144863419,0.0381826673873906,-0.0110838014189261,NA,NA,NA,NA,NA
"29",2009-12-16,179,0.006,5.18738580584075,-5.11599580975408,-1.3809920174894,-1.41232027175969,NA,NA,NA,NA,NA
"30",2009-12-22,156,0.012,5.04985600724954,-4.42284862919414,-0.737962147187008,-0.742109720363334,NA,NA,NA,NA,NA
"31",2009-12-31,471,0.032,6.15485809401642,-3.44201937618241,0.121974034121306,0.169974456101689,NA,NA,NA,NA,NA
"32",2009-12-31,471,0.03,6.15485809401642,-3.50655789731998,0.0574355129837363,0.105435934964119,NA,NA,NA,NA,NA
"33",2010-01-06,335,0.02,5.81413053182507,-3.91202300542815,-0.221701996485149,-0.211550786215726,NA,NA,NA,NA,NA
"34",2010-01-13,256,0.038,5.54517744447956,-3.27016911925575,0.498373991560743,0.452481225611951,NA,NA,NA,NA,NA
"35",2010-01-13,256,0.038,5.54517744447956,-3.27016911925575,0.498373991560743,0.452481225611951,NA,NA,NA,NA,NA
"36",2010-01-20,266,0.016,5.5834963087817,-4.13516655674236,-0.375380904525792,-0.41355152440618,NA,NA,NA,NA,NA
"37",2010-01-27,890,0.012,6.79122146272619,-4.42284862919414,-1.13631917263387,-1.16176309888935,NA,NA,NA,NA,NA
"38",2010-02-04,1080,0.034,6.98471632011827,-3.38139475436598,-0.236568980790013,-0.274193077050017,NA,NA,NA,NA,NA
"39",2010-02-11,899,0.032,6.80128303447162,-3.44201937618241,-0.162233484366648,-0.188424895779206,NA,NA,NA,NA,NA
"40",2010-02-17,651,0.034,6.47850964220857,-3.38139475436598,0.0818785529476957,0.0793382021066407,NA,NA,NA,NA,NA
"41",2010-02-25,835,0.056,6.72743172485086,-2.88240358824699,0.445488573954645,0.4246855657048,NA,NA,NA,NA,NA
"42",2010-03-03,545,0.016,6.30078579466324,-4.13516655674236,-0.604929088477004,-0.584192689900652,NA,NA,NA,NA,NA
"43",2010-03-10,454,0.048,6.11809719804135,-3.03655426807425,0.533981723241623,0.588715334228326,NA,NA,NA,NA,NA
"44",2010-03-10,454,0.052,6.11809719804135,-2.95651156040071,0.614024430915163,0.668758041901865,NA,NA,NA,NA,NA
"45",2010-03-17,453,0.08,6.11589212548303,-2.52572864430826,1.04521301693519,1.10030892703802,NA,NA,NA,NA,NA
"46",2010-03-23,4360,0.194,8.38022733634308,-1.63989711991881,0.0807258415128425,0.164363677876932,NA,NA,NA,NA,NA
"47",2010-03-31,1110,0.056,7.01211529430638,-2.88240358824699,0.23988966144491,0.201528251089996,NA,NA,NA,NA,NA
"48",2010-04-07,963,0.044,6.87005341179813,-3.12356564506388,0.108397326614161,0.0772324118781169,NA,NA,NA,NA,NA
"49",2010-04-14,478,0.034,6.16961073249146,-3.38139475436598,0.179991506301356,0.225024423603128,NA,NA,NA,NA,NA
"50",2010-04-21,379,0.044,5.93753620508243,-3.12356564506388,0.504233549402203,0.553567960216189,NA,NA,NA,NA,NA
"51",2010-04-28,393,0.042,5.97380961186926,-3.17008566069877,0.44068652463555,0.498392781890307,NA,NA,NA,NA,NA
"52",2010-05-05,370,0.075,5.91350300563827,-2.59026716544583,1.04973927816748,1.09213899581833,NA,NA,NA,NA,NA
"53",2010-05-12,654,0.086,6.4831073514572,-2.45340798272863,1.00796607049993,1.00478524879098,NA,NA,NA,NA,NA
"54",2010-05-14,1750,0.428,7.46737106691756,-0.84863208340034,1.804432566524,1.81765306513084,NA,NA,NA,NA,NA
"55",2010-05-15,4560,0.282,8.42507790250843,-1.26584820804402,0.41440064270862,0.494542562779597,NA,NA,NA,NA,NA
"56",2010-05-17,3490,0.086,8.15765701519647,-2.45340798272863,-0.520229156672302,-0.434102176148336,NA,NA,NA,NA,NA
"57",2010-05-20,6590,0.964,8.79330862749655,-0.0366639843715915,1.31780437821619,1.35667673781511,NA,NA,NA,NA,NA
"58",2010-05-26,825,0.066,6.71538338633468,-2.71810053695571,0.617347441700988,0.597376749039522,NA,NA,NA,NA,NA
"59",2010-06-02,317,0.04,5.75890177387728,-3.2188758248682,0.493070734438121,0.489172060115958,NA,NA,NA,NA,NA
"60",2010-06-09,178,0.102,5.18178355029209,-2.28278246569787,1.45062950962416,1.42015202513477,NA,NA,NA,NA,NA
"61",2010-06-16,152,0.11,5.02388052084628,-2.20727491318972,1.46732866344641,1.46795978817622,NA,NA,NA,NA,NA
"62",2010-06-16,152,0.12,5.02388052084628,-2.12026353620009,1.55434004043604,1.55497116516585,NA,NA,NA,NA,NA
"63",2010-06-24,90,0.152,4.49980967033027,-1.88387475813586,1.54445671691828,1.5668050665366,NA,NA,NA,NA,NA
"64",2010-06-24,90,0.152,4.49980967033027,-1.88387475813586,1.54445671691828,1.5668050665366,NA,NA,NA,NA,NA
"65",2011-07-15,37,0.209,3.61091791264422,-1.56542102701733,1.50485206625582,1.55314466410914,NA,NA,NA,NA,NA
"66",2011-07-21,23,0.158,3.13549421592915,-1.84516024595517,1.16973542710984,1.19747448721297,NA,NA,NA,NA,NA
