Date,Flow
2009-07-01,115
2009-07-02,104
2009-07-03,96
2009-07-04,92
2009-07-05,92
2009-07-06,87
2009-07-07,83
2009-07-08,82
2009-07-09,78
2009-07-10,72
2009-07-11,65
2009-07-12,61
2009-07-13,76
2009-07-14,122
2009-07-15,152
2009-07-16,165
2009-07-17,134
2009-07-18,111
2009-07-19,94
2009-07-20,83
2009-07-21,142
2009-07-22,310
2009-07-23,255
2009-07-24,191
2009-07-25,144
2009-07-26,120
2009-07-27,100
2009-07-28,93
2009-07-29,97
2009-07-30,95
2009-07-31,86
2009-08-01,81
2009-08-02,91
2009-08-03,107
2009-08-04,87
2009-08-05,75
2009-08-06,70
2009-08-07,64
2009-08-08,59
2009-08-09,56
2009-08-10,51
2009-08-11,53
2009-08-12,50
2009-08-13,51
2009-08-14,47
2009-08-15,44
2009-08-16,41
2009-08-17,39
2009-08-18,39
2009-08-19,41
2009-08-20,102
2009-08-21,82
2009-08-22,63
2009-08-23,51
2009-08-24,44
2009-08-25,45
2009-08-26,44
2009-08-27,40
2009-08-28,37
2009-08-29,35
2009-08-30,33
2009-08-31,30
2009-09-01,29
2009-09-02,30
2009-09-03,34
2009-09-04,32
2009-09-05,65
2009-09-06,63
2009-09-07,79
2009-09-08,133
2009-09-09,139
2009-09-10,153
2009-09-11,124
2009-09-12,95
2009-09-13,77
2009-09-14,92
2009-09-15,114
2009-09-16,449
2009-09-17,1470
2009-09-18,992
2009-09-19,691
2009-09-20,574
2009-09-21,619
2009-09-22,4670
2009-09-23,3530
2009-09-24,1420
2009-09-25,920
2009-09-26,699
2009-09-27,564
2009-09-28,453
2009-09-29,369
2009-09-30,302
2009-10-01,253
2009-10-02,222
2009-10-03,198
2009-10-04,177
2009-10-05,162
2009-10-06,155
2009-10-07,187
2009-10-08,336
2009-10-09,24500
2009-10-10,11500
2009-10-11,3840
2009-10-12,2360
2009-10-13,2710
2009-10-14,4430
2009-10-15,2860
2009-10-16,1870
2009-10-17,1330
2009-10-18,1060
2009-10-19,897
2009-10-20,781
2009-10-21,687
2009-10-22,676
2009-10-23,785
2009-10-24,910
2009-10-25,782
2009-10-26,698
2009-10-27,706
2009-10-28,808
2009-10-29,1330
2009-10-30,9400
2009-10-31,4560
2009-11-01,2430
2009-11-02,1480
2009-11-03,1090
2009-11-04,896
2009-11-05,771
2009-11-06,679
2009-11-07,608
2009-11-08,551
2009-11-09,499
2009-11-10,450
2009-11-11,407
2009-11-12,372
2009-11-13,347
2009-11-14,323
2009-11-15,307
2009-11-16,411
2009-11-17,526
2009-11-18,560
2009-11-19,493
2009-11-20,446
2009-11-21,401
2009-11-22,370
2009-11-23,345
2009-11-24,327
2009-11-25,314
2009-11-26,307
2009-11-27,293
2009-11-28,272
2009-11-29,259
2009-11-30,254
2009-12-01,241
2009-12-02,229
2009-12-03,218
2009-12-04,207
2009-12-05,194
2009-12-06,178
2009-12-07,170
2009-12-08,176
2009-12-09,210
2009-12-10,226
2009-12-11,226
2009-12-12,215
2009-12-13,203
2009-12-14,197
2009-12-15,187
2009-12-16,179
2009-12-17,174
2009-12-18,167
2009-12-19,163
2009-12-20,160
2009-12-21,159
2009-12-22,156
2009-12-23,157
2009-12-24,178
2009-12-25,525
2009-12-26,922
2009-12-27,698
2009-12-28,594
2009-12-29,532
2009-12-30,493
2009-12-31,471
2010-01-01,455
2010-01-02,422
2010-01-03,399
2010-01-04,380
2010-01-05,360
2010-01-06,335
2010-01-07,322
2010-01-08,309
2010-01-09,294
2010-01-10,285
2010-01-11,271
2010-01-12,255
2010-01-13,256
2010-01-14,252
2010-01-15,258
2010-01-16,270
2010-01-17,272
2010-01-18,272
2010-01-19,268
2010-01-20,266
2010-01-21,421
2010-01-22,572
2010-01-23,641
2010-01-24,1580
2010-01-25,2040
2010-01-26,1210
2010-01-27,890
2010-01-28,746
2010-01-29,716
2010-01-30,699
2010-01-31,641
2010-02-01,616
2010-02-02,663
2010-02-03,832
2010-02-04,1080
2010-02-05,2520
2010-02-06,3040
2010-02-07,2180
2010-02-08,1670
2010-02-09,1350
2010-02-10,1060
2010-02-11,899
2010-02-12,825
2010-02-13,768
2010-02-14,750
2010-02-15,758
2010-02-16,706
2010-02-17,651
2010-02-18,614
2010-02-19,582
2010-02-20,562
2010-02-21,633
2010-02-22,1190
2010-02-23,1220
2010-02-24,965
2010-02-25,835
2010-02-26,757
2010-02-27,698
2010-02-28,642
2010-03-01,602
2010-03-02,574
2010-03-03,545
2010-03-04,523
2010-03-05,501
2010-03-06,484
2010-03-07,467
2010-03-08,453
2010-03-09,452
2010-03-10,454
2010-03-11,481
2010-03-12,487
2010-03-13,494
2010-03-14,486
2010-03-15,478
2010-03-16,465
2010-03-17,453
2010-03-18,453
2010-03-19,448
2010-03-20,485
2010-03-21,919
2010-03-22,2160
2010-03-23,4360
2010-03-24,4720
2010-03-25,4260
2010-03-26,4560
2010-03-27,2930
2010-03-28,2260
2010-03-29,1690
2010-03-30,1310
2010-03-31,1110
2010-04-01,985
2010-04-02,908
2010-04-03,1760
2010-04-04,2230
2010-04-05,1440
2010-04-06,1130
2010-04-07,963
2010-04-08,844
2010-04-09,740
2010-04-10,664
2010-04-11,604
2010-04-12,557
2010-04-13,518
2010-04-14,478
2010-04-15,443
2010-04-16,425
2010-04-17,438
2010-04-18,499
2010-04-19,451
2010-04-20,410
2010-04-21,379
2010-04-22,362
2010-04-23,371
2010-04-24,535
2010-04-25,633
2010-04-26,522
2010-04-27,451
2010-04-28,393
2010-04-29,347
2010-04-30,320
2010-05-01,381
2010-05-02,529
2010-05-03,495
2010-05-04,425
2010-05-05,370
2010-05-06,327
2010-05-07,287
2010-05-08,266
2010-05-09,240
2010-05-10,411
2010-05-11,922
2010-05-12,654
2010-05-13,552
2010-05-14,1750
2010-05-15,4560
2010-05-16,5840
2010-05-17,3490
2010-05-18,2190
2010-05-19,1450
2010-05-20,6590
2010-05-21,6640
2010-05-22,2660
2010-05-23,1510
2010-05-24,1040
2010-05-25,838
2010-05-26,825
2010-05-27,722
2010-05-28,553
2010-05-29,452
2010-05-30,423
2010-05-31,413
2010-06-01,351
2010-06-02,317
2010-06-03,310
2010-06-04,277
2010-06-05,247
2010-06-06,221
2010-06-07,202
2010-06-08,189
2010-06-09,178
2010-06-10,178
2010-06-11,158
2010-06-12,152
2010-06-13,141
2010-06-14,128
2010-06-15,120
2010-06-16,152
2010-06-17,340
2010-06-18,271
2010-06-19,189
2010-06-20,152
2010-06-21,128
2010-06-22,113
2010-06-23,101
2010-06-24,90
2010-06-25,87
2010-06-26,87
2010-06-27,96
2010-06-28,118
2010-06-29,101
2010-06-30,89
2010-07-01,75
2010-07-02,67
2010-07-03,62
2010-07-04,60
2010-07-05,59
2010-07-06,67
2010-07-07,95
2010-07-08,90
2010-07-09,113
2010-07-10,115
2010-07-11,135
2010-07-12,120
2010-07-13,292
2010-07-14,618
2010-07-15,422
2010-07-16,289
2010-07-17,394
2010-07-18,349
