"","Cl.Date","Cl.Flow","Cl.concentrations.Cl","lnC","lnQ"
"1",2009-07-09,78,6.935,1.93658105376679,4.35670882668959
"2",2009-07-15,152,10.286,2.33078374735272,5.02388052084628
"3",2009-07-22,310,6.206,1.82551656602619,5.73657229747919
"4",2009-07-29,97,5.634,1.72881966945418,4.57471097850338
"5",2009-08-05,75,5.89,1.7732559976635,4.31748811353631
"6",2009-08-12,50,9.435,2.24442617882051,3.91202300542815
"7",2009-08-19,41,10.7,2.37024374146786,3.71357206670431
"8",2009-08-26,44,9.026,2.20010930140481,3.78418963391826
"9",2009-09-02,30,12.74,2.54474665014402,3.40119738166216
"10",2009-09-02,30,13.13,2.57489968831471,3.40119738166216
"11",2009-09-09,139,6.271,1.83593583156088,4.93447393313069
"12",2009-09-16,449,5.623,1.72686532931006,6.10702288774225
"13",2009-09-17,1470,2.981,1.09225881469593,7.29301767977278
"14",2009-09-23,3530,2.346,0.852711750231284,8.16905314992734
"15",2009-09-30,302,4.483,1.5002924651733,5.71042701737487
"16",2009-10-07,187,5.568,1.71703592303212,5.23110861685459
"17",2009-10-09,24500,1.507,0.410120919644358,10.1064283965328
"18",2009-10-14,4430,2.983,1.09292950553261,8.39615486303918
"19",2009-10-21,687,4.033,1.39451051589123,6.53233429222235
"20",2009-10-28,808,3.866,1.35222038078614,6.69456205852109
"21",2009-10-30,9400,2.046,0.715886667529435,9.14846496825809
"22",2009-11-04,896,3.379,1.21757980773215,6.79794041297493
"23",2009-11-11,407,4.134,1.41924546125958,6.00881318544259
"24",2009-11-18,560,3.738,1.31855070903337,6.32793678372919
"25",2009-11-24,327,3.759,1.32415296458204,5.78996017089725
"26",2009-12-02,229,3.958,1.37573884718037,5.43372200355424
"27",2009-12-02,229,3.985,1.38253731224218,5.43372200355424
"28",2009-12-09,210,4.936,1.59655528660309,5.34710753071747
"29",2009-12-16,179,5.831,1.76318851224002,5.18738580584075
"30",2009-12-22,156,5.836,1.76404563066054,5.04985600724954
"31",2009-12-31,471,3.643,1.29280751802643,6.15485809401642
"32",2009-12-31,471,3.494,1.25104721171186,6.15485809401642
"33",2010-01-06,335,3.912,1.36404875217257,5.81413053182507
"34",2010-01-13,256,4.821,1.57298137542349,5.54517744447956
"35",2010-01-13,256,4.983,1.60603211929927,5.54517744447956
"36",2010-01-20,266,5.153,1.63957906934609,5.5834963087817
"37",2010-01-27,890,3.625,1.28785428830664,6.79122146272619
"38",2010-02-04,1080,4.418,1.48568710499793,6.98471632011827
"39",2010-02-11,899,4.154,1.42407172545392,6.80128303447162
"40",2010-02-17,651,4.128,1.41779302817926,6.47850964220857
"41",2010-02-25,835,3.658,1.29691654996867,6.72743172485086
"42",2010-03-03,545,4.204,1.4360364530147,6.30078579466324
"43",2010-03-10,454,4.738,1.55561510573659,6.11809719804135
"44",2010-03-10,454,4.652,1.53729723465642,6.11809719804135
"45",2010-03-17,453,4.773,1.56297503802376,6.11589212548303
"46",2010-03-23,4360,3.045,1.11350090116186,8.38022733634308
"47",2010-03-31,1110,3.501,1.25304864197253,7.01211529430638
"48",2010-04-07,963,3.398,1.22318702324974,6.87005341179813
"49",2010-04-14,478,4.088,1.4080558529014,6.16961073249146
"50",2010-04-21,379,3.905,1.36225778329165,5.93753620508243
"51",2010-04-28,393,3.645,1.29335636546062,5.97380961186926
"52",2010-05-05,370,3.785,1.33104588688941,5.91350300563827
"53",2010-05-12,654,2.953,1.08282160276179,6.4831073514572
"54",2010-05-14,1750,2.582,0.948564292424451,7.46737106691756
"55",2010-05-15,4560,2.475,0.906240396020654,8.42507790250843
"56",2010-05-17,3490,2.309,0.836814530372358,8.15765701519647
"57",2010-05-20,6590,1.715,0.539413080617903,8.79330862749655
"58",2010-05-26,825,3.211,1.16658241510738,6.71538338633468
"59",2010-06-02,317,3.727,1.31560362049712,5.75890177387728
"60",2010-06-09,178,4.833,1.57546739286295,5.18178355029209
"61",2010-06-16,152,5.327,1.67278822793486,5.02388052084628
"62",2010-06-16,152,5.271,1.66222009787307,5.02388052084628
"63",2010-06-24,90,5.717,1.74344419228183,4.49980967033027
