"","NO3.Date","NO3.Flow","NO3.concentrations.NO3","lnC","lnQ"
"1",2009-07-09,78,0.197,-1.62455155024415,4.35670882668959
"2",2009-07-15,152,0.343,-1.0700248318162,5.02388052084628
"3",2009-07-22,310,0.347,-1.05843049903528,5.73657229747919
"4",2009-07-29,97,0.2,-1.6094379124341,4.57471097850338
"5",2009-08-05,75,0.132,-2.02495335639577,4.31748811353631
"6",2009-08-12,50,0.148,-1.91054300521802,3.91202300542815
"7",2009-08-19,41,0.065,-2.7333680090865,3.71357206670431
"8",2009-08-26,44,0.081,-2.5133061243097,3.78418963391826
"9",2009-09-02,30,0.025,-3.68887945411394,3.40119738166216
"10",2009-09-02,30,0.025,-3.68887945411394,3.40119738166216
"11",2009-09-09,139,0.156,-1.8578992717326,4.93447393313069
"12",2009-09-16,449,0.393,-0.933945667112876,6.10702288774225
"13",2009-09-17,1470,0.571,-0.560366069326127,7.29301767977278
"14",2009-09-23,3530,0.862,-0.148500008318444,8.16905314992734
"15",2009-09-30,302,0.997,-0.00300450902029872,5.71042701737487
"16",2009-10-07,187,0.659,-0.41703174447963,5.23110861685459
"17",2009-10-09,24500,0.754,-0.282362910974181,10.1064283965328
"18",2009-10-14,4430,1.116,0.109750863959119,8.39615486303918
"19",2009-10-21,687,1.344,0.295650242100958,6.53233429222235
"20",2009-10-28,808,0.886,-0.121038328377056,6.69456205852109
"21",2009-10-30,9400,0.484,-0.725670372265505,9.14846496825809
"22",2009-11-04,896,1.091,0.0870947068509337,6.79794041297493
"23",2009-11-11,407,0.91,-0.0943106794712413,6.00881318544259
"24",2009-11-18,560,0.784,-0.243346258631729,6.32793678372919
"25",2009-11-24,327,0.551,-0.596020469829223,5.78996017089725
"26",2009-12-02,229,0.547,-0.603306476560156,5.43372200355424
"27",2009-12-02,229,0.526,-0.642454066244427,5.43372200355424
"28",2009-12-09,210,0.561,-0.578034373459441,5.34710753071747
"29",2009-12-16,179,0.462,-0.772190387900398,5.18738580584075
"30",2009-12-22,156,0.428,-0.84863208340034,5.04985600724954
"31",2009-12-31,471,0.704,-0.350976922824095,6.15485809401642
"32",2009-12-31,471,0.703,-0.352398387171472,6.15485809401642
"33",2010-01-06,335,0.674,-0.39452516806983,5.81413053182507
"34",2010-01-13,256,0.639,-0.447850824604602,5.54517744447956
"35",2010-01-13,256,0.645,-0.438504962186365,5.54517744447956
"36",2010-01-20,266,0.495,-0.703197516413447,5.5834963087817
"37",2010-01-27,890,1.131,0.123102197133983,6.79122146272619
"38",2010-02-04,1080,1,0,6.98471632011827
"39",2010-02-11,899,1.225,0.20294084399669,6.80128303447162
"40",2010-02-17,651,1.122,0.115112807100505,6.47850964220857
"41",2010-02-25,835,0.942,-0.059750004405774,6.72743172485086
"42",2010-03-03,545,0.897,-0.108699416923341,6.30078579466324
"43",2010-03-10,454,0.698,-0.359536176219765,6.11809719804135
"44",2010-03-10,454,0.692,-0.368169323364468,6.11809719804135
"45",2010-03-17,453,0.689,-0.372514007968479,6.11589212548303
"46",2010-03-23,4360,0.997,-0.00300450902029872,8.38022733634308
"47",2010-03-31,1110,1.074,0.071389996086673,7.01211529430638
"48",2010-04-07,963,0.803,-0.219400565035375,6.87005341179813
"49",2010-04-14,478,0.526,-0.642454066244427,6.16961073249146
"50",2010-04-21,379,0.469,-0.757152510535858,5.93753620508243
"51",2010-04-28,393,0.501,-0.691149177897272,5.97380961186926
"52",2010-05-05,370,0.394,-0.931404369684203,5.91350300563827
"53",2010-05-12,654,0.673,-0.396009949337409,6.4831073514572
"54",2010-05-14,1750,0.609,-0.49593701127224,7.46737106691756
"55",2010-05-15,4560,0.63,-0.462035459596559,8.42507790250843
"56",2010-05-17,3490,0.625,-0.470003629245736,8.15765701519647
"57",2010-05-20,6590,0.458,-0.780886094867952,8.79330862749655
