"","Date","concentrations.Cl","Flow"
"1",2011-07-15,8.1365,37
"2",2011-07-21,9.81,23
"3",2011-08-18,6.943,102
"4",2011-09-01,10.923,23
"5",2011-09-08,12.773,15
"6",2011-09-16,13.539,14
"7",2011-09-22,8.323,121
"8",2011-09-26,8.09,121
"9",2011-10-06,11.548,41
"10",2011-10-13,10.663,224
"11",2011-10-26,10.789,57
"12",2011-11-03,10.926,62
"13",2011-11-09,3.3065,4380
"14",2011-11-17,6.121,209
"15",2011-12-01,4.997,307
"16",2011-12-08,4.01,735
"17",2011-12-15,3.676,2750
"18",2012-01-05,4.861,218
"19",2012-01-12,5.417,267
"20",2012-01-19,4.735,175
"21",2012-01-26,1.8315,7540
"22",2012-02-02,5.117,670
"23",2012-02-09,3.575,746
"24",2012-02-16,4.372,533
"25",2012-03-01,5.356,290
"26",2012-03-13,2.4965,1820
"27",2012-03-20,2.663,3890
"28",2012-03-21,1.716,12800
"29",2012-03-22,1.841,13300
"30",2012-03-29,3.109,988
"31",2012-04-12,4.757,215
"32",2012-04-19,4.5145,188
"33",2012-04-26,5.781,122
"34",2012-05-02,5.9445,122
"35",2012-05-10,7.364,61
"36",2012-05-16,8.046,48
"37",2012-05-24,10.543,32
"38",2012-06-01,13.158,26
"39",2012-06-05,12.865,27
"40",2012-06-14,13.816,25
"41",2012-06-21,13.702,15
"42",2012-06-28,16.319,9
"43",2012-07-12,19.243,11
"44",2012-07-19,26.241,6.1
"45",2012-08-02,28.277,4.3
"46",2012-08-17,46.77,5.3
"47",2012-08-20,44.581,6.3
"48",2012-08-29,37.981,13
"49",2012-09-05,42.206,10
"50",2012-09-11,17.853,51
"51",2012-09-25,16.21,16
"52",2012-10-01,20.197,17
"53",2012-10-09,19.7395,16
"54",2012-10-15,11.229,164
"55",2012-10-24,10.736,40
"56",2012-10-31,15.688,28
"57",2012-11-07,15.788,22
"58",2012-11-14,19.573,26
"59",2012-11-28,15.651,23
"60",2012-12-05,19.013,45
"61",2012-12-12,13.001,45
"62",2013-01-10,9.926,71
"63",2013-01-15,7.903,188
"64",2013-01-23,7.494,86
"65",2013-01-31,3.1605,2430
"66",2013-02-06,5.457,251
"67",2013-02-11,6.363,566
"68",2013-02-20,5.571,297
"69",2013-02-27,4.199,1620
"70",2013-03-06,4.901,338
"71",2013-03-11,3.481,2510
"72",2013-03-19,4.4085,396
"73",2013-03-29,4.116,416
"74",2013-04-03,3.545,710
"75",2013-04-12,3.596,899
"76",2013-04-19,3.39,3080
"77",2013-04-24,3.41,651
"78",2013-04-27,2.46,2870
"79",2013-05-10,1.987,4280
"80",2013-05-22,2.721,1920
"81",2013-05-22,3.652,1920
"82",2013-05-30,3.736,287
"83",2013-06-06,2.952,514
"84",2013-06-12,4.2,192
"85",2013-06-25,6.183,59
"86",2013-07-08,9.401,24
"87",2013-07-19,10.151,15
"88",2013-07-31,8.407,76
"89",2013-08-07,6.028,195
"90",2013-08-09,2.618,2570
"91",2013-08-14,2.919,2250
"92",2013-08-20,4.255,287
"93",2013-08-28,6.476,91
"94",2013-09-04,7.92,53
"95",2013-09-11,9.533,35
"96",2013-09-18,15.767,39
"97",2013-09-23,11.077,42
"98",2013-10-02,14.959,31
"99",2013-10-06,7.09,602
"100",2013-10-24,8.1975,61
"101",2013-10-30,8.89,60
"102",2013-11-06,7.257,110
"103",2013-11-13,6.241,131
"104",2013-11-22,5.2055,709
"105",2013-12-02,5.292,147
"106",2013-12-12,7.258,136
"107",2013-12-18,5.758,902
"108",2014-01-09,5.638,400
"109",2014-01-12,4.129,2080
"110",2014-01-22,5.039,365
"111",2014-01-28,5.251,233
"112",2014-02-06,6.386,173
"113",2014-02-12,8.166,142
"114",2014-02-21,6.215,187
"115",2014-02-25,5.832,156
"116",2014-03-07,8.3405,241
"117",2014-03-11,4.754,842
"118",2014-03-17,2.835,7440
"119",2014-03-27,4.623,556
"120",2014-04-03,4.175,727
"121",2014-04-07,3.004,3330
"122",2014-04-14,3.696,972
"123",2014-04-22,3.995,476
"124",2014-04-28,4.324,376
"125",2014-05-13,5.387,326
"126",2014-05-14,3.72,649
"127",2014-05-20,3.643,428
"128",2014-05-28,4.276,176
"129",2014-06-02,5.059,308
"130",2014-06-10,3.186,1150
"131",2014-06-20,4.905,143
"132",2014-07-01,4.64,256
"133",2014-07-09,6.332,85
"134",2014-07-23,7.826,62
"135",2014-07-29,10.167,41
"136",2014-08-05,9.514,48
"137",2014-08-12,12.052,38
"138",2014-08-19,10.896,32
"139",2014-08-27,9.135,26
"140",2014-09-04,20.892,41
"141",2014-09-10,10.998,23
"142",2014-09-17,15.691,37
"143",2014-09-24,12.1485,26
"144",2014-10-01,16.287,18
"145",2014-10-08,11.741,28
"146",2014-10-10,6.396,636
"147",2014-10-13,4.061,1520
"148",2014-10-14,2.933,3110
"149",2014-10-22,5.679,173
"150",2014-10-29,7.628,79
"151",2014-11-06,8.691,161
"152",2014-11-12,6.788,134
"153",2014-11-19,6.942,82
"154",2014-12-05,7.779,104
"155",2014-12-10,6.169,227
"156",2014-12-17,5.28,509
"157",2015-01-05,3.027,1690
"158",2015-01-07,4.069,764
"159",2015-01-14,5.345,308
"160",2015-01-21,5.32,195
"161",2015-01-28,5.775,140
"162",2015-02-04,6.494,138
"163",2015-02-11,6.393,108
"164",2015-02-18,5.9795,96
"165",2015-02-25,5.253,486
"166",2015-03-05,4.337,2140
"167",2015-03-11,3.982,2280
"168",2015-03-14,3.171,5720
"169",2015-03-19,4.207,1950
"170",2015-03-26,2.888,7260
"171",2015-04-01,3.9675,1170
"172",2015-04-15,4.248,591
"173",2015-04-22,3.195,687
"174",2015-04-29,3.907,397
"175",2015-05-12,1.8135,6680
"176",2015-05-18,1.957,4080
"177",2015-06-01,2.675,2400
"178",2015-06-20,2.038,6920
