"","Date","concentrations.SO4","Flow"
"1",2011-07-15,5.4065,37
"2",2011-07-21,5.472,23
"3",2011-08-18,5.521,102
"4",2011-09-01,3.141,23
"5",2011-09-08,6.503,15
"6",2011-09-16,6.772,14
"7",2011-09-22,8.09,121
"8",2011-09-26,8.949,121
"9",2011-10-06,9.542,41
"10",2011-10-13,10.658,224
"11",2011-10-26,10.248,57
"12",2011-11-03,9.736,62
"13",2011-11-09,5.2745,4380
"14",2011-11-17,8.326,209
"15",2011-12-01,7.672,307
"16",2011-12-08,6.277,735
"17",2011-12-15,6.072,2750
"18",2012-01-05,7.348,218
"19",2012-01-12,8.269,267
"20",2012-01-19,7.586,175
"21",2012-01-26,3.9015,7540
"22",2012-02-02,6.361,670
"23",2012-02-09,5.739,746
"24",2012-02-16,6.825,533
"25",2012-03-01,7.625,290
"26",2012-03-13,4.875,1820
"27",2012-03-20,5.221,3890
"28",2012-03-21,3.775,12800
"29",2012-03-22,4.018,13300
"30",2012-03-29,6.651,988
"31",2012-04-12,7.202,215
"32",2012-04-19,6.177,188
"33",2012-04-26,7.968,122
"34",2012-05-02,8.249,122
"35",2012-05-10,8.898,61
"36",2012-05-16,9.246,48
"37",2012-05-24,11.575,32
"38",2012-06-01,13.274,26
"39",2012-06-05,13.116,27
"40",2012-06-14,14.106,25
"41",2012-06-21,18.405,15
"42",2012-06-28,14.125,9
"43",2012-07-12,13.452,11
"44",2012-07-19,25.0445,6.1
"45",2012-08-02,27.175,4.3
"46",2012-08-17,40.664,5.3
"47",2012-08-20,39.274,6.3
"48",2012-08-29,38.081,13
"49",2012-09-05,46.33,10
"50",2012-09-11,20.503,51
"51",2012-09-25,16.604,16
"52",2012-10-01,21.868,17
"53",2012-10-09,18.6275,16
"54",2012-10-15,14.855,164
"55",2012-10-24,13.129,40
"56",2012-10-31,16.865,28
"57",2012-11-07,17.999,22
"58",2012-11-14,21.891,26
"59",2012-11-28,16.625,23
"60",2012-12-05,20.488,45
"61",2012-12-12,15.386,45
"62",2013-01-10,13.946,71
"63",2013-01-15,12.556,188
"64",2013-01-23,13.688,86
"65",2013-01-31,13.6275,2430
"66",2013-02-06,9.834,251
"67",2013-02-11,12.208,566
"68",2013-02-20,9.225,297
"69",2013-02-27,8.014,1620
"70",2013-03-06,8.344,338
"71",2013-03-11,6.559,2510
"72",2013-03-19,8.086,396
"73",2013-03-29,7.416,416
"74",2013-04-03,6.532,710
"75",2013-04-12,6.486,899
"76",2013-04-19,6.346,3080
"77",2013-04-24,6.607,651
"78",2013-04-27,5.618,2870
"79",2013-05-10,4.608,4280
"80",2013-05-22,5.287,1920
"81",2013-05-22,5.86,1920
"82",2013-05-30,6.744,287
