"","Date","concentrations.SRP","Flow"
"1",2011-07-15,0.1735,37
"2",2011-07-21,0.134,23
"3",2011-07-29,0.088,19
"4",2011-08-03,0.082,16
"5",2011-08-11,0.683,127
"6",2011-08-18,0.154,102
"7",2011-09-01,0.146,23
"8",2011-09-08,0.141,15
"9",2011-09-16,0.13,14
"10",2011-09-22,0.087,121
"11",2011-09-26,0.097,121
"12",2011-10-06,0.218,41
"13",2011-10-13,0.21,224
"14",2011-10-26,0.141,57
"15",2011-11-03,0.194,62
"16",2011-11-09,0.035,4380
"17",2011-11-17,0.122,209
"18",2011-12-01,0.042,307
"19",2011-12-08,0.012,735
"20",2011-12-15,0.124,2750
"21",2012-01-05,0.017,218
"22",2012-01-12,0.008,267
"23",2012-01-19,0.004,175
"24",2012-01-26,0.038,7540
"25",2012-02-02,0.012,670
"26",2012-02-09,0.015,746
"27",2012-02-16,0.01,533
"28",2012-03-01,0.007,290
"29",2012-03-13,0.03,1820
"30",2012-03-20,0.109,3890
"31",2012-03-21,0.039,12800
"32",2012-03-22,0.027,13300
"33",2012-03-29,0.006,988
"34",2012-04-12,0.003,215
"35",2012-04-19,5e-04,188
"36",2012-04-26,0.002,122
"37",2012-05-02,0.0055,122
"38",2012-05-10,0.008,61
"39",2012-05-16,0.003,48
"40",2012-05-24,0.0045,32
"41",2012-06-01,0.008,26
"42",2012-06-05,0.01,27
"43",2012-06-14,0.011,25
"44",2012-06-21,0.043,15
"45",2012-06-28,0.012,9
"46",2012-07-12,0.006,11
"47",2012-07-19,0.013,6.1
"48",2012-08-02,0.02,4.3
"49",2012-08-17,0.016,5.3
"50",2012-08-20,0.017,6.3
"51",2012-08-29,0.013,13
"52",2012-09-05,0.016,10
"53",2012-09-11,0.023,51
"54",2012-09-25,0.014,16
"55",2012-10-01,0.014,17
"56",2012-10-09,0.019,16
"57",2012-10-15,0.043,164
"58",2012-10-24,0.005,40
"59",2012-10-31,0.01,28
"60",2012-11-07,0.009,22
"61",2012-11-14,0.01,26
"62",2012-11-28,0.002,23
"63",2012-12-05,0.0135,45
"64",2012-12-12,0.023,45
"65",2013-01-10,0.002,71
"66",2013-01-15,0.003,188
"67",2013-01-23,0.003,86
"68",2013-01-31,0.0155,2430
"69",2013-02-06,0.009,251
"70",2013-02-11,0.011,566
"71",2013-02-20,0.002,297
"72",2013-02-27,0.001,1620
"73",2013-03-06,0.002,338
"74",2013-03-11,0.01,2510
"75",2013-03-19,0.0085,396
"76",2013-03-29,0.006,416
"77",2013-04-03,0.009,710
"78",2013-04-12,0.006,899
"79",2013-04-19,0.032,3080
"80",2013-04-24,0.01,651
"81",2013-04-27,0.017,2870
"82",2013-05-10,0.074,4280
"83",2013-05-22,0.008,1920
"84",2013-05-22,0.01,1920
"85",2013-05-30,0.006,287
"86",2013-06-06,0.009,514
"87",2013-06-12,0.006,192
"88",2013-06-25,0.01,59
"89",2013-07-08,0.006,24
"90",2013-07-19,0.009,15
"91",2013-07-31,0.009,76
"92",2013-08-07,0.009,195
"93",2013-08-09,0.019,2570
"94",2013-08-14,0.02,2250
"95",2013-08-20,0.007,287
"96",2013-08-28,0.005,91
"97",2013-09-04,0.012,53
"98",2013-09-11,0.006,35
"99",2013-09-18,0.011,39
"100",2013-09-23,0.011,42
"101",2013-10-02,0.01,31
"102",2013-10-06,0.042,602
"103",2013-10-24,0.0065,61
"104",2013-10-30,0.004,60
"105",2013-11-06,0.003,110
"106",2013-11-13,0.006,131
"107",2013-11-22,0.0325,709
"108",2013-12-02,0.002,147
"109",2013-12-12,0.005,136
"110",2013-12-18,0.004,902
"111",2014-01-09,0.013,400
"112",2014-01-12,0.012,2080
"113",2014-01-22,0.008,365
"114",2014-01-28,0.012,233
"115",2014-02-06,0.007,173
"116",2014-02-12,0.007,142
"117",2014-02-21,0.005,187
"118",2014-02-25,0.003,156
"119",2014-03-07,0.006,241
"120",2014-03-11,0.002,842
"121",2014-03-17,0.021,7440
"122",2014-03-27,0.009,556
"123",2014-04-03,0.006,727
"124",2014-04-07,0.061,3330
"125",2014-04-14,0.01,972
"126",2014-04-22,0.005,476
"127",2014-04-28,0.003,376
"128",2014-05-13,0.003,326
"129",2014-05-14,0.005,649
"130",2014-05-20,0.003,428
"131",2014-05-28,0.004,176
"132",2014-06-02,0.004,308
"133",2014-06-10,0.015,1150
"134",2014-06-20,0.0085,143
"135",2014-07-01,0.011,256
"136",2014-07-09,0.007,85
"137",2014-07-23,0.008,62
"138",2014-07-29,0.0075,41
"139",2014-08-05,0.007,48
"140",2014-08-12,0.009,38
"141",2014-08-19,0.009,32
"142",2014-08-27,0.008,26
"143",2014-09-04,0.012,41
"144",2014-09-10,0.009,23
"145",2014-09-17,0.008,37
"146",2014-09-24,0.006,26
"147",2014-10-01,0.007,18
"148",2014-10-08,0.008,28
"149",2014-10-10,0.1025,636
"150",2014-10-13,0.05,1520
"151",2014-10-14,0.018,3110
"152",2014-10-22,0.008,173
"153",2014-10-29,0.008,79
"154",2014-11-06,0.01,161
"155",2014-11-12,0.006,134
"156",2014-11-19,0.011,82
"157",2014-12-05,0.0055,104
"158",2014-12-10,0.007,227
"159",2014-12-17,0.006,509
"160",2015-01-05,0.022,1690
"161",2015-01-07,0.007,764
"162",2015-01-14,0.007,308
"163",2015-01-21,0.003,195
"164",2015-01-28,0.005,140
"165",2015-02-04,0.002,138
"166",2015-02-11,0.005,108
"167",2015-02-18,0.001,96
"168",2015-02-25,0.007,486
"169",2015-03-05,0.004,2140
"170",2015-03-11,0.005,2280
"171",2015-03-14,0.023,5720
"172",2015-03-19,0.013,1950
"173",2015-03-26,0.072,7260
"174",2015-04-01,0.0115,1170
"175",2015-04-15,0.008,591
"176",2015-04-22,0.006,687
"177",2015-04-29,0.001,397
"178",2015-05-12,0.0175,6680
"179",2015-05-18,0.024,4080
"180",2015-06-01,0.019,2400
"181",2015-06-20,0.044,6920
