"","Date","concentrations.TSS","Flow"
"1",2011-07-15,8.25,37
"2",2011-07-21,3.3,23
"3",2011-07-29,3.8,19
"4",2011-08-03,2.2,16
"5",2011-08-11,5.1,127
"6",2011-08-18,2.3,102
"7",2011-09-01,3.4,23
"8",2011-09-08,4.8,15
"9",2011-09-16,2.7,14
"10",2011-09-22,3,121
"11",2011-09-26,1,121
"12",2011-10-06,1.8,41
"13",2011-10-13,16.2,224
"14",2011-10-26,2,57
"15",2011-11-03,1.7,62
"16",2011-11-09,43.85,4380
"17",2011-11-17,1.8,209
"18",2011-12-01,0.4,307
"19",2011-12-08,2.3,735
"20",2011-12-15,31.8,2750
"21",2012-01-05,1.9,218
"22",2012-01-12,1.3,267
"23",2012-01-19,0.5,175
"24",2012-01-26,182.65,7540
"25",2012-02-02,2,670
"26",2012-02-09,2.7,746
"27",2012-02-16,2.8,533
"28",2012-03-01,1.8,290
"29",2012-03-13,13.35,1820
"30",2012-03-20,82.9,3890
"31",2012-03-21,187.2,12800
"32",2012-03-22,86.8,13300
"33",2012-03-29,4.7,988
"34",2012-04-12,2.2,215
"35",2012-04-19,2.65,188
"36",2012-04-26,3.4,122
"37",2012-05-02,2.55,122
"38",2012-05-10,2,61
"39",2012-05-16,3.5,48
"40",2012-05-24,2.45,32
"41",2012-06-01,2.7,26
"42",2012-06-05,3.8,27
"43",2012-06-14,3.6,25
"44",2012-06-21,3.8,15
"45",2012-06-28,2.9,9
"46",2012-07-12,2.5,11
"47",2012-07-19,2.95,6.1
"48",2012-08-02,3,4.3
"49",2012-08-17,2.1,5.3
"50",2012-08-20,2.4,6.3
"51",2012-08-29,2.25,13
"52",2012-09-05,1.7,10
"53",2012-09-11,3.1,51
"54",2012-09-25,1.4,16
"55",2012-10-01,2.1,17
"56",2012-10-09,0.95,16
"57",2012-10-15,1.3,164
"58",2012-10-24,1.1,40
"59",2012-10-31,0.7,28
"60",2012-11-07,1.2,22
"61",2012-11-14,22.3,26
"62",2012-11-28,0.9,23
"63",2012-12-05,1.9,45
"64",2012-12-12,1.2,45
"65",2013-01-10,1.7,71
"66",2013-01-15,4.9,188
"67",2013-01-23,3.2,86
"68",2013-01-31,41.9,2430
"69",2013-02-06,1.4,251
