Date,NO3,TN,SRP,TP,TSS,Cl,SO4
2011-07-15,0.016,0.16,0.1735,0.209,8.25,8.1365,5.4065
2011-07-21,0.014,0.16,0.134,0.158,3.3,9.81,5.472
2011-07-29,0.01,0.2,0.088,0.118,3.8,,
2011-08-03,0.01,0.14,0.082,0.104,2.2,,
2011-08-11,0.48,0.74,0.683,0.738,5.1,,
2011-08-18,0.1,0.22,0.154,0.196,2.3,6.943,5.521
2011-09-01,0.01,0.25,0.146,0.182,3.4,10.923,3.141
2011-09-08,0,0.18,0.141,0.168,4.8,12.773,6.503
2011-09-16,0.08,0.19,0.13,0.148,2.7,13.539,6.772
2011-09-22,0.941,0.99,0.087,0.102,3,8.323,8.09
2011-09-26,1.334,1.5,0.097,0.114,1,8.09,8.949
2011-10-06,0.212,0.42,0.218,0.25,1.8,11.548,9.542
2011-10-13,1.777,1.98,0.21,0.254,16.2,10.663,10.658
2011-10-26,0.552,0.64,0.141,0.168,2,10.789,10.248
2011-11-03,0.25,0.51,0.194,0.232,1.7,10.926,9.736
2011-11-09,2.737,3.45,0.035,0.136,43.85,3.3065,5.2745
2011-11-17,2.542,2.82,0.122,0.132,1.8,6.121,8.326
2011-12-01,2.43,2.65,0.042,0.048,0.4,4.997,7.672
2011-12-08,2.106,2.26,0.012,0.036,2.3,4.01,6.277
2011-12-15,2.065,2.59,0.124,0.218,31.8,3.676,6.072
2012-01-05,1.592,1.71,0.017,0.008,1.9,4.861,7.348
2012-01-12,1.571,1.62,0.008,0.012,1.3,5.417,8.269
2012-01-19,1.02,1.18,0.004,0.012,0.5,4.735,7.586
2012-01-26,0.9305,1.685,0.038,0.289,182.65,1.8315,3.9015
2012-02-02,1.858,1.84,0.012,0.018,2,5.117,6.361
2012-02-09,1.405,1.53,0.015,0.028,2.7,3.575,5.739
2012-02-16,1.499,1.54,0.01,0.018,2.8,4.372,6.825
2012-03-01,0.98,1.08,0.007,0.008,1.8,5.356,7.625
2012-03-13,0.5905,0.89,0.03,0.037,13.35,2.4965,4.875
2012-03-20,0.967,1.56,0.109,0.238,82.9,2.663,5.221
2012-03-21,0.705,1.53,0.039,0.266,187.2,1.716,3.775
2012-03-22,1.052,1.37,0.027,0.112,86.8,1.841,4.018
2012-03-29,1.409,1.48,0.006,0.02,4.7,3.109,6.651
2012-04-12,0.729,0.9,0.003,0,2.2,4.757,7.202
2012-04-19,0.705,0.915,0.0005,0.013,2.65,4.5145,6.177
2012-04-26,0.605,0.82,0,0.018,3.4,5.781,7.968
2012-05-02,0.67,0.89,0.0055,0.028,2.55,5.9445,8.249
2012-05-10,0.403,0.54,0.008,0.016,2,7.364,8.898
2012-05-16,0.217,0.69,0.003,0.026,3.5,8.046,9.246
2012-05-24,0.0525,0.23,0.0045,0.017,2.45,10.543,11.575
2012-06-01,0,0.23,0.008,0.28,2.7,13.158,13.274
2012-06-05,0.021,0.3,0.01,0.034,3.8,12.865,13.116
2012-06-14,0.023,0.26,0.011,0.034,3.6,13.816,14.106
2012-06-21,0.899,0.84,0.043,0.032,3.8,13.702,18.405
2012-06-28,0.103,0.32,0.012,0.044,2.9,16.319,14.125
2012-07-12,0,0.32,0.006,0.024,2.5,19.243,13.452
2012-07-19,0,0.26,0.013,0.035,2.95,26.241,25.0445
2012-08-02,0.008,0.27,0.02,0.056,3,28.277,27.175
2012-08-17,0,0.32,0.016,0.04,2.1,46.77,40.664
2012-08-20,0,0.38,0.017,0.038,2.4,44.581,39.274
2012-08-29,0.0645,0.325,0.013,0.037,2.25,37.981,38.081
2012-09-05,0.069,0.34,0.016,0.04,1.7,42.206,46.33
2012-09-11,0,0.21,0.023,0.048,3.1,17.853,20.503
2012-09-25,0.018,0.18,0.014,0.03,1.4,16.21,16.604
2012-10-01,0,0.21,0.014,0.028,2.1,20.197,21.868
2012-10-09,0,0.185,0.019,0.038,0.95,19.7395,18.6275
2012-10-15,2.115,2.51,0.043,0.062,1.3,11.229,14.855
2012-10-24,0.417,0.71,0.005,0.024,1.1,10.736,13.129
2012-10-31,0.058,0.2,0.01,0.02,0.7,15.688,16.865
2012-11-07,0.146,0.35,0.009,0.026,1.2,15.788,17.999
2012-11-14,0.379,0.6,0.01,0.02,22.3,19.573,21.891
2012-11-28,0,0.14,0.002,0.014,0.9,15.651,16.625
2012-12-05,0.189,0.46,0.0135,0.034,1.9,19.013,20.488
2012-12-12,0.324,0.45,0.023,0.03,1.2,13.001,15.386
2013-01-10,0.697,0.89,0,0.008,1.7,9.926,13.946
2013-01-15,1.212,1.47,0.003,0.018,4.9,7.903,12.556
2013-01-23,1.074,1.19,0.003,0.006,3.2,7.494,13.688
2013-01-31,2.142,2.505,0.0155,0.723,41.9,3.1605,13.6275
2013-02-06,2.726,2.75,0.009,0.018,1.4,5.457,9.834
2013-02-11,2.559,2.53,0.011,0.022,5,6.363,12.208
2013-02-20,1.721,1.65,0.002,0.008,1.1,5.571,9.225
2013-02-27,1.585,1.57,0.001,0.024,7.5,4.199,8.014
2013-03-06,1.703,1.78,0.002,0.006,1.3,4.901,8.344
2013-03-11,1.521,1.99,0.01,0.126,74.3,3.481,6.559
2013-03-19,1.523,1.545,0.0085,0.018,1.3,4.4085,8.086
2013-03-29,1.062,1.07,0.006,0.008,2.1,4.116,7.416
2013-04-03,0.932,0.95,0.009,0.02,1.7,3.545,6.532
2013-04-12,0.852,0.98,0.006,0.02,3,3.596,6.486
2013-04-19,0.926,1.47,0.032,0.096,29.2,3.39,6.346
2013-04-24,1.095,1.28,0.01,0.012,1.8,3.41,6.607
2013-04-27,0.985,1.3,0.017,0.084,31.8,2.46,5.618
2013-05-10,0.861,1.61,0.074,0.246,116.7,1.987,4.608
2013-05-22,0.814,1.16,0.008,0.066,28.5,2.721,5.287
2013-05-22,1.006,1.13,0.01,0.03,10.2,3.652,5.86
2013-05-30,0.769,0.93,0.006,0.018,1.1,3.736,6.744
2013-06-06,0.626,0.75,0.009,0.026,16.5,2.952,5.335
2013-06-12,0.518,0.58,0.006,0.056,1.6,4.2,6.204
2013-06-25,0.193,0.36,0.01,0.03,3.3,6.183,8.413
2013-07-08,0.063,0.24,0.006,0.028,1.8,9.401,11.611
2013-07-19,0.0495,0.25,0.009,0.038,1.9,10.151,11.7015
2013-07-31,0.283,0.47,0.009,0.028,3,8.407,10.426
2013-08-07,0.746,1.01,0.009,0.026,4.8,6.028,8.471
2013-08-09,1.156,1.83,0.019,0.204,73.3,2.618,4.943
2013-08-14,1.202,1.57,0.02,0.09,24.4,2.919,5.119
2013-08-20,1.003,1.24,0.007,0.022,1.7,4.255,6.194
2013-08-28,0.432,0.56,0.005,0.022,0.5,6.476,8.236
2013-09-04,0.237,0.41,0.012,0.024,2.9,7.92,9.335
2013-09-11,0.132,0.31,0.006,0.026,2.7,9.533,11.767
2013-09-18,0.134,0.35,0.011,0.022,3.1,15.767,17.969
2013-09-23,0.127,0.28,0.011,0.02,2.4,11.077,12.913
2013-10-02,0.131,0.32,0.01,0.026,2.2,14.959,17.302
2013-10-06,0.826,1.17,0.042,0.082,13.3,7.09,8.909
2013-10-24,0.4415,0.53,0.0065,0.014,1,8.1975,9.826
2013-10-30,0.346,0.48,0.004,0.018,1.9,8.89,11.009
2013-11-06,0.518,0.64,0.003,0.006,6.7,7.257,10.385
2013-11-13,0.527,0.62,0.006,0.012,0.4,6.241,9.122
2013-11-22,0.9505,1.175,0.0325,0.063,3.7,5.2055,7.7115
2013-12-02,1.201,1.26,0,0.004,0.1,5.292,8.644
2013-12-12,1.158,1.34,0.005,0.012,0.7,7.258,10.632
2013-12-18,1.702,1.76,0.004,0.02,2,5.758,8.161
2014-01-09,1.919,1.87,0.013,0.022,0.9,5.638,7.967
2014-01-12,1.333,1.56,0.012,0.04,8.7,4.129,6.146
2014-01-22,1.702,1.72,0.008,0.006,3,5.039,7.465
2014-01-28,1.647,1.66,0.012,0.018,0.3,5.251,8.063
2014-02-06,1.56,1.51,0.007,0.024,0.7,6.386,9.003
2014-02-12,1.499,1.52,0.007,0.012,2.9,8.166,10.726
2014-02-21,1.041,1.14,0.005,0.008,1.2,6.215,9.09
2014-02-25,0.922,1.01,0.003,0.01,0.3,5.832,9.395
2014-03-07,1.101,1.165,0.006,0.009,1.25,8.3405,9.9115
2014-03-11,1.169,1.16,0.002,0.016,1.9,4.754,7.247
2014-03-17,1.229,1.54,0.021,0.154,67.3,2.835,4.721
2014-03-27,1.487,1.55,0.009,0.022,1.5,4.623,6.9
2014-04-03,0.887,0.89,0.006,0.026,6.4,4.175,6.642
2014-04-07,0.864,2.01,0.061,0.41,245.9,3.004,5.454
2014-04-14,1,1.14,0.01,0.048,1.3,3.696,6.276
2014-04-22,0.611,0.72,0.005,0.012,1.4,3.995,6.222
2014-04-28,0.629,0.77,0.003,0.016,0.8,4.324,6.632
2014-05-13,0.617,0.71,0.003,0.028,2.4,5.387,7.857
2014-05-14,0.63,0.75,0.005,0.06,3.2,3.72,6.212
2014-05-20,0.284,0.38,0.003,0.018,1.6,3.643,5.741
2014-05-28,0.413,0.5,0.004,0.018,2.5,4.276,6.325
2014-06-02,0.399,0.55,0.004,0.024,4.5,5.059,7.42
2014-06-10,0.623,0.83,0.015,0.048,12,3.186,5.445
2014-06-20,0.4075,0.44,0.0085,0.024,0.25,4.905,7.19
2014-07-01,0.264,0.32,0.011,0.018,2,4.64,6.763
2014-07-09,0.183,0.33,0.007,0.018,2.1,6.332,8.041
2014-07-23,0.164,0.25,0.008,0.036,3.7,7.826,9.003
2014-07-29,0.085,0.225,0.0075,0.03,3.5,10.167,12.083
