"","SRP.Date","SRP.Flow","SRP.concentrations.SRP","lnC","lnQ"
"1",2011-07-15,37,0.1735,-1.75157767959522,3.61091791264422
"2",2011-07-21,23,0.134,-2.00991547903123,3.13549421592915
"3",2011-07-29,19,0.088,-2.43041846450393,2.94443897916644
"4",2011-08-03,16,0.082,-2.50103603171788,2.77258872223978
"5",2011-08-11,127,0.683,-0.381260419411347,4.84418708645859
"6",2011-08-18,102,0.154,-1.87080267656851,4.62497281328427
"7",2011-09-01,23,0.146,-1.9241486572738,3.13549421592915
"8",2011-09-08,15,0.141,-1.95899538860397,2.70805020110221
"9",2011-09-16,14,0.13,-2.04022082852655,2.63905732961526
"10",2011-09-22,121,0.087,-2.44184716032755,4.79579054559674
"11",2011-09-26,121,0.097,-2.33304430047875,4.79579054559674
"12",2011-10-06,41,0.218,-1.52326021619305,3.71357206670431
"13",2011-10-13,224,0.21,-1.56064774826467,5.41164605185504
"14",2011-10-26,57,0.141,-1.95899538860397,4.04305126783455
"15",2011-11-03,62,0.194,-1.63989711991881,4.12713438504509
"16",2011-11-09,4380,0.035,-3.35240721749272,8.38480400337049
"17",2011-11-17,209,0.122,-2.10373423424888,5.34233425196481
"18",2011-12-01,307,0.042,-3.17008566069877,5.7268477475872
"19",2011-12-08,735,0.012,-4.42284862919414,6.59987049921284
"20",2011-12-15,2750,0.124,-2.0874737133771,7.91935619066062
"21",2012-01-05,218,0.017,-4.07454193492592,5.38449506278909
"22",2012-01-12,267,0.008,-4.8283137373023,5.58724865840025
"23",2012-01-19,175,0.004,-5.52146091786225,5.16478597392351
"24",2012-01-26,7540,0.038,-3.27016911925575,8.927977461002
"25",2012-02-02,670,0.012,-4.42284862919414,6.50727771238501
"26",2012-02-09,746,0.015,-4.19970507787993,6.61472560020376
"27",2012-02-16,533,0.01,-4.60517018598809,6.27852142416584
"28",2012-03-01,290,0.007,-4.96184512992682,5.66988092298052
"29",2012-03-13,1820,0.03,-3.50655789731998,7.50659178007084
"30",2012-03-20,3890,0.109,-2.21640739675299,8.26616443661249
"31",2012-03-21,12800,0.039,-3.24419363285249,9.45720044990771
"32",2012-03-22,13300,0.027,-3.61191841297781,9.49551931420985
"33",2012-03-29,988,0.006,-5.11599580975408,6.89568269774787
"34",2012-04-12,215,0.003,-5.80914299031403,5.37063802812766
"35",2012-04-19,188,5e-04,-7.60090245954208,5.23644196282995
"36",2012-04-26,122,0.002,-6.21460809842219,4.80402104473326
"37",2012-05-02,122,0.0055,-5.20300718674371,4.80402104473326
"38",2012-05-10,61,0.008,-4.8283137373023,4.11087386417331
"39",2012-05-16,48,0.003,-5.80914299031403,3.87120101090789
"40",2012-05-24,32,0.0045,-5.40367788220586,3.46573590279973
"41",2012-06-01,26,0.008,-4.8283137373023,3.25809653802148
"42",2012-06-05,27,0.01,-4.60517018598809,3.29583686600433
"43",2012-06-14,25,0.011,-4.50986000618377,3.2188758248682
"44",2012-06-21,15,0.043,-3.14655516328857,2.70805020110221
"45",2012-06-28,9,0.012,-4.42284862919414,2.19722457733622
"46",2012-07-12,11,0.006,-5.11599580975408,2.39789527279837
"47",2012-07-19,6.1,0.013,-4.3428059215206,1.80828877117927
"48",2012-08-02,4.3,0.02,-3.91202300542815,1.45861502269952
"49",2012-08-17,5.3,0.016,-4.13516655674236,1.66770682055808
"50",2012-08-20,6.3,0.017,-4.07454193492592,1.84054963339749
"51",2012-08-29,13,0.013,-4.3428059215206,2.56494935746154
"52",2012-09-05,10,0.016,-4.13516655674236,2.30258509299405
"53",2012-09-11,51,0.023,-3.77226106305299,3.93182563272433
"54",2012-09-25,16,0.014,-4.26869794936688,2.77258872223978
"55",2012-10-01,17,0.014,-4.26869794936688,2.83321334405622
"56",2012-10-09,16,0.019,-3.9633162998157,2.77258872223978
"57",2012-10-15,164,0.043,-3.14655516328857,5.0998664278242
"58",2012-10-24,40,0.005,-5.29831736654804,3.68887945411394
"59",2012-10-31,28,0.01,-4.60517018598809,3.3322045101752
"60",2012-11-07,22,0.009,-4.71053070164592,3.09104245335832
"61",2012-11-14,26,0.01,-4.60517018598809,3.25809653802148
"62",2012-11-28,23,0.002,-6.21460809842219,3.13549421592915
"63",2012-12-05,45,0.0135,-4.30506559353775,3.80666248977032
"64",2012-12-12,45,0.023,-3.77226106305299,3.80666248977032
"65",2013-01-10,71,0.002,-6.21460809842219,4.26267987704132
"66",2013-01-15,188,0.003,-5.80914299031403,5.23644196282995
"67",2013-01-23,86,0.003,-5.80914299031403,4.45434729625351
"68",2013-01-31,2430,0.0155,-4.16691525505694,7.79564653633459
"69",2013-02-06,251,0.009,-4.71053070164592,5.52545293913178
"70",2013-02-11,566,0.011,-4.50986000618377,6.33859407820318
"71",2013-02-20,297,0.002,-6.21460809842219,5.6937321388027
"72",2013-02-27,1620,0.001,-6.90775527898214,7.39018142822643
"73",2013-03-06,338,0.002,-6.21460809842219,5.82304589548302
"74",2013-03-11,2510,0.01,-4.60517018598809,7.82803803212583
"75",2013-03-19,396,0.0085,-4.76768911548587,5.98141421125448
"76",2013-03-29,416,0.006,-5.11599580975408,6.03068526026126
"77",2013-04-03,710,0.009,-4.71053070164592,6.56526497003536
"78",2013-04-12,899,0.006,-5.11599580975408,6.80128303447162
"79",2013-04-19,3080,0.032,-3.44201937618241,8.03268487596762
"80",2013-04-24,651,0.01,-4.60517018598809,6.47850964220857
"81",2013-04-27,2870,0.017,-4.07454193492592,7.96206730875367
"82",2013-05-10,4280,0.074,-2.60369018577797,8.36170828857584
"83",2013-05-22,1920,0.008,-4.8283137373023,7.56008046502183
"84",2013-05-22,1920,0.01,-4.60517018598809,7.56008046502183
"85",2013-05-30,287,0.006,-5.11599580975408,5.65948221575962
"86",2013-06-06,514,0.009,-4.71053070164592,6.24222326545517
"87",2013-06-12,192,0.006,-5.11599580975408,5.25749537202778
"88",2013-06-25,59,0.01,-4.60517018598809,4.07753744390572
"89",2013-07-08,24,0.006,-5.11599580975408,3.17805383034795
"90",2013-07-19,15,0.009,-4.71053070164592,2.70805020110221
"91",2013-07-31,76,0.009,-4.71053070164592,4.33073334028633
