NO3,,,TN,,,SRP,,,TP,,,TSS,,,Cl,,,SO4,,
Folds,Mode,St Dev,Folds,Mode,St Dev,Folds,Mode,St Dev,Folds,Mode,St Dev,Folds,Mode,St Dev,Folds,Mode,St Dev,Folds,Mode,St Dev
5,0.2,0.026802376,5,0.2,0.053690344,5,0.5,0.167709662,5,0.9,0.14044027,5,0.75,0.114842394,5,0.75,0.142155419,5,0.9,0.123342066
6,0.2,0.021092604,6,0.2,0.032403703,6,0.8,0.165754306,6,0.85,0.159399383,6,0.7,0.097958759,6,0.8,0.133248272,6,0.9,0.113753224
7,0.2,0.011994897,7,0.2,0.024095897,7,0.5,0.185758237,7,0.8,0.123507415,7,0.85,0.103159278,7,0.85,0.169636466,7,0.9,0.108913933
8,0.2,0,8,0.2,0.043903884,8,0.65,0.159236059,8,0.9,0.14716366,8,0.8,0.093813754,8,0.75,0.091940531,8,0.9,0.110569029
9,0.2,0.009897433,9,0.2,0.017023393,9,0.65,0.156912168,9,0.85,0.126587874,9,0.7,0.102364894,9,0.75,0.137027481,9,0.9,0.111689256
10,0.2,0,10,0.2,0.035355339,10,0.45,0.193980853,10,0.85,0.109642275,10,0.65,0.109730654,10,0.75,0.083299313,10,0.9,0.083446182
11,0.2,0.007071068,11,0.2,0.027404752,11,0.55,0.170775542,11,0.85,0.132341549,11,0.7,0.08753425,11,0.75,0.094220757,11,0.9,0.087575041
12,0.2,0.007071068,12,0.2,0.035799897,12,0.45,0.180161492,12,0.85,0.106426174,12,0.7,0.098669723,12,0.75,0.08184106,12,0.9,0.076371808
13,0.2,0,13,0.2,0.02602981,13,0.45,0.164986085,13,0.85,0.11477129,13,0.7,0.093136941,13,0.75,0.078141682,13,0.9,0.085242751
14,0.2,0.015681785,14,0.2,0.011994897,14,0.45,0.157172075,14,0.9,0.114802403,14,0.75,0.080812204,14,0.75,0.079699691,14,0.9,0.082065181
15,0.2,0.009897433,15,0.2,0.025475078,15,0.9,0.173193298,15,0.85,0.110569029,15,0.85,0.092807679,15,0.75,0.072709935,15,0.85,0.086455132
16,0.2,0,16,0.2,0.018210784,16,0.6,0.154444363,16,0.85,0.105854155,16,0.7,0.075565892,16,0.7,0.102623743,16,0.9,0.10633505
17,0.2,0,17,0.2,0.007071068,17,0.45,0.15781997,17,0.8,0.094220757,17,0.75,0.076638563,17,0.65,0.085266688,17,0.9,0.09326285
18,0.2,0,18,0.2,0.014142136,18,0.5,0.173290484,18,0.9,0.117038281,18,0.85,0.100427657,18,0.7,0.077354208,18,0.9,0.067279496
19,0.2,0,19,0.2,0.019272482,19,0.45,0.163893943,19,0.85,0.078895436,19,0.7,0.084061445,19,0.75,0.085601116,19,0.9,0.074532557
20,0.2,0,20,0.2,0.022223356,20,0.45,0.176427126,20,0.85,0.100833263,20,0.85,0.091478781,20,0.8,0.064118831,20,0.9,0.087043269
21,0.2,0.007071068,21,0.2,0.028284271,21,0.45,0.161703306,21,0.85,0.079539491,21,0.7,0.083720868,21,0.75,0.067226392,21,0.9,0.068183426
22,0.2,0,22,0.2,0.013702376,22,0.9,0.174683387,22,0.85,0.099020715,22,0.8,0.086313383,22,0.7,0.067226392,22,0.9,0.085714286
23,0.2,0,23,0.2,0.009897433,23,0.45,0.14248523,23,0.85,0.090401598,23,0.65,0.077089929,23,0.75,0.053107515,23,0.85,0.053842173
24,0.2,0,24,0.2,0.007071068,24,0.5,0.166953495,24,0.85,0.094025615,24,0.85,0.088415762,24,0.8,0.086094395,24,0.85,0.065807387
25,0.2,0,25,0.2,0.022223356,25,0.85,0.173205081,25,0.85,0.108627805,25,0.85,0.08222046,25,0.75,0.080438847,25,0.9,0.081946971
26,0.2,0,26,0.2,0.009897433,26,0.4,0.155999084,26,0.85,0.082462113,26,0.7,0.095452734,26,0.75,0.059212519,26,0.9,0.068183426
27,0.2,0,27,0.2,0.014142136,27,0.45,0.177686378,27,0.85,0.093574155,27,0.8,0.074805871,27,0.8,0.067642518,27,0.9,0.07309485
28,0.2,0,28,0.2,0,28,0.9,0.187651979,28,0.85,0.083690392,28,0.7,0.076505302,28,0.8,0.079545905,28,0.9,0.078219993
29,0.2,0,29,0.2,0,29,0.9,0.161067865,29,0.85,0.096974644,29,0.7,0.079980865,29,0.75,0.090062337,29,0.9,0.062138752
30,0.2,0,30,0.2,0,30,0.45,0.161232498,30,0.85,0.095596943,30,0.75,0.080407127,30,0.75,0.061850709,30,0.9,0.067770622
