"","folds.5","folds.6","folds.7","folds.8","folds.9","folds.10","folds.11","folds.12","folds.13","folds.14","folds.15","folds.16","folds.17","folds.18","folds.19","folds.20","folds.21","folds.22","folds.23","folds.24","folds.25","folds.26","folds.27","folds.28","folds.29","folds.30","folds.31","folds.32","folds.33","folds.34","folds.35","folds.36","folds.37","folds.38","folds.39","folds.40","folds.41","folds.42","folds.43","folds.44","folds.45"
"1",0.8,0.8,0.6,0.85,0.9,0.7,0.85,0.8,0.7,0.7,0.7,0.85,0.85,0.75,0.85,0.85,0.8,0.75,0.9,0.9,0.65,0.7,0.7,0.7,0.85,0.85,0.7,0.9,0.65,0.7,0.8,0.75,0.75,0.85,0.7,0.7,0.65,0.5,0.85,0.65,0.9
"2",0.65,0.7,0.7,0.75,0.7,0.8,0.75,0.85,0.8,0.6,0.65,0.7,0.7,0.9,0.8,0.7,0.7,0.65,0.85,0.8,0.75,0.7,0.7,0.65,0.9,0.75,0.8,0.65,0.7,0.7,0.7,0.85,0.75,0.65,0.85,0.8,0.7,0.7,0.8,0.7,0.8
"3",0.85,0.8,0.7,0.75,0.65,0.75,0.75,0.85,0.65,0.65,0.7,0.9,0.85,0.7,0.65,0.65,0.85,0.7,0.85,0.7,0.85,0.85,0.65,0.75,0.8,0.7,0.85,0.7,0.7,0.8,0.7,0.85,0.75,0.75,0.7,0.65,0.65,0.7,0.65,0.85,0.65
"4",0.8,0.9,0.7,0.9,0.7,0.9,0.85,0.65,0.85,0.75,0.75,0.9,0.7,0.7,0.8,0.75,0.85,0.8,0.7,0.85,0.85,0.65,0.9,0.8,0.85,0.7,0.85,0.65,0.8,0.85,0.75,0.75,0.7,0.7,0.85,0.75,0.7,0.85,0.7,0.85,0.65
"5",0.75,0.65,0.7,0.7,0.65,0.75,0.7,0.65,0.9,0.75,0.65,0.85,0.8,0.9,0.65,0.7,0.7,0.7,0.85,0.7,0.9,0.85,0.85,0.85,0.7,0.7,0.65,0.7,0.7,0.9,0.75,0.75,0.75,0.75,0.8,0.75,0.8,0.8,0.7,0.65,0.85
"6",0.65,0.65,0.85,0.65,0.7,0.7,0.8,0.65,0.6,0.7,0.7,0.75,0.75,0.9,0.9,0.7,0.9,0.85,0.8,0.8,0.8,0.65,0.85,0.65,0.65,0.75,0.85,0.7,0.8,0.7,0.7,0.85,0.85,0.75,0.85,0.8,0.75,0.8,0.7,0.65,0.7
"7",0.7,0.9,0.7,0.65,0.65,0.85,0.75,0.9,0.75,0.85,0.85,0.75,0.7,0.85,0.7,0.75,0.7,0.85,0.8,0.8,0.65,0.7,0.85,0.85,0.7,0.7,0.9,0.8,0.65,0.7,0.65,0.7,0.8,0.8,0.85,0.85,0.85,0.9,0.65,0.75,0.7
"8",0.6,0.9,0.75,0.85,0.6,0.8,0.8,0.75,0.7,0.7,0.8,0.65,0.7,0.8,0.65,0.7,0.8,0.8,0.7,0.9,0.9,0.9,0.9,0.7,0.65,0.9,0.85,0.65,0.7,0.85,0.7,0.75,0.65,0.8,0.65,0.75,0.85,0.8,0.85,0.75,0.85
"9",0.7,0.8,0.65,0.75,0.9,0.75,0.85,0.65,0.75,0.75,0.65,0.9,0.85,0.7,0.8,0.85,0.8,0.65,0.8,0.6,0.7,0.75,0.7,0.8,0.7,0.6,0.7,0.9,0.7,0.75,0.8,0.9,0.7,0.8,0.7,0.7,0.8,0.75,0.8,0.7,0.75
"10",0.85,0.9,0.8,0.85,0.4,0.45,0.55,0.7,0.75,0.85,0.65,0.7,0.8,0.7,0.7,0.75,0.65,0.85,0.85,0.85,0.7,0.75,0.75,0.8,0.8,0.65,0.7,0.8,0.7,0.7,0.85,0.85,0.85,0.6,0.8,0.75,0.75,0.75,0.7,0.8,0.65
"11",0.7,0.8,0.9,0.55,0.85,0.85,0.7,0.75,0.65,0.6,0.85,0.85,0.75,0.7,0.7,0.85,0.7,0.7,0.75,0.9,0.7,0.65,0.85,0.7,0.8,0.7,0.75,0.85,0.7,0.7,0.6,0.7,0.75,0.7,0.8,0.75,0.65,0.65,0.6,0.85,0.85
"12",0.9,0.65,0.75,0.8,0.75,0.75,0.7,0.85,0.8,0.7,0.75,0.7,0.7,0.85,0.85,0.65,0.7,0.75,0.85,0.75,0.8,0.7,0.85,0.65,0.7,0.85,0.85,0.7,0.7,0.8,0.7,0.7,0.7,0.65,0.8,0.65,0.9,0.7,0.85,0.85,0.6
"13",0.7,0.5,0.7,0.65,0.6,0.85,0.8,0.85,0.75,0.75,0.85,0.7,0.9,0.85,0.85,0.8,0.85,0.65,0.7,0.7,0.7,0.8,0.65,0.8,0.85,0.65,0.7,0.65,0.65,0.7,0.7,0.75,0.85,0.8,0.65,0.85,0.7,0.8,0.7,0.7,0.8
"14",0.7,0.7,0.75,0.9,0.85,0.6,0.9,0.9,0.75,0.85,0.8,0.8,0.75,0.8,0.85,0.7,0.8,0.7,0.6,0.7,0.65,0.8,0.85,0.65,0.6,0.75,0.85,0.8,0.75,0.75,0.65,0.65,0.85,0.6,0.75,0.7,0.75,0.7,0.6,0.7,0.75
"15",0.7,0.9,0.85,0.5,0.7,0.8,0.6,0.85,0.75,0.7,0.65,0.7,0.85,0.7,0.7,0.85,0.8,0.7,0.85,0.7,0.65,0.7,0.8,0.75,0.85,0.55,0.85,0.7,0.8,0.9,0.7,0.8,0.75,0.85,0.9,0.75,0.85,0.7,0.75,0.65,0.65
"16",0.8,0.85,0.75,0.65,0.75,0.7,0.65,0.65,0.85,0.85,0.6,0.75,0.85,0.75,0.75,0.65,0.7,0.7,0.65,0.7,0.8,0.8,0.7,0.8,0.8,0.65,0.8,0.65,0.7,0.7,0.7,0.8,0.75,0.65,0.85,0.65,0.65,0.8,0.75,0.85,0.85
"17",0.55,0.65,0.7,0.9,0.55,0.6,0.75,0.5,0.9,0.65,0.7,0.75,0.9,0.7,0.9,0.65,0.7,0.7,0.75,0.7,0.6,0.7,0.85,0.7,0.65,0.8,0.8,0.8,0.85,0.75,0.8,0.7,0.8,0.75,0.7,0.75,0.7,0.75,0.6,0.85,0.85
"18",0.55,0.75,0.8,0.6,0.75,0.75,0.85,0.9,0.65,0.9,0.8,0.75,0.7,0.75,0.85,0.8,0.85,0.7,0.8,0.8,0.85,0.9,0.7,0.65,0.5,0.6,0.85,0.9,0.75,0.7,0.65,0.85,0.85,0.8,0.7,0.7,0.75,0.8,0.65,0.8,0.7
"19",0.9,0.8,0.7,0.7,0.7,0.9,0.7,0.7,0.85,0.75,0.9,0.65,0.8,0.7,0.75,0.8,0.6,0.4,0.7,0.75,0.6,0.8,0.9,0.85,0.85,0.7,0.65,0.85,0.8,0.7,0.75,0.65,0.75,0.8,0.85,0.85,0.8,0.8,0.8,0.65,0.65
"20",0.6,0.65,0.65,0.65,0.65,0.65,0.65,0.7,0.55,0.75,0.55,0.8,0.7,0.85,0.75,0.7,0.7,0.65,0.75,0.85,0.75,0.85,0.6,0.8,0.65,0.85,0.7,0.65,0.7,0.9,0.85,0.8,0.65,0.7,0.75,0.75,0.8,0.7,0.65,0.8,0.85
"21",0.8,0.75,0.75,0.8,0.7,0.65,0.7,0.75,0.65,0.65,0.7,0.6,0.7,0.7,0.7,0.85,0.9,0.75,0.6,0.7,0.7,0.8,0.85,0.6,0.65,0.65,0.85,0.75,0.8,0.85,0.75,0.65,0.85,0.75,0.65,0.65,0.75,0.8,0.7,0.85,0.85
"22",0.8,0.9,0.9,0.85,0.6,0.65,0.85,0.7,0.85,0.75,0.8,0.65,0.8,0.7,0.7,0.85,0.7,0.65,0.75,0.75,0.75,0.85,0.8,0.85,0.8,0.8,0.85,0.6,0.8,0.65,0.85,0.65,0.65,0.65,0.7,0.65,0.7,0.65,0.85,0.7,0.7
"23",0.9,0.65,0.7,0.85,0.6,0.7,0.8,0.6,0.7,0.7,0.75,0.6,0.7,0.75,0.6,0.85,0.7,0.8,0.7,0.75,0.65,0.65,0.85,0.85,0.9,0.65,0.8,0.7,0.8,0.85,0.7,0.85,0.9,0.65,0.65,0.65,0.75,0.85,0.65,0.85,0.9
"24",0.65,0.85,0.7,0.9,0.7,0.65,0.7,0.8,0.8,0.75,0.85,0.8,0.8,0.7,0.7,0.6,0.7,0.9,0.65,0.8,0.75,0.8,0.75,0.75,0.6,0.65,0.8,0.9,0.85,0.75,0.7,0.7,0.85,0.75,0.75,0.65,0.75,0.65,0.85,0.7,0.7
"25",0.7,0.55,0.55,0.6,0.65,0.8,0.7,0.7,0.85,0.65,0.7,0.65,0.7,0.85,0.75,0.75,0.65,0.75,0.65,0.8,0.65,0.8,0.75,0.65,0.85,0.85,0.75,0.65,0.7,0.8,0.7,0.75,0.7,0.7,0.65,0.75,0.8,0.75,0.8,0.75,0.65
"26",0.65,0.75,0.6,0.8,0.8,0.85,0.75,0.65,0.6,0.6,0.85,0.8,0.8,0.6,0.7,0.65,0.7,0.8,0.65,0.85,0.7,0.65,0.7,0.65,0.55,0.8,0.65,0.85,0.7,0.8,0.8,0.85,0.7,0.8,0.85,0.7,0.7,0.9,0.65,0.65,0.75
"27",0.9,0.7,0.5,0.65,0.85,0.7,0.8,0.7,0.7,0.8,0.7,0.7,0.7,0.7,0.7,0.75,0.65,0.7,0.8,0.9,0.65,0.9,0.7,0.85,0.65,0.7,0.75,0.8,0.7,0.7,0.85,0.85,0.85,0.75,0.65,0.9,0.75,0.6,0.7,0.85,0.75
"28",0.9,0.7,0.7,0.7,0.85,0.75,0.65,0.7,0.65,0.65,0.75,0.7,0.8,0.85,0.7,0.65,0.85,0.7,0.75,0.65,0.75,0.7,0.7,0.8,0.7,0.65,0.9,0.85,0.65,0.7,0.85,0.8,0.85,0.75,0.8,0.85,0.65,0.7,0.85,0.8,0.7
"29",0.55,0.75,0.85,0.9,0.6,0.6,0.7,0.8,0.6,0.75,0.7,0.7,0.7,0.7,0.85,0.85,0.85,0.6,0.75,0.85,0.85,0.7,0.75,0.65,0.7,0.7,0.85,0.85,0.85,0.65,0.7,0.85,0.6,0.85,0.65,0.8,0.8,0.7,0.7,0.7,0.85
"30",0.8,0.7,0.65,0.85,0.75,0.85,0.65,0.7,0.8,0.8,0.85,0.75,0.65,0.65,0.65,0.75,0.7,0.7,0.7,0.85,0.8,0.85,0.75,0.75,0.7,0.65,0.65,0.7,0.7,0.8,0.85,0.8,0.7,0.7,0.85,0.85,0.7,0.8,0.85,0.85,0.8
"31",0.6,0.75,0.65,0.65,0.7,0.75,0.7,0.7,0.65,0.65,0.6,0.85,0.85,0.85,0.75,0.75,0.7,0.85,0.65,0.85,0.85,0.85,0.65,0.7,0.8,0.85,0.65,0.6,0.7,0.7,0.75,0.85,0.85,0.55,0.65,0.65,0.8,0.85,0.7,0.7,0.75
"32",0.9,0.5,0.85,0.8,0.5,0.85,0.65,0.75,0.5,0.8,0.7,0.8,0.75,0.7,0.85,0.85,0.9,0.7,0.85,0.85,0.9,0.6,0.7,0.7,0.7,0.85,0.65,0.85,0.7,0.7,0.8,0.85,0.75,0.85,0.75,0.75,0.9,0.65,0.75,0.7,0.7
"33",0.7,0.75,0.8,0.8,0.75,0.85,0.8,0.5,0.9,0.85,0.8,0.65,0.7,0.5,0.85,0.65,0.65,0.75,0.8,0.7,0.85,0.8,0.7,0.85,0.7,0.85,0.75,0.7,0.85,0.65,0.85,0.65,0.7,0.85,0.8,0.7,0.65,0.65,0.75,0.75,0.65
"34",0.85,0.45,0.9,0.65,0.4,0.75,0.65,0.7,0.7,0.7,0.7,0.7,0.8,0.75,0.85,0.65,0.85,0.9,0.75,0.65,0.7,0.85,0.85,0.75,0.75,0.7,0.65,0.7,0.65,0.85,0.7,0.7,0.85,0.85,0.75,0.65,0.8,0.75,0.7,0.85,0.75
"35",0.85,0.75,0.45,0.85,0.5,0.75,0.65,0.65,0.75,0.75,0.7,0.7,0.8,0.7,0.75,0.85,0.65,0.65,0.75,0.7,0.75,0.8,0.8,0.85,0.65,0.7,0.65,0.6,0.7,0.9,0.8,0.75,0.65,0.85,0.65,0.75,0.8,0.75,0.7,0.75,0.75
"36",0.7,0.6,0.8,0.8,0.85,0.75,0.7,0.75,0.7,0.7,0.7,0.9,0.7,0.65,0.7,0.85,0.85,0.7,0.65,0.6,0.85,0.7,0.65,0.7,0.75,0.6,0.85,0.8,0.85,0.85,0.85,0.8,0.85,0.85,0.8,0.65,0.7,0.85,0.65,0.85,0.75
"37",0.45,0.6,0.7,0.9,0.55,0.85,0.9,0.55,0.8,0.7,0.8,0.6,0.8,0.85,0.7,0.85,0.75,0.7,0.65,0.65,0.85,0.85,0.85,0.75,0.65,0.85,0.75,0.8,0.8,0.7,0.85,0.65,0.7,0.85,0.8,0.85,0.8,0.7,0.8,0.75,0.7
"38",0.55,0.9,0.85,0.8,0.6,0.6,0.75,0.75,0.9,0.75,0.7,0.7,0.75,0.7,0.9,0.75,0.85,0.7,0.7,0.85,0.85,0.85,0.8,0.6,0.7,0.85,0.7,0.65,0.65,0.65,0.7,0.6,0.7,0.65,0.8,0.75,0.7,0.6,0.75,0.7,0.7
"39",0.7,0.7,0.8,0.8,0.75,0.55,0.85,0.85,0.45,0.85,0.85,0.7,0.7,0.7,0.7,0.65,0.7,0.7,0.75,0.75,0.8,0.8,0.85,0.8,0.65,0.8,0.85,0.85,0.85,0.75,0.85,0.75,0.9,0.85,0.8,0.65,0.85,0.7,0.75,0.65,0.85
"40",0.85,0.85,0.7,0.8,0.9,0.6,0.55,0.65,0.75,0.7,0.8,0.9,0.75,0.8,0.85,0.85,0.7,0.8,0.7,0.9,0.65,0.85,0.85,0.85,0.75,0.85,0.65,0.7,0.7,0.65,0.65,0.9,0.9,0.7,0.65,0.75,0.75,0.75,0.75,0.75,0.75
