"","X.5.45.","NO3test5to45modes","NO3test5to45stdevs","X.5.45..1","TNtest5to45modes","TNtest5to45stdevs","X.5.45..2","SRPtest5to45modes","SRPtest5to45stdevs","X.5.45..3","TPtest5to45modes","TPtest5to45stdevs","X.5.45..4","TSStest5to45modes","TSStest5to45stdevs","X.5.45..5","Cltest5to45modes","Cltest5to45stdevs","X.5.45..6","SO4test5to45modes","SO4test5to45stdevs"
"folds.5",5,0.2,0.0229845227987942,5,0.2,0.0575825776885097,5,0.5,0.173473544295868,5,0.9,0.143761703618966,5,0.7,0.118059044286907,5,0.75,0.142644970425135,5,0.9,0.111077971784759
"folds.6",6,0.2,0.0197810209238247,6,0.2,0.0516009705350603,6,0.5,0.178792972252622,6,0.85,0.135925248475672,6,0.7,0.115465719295089,6,0.8,0.140182126280523,6,0.9,0.111665871092142
"folds.7",7,0.2,0.0165914217376111,7,0.2,0.0460772515794195,7,0.5,0.176159955239066,7,0.85,0.130298331359827,7,0.7,0.104671551214423,7,0.75,0.135908235764241,7,0.9,0.101528841250187
"folds.8",8,0.2,0.0116676318777048,8,0.2,0.0412285980515624,8,0.45,0.175148664152926,8,0.85,0.125421212242908,8,0.7,0.105041295087569,8,0.75,0.126368821625744,8,0.9,0.0967563915165262
"folds.9",9,0.2,0.00982275350838483,9,0.2,0.0350238014308365,9,0.5,0.172849571808768,9,0.85,0.120160053422252,9,0.7,0.105953887263404,9,0.8,0.121857813975251,9,0.9,0.0987533783205908
"folds.10",10,0.2,0.00974024498523381,10,0.2,0.0359999096317407,10,0.45,0.170098533241798,10,0.85,0.115140163528012,10,0.65,0.101971310416941,10,0.75,0.108534509441651,10,0.9,0.0932426495317014
"folds.11",11,0.2,0.00767130033624345,11,0.2,0.0287559455487801,11,0.5,0.175070063194788,11,0.85,0.118814421964957,11,0.7,0.0957178766579781,11,0.8,0.11564761939561,11,0.9,0.0898156130321691
"folds.12",12,0.2,0.00627689408859186,12,0.2,0.0284342400286346,12,0.5,0.174136156213754,12,0.85,0.113060692639928,12,0.7,0.0966728666335241,12,0.8,0.0970680158430144,12,0.9,0.087153345923755
"folds.13",13,0.2,0.00752689538615717,13,0.2,0.0264021698838291,13,0.45,0.167779878375172,13,0.85,0.112719932945701,13,0.7,0.0962720536204994,13,0.75,0.100260808543168,13,0.9,0.0799584476672312
"folds.14",14,0.2,0.00684283013995849,14,0.2,0.0255994693857672,14,0.45,0.167177288367008,14,0.85,0.108852003926243,14,0.7,0.0931502789822686,14,0.8,0.0968626469407706,14,0.9,0.0884426345129972
"folds.15",15,0.2,0.00417071875039482,15,0.2,0.0265922384756746,15,0.45,0.168799795233498,15,0.85,0.108840968189172,15,0.7,0.0923987961909545,15,0.75,0.098134705483944,15,0.9,0.0834378323775964
"folds.16",16,0.2,0.00352844866052348,16,0.2,0.0217593881111343,16,0.45,0.173384694400204,16,0.85,0.104091666693713,16,0.7,0.0907276639675519,16,0.75,0.0909595164544845,16,0.9,0.081763349033936
"folds.17",17,0.2,0.00445644026773162,17,0.2,0.0224609548883055,17,0.45,0.170534577262331,17,0.85,0.109918513361397,17,0.7,0.0881083030881487,17,0.75,0.085282886153499,17,0.9,0.0838999356328669
"folds.18",18,0.2,0.00417071875039482,18,0.2,0.0207269656994724,18,0.45,0.168647567435768,18,0.85,0.102920017635201,18,0.7,0.0884680965326151,18,0.75,0.0887707172452732,18,0.9,0.0738811100242709
"folds.19",19,0.2,0.00352844866052348,19,0.2,0.0169477055888024,19,0.5,0.173470543694108,19,0.85,0.101005753114177,19,0.7,0.0888342925425285,19,0.75,0.087801019464577,19,0.9,0.0782180002017154
"folds.20",20,0.2,0.00315752592546284,20,0.2,0.0198179906335822,20,0.45,0.170914040116981,20,0.85,0.100661426190586,20,0.7,0.0854206455529733,20,0.75,0.0835342323120765,20,0.9,0.0719344463005351
"folds.21",21,0.2,0.00315752592546284,21,0.2,0.0177930911899561,21,0.45,0.170725876260234,21,0.85,0.0998419045586867,21,0.7,0.0837479027272398,21,0.75,0.0884077254877985,21,0.9,0.0733899419783364
"folds.22",22,0.2,0.0027358700599599,22,0.2,0.0168184529716725,22,0.45,0.170969062758209,22,0.85,0.098569294944754,22,0.7,0.0843318555580385,22,0.75,0.0804581475893742,22,0.9,0.0735239128839439
"folds.23",23,0.2,0,23,0.2,0.0170308558225959,23,0.45,0.172145495356607,23,0.85,0.0947627562915937,23,0.7,0.0854861707259448,23,0.75,0.0717581126195967,23,0.9,0.0708905174580174
"folds.24",24,0.2,0.00352844866052348,24,0.2,0.0147680599807692,24,0.45,0.174688941339245,24,0.85,0.100443448698192,24,0.7,0.0815595608249699,24,0.75,0.0809307715877576,24,0.9,0.0709839151936283
"folds.25",25,0.2,0.00158113883008419,25,0.2,0.0127514744284769,25,0.9,0.177520395985901,25,0.85,0.0931372753093629,25,0.7,0.0847342309216877,25,0.75,0.0793901776059249,25,0.9,0.0692516844256932
"folds.26",26,0.2,0.00386327903793202,26,0.2,0.0184754253358709,26,0.45,0.176121005585957,26,0.85,0.0949292977513874,26,0.7,0.0835043290672584,26,0.75,0.0728176655243246,26,0.9,0.0720251700805012
"folds.27",27,0.2,0,27,0.2,0.0165551071144699,27,0.45,0.176376496928215,27,0.85,0.0937238585508603,27,0.7,0.0840867443809105,27,0.75,0.0715620089231788,27,0.9,0.07081677071863
"folds.28",28,0.2,0,28,0.2,0.0149050212901445,28,0.45,0.175342072368107,28,0.85,0.093327488019447,28,0.7,0.0826415581116857,28,0.75,0.0745792166730086,28,0.9,0.067776054721366
"folds.29",29,0.2,0,29,0.2,0.00751358462745672,29,0.9,0.176985547104513,29,0.85,0.0953859317508404,29,0.7,0.0839471537613076,29,0.75,0.075916011096084,29,0.9,0.069980048636788
