"","Date","concentrations.SRP","Flow"
"1",2009-07-08,0.002,5
"2",2009-07-15,0.003,4
"3",2009-07-22,0.003,9
"4",2009-07-29,0.002,3
"5",2009-08-05,0.004,99
"6",2009-08-12,0.005,37
"7",2009-08-19,0.014,40
"8",2009-08-26,0.003,18
"9",2009-09-02,0.004,8.9
"10",2009-09-09,0.005,16
"11",2009-09-16,0.012,124
"12",2009-09-17,0.014,241
"13",2009-09-22,0.029,2350
"14",2009-09-29,0.007,51
"15",2009-10-07,0.007,34
"16",2009-10-09,0.085,6260
"17",2009-10-14,0.024,811
"18",2009-10-21,0.0095,139
"19",2009-10-28,0.013,427
"20",2009-11-04,0.009,185
"21",2009-11-11,0.005,92
"22",2009-11-18,0.007,156
"23",2009-11-24,0.008,103
"24",2009-12-02,0.001,75
"25",2009-12-09,0.005,74
"26",2009-12-16,0.004,53
"27",2009-12-22,0.001,37
"28",2009-12-31,0.0075,197
"29",2010-01-06,0.01,107
"30",2010-01-13,0.003,62
"31",2010-01-20,0.002,59
"32",2010-01-27,0.001,222
"33",2010-02-04,0.002,503
"34",2010-02-11,0.008,287
"35",2010-02-17,0.009,147
"36",2010-02-24,0.006,210
"37",2010-03-03,0.005,104
"38",2010-03-10,0.01,86
"39",2010-03-17,0.0015,61
"40",2010-03-23,0.02,1040
"41",2010-03-31,0.002,219
"42",2010-04-07,0.005,215
"43",2010-04-14,0.002,88
"44",2010-04-21,0.002,48
"45",2010-04-28,0.002,48
"46",2010-05-05,0.002,52
"47",2010-05-12,0.0025,109
"48",2010-05-13,0.067,199
"49",2010-05-14,0.062,745
"50",2010-05-15,0.06,2070
"51",2010-05-15,0.057,2070
"52",2010-05-17,0.013,808
"53",2010-05-26,0.021,272
"54",2010-06-02,0.004,66
"55",2010-06-09,0.006,33
"56",2010-06-16,0.005,33
"57",2010-06-24,0.007,14
"58",2010-07-08,0.004,3.9
"59",2010-07-13,0.172,1150
"60",2010-07-22,0.015,150
"61",2010-07-28,0.003,77
"62",2010-08-05,0.001,30
"63",2010-08-10,0.002,18
"64",2010-08-19,0.003,6.1
"65",2010-08-26,0.004,1.8
"66",2010-09-01,0.002,2
"67",2010-09-09,0.009,125
"68",2010-09-16,0.005,45
"69",2010-09-22,0.001,15
"70",2010-09-29,0.004,11
"71",2010-10-06,0.002,6.8
"72",2010-10-14,0.002,4.3
"73",2010-10-20,0.002,4.3
"74",2010-10-27,0.006,6
"75",2010-11-02,0.006,5.2
"76",2010-11-10,0.003,4.1
"77",2010-11-17,0.006,5.1
"78",2010-11-30,0.007,21
"79",2010-12-07,0.0035,9.8
"80",2010-12-14,0.003,5.1
"81",2010-12-19,0.008,3.6
"82",2011-01-05,0.004,20
"83",2011-01-11,0.009,11
"84",2011-01-18,0.004,6.4
"85",2011-01-25,0.004,4.6
"86",2011-02-04,0.01,29
"87",2011-02-08,0.0065,68
"88",2011-02-14,0.012,308
"89",2011-02-24,0.075,179
"90",2011-02-28,0.031,257
"91",2011-03-04,0.118,151
"92",2011-03-14,0.019,259
"93",2011-03-29,0.004,55
"94",2011-04-06,0.01,88
"95",2011-04-11,0.034,586
"96",2011-04-22,0.006,197
"97",2011-04-23,0.071,1050
"98",2011-04-25,0.04,29300
"99",2011-04-26,0.036,9370
"100",2011-05-12,0.01,320
"101",2011-05-19,0.005,252
"102",2011-05-24,0.041,5550
"103",2011-06-08,0.0015,88
"104",2011-06-15,0.006,52
"105",2011-07-15,0.002,17
"106",2011-07-21,0.002,13
"107",2011-07-29,0.002,12
"108",2011-08-03,0.001,9.8
"109",2011-08-11,0.003,178
"110",2011-08-18,0.007,107
"111",2011-09-01,0.003,9
"112",2011-09-08,0.003,2.6
"113",2011-09-16,0.006,2.5
"114",2011-09-22,0.003,34
"115",2011-09-30,0.002,10
"116",2011-10-06,0.001,5.7
"117",2011-10-12,0.001,14
"118",2011-10-26,0.002,6.4
"119",2011-11-03,0.0045,14
"120",2011-11-08,0.109,1640
"121",2011-11-17,0.013,91
"122",2011-12-01,0.012,73
"123",2011-12-08,0.007,177
"124",2011-12-15,0.017,760
"125",2012-01-05,0.007,42
"126",2012-01-12,0.007,146
"127",2012-01-19,0.002,49
"128",2012-01-25,0.038,987
"129",2012-02-02,0.007,174
"130",2012-02-04,0.026,700
"131",2012-02-16,0.037,278
"132",2012-03-01,0.007,95
"133",2012-03-12,0.01,357
"134",2012-03-20,0.036,2520
"135",2012-03-29,0.001,88
"136",2012-04-12,0.0035,50
"137",2012-04-19,0.002,42
"138",2012-04-26,0.002,26
"139",2012-05-01,0.001,17
"140",2012-05-10,0.004,12
"141",2012-05-16,0.002,7.9
"142",2012-05-24,0.002,3.2
"143",2012-06-01,0.004,3.3
"144",2012-06-05,0.001,7.1
"145",2012-06-14,0.004,2.8
"146",2012-06-21,0.002,1.8
"147",2012-06-28,0.005,0.81
"148",2012-07-12,0.002,0.59
"149",2012-07-19,0.002,0.3
"150",2012-08-02,0.002,0.36
"151",2012-08-15,0.005,0.03
"152",2012-08-20,0.005,0.23
"153",2012-08-29,0.002,0.56
"154",2012-09-05,0.002,0.39
"155",2012-09-25,0.002,3
"156",2012-10-01,0.004,2.9
"157",2012-10-09,0.005,2.4
"158",2012-10-24,0.002,10
"159",2012-10-31,0.007,6.4
"160",2012-11-07,0.005,4.5
"161",2012-11-14,0.009,4.1
"162",2012-11-28,0.002,2.9
"163",2012-12-05,0.005,3
"164",2012-12-12,0.001,3
"165",2013-01-04,0.001,13
"166",2013-01-10,0.002,8.6
"167",2013-01-15,0.002,51
"168",2013-01-23,0.004,16
"169",2013-01-30,0.024,712
"170",2013-02-06,0.003,48
"171",2013-02-11,0.004,228
"172",2013-02-20,0.002,111
"173",2013-02-27,0.001,254
"174",2013-03-06,0.003,72
"175",2013-03-10,0.029,443
"176",2013-03-19,0.003,95
"177",2013-03-29,0.006,203
"178",2013-04-03,0.008,441
"179",2013-04-11,0.007,406
"180",2013-04-18,0.0335,422
"181",2013-04-24,0.005,210
"182",2013-04-27,0.035,602
"183",2013-05-10,0.077,583
"184",2013-05-21,0.009,1450
"185",2013-05-21,0.05,1450
"186",2013-05-30,0.005,22
"187",2013-06-06,0.008,288
"188",2013-06-26,0.003,16
"189",2013-07-08,0.001,3.2
"190",2013-07-19,0.005,1.8
"191",2013-07-31,0.004,7.1
"192",2013-08-07,0.008,12
"193",2013-08-08,0.089,147
"194",2013-08-20,0.004,34
"195",2013-08-28,0.003,10
"196",2013-09-04,0.01,4.5
"197",2013-09-11,0.004,2
"198",2013-09-18,0.006,1.6
"199",2013-09-23,0.007,1.7
"200",2013-10-02,0.0065,1
"201",2013-10-06,0.014,21
"202",2013-10-24,0.007,18
"203",2013-10-30,0.003,12
"204",2013-11-06,0.001,14
"205",2013-11-13,0.005,23
"206",2013-11-22,0.002,110
"207",2013-12-02,0.001,26
"208",2013-12-12,0.006,33
"209",2013-12-18,0.006,197
"210",2013-12-21,0.048,1160
"211",2014-01-09,0.0115,140
"212",2014-01-10,0.04,343
"213",2014-01-22,0.007,82
"214",2014-01-28,0.006,42
"215",2014-02-06,0.008,53
"216",2014-02-12,0.008,42
"217",2014-02-21,0.005,49
"218",2014-02-25,0.003,41
"219",2014-03-07,0.007,304
"220",2014-03-11,0.005,210
"221",2014-03-16,0.048,2810
"222",2014-03-27,0.011,106
"223",2014-04-03,0.008,211
"224",2014-04-04,0.014,707
"225",2014-04-07,0.023,974
"226",2014-04-14,0.0095,338
"227",2014-04-22,0.014,98
"228",2014-04-28,0.005,72
"229",2014-05-09,0.007,52
"230",2014-05-13,0.004,273
"231",2014-05-20,0.002,70
"232",2014-05-28,0.004,27
"233",2014-06-02,0.002,20
"234",2014-06-10,0.0055,18
"235",2014-07-01,0.009,20
"236",2014-07-09,0.003,8.1
"237",2014-07-23,0.005,5.3
"238",2014-07-29,0.005,2.8
"239",2014-08-05,0.012,2.5
"240",2014-08-12,0.009,16
"241",2014-08-19,0.031,27
"242",2014-08-27,0.007,0.6
"243",2014-09-02,0.13,94
"244",2014-09-10,0.007,9.4
"245",2014-09-17,0.006,5.8
"246",2014-09-24,0.003,3.9
"247",2014-10-01,0.004,2.5
"248",2014-10-08,0.004,3.7
"249",2014-10-10,0.182,184
"250",2014-10-13,0.097,817
"251",2014-10-22,0.007,48
"252",2014-10-29,0.006,23
"253",2014-11-06,0.013,134
"254",2014-11-12,0.007,40
"255",2014-11-19,0.002,24
"256",2014-12-05,0.006,33
"257",2014-12-10,0.009,75
"258",2014-12-17,0.009,153
"259",2015-01-05,0.015,344
"260",2015-01-07,0.008,230
"261",2015-01-14,0.006,95
"262",2015-01-21,0.004,55
"263",2015-01-28,0.005,35
"264",2015-02-04,0.0025,38
"265",2015-02-11,0.006,29
"266",2015-02-18,0.001,28
"267",2015-02-25,0.008,132
"268",2015-03-05,0.011,487
"269",2015-03-10,0.015,535
"270",2015-03-14,0.0345,1300
"271",2015-03-19,0.009,410
"272",2015-03-26,0.031,906
"273",2015-04-01,0.009,245
"274",2015-04-13,0.004,110
"275",2015-04-14,0.007,448
"276",2015-04-22,0.012,148
"277",2015-04-24,0.072,166
"278",2015-04-29,0.0025,67
