"","Dates","Flow","Conc","lnQ","lnC","Reg_Residuals","Special_Residuals","Reg_Pvalue","Special_Span","Special_Pvalue","Reg_Perc_Change_yr","Special_Perc_Change_yr"
"1",2009-07-08,5,0.41,1.6094379124341,-0.891598119283784,-0.0781805654445156,-0.0796468349568206,7.49783214434879e-06,0.6,9.02803126697648e-06,7.23736204726322,7.19424757846809
"2",2009-07-29,3,0.34,1.09861228866811,-1.07880966137193,0.018279450920772,-0.0200782341098351,NA,NA,NA,NA,NA
"3",2009-08-05,99,0.49,4.59511985013459,-0.713349887877465,-0.867167930881767,-0.890853224478721,NA,NA,NA,NA,NA
"4",2009-08-12,37,1.46,3.61091791264422,0.378436435720245,0.229191791520076,0.258095512144962,NA,NA,NA,NA,NA
"5",2009-08-19,40,1.43,3.68887945411394,0.357674444271816,0.193989523522238,0.222431003344376,NA,NA,NA,NA,NA
"6",2009-08-26,18,0.8,2.89037175789616,-0.22314355131421,-0.113633545332959,-0.121810373346901,NA,NA,NA,NA,NA
"7",2009-09-02,8.9,0.43,2.18605127673809,-0.843970070294529,-0.383610837965522,-0.38705145219635,NA,NA,NA,NA,NA
"8",2009-09-09,16,0.81,2.77258872223978,-0.210721031315653,-0.0477714810301632,-0.057923031345008,NA,NA,NA,NA,NA
"9",2009-09-16,124,0.665,4.82028156560504,-0.407968238326283,-0.601344806369994,-0.605991440834969,NA,NA,NA,NA,NA
"10",2009-09-17,241,0.85,5.48479693349065,-0.162518929497775,-0.441863790950397,-0.425307342912995,NA,NA,NA,NA,NA
"11",2009-09-22,2350,1.22,7.7621706071382,0.198850858745165,-0.106035201300827,-0.108471431182216,NA,NA,NA,NA,NA
"12",2009-09-29,51,1.38,3.93182563272433,0.322083499169113,0.141818522123729,0.150921400223353,NA,NA,NA,NA,NA
"13",2009-10-07,34,1.15,3.52636052461616,0.139761942375159,0.0132696797502313,0.036095680931302,NA,NA,NA,NA,NA
"14",2009-10-09,6260,1.19,8.74193546409414,0.173953307123438,-0.111864617282523,-0.111827796557175,NA,NA,NA,NA,NA
"15",2009-10-14,811,1.29,6.69826805411541,0.254642218373581,-0.0743703226999971,-0.0723082233560564,NA,NA,NA,NA,NA
"16",2009-10-21,139,1.49,4.93447393313069,0.398776119957368,0.182135603636338,0.189665154859987,NA,NA,NA,NA,NA
"17",2009-10-28,427,0.71,6.05678401322862,-0.342490308946776,-0.657388355712956,-0.65472398428385,NA,NA,NA,NA,NA
"18",2009-11-04,185,1.26,5.22035582507832,0.231111720963387,-0.0277609829608593,-0.00579346009069534,NA,NA,NA,NA,NA
"19",2009-11-11,92,0.96,4.52178857704904,-0.0408219945202552,-0.191422227382023,-0.215938607286935,NA,NA,NA,NA,NA
"20",2009-11-18,156,0.77,5.04985600724954,-0.261364764134408,-0.493724854420192,-0.480380397176973,NA,NA,NA,NA,NA
"21",2009-11-24,103,0.69,4.63472898822964,-0.371063681390832,-0.528764981461687,-0.551516728513974,NA,NA,NA,NA,NA
"22",2009-12-02,75,0.63,4.31748811353631,-0.462035459596559,-0.611919661995109,-0.636530070019019,NA,NA,NA,NA,NA
"23",2009-12-09,74,0.7,4.30406509320417,-0.356674943938732,-0.506229953416752,-0.53025166261186,NA,NA,NA,NA,NA
"24",2009-12-16,53,0.64,3.97029191355212,-0.446287102628419,-0.628181599144061,-0.621491317826824,NA,NA,NA,NA,NA
"25",2009-12-22,37,0.61,3.61091791264422,-0.49429632181478,-0.643540966014949,-0.614637245390063,NA,NA,NA,NA,NA
"26",2009-12-31,197,0.915,5.28320372873799,-0.0888312137066157,-0.355192532871141,-0.33154377393028,NA,NA,NA,NA,NA
"27",2010-01-06,107,0.86,4.67282883446191,-0.150822889734584,-0.313987635781345,-0.334484335884336,NA,NA,NA,NA,NA
"28",2010-01-13,62,0.88,4.12713438504509,-0.127833371509885,-0.294006648268338,-0.302619675674495,NA,NA,NA,NA,NA
"29",2010-01-20,59,0.8,4.07753744390572,-0.22314355131421,-0.396612179941689,-0.399873758850528,NA,NA,NA,NA,NA
"30",2010-01-27,222,1.16,5.40267738187228,0.148420005118273,-0.126532067352376,-0.105484948736235,NA,NA,NA,NA,NA
"31",2010-02-04,503,1.15,6.22059017009974,0.139761942375159,-0.182544489548508,-0.179569636470045,NA,NA,NA,NA,NA
"32",2010-02-11,287,1.35,5.65948221575962,0.300104592450338,0.00972225054938219,0.0212765168316798,NA,NA,NA,NA,NA
"33",2010-02-17,147,1.22,4.99043258677874,0.198850858745165,-0.0257590537254022,-0.0149538267874166,NA,NA,NA,NA,NA
"34",2010-02-24,210,1.13,5.34710753071747,0.122217632724249,-0.149251055484366,-0.126039280618064,NA,NA,NA,NA,NA
"35",2010-03-03,104,1.11,4.64439089914137,0.104360015324243,-0.054581573654046,-0.0768754881704504,NA,NA,NA,NA,NA
"36",2010-03-10,86,1.05,4.45434729625351,0.048790164169432,-0.101311608657938,-0.126954360051308,NA,NA,NA,NA,NA
"37",2010-03-17,61,0.95,4.11087386417331,-0.0512932943875506,-0.219941873175108,-0.226791170579017,NA,NA,NA,NA,NA
"38",2010-03-23,1040,1.14,6.94697599213542,0.131028262406404,-0.192972806206396,-0.192286128341665,NA,NA,NA,NA,NA
