"","Date","concentrations.TSS","Flow"
"1",2009-07-08,6,5
"2",2009-07-15,6.9,4
"3",2009-07-22,7.1,9
"4",2009-07-29,6.7,3
"5",2009-08-05,5,99
"6",2009-08-12,8.3,37
"7",2009-08-19,13.4,40
"8",2009-08-26,8,18
"9",2009-09-02,4.3,8.9
"10",2009-09-09,6.9,16
"11",2009-09-16,6.3,124
"12",2009-09-17,24.3,241
"13",2009-09-22,69.3,2350
"14",2009-09-29,1.5,51
"15",2009-10-07,1.8,34
"16",2009-10-09,259.7,6260
"17",2009-10-14,11.7,811
"18",2009-10-21,2.25,139
"19",2009-10-28,3.1,427
"20",2009-11-04,1.3,185
"21",2009-11-11,1.5,92
"22",2009-11-18,1.5,156
"23",2009-11-24,1.1,103
"24",2009-12-02,1.5,75
"25",2009-12-09,0.3,74
"26",2009-12-16,1.5,53
"27",2009-12-22,2,37
"28",2009-12-31,1.05,197
"29",2010-01-06,0.9,107
"30",2010-01-13,1,62
"31",2010-01-20,1.3,59
"32",2010-01-27,1.9,222
"33",2010-02-04,4.1,503
"34",2010-02-11,1.2,287
"35",2010-02-17,1.1,147
"36",2010-02-24,1.1,210
"37",2010-03-03,0.9,104
"38",2010-03-10,1.9,86
"39",2010-03-17,2.35,61
"40",2010-03-23,15.3,1040
"41",2010-03-31,4.8,219
"42",2010-04-07,4.5,215
"43",2010-04-14,3.4,88
"44",2010-04-21,2.3,48
"45",2010-04-28,1.9,48
"46",2010-05-05,4.3,52
"47",2010-05-12,8.25,109
"48",2010-05-13,315.2,199
"49",2010-05-14,99.6,745
"50",2010-05-15,280,2070
"51",2010-05-15,395,2070
"52",2010-05-17,13,808
"53",2010-05-26,6.7,272
"54",2010-06-02,3.6,66
"55",2010-06-09,3.2,33
"56",2010-06-16,3.5,33
"57",2010-06-24,9.9,14
"58",2010-07-08,1.7,3.9
"59",2010-07-13,155.2,1150
"60",2010-07-22,2.1,150
"61",2010-07-28,1.5,77
"62",2010-08-05,2.2,30
"63",2010-08-10,1.7,18
"64",2010-08-19,2.6,6.1
"65",2010-08-26,1.8,1.8
"66",2010-09-01,3.3,2
"67",2010-09-09,13.7,125
"68",2010-09-16,3.7,45
"69",2010-09-22,2.2,15
"70",2010-09-29,1.5,11
"71",2010-10-06,2.4,6.8
"72",2010-10-14,1.1,4.3
"73",2010-10-20,1.5,4.3
"74",2010-10-27,1.5,6
"75",2010-11-02,1.8,5.2
"76",2010-11-10,0.9,4.1
"77",2010-11-17,1.4,5.1
"78",2010-11-30,0.6,21
"79",2010-12-07,0.9,9.8
"80",2010-12-14,0.8,5.1
"81",2010-12-19,0.5,3.6
"82",2011-01-05,1.4,20
"83",2011-01-11,0.3,11
"84",2011-01-18,1.9,6.4
"85",2011-01-25,1,4.6
"86",2011-02-04,6.9,29
"87",2011-02-08,2.9,68
"88",2011-02-14,19.5,308
"89",2011-02-24,82.1,179
"90",2011-02-28,28.1,257
"91",2011-03-04,566,151
"92",2011-03-14,38.6,259
"93",2011-03-29,2.4,55
"94",2011-04-06,2.4,88
"95",2011-04-11,353.8,586
"96",2011-04-22,11.4,197
"97",2011-04-23,464.4,1050
"98",2011-04-25,261.8,29300
"99",2011-04-26,257.2,9370
"100",2011-05-12,2.8,320
"101",2011-05-19,1.6,252
"102",2011-05-24,145.8,5550
"103",2011-06-08,4.55,88
"104",2011-06-15,4.4,52
"105",2011-07-15,2.6,17
"106",2011-07-21,6.1,13
"107",2011-07-29,10.5,12
"108",2011-08-03,10.9,9.8
"109",2011-08-11,9,178
"110",2011-08-18,5.1,107
"111",2011-09-01,6.7,9
"112",2011-09-08,5.5,2.6
"113",2011-09-16,4.1,2.5
"114",2011-09-22,17.3,34
"115",2011-09-30,4.5,10
"116",2011-10-06,3.5,5.7
"117",2011-10-12,1.8,14
"118",2011-10-26,2,6.4
"119",2011-11-03,1.8,14
"120",2011-11-08,441.8,1640
"121",2011-11-17,1.1,91
"122",2011-12-01,0.9,73
"123",2011-12-08,2.3,177
"124",2011-12-15,67.9,760
"125",2012-01-05,1.1,42
"126",2012-01-12,1.1,146
"127",2012-01-19,1.1,49
"128",2012-01-25,154.7,987
"129",2012-02-02,0.9,174
"130",2012-02-04,43.5,700
"131",2012-02-16,5.9,278
"132",2012-03-01,2.7,95
"133",2012-03-12,11.2,357
"134",2012-03-20,172.4,2520
"135",2012-03-29,1.5,88
"136",2012-04-12,1.6,50
"137",2012-04-19,1.5,42
"138",2012-04-26,2.5,26
