Date,NO3,TN,SRP,TP,TSS,Cl,SO4
2009-07-08,0.177,0.41,0,0.036,6,5.134,9.26
2009-07-15,0.146,,0.003,0.034,6.9,5.079,8.942
2009-07-22,0.174,,0.003,0.058,7.1,7.22,11.54
2009-07-29,0.191,0.34,0.002,0.03,6.7,5.776,10.715
2009-08-05,0.403,0.49,0.004,0.018,5,5.93,9.725
2009-08-12,1.31,1.46,0.005,0.038,8.3,4.116,11.353
2009-08-19,1.287,1.43,0.014,0.064,13.4,4.058,10.269
2009-08-26,0.631,0.8,0.003,0.04,8,3.887,10.22
2009-09-02,0.261,0.43,0.004,0.032,4.3,4.042,9.968
2009-09-09,0.699,0.81,0.005,0.01,6.9,4.505,11.818
2009-09-16,0.564,0.665,0.012,0.022,6.3,3.8835,10.607
2009-09-17,0.643,0.85,0.014,0.08,24.3,3.373,10.101
2009-09-22,0.973,1.22,0.029,0.186,69.3,2.383,6.133
2009-09-29,1.234,1.38,0.007,0.022,1.5,4.078,9.153
2009-10-07,1.038,1.15,0.007,0.03,1.8,4.984,17.094
2009-10-09,0.763,1.19,0.085,0.532,259.7,1.686,3.948
2009-10-14,1.071,1.29,0.024,0.074,11.7,2.965,7.159
2009-10-21,1.358,1.49,0.0095,0.012,2.25,4.0045,8.902
2009-10-28,0.576,0.71,0.013,0.026,3.1,3.871,9.993
2009-11-04,1.088,1.26,0.009,0.016,1.3,3.573,7.711
2009-11-11,0.892,0.96,0.005,0.016,1.5,3.793,8.661
2009-11-18,0.611,0.77,0.007,0.03,1.5,3.906,10.433
2009-11-24,0.576,0.69,0.008,0.016,1.1,3.731,10.111
2009-12-02,0.545,0.63,0.001,0.012,1.5,4.234,11.335
2009-12-09,0.625,0.7,0.005,0.002,0.3,4.251,12.14
2009-12-16,0.56,0.64,0.004,0.002,1.5,4.612,13.954
2009-12-22,0.539,0.61,0.001,0.01,2,4.434,13.236
2009-12-31,0.834,0.915,0.0075,0.019,1.05,4.3405,12.3935
2010-01-06,0.794,0.86,0.01,0.008,0.9,4.442,12.311
2010-01-13,0.806,0.88,0.003,0.008,1,4.581,12.056
2010-01-20,0.671,0.8,0,0.012,1.3,5.33,15.392
2010-01-27,1.041,1.16,0.001,0.002,1.9,4.428,10.775
2010-02-04,0.974,1.15,0.002,0.032,4.1,5.171,12.273
2010-02-11,1.228,1.35,0.008,0.02,1.2,4.113,9.385
2010-02-17,1.122,1.22,0.009,0.024,1.1,4.337,10.24
2010-02-24,0.969,1.13,0.006,0.018,1.1,4.143,10.199
2010-03-03,1.034,1.11,0.005,0,0.9,4.292,10.806
2010-03-10,0.961,1.05,0.01,0,1.9,4.609,12.075
2010-03-17,0.803,0.95,0.0015,0.015,2.35,4.395,12.5815
2010-03-23,0.882,1.14,0.02,0.086,15.3,3.395,8.281
2010-03-31,0.98,1.26,0,0.02,4.8,3.621,8.457
2010-04-07,0.727,0.83,0.005,0.03,4.5,3.448,8.666
2010-04-14,0.711,0.85,0,0.01,3.4,3.663,9.023
2010-04-21,0.658,0.79,0,0.008,2.3,3.813,9.788
2010-04-28,0.589,0.77,0.002,0.01,1.9,4.028,13.35
2010-05-05,0.586,0.73,0.002,0.018,4.3,4.063,13.063
2010-05-12,0.757,0.95,0.0025,0.043,8.25,4.349,15.6345
2010-05-13,0.502,1.16,0.067,0.676,315.2,2.954,11.014
2010-05-14,0.565,1.06,0.062,0.306,99.6,3.326,10.964
2010-05-15,0.437,0.94,0.06,0.454,280,2.538,6.579
2010-05-15,0.383,0.95,0.057,0.71,395,1.702,4.219
2010-05-17,0.776,0.95,0.013,0.066,13,2.732,6.718
2010-05-26,0.925,1.16,0.021,0.062,6.7,3.436,8.427
2010-06-02,0.768,0.87,0.004,0.018,3.6,3.674,8.587
2010-06-09,0.862,0.99,0.006,0.026,3.2,4.119,9.45
2010-06-16,0.714,0.81,0.005,0.022,3.5,4.118,9.145
2010-06-24,0.444,0.56,0.007,0.02,9.9,4.161,8.964
2010-07-08,0.151,0.25,0.004,0.008,1.7,4.704,8.686
2010-07-13,1.194,1.74,0.172,0.598,155.2,2.317,8.494
2010-07-22,1.011,1.12,0.015,0.008,2.1,3.541,10.053
2010-07-28,0.717,0.84,0.003,0.008,1.5,3.787,9.539
2010-08-05,0.322,0.47,0.001,0.016,2.2,4.158,9.055
2010-08-10,0.236,0.35,0.002,0.008,1.7,4.211,9.158
2010-08-19,0.078,0.19,0.003,0.014,2.6,4.669,8.789
2010-08-26,0.056,0.17,0.004,0.014,1.8,4.679,9.037
2010-09-01,0.033,0.18,0,0.016,3.3,4.643,8.612
2010-09-09,0.977,1.18,0.009,0.056,13.7,3.646,10.793
2010-09-16,1.478,1.58,0.005,0.012,3.7,3.808,13.683
2010-09-22,0.681,0.83,0.001,0,2.2,3.76,11.021
2010-09-29,0.716,0.87,0.004,0.002,1.5,4.905,14.997
2010-10-06,0.415,0.545,0.002,0.011,2.4,4.651,13.337
2010-10-14,0.243,0.33,0.002,0.012,1.1,4.854,13.169
2010-10-20,0.181,0.29,0,0.016,1.5,4.725,12.633
2010-10-27,0.105,0.23,0.006,0.008,1.5,5.419,14.403
2010-11-02,0.074,0.17,0.006,0.034,1.8,5.331,15.728
2010-11-10,0.106,0.18,0.003,0.02,0.9,5.528,15.653
2010-11-17,0.106,0.16,0.006,0.008,1.4,5.219,14.878
2010-11-30,0.942,1.01,0.007,0.006,0.6,5.697,18.008
2010-12-07,0.8485,0.705,0.0035,0.006,0.9,5.698,15.75
2010-12-14,0.788,0.86,0.003,0.006,0.8,5.507,16.015
2010-12-19,0.677,0.72,0.008,0,0.5,5.505,15.917
2011-01-05,1.051,1.18,0.004,0.014,1.4,5.975,20.201
2011-01-11,0.967,1.05,0.009,0.008,0.3,6.031,34.4
2011-01-18,0.759,0.85,0.004,0.002,1.9,6.086,18.13
2011-01-25,0.725,0.84,0.004,0.014,1,6.331,18.53
2011-02-04,0.985,1.1,0.01,0.022,6.9,6.997,24.321
