"","Cl.Date","Cl.Flow","Cl.concentrations.Cl","lnC","lnQ"
"1",2009-07-08,5,5.134,1.63588508244895,1.6094379124341
"2",2009-07-15,4,5.079,1.62511439181911,1.38629436111989
"3",2009-07-22,9,7.22,1.97685495290473,2.19722457733622
"4",2009-07-29,3,5.776,1.75371140159053,1.09861228866811
"5",2009-08-05,99,5.93,1.78002421300963,4.59511985013459
"6",2009-08-12,37,4.116,1.4148818179718,3.61091791264422
"7",2009-08-19,40,4.058,1.40069024140362,3.68887945411394
"8",2009-08-26,18,3.887,1.35763765187009,2.89037175789616
"9",2009-09-02,8.9,4.042,1.39673961898143,2.18605127673809
"10",2009-09-09,16,4.505,1.5051878910603,2.77258872223978
"11",2009-09-16,124,3.8835,1.35673680887757,4.82028156560504
"12",2009-09-17,241,3.373,1.21580255607951,5.48479693349065
"13",2009-09-22,2350,2.383,0.868360198116605,7.7621706071382
"14",2009-09-29,51,4.078,1.40560667215226,3.93182563272433
"15",2009-10-07,34,4.984,1.60623278148515,3.52636052461616
"16",2009-10-09,6260,1.686,0.522358859579664,8.74193546409414
"17",2009-10-14,811,2.965,1.08687703244969,6.69826805411541
"18",2009-10-21,139,4.0045,1.3874187287816,4.93447393313069
"19",2009-10-28,427,3.871,1.35351287159551,6.05678401322862
"20",2009-11-04,185,3.573,1.27340557904127,5.22035582507832
"21",2009-11-11,92,3.793,1.33315726270676,4.52178857704904
"22",2009-11-18,156,3.906,1.36251383245449,5.04985600724954
"23",2009-11-24,103,3.731,1.31667629423902,4.63472898822964
"24",2009-12-02,75,4.234,1.44314717271267,4.31748811353631
"25",2009-12-09,74,4.251,1.44715424937665,4.30406509320417
"26",2009-12-16,53,4.612,1.52866160240681,3.97029191355212
"27",2009-12-22,37,4.434,1.48930211119412,3.61091791264422
"28",2009-12-31,197,4.3405,1.46798954884973,5.28320372873799
"29",2010-01-06,107,4.442,1.49110472547224,4.67282883446191
"30",2010-01-13,62,4.581,1.52191731490461,4.12713438504509
"31",2010-01-20,59,5.33,1.67335123817775,4.07753744390572
"32",2010-01-27,222,4.428,1.48794801484639,5.40267738187228
"33",2010-02-04,503,5.171,1.64306609341408,6.22059017009974
"34",2010-02-11,287,4.113,1.41415268924829,5.65948221575962
"35",2010-02-17,147,4.337,1.46718286485323,4.99043258677874
"36",2010-02-24,210,4.143,1.42142016309526,5.34710753071747
"37",2010-03-03,104,4.292,1.45675282476845,4.64439089914137
"38",2010-03-10,86,4.609,1.52801091373837,4.45434729625351
"39",2010-03-17,61,4.395,1.48046753113714,4.11087386417331
"40",2010-03-23,1040,3.395,1.22230376101066,6.94697599213542
"41",2010-03-31,219,3.621,1.2867502307835,5.3890717298165
"42",2010-04-07,215,3.448,1.23779435280145,5.37063802812766
"43",2010-04-14,88,3.663,1.29828248379668,4.47733681447821
"44",2010-04-21,48,3.813,1.33841628087543,3.87120101090789
"45",2010-04-28,48,4.028,1.39326997485632,3.87120101090789
"46",2010-05-05,52,4.063,1.40192161700559,3.95124371858143
"47",2010-05-12,109,4.349,1.4699459336155,4.69134788222914
"48",2010-05-13,199,2.954,1.08316018410919,5.29330482472449
"49",2010-05-14,745,3.326,1.20177038077074,6.61338421837956
"50",2010-05-15,2070,2.538,0.931376369292196,7.63530388625941
"51",2010-05-15,2070,1.702,0.531804030151182,7.63530388625941
"52",2010-05-17,808,2.732,1.00503394170854,6.69456205852109
"53",2010-05-26,272,3.436,1.23430800412201,5.605802066296
"54",2010-06-02,66,3.674,1.30128098679293,4.18965474202643
"55",2010-06-09,33,4.119,1.41561041545394,3.49650756146648
"56",2010-06-16,33,4.118,1.4153676086056,3.49650756146648
"57",2010-06-24,14,4.161,1.4257554300008,2.63905732961526
"58",2010-07-08,3.9,4.704,1.54841321059633,1.3609765531356
"59",2010-07-13,1150,2.317,0.840273245450239,7.0475172213573
"60",2010-07-22,150,3.541,1.26440917312977,5.01063529409626
"61",2010-07-28,77,3.787,1.33157414891966,4.34380542185368
"62",2010-08-05,30,4.158,1.42503418943582,3.40119738166216
"63",2010-08-10,18,4.211,1.43770014917979,2.89037175789616
"64",2010-08-19,6.1,4.669,1.5409449159888,1.80828877117927
"65",2010-08-26,1.8,4.679,1.54308441188408,0.587786664902119
"66",2010-09-01,2,4.643,1.53536070903778,0.693147180559945
"67",2010-09-09,125,3.646,1.29363067625647,4.8283137373023
"68",2010-09-16,45,3.808,1.33710411692912,3.80666248977032
"69",2010-09-22,15,3.76,1.3244189574018,2.70805020110221
"70",2010-09-29,11,4.905,1.59025509301733,2.39789527279837
"71",2010-10-06,6.8,4.651,1.53708225024196,1.91692261218206
"72",2010-10-14,4.3,4.854,1.57980310730441,1.45861502269952
"73",2010-10-20,4.3,4.725,1.55286756094571,1.45861502269952
"74",2010-10-27,6,5.419,1.68991129658398,1.79175946922805
"75",2010-11-02,5.2,5.331,1.67353883784062,1.64865862558738
"76",2010-11-10,4.1,5.528,1.70982608646537,1.41098697371026
"77",2010-11-17,5.1,5.219,1.65230581266128,1.62924053973028
"78",2010-11-30,21,5.697,1.73993972049826,3.04452243772342
