"","Date","concentrations.SO4","Flow"
"1",2011-07-15,79.165,0.08
"2",2011-07-21,85.431,0.1
"3",2011-07-29,86.394,0.15
"4",2011-08-03,79.377,0.18
"5",2011-08-10,11.889,6.5
"6",2011-08-18,78.708,0.06
"7",2011-09-01,81.541,0.1
"8",2011-09-08,95.33,0.11
"9",2011-09-16,83.954,0.74
"10",2011-09-17,11.132,3.6
"11",2011-09-22,10.358,19
"12",2011-09-27,87.707,0.14
"13",2011-10-06,82.442,0.1
"14",2011-10-12,79.934,7.1
"15",2011-10-26,75.808,3
"16",2011-10-27,6.985,8.2
"17",2011-11-03,45.33,1.7
"18",2011-11-08,24.619,42
"19",2011-11-17,67.13,0.17
"20",2011-12-01,55.238,0.15
"21",2011-12-08,74.603,0.33
"22",2011-12-14,3.812,18
"23",2012-01-05,78.95,0.08
"24",2012-01-12,70.781,0.13
"25",2012-01-19,76.076,0.12
"26",2012-01-25,11.425,19
"27",2012-02-02,72.654,0.34
"28",2012-02-09,69.302,0.32
"29",2012-02-16,68.187,0.31
"30",2012-03-01,38.329,0.76
"31",2012-03-08,13.005,4.8
"32",2012-03-11,8.232,4
"33",2012-03-20,23.755,30
"34",2012-03-29,77.097,1.4
"35",2012-04-12,78.428,0.2
"36",2012-04-15,7.04,8.8
"37",2012-04-26,87.3,2.4
"38",2012-04-30,11.886,4.7
"39",2012-05-24,98.929,1.1
"40",2012-05-31,26.939,3.2
"41",2012-06-05,78.952,0.57
"42",2012-06-14,89.96,1.2
"43",2012-06-21,21.384,4.8
"44",2012-06-28,87.05,5.8
"45",2012-07-12,86.388,0.57
"46",2012-07-19,72.643,1.4
"47",2012-07-26,3.901,5.2
"48",2012-08-02,87.719,0.22
"49",2012-08-15,89.632,0.2
"50",2012-08-16,4.243,11
"51",2012-08-20,76.986,0.38
"52",2012-08-27,7.877,7.1
"53",2012-08-29,96.66,0.26
"54",2012-09-05,91.753,0.32
"55",2012-10-09,122.55,0.62
"56",2012-10-12,11.243,12
"57",2012-10-15,98.633,0.28
"58",2012-10-15,98.182,0.28
"59",2012-10-24,76.896,0.22
"60",2012-10-31,81.736,0.2
"61",2012-11-07,79.338,0.78
"62",2012-11-11,9.594,5.5
"63",2012-11-14,81.528,0.28
"64",2012-11-28,66.909,0.27
"65",2012-12-05,89.127,0.31
"66",2012-12-12,82.197,0.2
"67",2013-01-04,89.437,0.19
"68",2013-01-10,82.91,0.57
"69",2013-01-15,82.37,0.3
"70",2013-01-23,72.184,0.41
"71",2013-01-29,9.374,31
"72",2013-02-06,81.256,0.87
"73",2013-02-11,84.71,0.98
"74",2013-02-20,96.769,1.8
"75",2013-02-27,78.205,0.92
"76",2013-03-06,87.749,0.51
"77",2013-03-06,90.935,0.51
"78",2013-03-09,7.998,5.3
"79",2013-03-19,87.169,1.1
"80",2013-03-29,6.114,31
"81",2013-04-03,18.932,1.9
"82",2013-04-10,2.469,15
"83",2013-04-18,5.447,35
"84",2013-04-24,65.718,2.6
"85",2013-04-24,65.645,2.6
"86",2013-05-03,25.34,4.9
"87",2013-05-09,15.636,21
"88",2013-05-10,43.474,14
"89",2013-05-20,7.432,8.2
"90",2013-05-21,9.312,31
"91",2013-05-30,14.735,13
"92",2013-06-05,47.032,4.2
"93",2013-06-12,96.574,0.26
"94",2013-06-25,104.149,0.25
"95",2013-07-08,70.901,0.35
"96",2013-07-08,118.53,0.35
"97",2013-07-16,6.183,5
"98",2013-07-31,98.512,0.44
"99",2013-08-07,161.88,0.43
"100",2013-08-13,5.058,14
"101",2013-08-20,113.75,0.35
"102",2013-08-28,25.606,0.27
"103",2013-09-04,116.25,0.6
"104",2013-09-11,108.33,0.62
"105",2013-09-18,104.41,0.29
"106",2013-09-23,101.26,0.84
"107",2013-09-28,14.841,5.2
"108",2013-10-05,26.657,38
"109",2013-10-24,104.333,1.6
"110",2013-10-30,8.258,3.9
"111",2013-11-06,53.089,0.52
"112",2013-11-13,53.101,0.15
"113",2013-11-21,14.536,13
"114",2013-12-02,92.27,0.33
"115",2013-12-12,80.069,0.58
"116",2013-12-18,72.911,0.53
"117",2014-01-09,58.347,0.77
"118",2014-01-10,30.646,2.9
