"","Date","concentrations.TN","Flow"
"1",2011-07-15,2.63,0.08
"2",2011-07-21,1.65,0.1
"3",2011-07-29,1.41,0.15
"4",2011-08-03,1.57,0.18
"5",2011-08-10,1.12,6.5
"6",2011-08-18,1.03,0.06
"7",2011-09-01,1.99,0.1
"8",2011-09-08,2.74,0.11
"9",2011-09-16,1.15,0.74
"10",2011-09-17,1.25,3.6
"11",2011-09-22,0.79,19
"12",2011-09-27,1.46,0.14
"13",2011-10-06,1.11,0.1
"14",2011-10-12,1.19,7.1
"15",2011-10-26,1.19,3
"16",2011-10-27,0.61,8.2
"17",2011-11-03,1.25,1.7
"18",2011-11-08,2.33,42
"19",2011-11-17,1.01,0.17
"20",2011-12-01,6.23,0.15
"21",2011-12-08,2.12,0.33
"22",2011-12-14,1.4,18
"23",2012-01-05,1.45,0.08
"24",2012-01-12,1.33,0.13
"25",2012-01-19,1.36,0.12
"26",2012-01-25,1.58,19
"27",2012-02-02,1.53,0.34
"28",2012-02-09,1.41,0.32
"29",2012-02-16,1.25,0.31
"30",2012-03-01,1.14,0.76
"31",2012-03-08,0.86,4.8
"32",2012-03-11,0.66,4
"33",2012-03-20,1.7,30
"34",2012-03-29,1.14,1.4
"35",2012-04-12,1.14,0.2
"36",2012-04-15,1.21,8.8
"37",2012-04-26,1.24,2.4
"38",2012-04-30,1.43,4.7
"39",2012-05-24,1.18,1.1
"40",2012-05-31,1.79,3.2
"41",2012-06-05,1.97,0.57
"42",2012-06-14,3.97,1.2
"43",2012-06-21,1.31,4.8
"44",2012-06-28,3.64,5.8
"45",2012-07-12,2.05,0.57
"46",2012-07-19,1.1,1.4
"47",2012-07-26,1.62,5.2
"48",2012-08-02,2.68,0.22
"49",2012-08-15,1.8,0.2
"50",2012-08-16,1.8,11
"51",2012-08-20,1.82,0.38
"52",2012-08-27,11.11,7.1
"53",2012-08-29,1.86,0.26
"54",2012-09-05,2.39,0.32
"55",2012-10-09,1.57,0.62
"56",2012-10-12,1.62,12
"57",2012-10-15,1.94,0.28
"58",2012-10-15,1.92,0.28
"59",2012-10-24,0.76,0.22
"60",2012-10-31,1.8,0.2
"61",2012-11-07,0.64,0.78
"62",2012-11-11,0.8,5.5
"63",2012-11-14,1.27,0.28
"64",2012-11-28,0.72,0.27
"65",2012-12-05,1.75,0.31
"66",2012-12-12,1.03,0.2
"67",2013-01-04,1.46,0.19
"68",2013-01-10,0.97,0.57
"69",2013-01-15,1.15,0.3
"70",2013-01-23,0.98,0.41
"71",2013-01-29,2.07,31
"72",2013-02-06,1.25,0.87
"73",2013-02-11,1.72,0.98
"74",2013-02-20,1.29,1.8
"75",2013-02-27,1.45,0.92
"76",2013-03-06,1.39,0.51
"77",2013-03-06,1.4,0.51
"78",2013-03-09,1.55,5.3
"79",2013-03-19,1.41,1.1
"80",2013-03-29,2.26,31
"81",2013-04-03,1.45,1.9
"82",2013-04-10,0.99,15
"83",2013-04-18,1.43,35
"84",2013-04-24,1.45,2.6
"85",2013-04-24,1.46,2.6
"86",2013-05-03,0.96,4.9
"87",2013-05-09,1.12,21
"88",2013-05-10,2.13,14
"89",2013-05-20,1.78,8.2
"90",2013-05-21,0.93,31
"91",2013-05-30,1.42,13
"92",2013-06-05,1.84,4.2
"93",2013-06-12,1.13,0.26
"94",2013-06-25,1.28,0.25
"95",2013-07-08,0.66,0.35
"96",2013-07-08,0.65,0.35
"97",2013-07-16,1.7,5
"98",2013-07-31,3.18,0.44
"99",2013-08-07,2.31,0.43
"100",2013-08-13,1.11,14
"101",2013-08-20,2.39,0.35
"102",2013-08-28,2.49,0.27
"103",2013-09-04,1.47,0.6
"104",2013-09-11,1.82,0.62
"105",2013-09-18,0.23,0.29
"106",2013-09-23,1.16,0.84
"107",2013-09-28,1.32,5.2
"108",2013-10-05,1.56,38
"109",2013-10-24,1.39,1.6
"110",2013-10-30,0.61,3.9
"111",2013-11-06,0.79,0.52
"112",2013-11-13,1.72,0.15
"113",2013-11-21,1.2,13
"114",2013-12-02,0.75,0.33
"115",2013-12-12,1.01,0.58
"116",2013-12-18,1.01,0.53
"117",2014-01-09,1.61,0.77
"118",2014-01-10,1.65,2.9
"119",2014-01-22,1.2,0.58
"120",2014-01-28,1.22,1.1
"121",2014-02-06,1.39,0.91
"122",2014-02-12,2.05,1.9
"123",2014-02-21,4.22,1.8
"124",2014-02-25,1.37,1.5
"125",2014-03-07,1.53,2.7
"126",2014-03-11,1.2,0.93
"127",2014-03-16,1.31,29
"128",2014-03-27,1.73,2
"129",2014-03-27,2.55,2
"130",2014-04-03,1.97,5.3
"131",2014-04-03,1.12,5.3
"132",2014-04-07,1.26,8.7
"133",2014-04-13,4.86,2.1
"134",2014-04-22,0.88,0.18
"135",2014-04-27,1.42,0.78
"136",2014-04-28,0.89,0.36
"137",2014-05-08,1.78,12
"138",2014-05-12,1.97,11
"139",2014-05-20,1.02,0.47
"140",2014-05-28,0.82,0.35
"141",2014-06-02,0.81,4.6
"142",2014-06-06,1.75,3.6
"143",2014-06-10,1.6,4.2
"144",2014-07-01,2.03,0.39
"145",2014-07-09,1.78,0.22
"146",2014-07-10,1.47,7
"147",2014-07-23,1.01,0.28
"148",2014-07-29,1.18,0.24
"149",2014-08-05,0.76,0.15
"150",2014-08-07,1,6.3
"151",2014-08-12,1.97,0.11
"152",2014-08-19,2.73,0.08
"153",2014-08-27,1.78,0.05
"154",2014-08-30,1.15,4.2
"155",2014-09-02,0.72,17
"156",2014-09-06,1.34,2.7
"157",2014-09-10,1.21,0.07
"158",2014-09-17,0.71,3.2
"159",2014-09-17,1.05,3.2
"160",2014-09-24,0.56,0.05
"161",2014-10-01,0.8,0.09
"162",2014-10-08,0.79,0.16
"163",2014-10-10,1.15,25
"164",2014-11-04,0.68,9.3
"165",2014-12-05,0.63,2.6
"166",2014-12-17,0.94,2.9
"167",2015-03-04,1.27,3.2
"168",2015-03-11,1.15,0.11
"169",2015-03-18,1.11,2.3
"170",2015-03-25,2.1,7.2
"171",2015-04-13,1.07,4.7
"172",2015-04-17,2.8,3.6
"173",2015-04-24,2.43,7.3
"174",2015-05-07,1.75,0.83
"175",2015-06-01,1,0.04
