"","Dates","Flow","Conc","lnQ","lnC","Reg_Residuals","Special_Residuals","Reg_Pvalue","Special_Span","Special_Pvalue","Reg_Perc_Change_yr","Special_Perc_Change_yr"
"1",2011-07-15,0.08,0.036,-2.52572864430826,-3.32423634052603,-0.0352973180286442,-0.0352973180286442,0.00389556659137375,0.5,0.00389556659137375,17.8635160200002,17.8635160200002
"2",2011-07-21,0.1,0.028,-2.30258509299405,-3.57555076880693,-0.227543766265168,-0.227543766265168,NA,NA,NA,NA,NA
"3",2011-07-29,0.15,0.022,-1.89711998488588,-3.81671282562382,-0.380089559207711,-0.380089559207711,NA,NA,NA,NA,NA
"4",2011-08-03,0.18,0.034,-1.71479842809193,-3.38139475436598,0.089374315427428,0.089374315427428,NA,NA,NA,NA,NA
"5",2011-08-10,6.5,0.144,1.87180217690159,-1.93794197940614,-0.444288033489402,-0.444288033489402,NA,NA,NA,NA,NA
"6",2011-08-18,0.06,0.056,-2.81341071676004,-2.88240358824699,0.319615393499183,0.319615393499183,NA,NA,NA,NA,NA
"7",2011-09-01,0.1,0.032,-2.30258509299405,-3.44201937618241,-0.094012373640648,-0.094012373640648,NA,NA,NA,NA,NA
"8",2011-09-08,0.11,0.232,-2.20727491318972,-1.46101790731583,1.91003161582687,1.91003161582687,NA,NA,NA,NA,NA
"9",2011-09-16,0.74,0.03,-0.301105092783922,-3.50655789731998,0.00108937618898208,0.00108937618898208,NA,NA,NA,NA,NA
"10",2011-09-17,3.6,0.11,1.28093384546206,-2.20727491318972,-0.0995606598256655,-0.0995606598256655,NA,NA,NA,NA,NA
"11",2011-09-22,19,0.204,2.94443897916644,-1.58963528513792,-0.494897861905872,-0.494897861905872,NA,NA,NA,NA,NA
"12",2011-09-27,0.14,0.038,-1.96611285637283,-3.27016911925575,0.153118551626,0.153118551626,NA,NA,NA,NA,NA
"13",2011-10-06,0.1,0.038,-2.30258509299405,-3.27016911925575,0.077837883286012,0.077837883286012,NA,NA,NA,NA,NA
"14",2011-10-12,7.1,0.03,1.96009478404727,-3.50655789731998,-2.08168450732611,-2.08168450732611,NA,NA,NA,NA,NA
"15",2011-10-26,3,0.07,1.09861228866811,-2.65926003693278,-0.28174657419889,-0.28174657419889,NA,NA,NA,NA,NA
"16",2011-10-27,8.2,0.124,2.10413415427021,-2.0874737133771,-0.761636186176864,-0.761636186176864,NA,NA,NA,NA,NA
"17",2011-11-03,1.7,0.082,0.53062825106217,-2.50103603171788,0.694307415714229,0.694307415714229,NA,NA,NA,NA,NA
"18",2011-11-08,42,0.136,3.73766961828337,-1.99510039324608,-0.542914158422995,-0.542914158422995,NA,NA,NA,NA,NA
"19",2011-11-17,0.17,0.032,-1.77195684193188,-3.44201937618241,0.0182936380580125,0.0182936380580125,NA,NA,NA,NA,NA
"20",2011-12-01,0.15,0.026,-1.89711998488588,-3.64965874096066,-0.213035474544551,-0.213035474544551,NA,NA,NA,NA,NA
"21",2011-12-08,0.33,0.028,-1.10866262452161,-3.57555076880693,-0.0529083883364114,-0.0529083883364114,NA,NA,NA,NA,NA
"22",2011-12-14,18,0.402,2.89037175789616,-0.911303190363116,0.179572603442039,0.179572603442039,NA,NA,NA,NA,NA
"23",2012-01-05,0.08,0.016,-2.52572864430826,-4.13516655674236,-0.846227534244974,-0.846227534244974,NA,NA,NA,NA,NA
"24",2012-01-12,0.13,0.018,-2.04022082852655,-4.01738352108597,-0.609219426354644,-0.609219426354644,NA,NA,NA,NA,NA
"25",2012-01-19,0.12,0.012,-2.12026353620009,-4.42284862919414,-1.03194624687061,-1.03194624687061,NA,NA,NA,NA,NA
"26",2012-01-25,19,0.332,2.94443897916644,-1.10262031006565,-0.00788288683360228,-0.00788288683360228,NA,NA,NA,NA,NA
"27",2012-02-02,0.34,0.04,-1.07880966137193,-3.2188758248682,0.30104307112238,0.30104307112238,NA,NA,NA,NA,NA
"28",2012-02-09,0.32,0.016,-1.13943428318836,-4.13516655674236,-0.609043564553186,-0.609043564553186,NA,NA,NA,NA,NA
"29",2012-02-16,0.31,0.016,-1.17118298150295,-4.13516655674236,-0.605323884345448,-0.605323884345448,NA,NA,NA,NA,NA
"30",2012-03-01,0.76,0.01,-0.27443684570176,-4.60517018598809,-1.10154557289589,-1.10154557289589,NA,NA,NA,NA,NA
"31",2012-03-08,4.8,0.112,1.56861591791385,-2.18925640768704,-0.410115829424252,-0.410115829424252,NA,NA,NA,NA,NA
