"","Date","concentrations.TSS","Flow"
"1",2011-07-15,0.7,0.08
"2",2011-07-21,1,0.1
"3",2011-07-29,1.7,0.15
"4",2011-08-03,1.2,0.18
"5",2011-08-10,63.5,6.5
"6",2011-08-18,0.5,0.06
"7",2011-09-01,2.1,0.1
"8",2011-09-08,2.5,0.11
"9",2011-09-16,1.8,0.74
"10",2011-09-17,85.8,3.6
"11",2011-09-22,35.1,19
"12",2011-09-27,1.9,0.14
"13",2011-10-06,1.7,0.1
"14",2011-10-12,7.3,7.1
"15",2011-10-26,2.3,3
"16",2011-10-27,31.4,8.2
"17",2011-11-03,3,1.7
"18",2011-11-08,11.1,42
"19",2011-11-17,1.2,0.17
"20",2011-12-01,0.4,0.15
"21",2011-12-08,2,0.33
"22",2011-12-14,378.8,18
"23",2012-01-05,3.6,0.08
"24",2012-01-12,1.9,0.13
"25",2012-01-19,0.8,0.12
"26",2012-01-25,63.1,19
"27",2012-02-02,2.7,0.34
"28",2012-02-09,2.3,0.32
"29",2012-02-16,3.1,0.31
"30",2012-03-01,2.7,0.76
"31",2012-03-08,60.8,4.8
"32",2012-03-11,57.9,4
"33",2012-03-20,23.1,30
"34",2012-03-29,2.5,1.4
"35",2012-04-12,1.8,0.2
"36",2012-04-15,440,8.8
"37",2012-04-26,3.8,2.4
"38",2012-04-30,50,4.7
"39",2012-05-24,4.3,1.1
"40",2012-05-31,42.3,3.2
"41",2012-06-05,10.9,0.57
"42",2012-06-14,4.3,1.2
"43",2012-06-21,39.3,4.8
"44",2012-06-28,2.4,5.8
"45",2012-07-12,2.3,0.57
"46",2012-07-19,3.5,1.4
"47",2012-07-26,818.1,5.2
"48",2012-08-02,3.8,0.22
"49",2012-08-15,17.1,0.2
"50",2012-08-16,716.9,11
"51",2012-08-20,5.3,0.38
"52",2012-08-27,256.8,7.1
"53",2012-08-29,1.9,0.26
"54",2012-09-05,2.5,0.32
"55",2012-10-09,6.3,0.62
"56",2012-10-12,192,12
"57",2012-10-15,1.5,0.28
"58",2012-10-15,2.88,0.28
"59",2012-10-24,1.4,0.22
"60",2012-10-31,1.3,0.2
"61",2012-11-07,2.9,0.78
"62",2012-11-11,20.9,5.5
