Date,NO3,TN,SRP,TP,TSS,Cl,SO4
2011-07-15,2.097,2.63,0.016,0.036,0.7,21.653,79.165
2011-07-21,1.327,1.65,0.012,0.028,1,23.344,85.431
2011-07-29,1.15,1.41,0.016,0.022,1.7,21.521,86.394
2011-08-03,1.26,1.57,0.016,0.034,1.2,21.251,79.377
2011-08-10,0.71,1.12,0.034,0.144,63.5,3.733,11.889
2011-08-18,0.8,1.03,0.021,0.056,0.5,25.104,78.708
2011-09-01,1.75,1.99,0.024,0.032,2.1,21.19,81.541
2011-09-08,0.766,2.74,0.168,0.232,2.5,23.177,95.33
2011-09-16,0.767,1.15,0.033,0.03,1.8,20.672,83.954
2011-09-17,0.644,1.25,0.054,0.11,85.8,2.706,11.132
2011-09-22,0.795,0.79,0.135,0.204,35.1,3.331,10.358
2011-09-27,1.117,1.46,0.031,0.038,1.9,28.131,87.707
2011-10-06,0.784,1.11,0.019,0.038,1.7,24.4,82.442
2011-10-12,0.902,1.19,0.019,0.03,7.3,22.903,79.934
2011-10-26,1.005,1.19,0.056,0.07,2.3,21.463,75.808
2011-10-27,0.318,0.61,0.054,0.124,31.4,2.318,6.985
2011-11-03,0.93,1.25,0.057,0.082,3,14.329,45.33
2011-11-08,1.927,2.33,0.091,0.136,11.1,9.436,24.619
2011-11-17,0.751,1.01,0.016,0.032,1.2,23.129,67.13
2011-12-01,5.485,6.23,0.024,0.026,0.4,24.096,55.238
2011-12-08,1.177,2.12,0.014,0.028,2,27.312,74.603
2011-12-14,0.311,1.4,0.101,0.402,378.8,1.983,3.812
2012-01-05,1.333,1.45,0.008,0.016,3.6,24.047,78.95
2012-01-12,1.15,1.33,0.014,0.018,1.9,21.451,70.781
2012-01-19,1.161,1.36,0.004,0.012,0.8,21.948,76.076
2012-01-25,0.85,1.58,0.12,0.332,63.1,3.778,11.425
2012-02-02,1.111,1.53,0.012,0.04,2.7,24.322,72.654
2012-02-09,1.224,1.41,0.01,0.016,2.3,23.056,69.302
2012-02-16,1.084,1.25,0.004,0.016,3.1,39.215,68.187
2012-03-01,0.5,1.14,0.01,0.01,2.7,11.261,38.329
2012-03-08,0.443,0.86,0.028,0.112,60.8,6.322,13.005
2012-03-11,0.256,0.66,0.033,0.134,57.9,3.796,8.232
2012-03-20,1.119,1.7,0.073,0.15,23.1,8.383,23.755
2012-03-29,0.871,1.14,0.002,0.014,2.5,25.571,77.097
2012-04-12,0.806,1.14,0.009,0.01,1.8,21.347,78.428
2012-04-15,0.325,1.21,0.049,0.422,440,2.789,7.04
2012-04-26,0.985,1.24,0.012,0.026,3.8,21.165,87.3
2012-04-30,0.474,1.43,0.049,0.21,50,3.367,11.886
2012-05-24,0.845,1.18,0.006,0.02,4.3,27.309,98.929
2012-05-31,1.117,1.79,0.058,0.17,42.3,7.585,26.939
2012-06-05,1.54,1.97,0.024,0.046,10.9,19.224,78.952
2012-06-14,2.749,3.97,0.014,0.052,4.3,20.06,89.96
2012-06-21,0.647,1.31,0.033,0.164,39.3,4.773,21.384
2012-06-28,3.335,3.64,0.029,0.038,2.4,18.47,87.05
2012-07-12,1.514,2.05,0.01,0.028,2.3,20.773,86.388
2012-07-19,0.85,1.1,0.013,0.034,3.5,13.908,72.643
2012-07-26,0.342,1.62,0.07,0.734,818.1,1.488,3.901
2012-08-02,2.116,2.68,0.009,0.034,3.8,19.83,87.719
2012-08-15,1.379,1.8,0.01,0.054,17.1,18.325,89.632
2012-08-20,1.436,1.82,0.017,0.046,5.3,16.428,76.986
2012-08-27,0.414,11.11,0.078,0.31,256.8,1.432,7.877
2012-08-29,1.541,1.86,0.015,0.034,1.9,19.549,96.66
2012-09-05,1.994,2.39,0.026,0.066,2.5,24.496,91.753
2012-08-16,0.424,1.8,0.089,0.789,716.9,1.052,4.243
2012-10-09,1.153,1.57,0.018,0.05,6.3,17.445,122.55
2012-10-12,0.575,1.62,0.104,0.37,192,2.969,11.243
2012-10-15,1.542,1.94,0.027,0.046,1.5,19.064,98.633
2012-10-15,1.422,1.92,0.025,0.034,0,18.92,98.182
2012-10-24,0.398,0.76,0.003,0.028,1.4,17.536,76.896
2012-10-31,1.402,1.8,0.021,0.04,1.3,21.255,81.736
2012-11-07,0.4,0.64,0.005,0.024,2.9,18.705,79.338
2012-11-11,0.316,0.8,0.095,0.168,20.9,2.829,9.594
2012-11-14,0.515,1.27,0.013,0.048,3.8,25.606,81.528
2012-11-28,0.462,0.72,0.005,0.022,2.2,16.619,66.909
2012-12-05,1.44,1.75,0.014,0.04,1.9,15.302,89.127
2012-12-12,0.846,1.03,0.011,0.024,0.9,18.291,82.197
2013-01-04,1.327,1.46,0.01,0.012,1.4,22.447,89.437
2013-01-10,0.798,0.97,0.004,0.008,0.7,20.225,82.91
2013-01-15,1.009,1.15,0.008,0.012,0.9,18.178,82.37
2013-01-23,0.828,0.98,0.005,0.01,1.9,16.924,72.184
2013-01-29,0.354,2.07,0.039,1.028,790.6,2.666,9.374
2013-02-06,1.146,1.25,0.008,0.02,6,21.198,81.256
2013-02-11,1.629,1.72,0.017,0.026,1.2,19.377,84.71
2013-02-20,1.214,1.29,0.004,0.012,1.5,21.943,96.769
2013-02-27,1.379,1.45,0.009,0.012,1.2,27.134,78.205
2013-03-06,1.282,1.39,0.006,0.012,5.4,24.044,87.749
2013-03-06,1.227,1.4,0.004,0.012,4.5,24.615,90.935
2013-03-09,0.478,1.55,0.021,0.264,161.7,3.802,7.998
2013-03-19,1.323,1.41,0.003,0.012,0.7,23.435,87.169
2013-03-29,0.548,2.26,0.079,1.655,1430.1,1.566,6.114
2013-04-03,1.084,1.45,0.05,0.112,18,5.549,18.932
