"","Cl.Date","Cl.Flow","Cl.concentrations.Cl","lnC","lnQ"
"1",2011-07-15,0.08,21.653,3.07514401297815,-2.52572864430826
"2",2011-07-21,0.1,23.344,3.15033999178043,-2.30258509299405
"3",2011-07-29,0.15,21.521,3.06902920261545,-1.89711998488588
"4",2011-08-03,0.18,21.251,3.05640395308672,-1.71479842809193
"5",2011-08-10,6.5,3.733,1.31721219993245,1.87180217690159
"6",2011-08-18,0.06,25.104,3.22302719599068,-2.81341071676004
"7",2011-09-01,0.1,21.19,3.05352937228021,-2.30258509299405
"8",2011-09-08,0.11,23.177,3.14316040762042,-2.20727491318972
"9",2011-09-16,0.74,20.672,3.02878012760019,-0.301105092783922
"10",2011-09-17,3.6,2.706,0.995471529748596,1.28093384546206
"11",2011-09-22,19,3.331,1.20327255921154,2.94443897916644
"12",2011-09-27,0.14,28.131,3.3368721711056,-1.96611285637283
"13",2011-10-06,0.1,24.4,3.19458313229916,-2.30258509299405
"14",2011-10-12,7.1,22.903,3.13126790634668,1.96009478404727
"15",2011-10-26,3,21.463,3.06633052239953,1.09861228866811
"16",2011-10-27,8.2,2.318,0.84070474491756,2.10413415427021
"17",2011-11-03,1.7,14.329,2.66228545573447,0.53062825106217
"18",2011-11-08,42,9.436,2.24453216154543,3.73766961828337
"19",2011-11-17,0.17,23.129,3.14108724141336,-1.77195684193188
"20",2011-12-01,0.15,24.096,3.18204585161748,-1.89711998488588
"21",2011-12-08,0.33,27.312,3.30732616605208,-1.10866262452161
"22",2011-12-14,18,1.983,0.684610849537659,2.89037175789616
"23",2012-01-05,0.08,24.047,3.18001024864633,-2.52572864430826
"24",2012-01-12,0.13,21.451,3.06577126433397,-2.04022082852655
"25",2012-01-19,0.12,21.948,3.08867601919673,-2.12026353620009
"26",2012-01-25,19,3.778,1.32919476907932,2.94443897916644
"27",2012-02-02,0.34,24.322,3.19138129055881,-1.07880966137193
"28",2012-02-09,0.32,23.056,3.13792603925717,-1.13943428318836
"29",2012-02-16,0.31,39.215,3.66905932666463,-1.17118298150295
"30",2012-03-01,0.76,11.261,2.42134542871489,-0.27443684570176
"31",2012-03-08,4.8,6.322,1.84403561379343,1.56861591791385
"32",2012-03-11,4,3.796,1.33394788074768,1.38629436111989
"33",2012-03-20,30,8.383,2.12620584565572,3.40119738166216
"34",2012-03-29,1.4,25.571,3.24145889686846,0.336472236621213
