"","Date","concentrations.Cl","Flow"
"1",2011-07-29,24.896,0.14
"2",2011-08-03,25.595,0.06
"3",2011-08-10,5.246,5.1
"4",2011-09-01,12.172,2.1
"5",2011-09-08,25.049,4
"6",2011-09-16,23.439,2.5
"7",2011-09-17,2.633,7.8
"8",2011-09-22,3.813,20
"9",2011-09-27,26.631,0.33
"10",2011-10-06,24.711,0.84
"11",2011-10-12,23.128,9.8
"12",2011-10-26,23.368,3
"13",2011-10-27,3.988,8.8
"14",2011-11-03,13.135,2.1
"15",2011-11-08,7.322,57
"16",2011-11-17,23.079,1.8
"17",2011-12-01,25.614,0.96
"18",2011-12-08,23.756,0.92
"19",2011-12-14,1.883,21
"20",2012-01-05,23.137,1.7
"21",2012-01-12,21.926,1.7
"22",2012-01-19,23.16,1.3
"23",2012-01-25,3.219,23
"24",2012-02-02,22.381,1.5
"25",2012-02-09,21.538,1.1
"26",2012-02-16,25.739,1
"27",2012-03-01,11.023,0.85
"28",2012-03-08,5.986,4.9
"29",2012-03-11,5.577,3.9
"30",2012-03-20,8.684,30
"31",2012-03-29,21.444,1.1
"32",2012-04-12,19.615,0.65
"33",2012-04-15,3.395,8.5
"34",2012-04-26,22.321,0.63
"35",2012-04-30,3.986,5.4
"36",2012-05-10,22.024,0.22
"37",2012-05-16,21.593,0.23
"38",2012-05-24,21.523,0.39
"39",2012-05-31,4.636,5
"40",2012-06-05,21.068,0.54
"41",2012-06-14,21.924,0.57
"42",2012-06-21,10.697,1.3
"43",2012-06-28,23.307,0.67
"44",2012-07-12,22.805,0.28
"45",2012-07-19,22.683,0.4
"46",2012-07-26,3.171,6
"47",2012-08-02,23.086,0.18
"48",2012-08-15,19.509,0.03
"49",2012-08-16,0.984,13
"50",2012-08-20,21.863,0.09
"51",2012-08-27,1.296,9.4
"52",2012-08-29,23.76,0.11
"53",2012-09-05,23.214,0.19
"54",2012-09-10,2.329,0.05
"55",2012-09-25,23.535,0.11
"56",2012-10-01,22.699,0.2
"57",2012-10-01,22.341,0.2
"58",2012-10-12,3.175,11
"59",2012-10-31,21.348,0.37
"60",2012-11-07,20.896,0.46
"61",2012-11-11,4.845,3.2
"62",2012-11-14,21.253,0.89
"63",2012-11-28,20.388,1.9
"64",2012-12-05,21.514,0.61
"65",2012-12-12,21.191,0.96
"66",2013-01-04,24.46,0.77
"67",2013-01-10,22.989,1.3
"68",2013-01-15,21.616,0.74
"69",2013-01-23,21.009,0.34
"70",2013-01-29,10.196,34
"71",2013-02-06,23.151,1.1
"72",2013-02-11,19.543,1.7
"73",2013-02-20,21.63,2.4
"74",2013-02-27,23.731,1.2
"75",2013-03-06,25.531,0.59
"76",2013-03-09,12.4,4.9
"77",2013-03-19,105.61,0.92
"78",2013-03-29,0.253,25
"79",2013-04-03,4.979,2.7
"80",2013-04-10,2.683,11
"81",2013-04-18,2.122,27
"82",2013-04-24,0.132,1.1
"83",2013-05-03,13.628,4.1
