"","Date","concentrations.NO3","Flow"
"1",2011-07-29,3.73,0.14
"2",2011-08-03,4.06,0.06
"3",2011-08-10,1.03,5.1
"4",2011-09-01,6.08,2.1
"5",2011-09-08,5.38,4
"6",2011-09-16,4.283,2.5
"7",2011-09-17,0.804,7.8
"8",2011-09-22,1.579,20
"9",2011-09-27,9.197,0.33
"10",2011-10-06,5.579,0.84
"11",2011-10-12,7.891,9.8
"12",2011-10-26,6.24,3
"13",2011-10-27,0.66,8.8
"14",2011-11-03,4.63,2.1
"15",2011-11-08,3.758,57
"16",2011-11-17,5.476,1.8
"17",2011-12-01,1.06,0.96
"18",2011-12-08,5.208,0.92
"19",2011-12-14,0.45,21
"20",2012-01-05,4.886,1.7
"21",2012-01-12,3.973,1.7
"22",2012-01-19,4.475,1.3
"23",2012-01-25,1.001,23
"24",2012-02-02,4.418,1.5
"25",2012-02-09,4.195,1.1
"26",2012-02-16,2.82,1
"27",2012-03-01,1.975,0.85
"28",2012-03-08,0.801,4.9
"29",2012-03-11,0.539,3.9
"30",2012-03-20,3.094,30
"31",2012-03-29,3.981,1.1
"32",2012-04-12,3.643,0.65
"33",2012-04-15,0.606,8.5
"34",2012-04-26,4.795,0.63
"35",2012-04-30,0.696,5.4
"36",2012-05-10,4.917,0.22
"37",2012-05-16,4.798,0.23
"38",2012-05-24,4.271,0.39
"39",2012-05-31,1.83,5
"40",2012-06-05,7.838,0.54
"41",2012-06-14,5.24,0.57
"42",2012-06-21,1.783,1.3
"43",2012-06-28,4.497,0.67
"44",2012-07-12,5.823,0.28
"45",2012-07-19,5.092,0.4
"46",2012-07-26,0.829,6
"47",2012-08-02,4.626,0.18
"48",2012-08-15,2.964,0.03
"49",2012-08-16,0.789,13
"50",2012-08-20,5.207,0.09
"51",2012-08-27,1.087,9.4
"52",2012-08-29,8.528,0.11
"53",2012-09-05,7.099,0.19
"54",2012-09-10,0.977,0.05
"55",2012-09-25,6.207,0.11
"56",2012-10-01,4.807,0.2
"57",2012-10-01,4.778,0.2
"58",2012-10-12,0.631,11
"59",2012-10-31,4.317,0.37
"60",2012-11-07,3.595,0.46
"61",2012-11-11,0.736,3.2
"62",2012-11-14,4.42,0.89
"63",2012-11-28,3.447,1.9
"64",2012-12-05,5.834,0.61
"65",2012-12-12,4.329,0.96
"66",2013-01-04,4.616,0.77
"67",2013-01-10,4.263,1.3
"68",2013-01-15,3.728,0.74
"69",2013-01-23,3.773,0.34
"70",2013-01-29,1.019,34
"71",2013-02-06,4.724,1.1
"72",2013-02-11,4.622,1.7
"73",2013-02-20,4.725,2.4
"74",2013-02-27,3.955,1.2
"75",2013-03-06,4.652,0.59
"76",2013-03-09,1.215,4.9
"77",2013-03-19,3.986,0.92
"78",2013-03-29,0.937,25
"79",2013-04-03,0.643,2.7
"80",2013-04-10,0.908,11
"81",2013-04-18,1.686,27
"82",2013-04-24,0.073,1.1
"83",2013-05-03,3.753,4.1
"84",2013-05-09,1.856,17
"85",2013-05-20,0.752,9.6
"86",2013-05-21,1.236,28
"87",2013-05-30,2.587,15
"88",2013-06-05,3.175,4.5
"89",2013-06-12,5.83,1.3
"90",2013-06-25,5.137,0.91
"91",2013-07-08,4.264,1.1
"92",2013-07-16,1.116,4.9
"93",2013-07-31,4.849,0.69
"94",2013-07-31,4.728,0.69
"95",2013-08-07,6.807,0.3
"96",2013-08-13,2.21,8.7
"97",2013-08-20,7.03,0.35
"98",2013-08-28,5.898,0.43
"99",2013-08-28,5.918,0.43
"100",2013-09-04,5.553,0.4
"101",2013-09-11,4.525,0.44
"102",2013-09-18,4.409,0.06
"103",2013-09-23,5.903,0.02
"104",2013-09-28,3.128,2
"105",2013-10-05,0.368,35
"106",2013-10-24,6.706,1.5
"107",2013-10-30,1.371,6.9
"108",2013-11-06,3.509,3
"109",2013-11-13,6.052,2
"110",2013-11-21,0.942,17
"111",2013-12-02,5.98,0.86
"112",2013-12-12,4.671,2.1
"113",2013-12-18,5.496,1.7
"114",2014-01-09,3.507,3.2
"115",2014-01-10,1.941,12
"116",2014-01-22,5.776,2.3
"117",2014-01-28,5.791,2.6
"118",2014-02-06,4.963,3.7
"119",2014-02-12,4.879,3.2
"120",2014-02-21,5.065,2.5
"121",2014-02-25,4.965,2.6
"122",2014-03-07,3.703,3.6
"123",2014-03-11,4.945,1.5
"124",2014-03-16,1.049,44
"125",2014-03-27,5.683,3.2
"126",2014-04-03,2.021,5.6
"127",2014-04-03,5.23,5.6
"128",2014-04-07,3.464,9.6
"129",2014-04-13,0.388,3.9
"130",2014-04-22,4.835,1.1
"131",2014-04-27,3.626,1.6
"132",2014-05-08,0.491,14
"133",2014-05-12,0.55,14
"134",2014-05-20,6.304,1.4
"135",2014-05-28,3.863,1.3
"136",2014-06-02,0.664,4.5
"137",2014-06-06,0.553,4.3
"138",2014-06-10,2.271,7.6
"139",2014-07-01,5.838,1.1
"140",2014-07-09,5.789,0.73
"141",2014-07-10,0.899,7.8
"142",2014-07-23,5.515,0.62
"143",2014-07-29,5.599,0.82
"144",2014-08-05,5.244,0.49
"145",2014-08-07,0.903,6.5
"146",2014-08-12,5.517,0.65
"147",2014-08-19,4.146,0.41
"148",2014-08-27,4.785,0.31
"149",2014-08-30,0.61,5.1
"150",2014-09-02,0.697,18
"151",2014-09-06,2.663,2.1
"152",2014-09-10,5.655,0.28
"153",2014-09-17,4.841,5.2
"154",2014-09-17,0.448,5.2
"155",2014-09-24,5.678,0.2
"156",2014-10-01,5.018,0.37
"157",2014-10-08,4.357,0.34
"158",2014-10-10,0.832,32
"159",2014-10-22,5.163,0.51
"160",2014-10-29,3.375,0.5
"161",2014-11-04,0.592,12
"162",2014-11-12,4.427,1.3
"163",2014-11-19,3.891,0.62
"164",2014-12-05,1.427,8.5
"165",2014-12-10,4.113,0.62
"166",2014-12-17,4.092,7.5
"167",2015-01-07,4.061,1.2
"168",2015-01-14,4.5,1.1
"169",2015-01-21,4.216,1.1
"170",2015-01-28,3.82,1
"171",2015-02-04,3.599,0.94
"172",2015-02-11,3.425,1.1
"173",2015-02-18,2.77,1.1
"174",2015-02-25,3.269,1.2
"175",2015-03-04,0.702,7.8
"176",2015-03-11,3.18,2.3
"177",2015-03-18,0.698,6.2
"178",2015-03-25,0.662,15
"179",2015-04-01,4.428,1.9
"180",2015-04-13,1.064,16
"181",2015-04-17,0.467,10
"182",2015-04-22,3.733,2
"183",2015-04-24,0.415,19
"184",2015-05-07,1.415,5.1
"185",2015-06-01,3.461,2.8
