"","Date","concentrations.SRP","Flow"
"1",2011-07-29,0.04,0.14
"2",2011-08-03,0.039,0.06
"3",2011-08-10,0.054,5.1
"4",2011-09-01,0.033,2.1
"5",2011-09-08,0.029,4
"6",2011-09-16,0.023,2.5
"7",2011-09-17,0.068,7.8
"8",2011-09-22,0.058,20
"9",2011-09-27,0.034,0.33
"10",2011-10-06,0.026,0.84
"11",2011-10-12,0.027,9.8
"12",2011-10-26,0.026,3
"13",2011-10-27,0.07,8.8
"14",2011-11-03,0.028,2.1
"15",2011-11-08,0.093,57
"16",2011-11-17,0.027,1.8
"17",2011-12-01,0.017,0.96
"18",2011-12-08,0.013,0.92
"19",2011-12-14,0.082,21
"20",2012-01-05,0.011,1.7
"21",2012-01-12,0.015,1.7
"22",2012-01-19,0.007,1.3
"23",2012-01-25,0.101,23
"24",2012-02-02,0.009,1.5
"25",2012-02-09,0.015,1.1
"26",2012-02-16,0.007,1
"27",2012-03-01,0.013,0.85
"28",2012-03-08,0.04,4.9
"29",2012-03-11,0.034,3.9
"30",2012-03-20,0.073,30
"31",2012-03-29,0.012,1.1
"32",2012-04-12,0.026,0.65
"33",2012-04-15,0.046,8.5
"34",2012-04-26,0.033,0.63
"35",2012-04-30,0.088,5.4
"36",2012-05-10,0.039,0.22
"37",2012-05-16,0.04,0.23
"38",2012-05-24,0.041,0.39
"39",2012-05-31,0.054,5
"40",2012-06-05,0.036,0.54
"41",2012-06-14,0.037,0.57
"42",2012-06-21,0.08,1.3
"43",2012-06-28,0.046,0.67
"44",2012-07-12,0.039,0.28
"45",2012-07-19,0.04,0.4
"46",2012-07-26,0.145,6
"47",2012-08-02,0.038,0.18
"48",2012-08-15,0.034,0.03
"49",2012-08-16,0.09,13
"50",2012-08-20,0.036,0.09
"51",2012-08-27,0.077,9.4
"52",2012-08-29,0.038,0.11
"53",2012-09-05,0.042,0.19
"54",2012-09-10,0.114,0.05
"55",2012-09-25,0.033,0.11
"56",2012-10-01,0.035,0.2
"57",2012-10-01,0.037,0.2
"58",2012-10-12,0.106,11
"59",2012-10-31,0.036,0.37
"60",2012-11-07,0.026,0.46
"61",2012-11-11,0.209,3.2
"62",2012-11-14,0.037,0.89
"63",2012-11-28,0.017,1.9
"64",2012-12-05,0.028,0.61
"65",2012-12-12,0.019,0.96
"66",2013-01-04,0.015,0.77
"67",2013-01-10,0.007,1.3
"68",2013-01-15,0.01,0.74
"69",2013-01-23,0.007,0.34
"70",2013-01-29,0.045,34
"71",2013-02-06,0.015,1.1
"72",2013-02-11,0.022,1.7
"73",2013-02-20,0.011,2.4
"74",2013-02-27,0.014,1.2
"75",2013-03-06,0.006,0.59
"76",2013-03-09,0.031,4.9
"77",2013-03-19,0.006,0.92
"78",2013-03-29,0.107,25
"79",2013-04-03,0.024,2.7
"80",2013-04-10,0.067,11
"81",2013-04-18,0.185,27
"82",2013-04-24,0.021,1.1
"83",2013-05-03,0.039,4.1
"84",2013-05-09,0.082,17
"85",2013-05-20,0.132,9.6
"86",2013-05-21,0.151,28
"87",2013-05-30,0.04,15
"88",2013-06-05,0.032,4.5
"89",2013-06-12,0.047,1.3
"90",2013-06-25,0.051,0.91
"91",2013-07-08,0.043,1.1
"92",2013-07-16,0.174,4.9
"93",2013-07-31,0.045,0.69
"94",2013-07-31,0.044,0.69
"95",2013-08-07,0.046,0.3
"96",2013-08-13,0.073,8.7
"97",2013-08-20,0.036,0.35
