"","Date","concentrations.TN","Flow"
"1",2011-07-29,3.66,0.14
"2",2011-08-03,3.86,0.06
"3",2011-08-10,1.45,5.1
"4",2011-09-01,5.81,2.1
"5",2011-09-08,6.53,4
"6",2011-09-16,4.94,2.5
"7",2011-09-22,1.69,20
"8",2011-09-27,9.02,0.33
"9",2011-10-06,6.31,0.84
"10",2011-10-12,9.74,9.8
"11",2011-10-26,7.69,3
"12",2011-10-27,0.97,8.8
"13",2011-11-03,4.18,2.1
"14",2011-11-08,4.66,57
"15",2011-11-17,6.26,1.8
"16",2011-12-01,1.32,0.96
"17",2011-12-08,17.35,0.92
"18",2011-12-14,1.5,21
"19",2012-01-05,5.48,1.7
"20",2012-01-12,3.88,1.7
"21",2012-01-19,4.49,1.3
"22",2012-01-25,1.54,23
"23",2012-02-02,4.38,1.5
"24",2012-02-09,4.57,1.1
"25",2012-02-16,3.01,1
"26",2012-03-01,4.04,0.85
"27",2012-03-08,1.15,4.9
"28",2012-03-11,0.97,3.9
"29",2012-03-20,4.03,30
"30",2012-03-29,3.9,1.1
"31",2012-04-12,4.1,0.65
"32",2012-04-15,1.5,8.5
"33",2012-04-26,4.9,0.63
"34",2012-04-30,2.2,5.4
"35",2012-05-10,5.01,0.22
"36",2012-05-16,4.96,0.23
"37",2012-05-24,6.7,0.39
"38",2012-05-31,2.53,5
"39",2012-06-05,8.5,0.54
"40",2012-06-14,5.44,0.57
"41",2012-06-21,2.97,1.3
"42",2012-06-28,4.17,0.67
"43",2012-07-12,2.99,0.28
"44",2012-07-19,4.66,0.4
"45",2012-07-26,3.22,6
"46",2012-08-02,5.09,0.18
"47",2012-08-15,3.23,0.03
"48",2012-08-16,2.52,13
"49",2012-08-20,5.4,0.09
"50",2012-08-27,1.99,9.4
"51",2012-08-29,9.72,0.11
"52",2012-09-05,7.58,0.19
"53",2012-09-10,3.27,0.05
"54",2012-10-01,4.97,0.2
"55",2012-10-01,4.88,0.2
"56",2012-10-12,2.55,11
"57",2012-10-31,4.48,0.37
"58",2012-11-07,3.57,0.46
"59",2012-11-11,1.65,3.2
"60",2012-11-14,4.47,0.89
"61",2012-11-28,3.59,1.9
"62",2012-12-05,6.22,0.61
"63",2012-12-12,4.48,0.96
"64",2013-01-04,4.9,0.77
"65",2013-01-10,4.39,1.3
"66",2013-01-15,3.78,0.74
"67",2013-01-23,3.59,0.34
"68",2013-01-29,4.54,34
"69",2013-02-06,5.06,1.1
"70",2013-02-11,4.92,1.7
"71",2013-02-20,4.29,2.4
"72",2013-02-27,4.64,1.2
"73",2013-03-06,5.02,0.59
"74",2013-03-09,2.39,4.9
"75",2013-03-19,3.94,0.92
"76",2013-03-29,2.3,25
"77",2013-04-03,1.08,2.7
"78",2013-04-10,1.7,11
"79",2013-04-18,3.1,27
"80",2013-04-24,4.26,1.1
"81",2013-05-03,4.58,4.1
"82",2013-05-09,3.48,17
"83",2013-05-20,1.38,9.6
"84",2013-05-21,2.12,28
"85",2013-05-30,3.76,15
