"","Dates","Flow","Conc","lnQ","lnC","Reg_Residuals","Special_Residuals","Reg_Pvalue","Special_Span","Special_Pvalue","Reg_Perc_Change_yr","Special_Perc_Change_yr"
"1",2011-07-29,0.14,3.66,-1.96611285637283,1.29746314741327,-0.359982730733426,-0.345523885165512,0.630734264328449,0.6,0.611839209755302,-1.29986786774339,-1.3757080466803
"2",2011-08-03,0.06,3.86,-2.81341071676004,1.35066718347674,-0.217874416288295,-0.2101292104761,NA,NA,NA,NA,NA
"3",2011-08-10,5.1,1.45,1.62924053973028,0.371563556432483,-0.617314857830645,-0.639964444556012,NA,NA,NA,NA,NA
"4",2011-09-01,2.1,5.81,0.741937344729377,1.75958057086382,0.233094060871595,0.25392450206199,NA,NA,NA,NA,NA
"5",2011-09-08,4,6.53,1.38629436111989,1.87640694328834,0.735897161685834,0.7078514678051,NA,NA,NA,NA,NA
"6",2011-09-16,2.5,4.94,0.916290731874155,1.59736533119983,0.121043327854041,0.139722578520594,NA,NA,NA,NA,NA
"7",2011-09-22,20,1.69,2.99573227355399,0.524728528934982,-0.23073848520524,-0.234373510048816,NA,NA,NA,NA,NA
"8",2011-09-27,0.33,9.02,-1.10866262452161,2.19944433407453,0.542865984671467,0.556151129408804,NA,NA,NA,NA,NA
"9",2011-10-06,0.84,6.31,-0.174353387144778,1.84213567655312,0.322213378673962,0.304940119878472,NA,NA,NA,NA,NA
"10",2011-10-12,9.8,9.74,2.28238238567653,2.27624111765444,1.48306608645988,1.47678310969667,NA,NA,NA,NA,NA
"11",2011-10-26,3,7.69,1.09861228866811,2.03992078351755,0.690939720640326,0.696046560287872,NA,NA,NA,NA,NA
"12",2011-10-27,8.8,0.97,2.17475172148416,-0.0304592074847086,-0.846862581460884,-0.854678875551311,NA,NA,NA,NA,NA
"13",2011-11-03,2.1,4.18,0.741937344729377,1.43031124653666,-0.0961752634555646,-0.0753448222651696,NA,NA,NA,NA,NA
"14",2011-11-08,57,4.66,4.04305126783455,1.53901544813755,0.423939297000817,0.438480229879235,NA,NA,NA,NA,NA
"15",2011-11-17,1.8,6.26,0.587786664902119,1.83418018511201,0.29925595412989,0.314992712542728,NA,NA,NA,NA,NA
"16",2011-12-01,0.96,1.32,-0.0408219945202552,0.27763173659828,-1.22202976194878,-1.2478708756664,NA,NA,NA,NA,NA
"17",2011-12-08,0.92,17.35,-0.083381608939051,2.85359250639287,1.34955526920469,1.32455501218124,NA,NA,NA,NA,NA
"18",2011-12-14,21,1.5,3.04452243772342,0.405465108108164,-0.355494008171056,-0.359172448622905,NA,NA,NA,NA,NA
"19",2012-01-05,1.7,5.48,0.53062825106217,1.70110510095992,0.163178451431281,0.175424883911961,NA,NA,NA,NA,NA
"20",2012-01-12,1.7,3.88,0.53062825106217,1.35583515363518,-0.182091495893459,-0.169845063412779,NA,NA,NA,NA,NA
"21",2012-01-19,1.3,4.49,0.262364264467491,1.50185270175416,-0.0106573456145989,-0.0199154402824331,NA,NA,NA,NA,NA
"22",2012-01-25,23,1.54,3.13549421592915,0.431782416425538,-0.342388197659946,-0.345913445430436,NA,NA,NA,NA,NA
"23",2012-02-02,1.5,4.38,0.405465108108164,1.47704872438835,-0.0568126161265581,-0.0543249803678041,NA,NA,NA,NA,NA
"24",2012-02-09,1.1,4.57,0.0953101798043249,1.51951320490611,0.0199749762063768,0.0012251275378492,NA,NA,NA,NA,NA
"25",2012-02-16,1,3.01,0,1.10194007876078,-0.39657394031226,-0.421007566103036,NA,NA,NA,NA,NA
"26",2012-03-01,0.85,4.04,-0.162518929497775,1.39624469197306,-0.121242386779123,-0.139849516254055,NA,NA,NA,NA,NA
"27",2012-03-08,4.9,1.15,1.58923520511658,0.139761942375159,-0.866103222715022,-0.894472779007064,NA,NA,NA,NA,NA
"28",2012-03-11,3.9,0.97,1.3609765531356,-0.0304592074847086,-1.19116597592372,-1.21639798704576,NA,NA,NA,NA,NA
"29",2012-03-20,30,4.03,3.40119738166216,1.39376637595859,0.558623327124939,0.557631557350693,NA,NA,NA,NA,NA
"30",2012-03-29,1.1,3.9,0.0953101798043249,1.3609765531356,-0.138561675564133,-0.157311524232661,NA,NA,NA,NA,NA
"31",2012-04-12,0.65,4.1,-0.430782916092454,1.41098697371026,-0.161452556873653,-0.151970744704098,NA,NA,NA,NA,NA
