"","Date","concentrations.TSS","Flow"
"1",2011-07-29,0.9,0.14
"2",2011-08-03,0.8,0.06
"3",2011-08-10,14.7,5.1
"4",2011-09-01,1.3,2.1
"5",2011-09-08,0.5,4
"6",2011-09-16,4.6,2.5
"7",2011-09-17,93.2,7.8
"8",2011-09-22,19.7,20
"9",2011-09-27,0.1,0.33
"10",2011-10-06,0.8,0.84
"11",2011-10-12,0.6,9.8
"12",2011-10-26,1.3,3
"13",2011-10-27,30.3,8.8
"14",2011-11-03,1.3,2.1
"15",2011-11-08,19.1,57
"16",2011-11-17,1.3,1.8
"17",2011-12-01,0.5,0.96
"18",2011-12-08,1.5,0.92
"19",2011-12-14,400.7,21
"20",2012-01-05,1.3,1.7
"21",2012-01-12,2.3,1.7
"22",2012-01-19,0.5,1.3
"23",2012-01-25,39.7,23
"24",2012-02-02,0.7,1.5
"25",2012-02-09,0.6,1.1
"26",2012-02-16,29.1,1
"27",2012-03-01,6.9,0.85
"28",2012-03-08,17.9,4.9
"29",2012-03-11,47.9,3.9
"30",2012-03-20,6.7,30
"31",2012-04-12,1.2,0.65
"32",2012-04-15,403.9,8.5
"33",2012-04-26,1.3,0.63
"34",2012-04-30,67.4,5.4
"35",2012-05-10,2.88,0.22
"36",2012-05-16,1.8,0.23
"37",2012-05-24,0.7,0.39
"38",2012-05-31,78.6,5
"39",2012-06-05,2.1,0.54
"40",2012-06-14,1.6,0.57
"41",2012-06-21,29.4,1.3
"42",2012-06-28,1.5,0.67
"43",2012-07-12,1.1,0.28
"44",2012-07-19,1.4,0.4
"45",2012-07-26,1509.7,6
"46",2012-08-02,1.8,0.18
"47",2012-08-15,1.4,0.03
"48",2012-08-16,503.7,13
"49",2012-08-20,0.6,0.09
"50",2012-08-27,453.9,9.4
"51",2012-08-29,1.8,0.11
"52",2012-09-05,0.7,0.19
"53",2012-09-10,745.3,0.05
"54",2012-09-25,0.3,0.11
"55",2012-10-01,1.1,0.2
"56",2012-10-01,1,0.2
"57",2012-10-12,583.8,11
"58",2012-10-31,0.9,0.37
"59",2012-11-07,0.3,0.46
"60",2012-11-11,36.7,3.2
"61",2012-11-14,0.3,0.89
"62",2012-11-28,2.88,1.9
"63",2012-12-05,0.7,0.61
"64",2012-12-12,0.3,0.96
"65",2013-01-04,1,0.77
"66",2013-01-10,2.88,1.3
"67",2013-01-15,0.6,0.74
"68",2013-01-23,1.4,0.34
"69",2013-01-29,1283.1,34
"70",2013-02-06,2.88,1.1
"71",2013-02-11,1.1,1.7
"72",2013-02-20,0.3,2.4
"73",2013-02-27,0.7,1.2
"74",2013-03-06,0.7,0.59
"75",2013-03-09,115.9,4.9
"76",2013-03-19,0.8,0.92
"77",2013-03-29,834.3,25
"78",2013-04-03,30.5,2.7
"79",2013-04-10,773.3,11
"80",2013-04-18,180.1,27
"81",2013-04-24,0.8,1.1
"82",2013-05-03,3.1,4.1
"83",2013-05-09,381.3,17
"84",2013-05-20,267.8,9.6
"85",2013-05-21,34.8,28
"86",2013-05-30,296.1,15
"87",2013-06-05,257.9,4.5
"88",2013-06-12,0.8,1.3
"89",2013-06-25,1.5,0.91
"90",2013-07-08,0.7,1.1
"91",2013-07-16,1334.7,4.9
"92",2013-07-31,0.9,0.69
"93",2013-07-31,0.6,0.69
"94",2013-08-07,0.8,0.3
"95",2013-08-13,345.5,8.7
"96",2013-08-20,0.8,0.35
"97",2013-08-28,2.1,0.43
"98",2013-08-28,1.9,0.43
"99",2013-09-04,0.7,0.4
"100",2013-09-11,0.2,0.44
"101",2013-09-18,0.9,0.06
"102",2013-09-23,2.1,0.02
"103",2013-09-28,752.9,2
"104",2013-10-05,481.6,35
"105",2013-10-24,0.7,1.5
"106",2013-10-30,119.2,6.9
"107",2013-11-06,1.4,3
"108",2013-11-13,2.88,2
"109",2013-11-21,114.7,17
"110",2013-12-02,2.88,0.86
"111",2013-12-12,0.5,2.1
"112",2013-12-18,1.4,1.7
"113",2014-01-09,1.3,3.2
"114",2014-01-10,941.3,12
"115",2014-01-22,1,2.3
"116",2014-01-28,1.8,2.6
"117",2014-02-06,1.1,3.7
"118",2014-02-12,0.5,3.2
"119",2014-02-21,1.7,2.5
"120",2014-02-25,1.3,2.6
"121",2014-03-07,1.8,3.6
"122",2014-03-11,1,1.5
"123",2014-03-16,172.2,44
"124",2014-03-27,4.6,3.2
"125",2014-04-03,1174.7,5.6
"126",2014-04-03,2.1,5.6
"127",2014-04-07,2.9,9.6
"128",2014-04-13,278.9,3.9
"129",2014-04-22,1.7,1.1
"130",2014-04-27,384.8,1.6
"131",2014-05-08,439.1,14
"132",2014-05-12,751.5,14
"133",2014-05-20,0.9,1.4
"134",2014-05-28,2.4,1.3
"135",2014-06-02,46.8,4.5
"136",2014-06-06,699.6,4.3
"137",2014-06-10,12.9,7.6
"138",2014-07-01,1.1,1.1
"139",2014-07-09,1.5,0.73
"140",2014-07-10,200.4,7.8
"141",2014-07-23,0.7,0.62
"142",2014-07-29,1.5,0.82
"143",2014-08-05,1,0.49
"144",2014-08-07,73.6,6.5
"145",2014-08-12,2.5,0.65
"146",2014-08-19,1.5,0.41
"147",2014-08-27,0.8,0.31
"148",2014-08-30,256.5,5.1
"149",2014-09-02,156.5,18
"150",2014-09-06,2.3,2.1
"151",2014-09-10,0.5,0.28
"152",2014-09-17,0.6,5.2
"153",2014-09-17,433.6,5.2
"154",2014-09-24,1.5,0.2
"155",2014-10-01,0.9,0.37
"156",2014-10-08,0.7,0.34
"157",2014-10-10,223,32
"158",2014-10-22,0.6,0.51
"159",2014-10-29,1,0.5
"160",2014-11-04,12.4,12
"161",2014-11-12,2.88,1.3
"162",2014-11-19,0.1,0.62
"163",2014-12-05,7.5,8.5
"164",2014-12-10,0.7,0.62
"165",2014-12-17,0.3,7.5
"166",2015-01-07,1.5,1.2
"167",2015-01-14,0.5,1.1
"168",2015-01-21,0.1,1.1
"169",2015-01-28,0.9,1
"170",2015-02-04,2.88,0.94
"171",2015-02-11,0.5,1.1
"172",2015-02-18,1.4,1.1
"173",2015-02-25,0.7,1.2
"174",2015-03-04,70.1,7.8
"175",2015-03-11,5.1,2.3
"176",2015-03-18,174.5,6.2
"177",2015-03-25,482.3,15
"178",2015-04-01,1.1,1.9
"179",2015-04-13,56.7,16
"180",2015-04-17,1061.1,10
"181",2015-04-22,1.1,2
"182",2015-04-24,1214.2,19
"183",2015-05-07,386.8,5.1
"184",2015-06-01,2.1,2.8
