"","SRP.Date","SRP.Flow","SRP.concentrations.SRP","lnC","lnQ"
"1",2011-07-29,0.14,0.04,-3.2188758248682,-1.96611285637283
"2",2011-08-03,0.06,0.039,-3.24419363285249,-2.81341071676004
"3",2011-08-10,5.1,0.054,-2.91877123241786,1.62924053973028
"4",2011-09-01,2.1,0.033,-3.41124771751566,0.741937344729377
"5",2011-09-08,4,0.029,-3.54045944899566,1.38629436111989
"6",2011-09-16,2.5,0.023,-3.77226106305299,0.916290731874155
"7",2011-09-17,7.8,0.068,-2.68824757380603,2.05412373369555
"8",2011-09-22,20,0.058,-2.84731226843572,2.99573227355399
"9",2011-09-27,0.33,0.034,-3.38139475436598,-1.10866262452161
"10",2011-10-06,0.84,0.026,-3.64965874096066,-0.174353387144778
"11",2011-10-12,9.8,0.027,-3.61191841297781,2.28238238567653
"12",2011-10-26,3,0.026,-3.64965874096066,1.09861228866811
"13",2011-10-27,8.8,0.07,-2.65926003693278,2.17475172148416
"14",2011-11-03,2.1,0.028,-3.57555076880693,0.741937344729377
"15",2011-11-08,57,0.093,-2.37515578582888,4.04305126783455
"16",2011-11-17,1.8,0.027,-3.61191841297781,0.587786664902119
"17",2011-12-01,0.96,0.017,-4.07454193492592,-0.0408219945202552
"18",2011-12-08,0.92,0.013,-4.3428059215206,-0.083381608939051
"19",2011-12-14,21,0.082,-2.50103603171788,3.04452243772342
"20",2012-01-05,1.7,0.011,-4.50986000618377,0.53062825106217
"21",2012-01-12,1.7,0.015,-4.19970507787993,0.53062825106217
"22",2012-01-19,1.3,0.007,-4.96184512992682,0.262364264467491
"23",2012-01-25,23,0.101,-2.29263476214088,3.13549421592915
"24",2012-02-02,1.5,0.009,-4.71053070164592,0.405465108108164
"25",2012-02-09,1.1,0.015,-4.19970507787993,0.0953101798043249
"26",2012-02-16,1,0.007,-4.96184512992682,0
"27",2012-03-01,0.85,0.013,-4.3428059215206,-0.162518929497775
"28",2012-03-08,4.9,0.04,-3.2188758248682,1.58923520511658
"29",2012-03-11,3.9,0.034,-3.38139475436598,1.3609765531356
"30",2012-03-20,30,0.073,-2.61729583783375,3.40119738166216
"31",2012-03-29,1.1,0.012,-4.42284862919414,0.0953101798043249
"32",2012-04-12,0.65,0.026,-3.64965874096066,-0.430782916092454
"33",2012-04-15,8.5,0.046,-3.07911388249304,2.14006616349627
"34",2012-04-26,0.63,0.033,-3.41124771751566,-0.462035459596559
"35",2012-04-30,5.4,0.088,-2.43041846450393,1.68639895357023
"36",2012-05-10,0.22,0.039,-3.24419363285249,-1.51412773262978
"37",2012-05-16,0.23,0.04,-3.2188758248682,-1.46967597005894
"38",2012-05-24,0.39,0.041,-3.19418321227783,-0.941608539858445
"39",2012-05-31,5,0.054,-2.91877123241786,1.6094379124341
"40",2012-06-05,0.54,0.036,-3.32423634052603,-0.616186139423817
"41",2012-06-14,0.57,0.037,-3.29683736633791,-0.562118918153541
"42",2012-06-21,1.3,0.08,-2.52572864430826,0.262364264467491
"43",2012-06-28,0.67,0.046,-3.07911388249304,-0.400477566597125
"44",2012-07-12,0.28,0.039,-3.24419363285249,-1.27296567581289
"45",2012-07-19,0.4,0.04,-3.2188758248682,-0.916290731874155
"46",2012-07-26,6,0.145,-1.93102153656156,1.79175946922805
"47",2012-08-02,0.18,0.038,-3.27016911925575,-1.71479842809193
"48",2012-08-15,0.03,0.034,-3.38139475436598,-3.50655789731998
"49",2012-08-16,13,0.09,-2.40794560865187,2.56494935746154
"50",2012-08-20,0.09,0.036,-3.32423634052603,-2.40794560865187
"51",2012-08-27,9.4,0.077,-2.56394985712845,2.24070968927596
"52",2012-08-29,0.11,0.038,-3.27016911925575,-2.20727491318972
"53",2012-09-05,0.19,0.042,-3.17008566069877,-1.66073120682165
"54",2012-09-10,0.05,0.114,-2.17155683058764,-2.99573227355399
"55",2012-09-25,0.11,0.033,-3.41124771751566,-2.20727491318972
"56",2012-10-01,0.2,0.035,-3.35240721749272,-1.6094379124341
"57",2012-10-01,0.2,0.037,-3.29683736633791,-1.6094379124341
"58",2012-10-12,11,0.106,-2.24431618487007,2.39789527279837
"59",2012-10-31,0.37,0.036,-3.32423634052603,-0.994252273343867
"60",2012-11-07,0.46,0.026,-3.64965874096066,-0.776528789498996
"61",2012-11-11,3.2,0.209,-1.56542102701733,1.16315080980568
"62",2012-11-14,0.89,0.037,-3.29683736633791,-0.116533816255952
"63",2012-11-28,1.9,0.017,-4.07454193492592,0.641853886172395
"64",2012-12-05,0.61,0.028,-3.57555076880693,-0.49429632181478
"65",2012-12-12,0.96,0.019,-3.9633162998157,-0.0408219945202552
"66",2013-01-04,0.77,0.015,-4.19970507787993,-0.261364764134408
"67",2013-01-10,1.3,0.007,-4.96184512992682,0.262364264467491
"68",2013-01-15,0.74,0.01,-4.60517018598809,-0.301105092783922
"69",2013-01-23,0.34,0.007,-4.96184512992682,-1.07880966137193
"70",2013-01-29,34,0.045,-3.10109278921182,3.52636052461616
"71",2013-02-06,1.1,0.015,-4.19970507787993,0.0953101798043249
"72",2013-02-11,1.7,0.022,-3.81671282562382,0.53062825106217
"73",2013-02-20,2.4,0.011,-4.50986000618377,0.8754687373539
"74",2013-02-27,1.2,0.014,-4.26869794936688,0.182321556793955
"75",2013-03-06,0.59,0.006,-5.11599580975408,-0.527632742082372
"76",2013-03-09,4.9,0.031,-3.47376807449699,1.58923520511658
"77",2013-03-19,0.92,0.006,-5.11599580975408,-0.083381608939051
"78",2013-03-29,25,0.107,-2.23492644452023,3.2188758248682
"79",2013-04-03,2.7,0.024,-3.72970144863419,0.993251773010283
"80",2013-04-10,11,0.067,-2.70306265959117,2.39789527279837
"81",2013-04-18,27,0.185,-1.68739945390381,3.29583686600433
"82",2013-04-24,1.1,0.021,-3.86323284125871,0.0953101798043249
"83",2013-05-03,4.1,0.039,-3.24419363285249,1.41098697371026
"84",2013-05-09,17,0.082,-2.50103603171788,2.83321334405622
"85",2013-05-20,9.6,0.132,-2.02495335639577,2.26176309847379
"86",2013-05-21,28,0.151,-1.89047544216721,3.3322045101752
"87",2013-05-30,15,0.04,-3.2188758248682,2.70805020110221
"88",2013-06-05,4.5,0.032,-3.44201937618241,1.50407739677627
"89",2013-06-12,1.3,0.047,-3.05760767727208,0.262364264467491
"90",2013-06-25,0.91,0.051,-2.97592964625781,-0.0943106794712413
"91",2013-07-08,1.1,0.043,-3.14655516328857,0.0953101798043249
"92",2013-07-16,4.9,0.174,-1.74869997976761,1.58923520511658
"93",2013-07-31,0.69,0.045,-3.10109278921182,-0.371063681390832
"94",2013-07-31,0.69,0.044,-3.12356564506388,-0.371063681390832
"95",2013-08-07,0.3,0.046,-3.07911388249304,-1.20397280432594
"96",2013-08-13,8.7,0.073,-2.61729583783375,2.16332302566054
"97",2013-08-20,0.35,0.036,-3.32423634052603,-1.04982212449868
"98",2013-08-28,0.43,0.042,-3.17008566069877,-0.843970070294529
"99",2013-08-28,0.43,0.044,-3.12356564506388,-0.843970070294529
"100",2013-09-04,0.4,0.046,-3.07911388249304,-0.916290731874155
"101",2013-09-11,0.44,0.042,-3.17008566069877,-0.82098055206983
"102",2013-09-18,0.06,0.042,-3.17008566069877,-2.81341071676004
"103",2013-09-23,0.02,0.037,-3.29683736633791,-3.91202300542815
"104",2013-09-28,2,0.043,-3.14655516328857,0.693147180559945
"105",2013-10-05,35,0.097,-2.33304430047875,3.55534806148941
"106",2013-10-24,1.5,0.031,-3.47376807449699,0.405465108108164
"107",2013-10-30,6.9,0.045,-3.10109278921182,1.93152141160321
"108",2013-11-06,3,0.061,-2.79688141480883,1.09861228866811
"109",2013-11-13,2,0.025,-3.68887945411394,0.693147180559945
"110",2013-11-21,17,0.091,-2.39689577246529,2.83321334405622
"111",2013-12-02,0.86,0.02,-3.91202300542815,-0.150822889734584
"112",2013-12-12,2.1,0.017,-4.07454193492592,0.741937344729377
"113",2013-12-18,1.7,0.016,-4.13516655674236,0.53062825106217
"114",2014-01-09,3.2,0.026,-3.64965874096066,1.16315080980568
"115",2014-01-10,12,0.01,-4.60517018598809,2.484906649788
"116",2014-01-22,2.3,0.013,-4.3428059215206,0.832909122935104
"117",2014-01-28,2.6,0.021,-3.86323284125871,0.955511445027436
"118",2014-02-06,3.7,0.013,-4.3428059215206,1.30833281965018
"119",2014-02-12,3.2,0.011,-4.50986000618377,1.16315080980568
"120",2014-02-21,2.5,0.007,-4.96184512992682,0.916290731874155
"121",2014-02-25,2.6,0.004,-5.52146091786225,0.955511445027436
"122",2014-03-07,3.6,0.011,-4.50986000618377,1.28093384546206
"123",2014-03-11,1.5,0.005,-5.29831736654804,0.405465108108164
"124",2014-03-16,44,0.112,-2.18925640768704,3.78418963391826
"125",2014-03-27,3.2,0.007,-4.96184512992682,1.16315080980568
"126",2014-04-03,5.6,0.022,-3.81671282562382,1.7227665977411
"127",2014-04-03,5.6,0.008,-4.8283137373023,1.7227665977411
"128",2014-04-07,9.6,0.016,-4.13516655674236,2.26176309847379
"129",2014-04-13,3.9,0.067,-2.70306265959117,1.3609765531356
"130",2014-04-22,1.1,0.012,-4.42284862919414,0.0953101798043249
"131",2014-04-27,1.6,0.095,-2.3538783873816,0.470003629245736
"132",2014-05-08,14,0.043,-3.14655516328857,2.63905732961526
"133",2014-05-12,14,0.05,-2.99573227355399,2.63905732961526
"134",2014-05-20,1.4,0.027,-3.61191841297781,0.336472236621213
"135",2014-05-28,1.3,0.035,-3.35240721749272,0.262364264467491
"136",2014-06-02,4.5,0.063,-2.7646205525906,1.50407739677627
"137",2014-06-06,4.3,0.061,-2.79688141480883,1.45861502269952
"138",2014-06-10,7.6,0.06,-2.81341071676004,2.02814824729229
"139",2014-07-01,1.1,0.049,-3.01593498087151,0.0953101798043249
"140",2014-07-09,0.73,0.041,-3.19418321227783,-0.3147107448397
"141",2014-07-10,7.8,0.119,-2.12863178587061,2.05412373369555
"142",2014-07-23,0.62,0.04,-3.2188758248682,-0.478035800943
"143",2014-07-29,0.82,0.038,-3.27016911925575,-0.198450938723838
"144",2014-08-05,0.49,0.038,-3.27016911925575,-0.713349887877465
"145",2014-08-07,6.5,0.077,-2.56394985712845,1.87180217690159
"146",2014-08-12,0.65,0.039,-3.24419363285249,-0.430782916092454
"147",2014-08-19,0.41,0.032,-3.44201937618241,-0.891598119283784
"148",2014-08-27,0.31,0.04,-3.2188758248682,-1.17118298150295
"149",2014-08-30,5.1,0.085,-2.46510402249182,1.62924053973028
"150",2014-09-02,18,0.071,-2.64507540194082,2.89037175789616
"151",2014-09-06,2.1,0.029,-3.54045944899566,0.741937344729377
"152",2014-09-10,0.28,0.032,-3.44201937618241,-1.27296567581289
"153",2014-09-17,5.2,0.034,-3.38139475436598,1.64865862558738
"154",2014-09-17,5.2,0.059,-2.83021783507642,1.64865862558738
"155",2014-09-24,0.2,0.031,-3.47376807449699,-1.6094379124341
"156",2014-10-01,0.37,0.032,-3.44201937618241,-0.994252273343867
"157",2014-10-08,0.34,0.034,-3.38139475436598,-1.07880966137193
"158",2014-10-10,32,0.105,-2.25379492882461,3.46573590279973
"159",2014-10-22,0.51,0.026,-3.64965874096066,-0.673344553263766
"160",2014-10-29,0.5,0.028,-3.57555076880693,-0.693147180559945
"161",2014-11-04,12,0.115,-2.16282315061889,2.484906649788
"162",2014-11-12,1.3,0.024,-3.72970144863419,0.262364264467491
"163",2014-11-19,0.62,0.026,-3.64965874096066,-0.478035800943
"164",2014-12-05,8.5,0.04,-3.2188758248682,2.14006616349627
"165",2014-12-10,0.62,0.02,-3.91202300542815,-0.478035800943
"166",2014-12-17,7.5,0.019,-3.9633162998157,2.01490302054226
"167",2015-01-07,1.2,0.013,-4.3428059215206,0.182321556793955
"168",2015-01-14,1.1,0.013,-4.3428059215206,0.0953101798043249
"169",2015-01-21,1.1,0.009,-4.71053070164592,0.0953101798043249
"170",2015-01-28,1,0.008,-4.8283137373023,0
"171",2015-02-04,0.94,0.004,-5.52146091786225,-0.0618754037180875
"172",2015-02-11,1.1,0.006,-5.11599580975408,0.0953101798043249
"173",2015-02-18,1.1,0.001,-6.90775527898214,0.0953101798043249
"174",2015-02-25,1.2,0.013,-4.3428059215206,0.182321556793955
"175",2015-03-04,7.8,0.037,-3.29683736633791,2.05412373369555
"176",2015-03-11,2.3,0.008,-4.8283137373023,0.832909122935104
"177",2015-03-18,6.2,0.044,-3.12356564506388,1.82454929205105
"178",2015-03-25,15,0.067,-2.70306265959117,2.70805020110221
"179",2015-04-01,1.9,0.009,-4.71053070164592,0.641853886172395
"180",2015-04-13,16,0.022,-3.81671282562382,2.77258872223978
"181",2015-04-17,10,0.068,-2.68824757380603,2.30258509299405
"182",2015-04-22,2,0.022,-3.81671282562382,0.693147180559945
"183",2015-04-24,19,0.122,-2.10373423424888,2.94443897916644
"184",2015-05-07,5.1,0.061,-2.79688141480883,1.62924053973028
"185",2015-06-01,2.8,0.035,-3.35240721749272,1.02961941718116
