Date,Flow
7/1/2009,115
7/2/2009,104
7/3/2009,96
7/4/2009,92
7/5/2009,92
7/6/2009,87
7/7/2009,83
7/8/2009,82
7/9/2009,78
7/10/2009,72
7/11/2009,65
7/12/2009,61
7/13/2009,76
7/14/2009,122
7/15/2009,152
7/16/2009,165
7/17/2009,134
7/18/2009,111
7/19/2009,94
7/20/2009,83
7/21/2009,142
7/22/2009,310
7/23/2009,255
7/24/2009,191
7/25/2009,144
7/26/2009,120
7/27/2009,100
7/28/2009,93
7/29/2009,97
7/30/2009,95
7/31/2009,86
8/1/2009,81
8/2/2009,91
8/3/2009,107
8/4/2009,87
8/5/2009,75
8/6/2009,70
8/7/2009,64
8/8/2009,59
8/9/2009,56
8/10/2009,51
8/11/2009,53
8/12/2009,50
8/13/2009,51
8/14/2009,47
8/15/2009,44
8/16/2009,41
8/17/2009,39
8/18/2009,39
8/19/2009,41
8/20/2009,102
8/21/2009,82
8/22/2009,63
8/23/2009,51
8/24/2009,44
8/25/2009,45
8/26/2009,44
8/27/2009,40
8/28/2009,37
8/29/2009,35
8/30/2009,33
8/31/2009,30
9/1/2009,29
9/2/2009,30
9/3/2009,34
9/4/2009,32
9/5/2009,65
9/6/2009,63
9/7/2009,79
9/8/2009,133
9/9/2009,139
9/10/2009,153
9/11/2009,124
9/12/2009,95
9/13/2009,77
9/14/2009,92
9/15/2009,114
9/16/2009,449
9/17/2009,1470
9/18/2009,992
9/19/2009,691
9/20/2009,574
9/21/2009,619
9/22/2009,4670
9/23/2009,3530
9/24/2009,1420
9/25/2009,920
9/26/2009,699
9/27/2009,564
9/28/2009,453
9/29/2009,369
9/30/2009,302
10/1/2009,253
10/2/2009,222
10/3/2009,198
10/4/2009,177
10/5/2009,162
10/6/2009,155
10/7/2009,187
10/8/2009,336
10/9/2009,24500
10/10/2009,11500
10/11/2009,3840
10/12/2009,2360
10/13/2009,2710
10/14/2009,4430
10/15/2009,2860
10/16/2009,1870
10/17/2009,1330
10/18/2009,1060
10/19/2009,897
10/20/2009,781
10/21/2009,687
10/22/2009,676
10/23/2009,785
10/24/2009,910
10/25/2009,782
10/26/2009,698
10/27/2009,706
10/28/2009,808
10/29/2009,1330
10/30/2009,9400
10/31/2009,4560
11/1/2009,2430
