Date,Flow
7/1/2009,9
7/2/2009,8
7/3/2009,23
7/4/2009,31
7/5/2009,18
7/6/2009,9.9
7/7/2009,6
7/8/2009,5
7/9/2009,4
7/10/2009,5
7/11/2009,4
7/12/2009,4
7/13/2009,5
7/14/2009,4
7/15/2009,4
7/16/2009,4
7/17/2009,3
7/18/2009,3
7/19/2009,3
7/20/2009,3
7/21/2009,10
7/22/2009,9
7/23/2009,8
7/24/2009,7
7/25/2009,6
7/26/2009,5
7/27/2009,4
7/28/2009,4
7/29/2009,3
7/30/2009,20
7/31/2009,25
8/1/2009,10
8/2/2009,6
8/3/2009,5
8/4/2009,4
8/5/2009,99
8/6/2009,179
8/7/2009,53
8/8/2009,27
8/9/2009,17
8/10/2009,14
8/11/2009,37
8/12/2009,37
8/13/2009,20
8/14/2009,14
8/15/2009,8.8
8/16/2009,5.3
8/17/2009,16
8/18/2009,66
8/19/2009,40
8/20/2009,44
8/21/2009,112
8/22/2009,55
8/23/2009,35
8/24/2009,24
8/25/2009,20
8/26/2009,18
8/27/2009,16
8/28/2009,14
8/29/2009,12
8/30/2009,10
8/31/2009,9.2
9/1/2009,8.2
9/2/2009,8.9
9/3/2009,6.2
9/4/2009,4.6
9/5/2009,5.6
9/6/2009,8.5
9/7/2009,15
9/8/2009,19
9/9/2009,16
9/10/2009,17
9/11/2009,15
9/12/2009,12
9/13/2009,11
9/14/2009,9.8
9/15/2009,8.3
9/16/2009,124
9/17/2009,241
9/18/2009,155
9/19/2009,93
9/20/2009,63
9/21/2009,51
9/22/2009,2350
9/23/2009,332
9/24/2009,222
9/25/2009,152
9/26/2009,108
9/27/2009,82
9/28/2009,64
9/29/2009,51
9/30/2009,44
10/1/2009,40
10/2/2009,36
10/3/2009,33
10/4/2009,31
10/5/2009,28
10/6/2009,32
10/7/2009,34
10/8/2009,417
10/9/2009,6260
10/10/2009,1050
10/11/2009,507
10/12/2009,366
10/13/2009,752
10/14/2009,811
10/15/2009,488
10/16/2009,351
10/17/2009,271
10/18/2009,219
10/19/2009,186
10/20/2009,159
10/21/2009,139
10/22/2009,273
10/23/2009,494
