Date,Flow
7/1/2009,0.25
7/2/2009,0.28
7/3/2009,1.8
7/4/2009,2
7/5/2009,1.2
7/6/2009,0.36
7/7/2009,0.36
7/8/2009,0.66
7/9/2009,0.3
7/10/2009,0.2
7/11/2009,0.18
7/12/2009,0.19
7/13/2009,0.5
7/14/2009,0.17
7/15/2009,0.2
7/16/2009,0.21
7/17/2009,0.19
7/18/2009,0.16
7/19/2009,0.18
7/20/2009,0.26
7/21/2009,9.7
7/22/2009,0.37
7/23/2009,0.25
7/24/2009,0.2
7/25/2009,0.21
7/26/2009,0.24
7/27/2009,0.36
7/28/2009,0.18
7/29/2009,0.19
7/30/2009,13
7/31/2009,0.08
8/1/2009,3.7
8/2/2009,0.13
8/3/2009,0.09
8/4/2009,0.07
8/5/2009,25
8/6/2009,0.79
8/7/2009,0.15
8/8/2009,0.14
8/9/2009,0.11
8/10/2009,8
8/11/2009,1.9
8/12/2009,0.14
8/13/2009,0.11
8/14/2009,0.09
8/15/2009,0.08
8/16/2009,0.09
8/17/2009,0.11
8/18/2009,0.91
8/19/2009,0.09
8/20/2009,15
8/21/2009,0.4
8/22/2009,0.11
8/23/2009,0.09
8/24/2009,0.08
8/25/2009,0.08
8/26/2009,0.07
8/27/2009,1.6
8/28/2009,0.11
8/29/2009,0.09
8/30/2009,0.09
8/31/2009,0.11
9/1/2009,0.11
9/2/2009,5.9
9/3/2009,0.13
9/4/2009,0.1
9/5/2009,7.8
9/6/2009,0.47
9/7/2009,0.12
9/8/2009,0.1
9/9/2009,5.3
9/10/2009,7.7
9/11/2009,0.19
9/12/2009,0.14
9/13/2009,0.18
9/14/2009,0.14
9/15/2009,1.6
9/16/2009,3.7
9/17/2009,1.4
9/18/2009,0.21
9/19/2009,0.15
9/20/2009,0.14
9/21/2009,23
9/22/2009,4.8
9/23/2009,0.36
9/24/2009,0.18
9/25/2009,0.14
9/26/2009,0.13
9/27/2009,0.15
9/28/2009,0.15
9/29/2009,0.15
9/30/2009,0.15
10/1/2009,1.6
10/2/2009,0.1
10/3/2009,0.13
10/4/2009,0.15
10/5/2009,0.16
10/6/2009,6.8
10/7/2009,4.7
10/8/2009,56
10/9/2009,38
10/10/2009,1.5
10/11/2009,0.41
10/12/2009,2.3
10/13/2009,8.9
10/14/2009,0.98
10/15/2009,0.56
10/16/2009,0.29
10/17/2009,0.25
10/18/2009,0.2
10/19/2009,0.2
10/20/2009,0.2
10/21/2009,0.24
10/22/2009,4.4
10/23/2009,0.23
10/24/2009,0.14
10/25/2009,0.17
10/26/2009,1.2
10/27/2009,4.3
10/28/2009,0.37
10/29/2009,25
10/30/2009,3.7
10/31/2009,0.62
11/1/2009,0.28
11/2/2009,0.21
11/3/2009,0.2
11/4/2009,0.2
11/5/2009,0.2
11/6/2009,0.26
11/7/2009,0.5
11/8/2009,0.63
11/9/2009,0.52
11/10/2009,0.41
11/11/2009,0.29
11/12/2009,0.27
11/13/2009,0.27
11/14/2009,0.23
11/15/2009,3.8
11/16/2009,1.7
11/17/2009,0.18
11/18/2009,0.12
11/19/2009,0.13
11/20/2009,0.91
11/21/2009,0.1
11/22/2009,0.08
11/23/2009,0.08
11/24/2009,0.85
11/25/2009,0.07
11/26/2009,0.07
11/27/2009,0.07
11/28/2009,0.07
11/29/2009,0.73
11/30/2009,0.03
12/1/2009,0.02
12/2/2009,0.05
12/3/2009,0.05
12/4/2009,0.04
12/5/2009,0.05
12/6/2009,0.07
12/7/2009,0.05
12/8/2009,1.3
12/9/2009,0.23
12/10/2009,0.19
12/11/2009,0.17
12/12/2009,0.28
12/13/2009,0.16
12/14/2009,0.19
12/15/2009,0.2
12/16/2009,0.19
12/17/2009,0.19
12/18/2009,0.17
12/19/2009,0.15
12/20/2009,0.18
12/21/2009,0.19
12/22/2009,0.26
12/23/2009,0.8
12/24/2009,6
12/25/2009,1.4
12/26/2009,0.52
12/27/2009,0.21
12/28/2009,0.21
12/29/2009,0.19
