"","NO3test5to30stats.X.5.30.","NO3test5to30stats.NO3test5to30modes","NO3test5to30stats.NO3test5to30stdevs","TNtest5to30stats.X.5.30.","TNtest5to30stats.TNtest5to30modes","TNtest5to30stats.TNtest5to30stdevs","SRPtest5to30stats.X.5.30.","SRPtest5to30stats.SRPtest5to30modes","SRPtest5to30stats.SRPtest5to30stdevs","TPtest5to30stats.X.5.30.","TPtest5to30stats.TPtest5to30modes","TPtest5to30stats.TPtest5to30stdevs","TSStest5to30stats.X.5.30.","TSStest5to30stats.TSStest5to30modes","TSStest5to30stats.TSStest5to30stdevs","Cltest5to30stats.X.5.30.","Cltest5to30stats.Cltest5to30modes","Cltest5to30stats.Cltest5to30stdevs","SO4test5to30stats.X.5.30.","SO4test5to30stats.SO4test5to30modes","SO4test5to30stats.SO4test5to30stdevs"
"1",5,0.55,0.109735303046439,5,0.65,0.115285802796921,5,0.75,0.0750238057457193,5,0.55,0.131319830791787,5,0.25,0.151912971863525,5,0.6,0.138298700688925,5,0.55,0.135935909268197
"2",6,0.5,0.0932190748632883,6,0.75,0.1093627179693,6,0.8,0.0971481091017258,6,0.6,0.136142182579651,6,0.25,0.143459444599852,6,0.65,0.141002243432724,6,0.55,0.115864100548524
"3",7,0.55,0.10546302185881,7,0.75,0.116566526507573,7,0.75,0.0989537100602796,7,0.6,0.127038480430947,7,0.25,0.11836039740331,7,0.8,0.107494660522355,7,0.6,0.118338842451044
"4",8,0.5,0.103015750727543,8,0.65,0.105945692672795,8,0.8,0.0735471527217022,8,0.6,0.127058559534651,8,0.3,0.111249856684154,8,0.6,0.0985403677770316,8,0.65,0.127471485406881
"5",9,0.45,0.0985869552988733,9,0.65,0.108838956111068,9,0.8,0.0846421036735602,9,0.6,0.117090580669978,9,0.25,0.134103219459444,9,0.6,0.128587300607607,9,0.5,0.104861424591443
"6",10,0.5,0.0831828573391299,10,0.7,0.106545956358402,10,0.8,0.0672794962246664,10,0.65,0.122740808708632,10,0.25,0.129319253739554,10,0.7,0.137503246714915,10,0.5,0.0865966488487674
"7",11,0.5,0.0948952161113316,11,0.65,0.107897343501561,11,0.8,0.0783828906778795,11,0.6,0.116167542623504,11,0.25,0.129319253739554,11,0.75,0.127375389286621,11,0.6,0.127599500990643
"8",12,0.5,0.0872715677102929,12,0.75,0.100858559277792,12,0.8,0.0687794463840613,12,0.6,0.136744212279119,12,0.25,0.122894512589008,12,0.65,0.111373612820331,12,0.5,0.101337987719818
"9",13,0.45,0.103751075725921,13,0.65,0.0956396297332345,13,0.8,0.0773542078324622,13,0.6,0.120072257156995,13,0.25,0.124822322702704,13,0.7,0.0880398796464606,13,0.6,0.105892706576621
"10",14,0.55,0.0906664665864139,14,0.65,0.0900170051961839,14,0.75,0.0764052033701948,14,0.6,0.117958830590532,14,0.25,0.122345279218034,14,0.65,0.112435922794692,14,0.6,0.117581929751479
