"","Date","concentrations.Cl","Flow"
"1",2009-07-08,9.762,37
"2",2009-07-15,13.686,33
"3",2009-07-22,12.736,115
"4",2009-07-29,11.779,35
"5",2009-08-05,12.905,21
"6",2009-08-12,13.557,53
"7",2009-08-19,19.044,15
"8",2009-08-26,15.92,15
"9",2009-09-02,19.27,14
"10",2009-09-09,35.427,51
"11",2009-09-16,12.27,142
"12",2009-09-17,16.319,495
"13",2009-09-22,1.932,2980
"14",2009-09-29,6.272,123
"15",2009-10-07,8.4075,101
"16",2009-10-09,2.135,14800
"17",2009-10-14,3.22,1980
"18",2009-10-21,6.394,359
"19",2009-10-28,4.918,688
"20",2009-10-30,3.078,4170
"21",2009-11-04,4.429,517
"22",2009-11-11,5.738,263
"23",2009-11-18,4.574,388
"24",2009-11-24,5.093,237
"25",2009-12-02,5.28,192
"26",2009-12-09,6.494,163
"27",2009-12-16,7.0295,135
"28",2009-12-22,7.509,112
"29",2009-12-31,4.156,324
"30",2010-01-06,5.103,208
"31",2010-01-13,6.255,143
"32",2010-01-20,8.12,138
"33",2010-01-27,4.916,297
"34",2010-02-04,6.009,958
"35",2010-02-11,4.767,602
"36",2010-02-17,5.4,386
"37",2010-02-24,4.716,483
"38",2010-03-03,5.89,207
"39",2010-03-10,5.907,156
"40",2010-03-17,5.818,109
"41",2010-03-23,3.39,2590
"42",2010-03-31,4.632,474
"43",2010-04-07,4.699,450
"44",2010-04-14,5.463,201
"45",2010-04-21,6.558,125
"46",2010-04-28,5.531,139
"47",2010-05-05,5.888,92
"48",2010-05-12,5.924,175
"49",2010-05-14,6.53,670
"50",2010-05-14,3.97,670
"51",2010-05-15,3.401,2350
"52",2010-05-17,2.909,1140
"53",2010-05-26,4.39,530
"54",2010-06-02,5.51,103
"55",2010-06-09,9.028,51
"56",2010-06-16,12.065,38
"57",2010-06-24,11.891,14
"58",2010-07-08,12.07,14
"59",2010-07-13,7.178,1480
"60",2010-07-22,6.449,231
"61",2010-07-28,9.733,108
"62",2010-08-05,11.705,58
"63",2010-08-10,10.442,42
"64",2010-08-19,12.744,27
"65",2010-08-26,13.568,16
"66",2010-09-01,14.737,17
"67",2010-09-09,11.079,679
"68",2010-09-16,10.289,236
"69",2010-09-22,10.124,80
"70",2010-09-29,14.005,60
"71",2010-10-06,12.483,36
"72",2010-10-14,14.772,21
"73",2010-10-20,15.616,24
"74",2010-10-27,17.246,35
"75",2010-11-02,18.553,22
"76",2010-11-10,19.82,19
"77",2010-11-17,19.163,20
"78",2010-11-30,9.951,100
"79",2010-12-07,14.204,44
"80",2010-12-14,13.635,24
"81",2010-12-19,15.335,20
"82",2011-01-05,14.833,67
"83",2011-01-11,12.161,39
"84",2011-01-18,12.839,28
"85",2011-01-25,13.597,22
"86",2011-02-04,20.408,99
"87",2011-02-08,13.652,195
"88",2011-02-14,13.217,533
"89",2011-02-25,8.344,992
"90",2011-02-28,5.59,780
"91",2011-03-05,6.684,955
"92",2011-03-14,7.108,359
"93",2011-03-29,6.795,144
"94",2011-04-06,5.588,246
"95",2011-04-11,8.306,1020
"96",2011-04-22,4.819,506
"97",2011-04-23,3.456,3370
"98",2011-04-25,1.371,23200
"99",2011-04-26,1.143,12600
"100",2011-05-12,5.383,313
"101",2011-05-19,5.687,284
"102",2011-05-24,1.26,12300
"103",2011-06-08,6.648,185
"104",2011-06-15,11.366,112
"105",2011-07-15,12.981,30
"106",2011-07-21,14.1385,22
"107",2011-08-18,8.71,227
"108",2011-09-01,11.405,34
"109",2011-09-08,13.018,16
"110",2011-09-16,13.297,15
"111",2011-09-22,15.412,144
"112",2011-09-26,20.105,106
"113",2011-10-06,12.055,27
"114",2011-10-13,12.549,33
"115",2011-10-26,17.769,24
"116",2011-11-03,19.869,50
"117",2011-11-09,3.362,3460
"118",2011-11-17,7.391,375
"119",2011-12-01,5.367,264
"120",2011-12-08,4.529,459
"121",2011-12-15,3.178,2530
"122",2012-01-05,5.782,133
"123",2012-01-12,4.707,362
"124",2012-01-19,5.543,114
"125",2012-01-25,4.728,2560
"126",2012-02-02,5.085,343
"127",2012-02-09,4.232,391
"128",2012-02-16,5.694,389
"129",2012-03-01,7.917,190
"130",2012-03-12,2.17,1700
"131",2012-03-20,1.898,4310
"132",2012-03-22,2.431,6410
"133",2012-03-29,3.886,422
"134",2012-04-12,5.821,99
"135",2012-04-19,7.177,88
"136",2012-04-26,8.962,52
"137",2012-05-02,10.723,64
"138",2012-05-10,11.79,30
"139",2012-05-16,10.863,25
"140",2012-05-24,15.899,19
"141",2012-06-01,15.217,22
"142",2012-06-05,14.606,29
"143",2012-06-14,16.251,15
"144",2012-06-21,18.235,13
"145",2012-06-28,15.235,11
"146",2012-07-12,14.544,11
"147",2012-07-19,15.188,9.6
"148",2012-08-02,16.726,8.6
"149",2012-08-17,19.6695,10
"150",2012-08-20,20.364,13
"151",2012-08-29,25.544,11
"152",2012-09-05,26.466,9.8
"153",2012-09-11,45.368,53
"154",2012-09-25,18.637,12
"155",2012-10-01,18.191,13
"156",2012-10-09,21.312,12
"157",2012-10-15,30.918,389
"158",2012-10-24,15.282,44
"159",2012-10-31,16.399,21
"160",2012-11-07,18.338,13
"161",2012-11-14,19.427,16
"162",2012-11-28,25.45,12
"163",2012-12-05,19.939,56
"164",2012-12-12,20.407,27
"165",2013-01-04,17.494,94
"166",2013-01-10,15.097,58
"167",2013-01-15,8.631,291
"168",2013-01-23,11.629,76
"169",2013-01-30,1.72,4720
"170",2013-02-06,7.21,135
"171",2013-02-11,5.052,632
"172",2013-02-20,6.1135,241
"173",2013-02-27,4.886,554
"174",2013-03-06,7.34,155
"175",2013-03-11,3.115,1650
"176",2013-03-19,5.636,236
"177",2013-03-29,6.032,268
"178",2013-04-03,4.46,781
"179",2013-04-11,5.021,791
"180",2013-04-19,6.02,1470
"181",2013-04-24,4.738,393
"182",2013-04-27,4.194,1590
"183",2013-05-10,4.3,1640
"184",2013-05-21,7.07,1740
"185",2013-05-22,2.156,3060
"186",2013-05-30,5.275,128
"187",2013-06-06,4.005,288
"188",2013-06-12,5.447,70
"189",2013-06-25,11.817,17
"190",2013-07-08,13.076,6.9
"191",2013-07-19,13.792,7.2
"192",2013-07-31,14.892,12
"193",2013-08-07,8.647,72
"194",2013-08-08,5.009,804
"195",2013-08-14,4.105,1040
"196",2013-08-20,7.665,180
"197",2013-08-28,10.142,45
"198",2013-09-04,10.796,30
"199",2013-09-11,11.393,21
"200",2013-09-18,13.579,26
"201",2013-09-23,19.109,24
"202",2013-10-02,14.883,19
"203",2013-10-06,7.661,536
"204",2013-10-24,8.268,71
"205",2013-10-30,10.438,44
"206",2013-11-06,11.898,60
"207",2013-11-13,7.956,94
"208",2013-11-22,11.146,503
"209",2013-12-02,8.537,81
"210",2013-12-12,10.67,101
"211",2013-12-18,6.3175,650
"212",2014-01-09,7.801,323
"213",2014-01-11,6.344,1590
"214",2014-01-22,6.408,231
"215",2014-01-28,7.026,138
"216",2014-02-06,8.006,105
"217",2014-02-12,10.113,80
"218",2014-02-21,9.138,110
"219",2014-02-25,8.945,83
"220",2014-03-07,11.043,408
"221",2014-03-11,6.256,477
"222",2014-03-17,3.285,3740
"223",2014-03-27,6.139,349
"224",2014-04-03,5.5945,457
"225",2014-04-04,1.874,3150
"226",2014-04-07,2.657,2930
"227",2014-04-14,4.406,696
"228",2014-04-22,4.743,298
"229",2014-04-28,6.865,233
"230",2014-05-09,7.83,365
"231",2014-05-13,2.997,964
"232",2014-05-20,4.261,246
"233",2014-05-28,6.021,53
"234",2014-06-02,8.273,71
"235",2014-06-10,5.951,468
"236",2014-07-01,7.525,36
"237",2014-07-09,9.265,16
"238",2014-07-23,14.833,11
"239",2014-07-29,12.19,6.7
"240",2014-08-05,14.039,7.6
"241",2014-08-12,17.328,8.6
"242",2014-08-19,5.051,259
"243",2014-08-27,8.128,13
"244",2014-09-04,11.576,23
"245",2014-09-10,15.623,13
"246",2014-09-17,18.958,15
"247",2014-09-24,17.476,12
"248",2014-10-01,18.654,10
"249",2014-10-08,21.231,16
"250",2014-10-10,18.146,75
"251",2014-10-11,18.158,726
"252",2014-10-13,3.284,1720
"253",2014-10-22,9.863,114
"254",2014-10-29,11.637,48
"255",2014-11-06,19.884,391
"256",2014-11-12,9,56
"257",2014-11-19,11.058,19
"258",2014-12-05,8.945,24
"259",2014-12-10,8.307,60
"260",2014-12-17,6.068,258
"261",2015-01-05,3.359,642
"262",2015-01-07,4.984,368
"263",2015-01-14,6.748,105
"264",2015-01-21,7.801,46
"265",2015-01-28,9.106,30
"266",2015-02-04,10.341,31
"267",2015-02-11,10.1505,23
"268",2015-02-18,10.522,22
"269",2015-02-25,6.632,195
"270",2015-03-05,4.357,1390
"271",2015-03-11,4.611,915
"272",2015-03-14,3.111,4240
"273",2015-03-19,4.7265,914
"274",2015-03-26,3.695,2320
"275",2015-04-01,5.028,377
"276",2015-04-14,8.203,418
"277",2015-04-22,4.362,235
"278",2015-04-29,5.993,89
"279",2015-05-11,1.33,6670
"280",2015-05-17,2.668,2520
"281",2015-06-01,3.265,1010
"282",2015-06-20,2.46,1790
