"","Dates","Flow","Conc","lnQ","lnC","Reg_Residuals","Special_Residuals","Reg_Pvalue","Special_Span","Special_Pvalue","Reg_Perc_Change_yr","Special_Perc_Change_yr"
"1",2009-07-08,37,1.652,3.61091791264422,0.501986675098786,0.030152719701819,0.030152719701819,0.0364413614287119,0.5,0.0364413614287119,-2.55302133354007,-2.55302133354007
"2",2009-07-15,33,1.562,3.49650756146648,0.445967051417494,-0.0464415863574957,-0.0464415863574957,NA,NA,NA,NA,NA
"3",2009-07-22,115,2.004,4.74493212836325,0.695145183222618,0.267794323095973,0.267794323095973,NA,NA,NA,NA,NA
"4",2009-07-29,35,1.643,3.55534806148941,0.496523839055131,0.013483267394567,0.013483267394567,NA,NA,NA,NA,NA
"5",2009-08-05,21,1.41,3.04452243772342,0.343589704390077,-0.0516397670709349,-0.0516397670709349,NA,NA,NA,NA,NA
"6",2009-08-12,53,1.47,3.97029191355212,0.385262400790645,-0.0479863425741146,-0.0479863425741146,NA,NA,NA,NA,NA
"7",2009-08-19,15,1.33,2.70805020110221,0.285178942233662,0.0651598296033204,0.0651598296033204,NA,NA,NA,NA,NA
"8",2009-08-26,15,1.157,2.70805020110221,0.14583044821154,-0.0741886644188016,-0.0741886644188016,NA,NA,NA,NA,NA
"9",2009-09-02,14,1.206,2.63905732961526,0.187309098304994,0.009739305059762,0.009739305059762,NA,NA,NA,NA,NA
"10",2009-09-09,51,1.22,3.93182563272433,0.198850858745165,-0.238004523895318,-0.238004523895318,NA,NA,NA,NA,NA
"11",2009-09-16,142,1.127,4.95582705760126,0.119559235057639,-0.273240564155354,-0.273240564155354,NA,NA,NA,NA,NA
"12",2009-09-17,495,1.102,6.20455776256869,0.0971267107307228,-0.270627490512063,-0.270627490512063,NA,NA,NA,NA,NA
"13",2009-09-22,2980,0.494,7.99967857949945,-0.705219761794215,-0.624028351447734,-0.624028351447734,NA,NA,NA,NA,NA
"14",2009-09-29,123,1.455,4.81218435537242,0.375005900623456,-0.0436522149367795,-0.0436522149367795,NA,NA,NA,NA,NA
"15",2009-10-07,101,1.412,4.61512051684126,0.34500713907105,-0.0988306750541555,-0.0988306750541555,NA,NA,NA,NA,NA
"16",2009-10-09,14800,1.108,9.60238245975221,0.102556588325092,0.442331753777194,0.442331753777194,NA,NA,NA,NA,NA
"17",2009-10-14,1980,1.043,7.59085212368858,0.0421011760186353,0.0135780436999244,0.0135780436999244,NA,NA,NA,NA,NA
"18",2009-10-21,359,1.738,5.88332238848828,0.5527350268432,0.216222960668852,0.216222960668852,NA,NA,NA,NA,NA
"19",2009-10-28,688,0.88,6.53378883793334,-0.127833371509885,-0.483296510975884,-0.483296510975884,NA,NA,NA,NA,NA
"20",2009-10-30,4170,0.796,8.33567131479285,-0.228156093137754,-0.0753110354158954,-0.0753110354158954,NA,NA,NA,NA,NA
"21",2009-11-04,517,1.442,6.24804287450843,0.366031038862757,-0.00309876280562588,-0.00309876280562588,NA,NA,NA,NA,NA
"22",2009-11-11,263,1.477,5.57215403217776,0.390013003549243,0.075918573036142,0.075918573036142,NA,NA,NA,NA,NA
"23",2009-11-18,388,0.864,5.96100533962327,-0.146182510178081,-0.490429381243156,-0.490429381243156,NA,NA,NA,NA,NA
"24",2009-11-24,237,1.041,5.46806014113513,0.0401817896328318,-0.27492590268659,-0.27492590268659,NA,NA,NA,NA,NA
"25",2009-12-02,192,0.992,5.25749537202778,-0.00803217169726427,-0.332090053703738,-0.332090053703738,NA,NA,NA,NA,NA
"26",2009-12-09,163,1.196,5.09375020080676,0.17898265552844,-0.175472342952526,-0.175472342952526,NA,NA,NA,NA,NA
"27",2009-12-16,135,1.1,4.90527477843843,0.0953101798043249,-0.309467687435929,-0.309467687435929,NA,NA,NA,NA,NA
"28",2009-12-22,112,1.214,4.71849887129509,0.193920692637306,-0.237200780683366,-0.237200780683366,NA,NA,NA,NA,NA
"29",2009-12-31,324,0.944,5.78074351579233,-0.0576291128366364,-0.387209977649681,-0.387209977649681,NA,NA,NA,NA,NA
"30",2010-01-06,208,1.032,5.33753807970132,0.031498667059371,-0.287618316015687,-0.287618316015687,NA,NA,NA,NA,NA
"31",2010-01-13,143,1.231,4.96284463025991,0.207826847202317,-0.183143188619797,-0.183143188619797,NA,NA,NA,NA,NA
"32",2010-01-20,138,1.082,4.92725368515721,0.0788111804242898,-0.321051864800152,-0.321051864800152,NA,NA,NA,NA,NA
"33",2010-01-27,297,1.276,5.6937321388027,0.243730184922598,-0.0775541181689724,-0.0775541181689724,NA,NA,NA,NA,NA
"34",2010-02-04,958,1.213,6.86484777797086,0.193096629961913,-0.0633629169408019,-0.0633629169408019,NA,NA,NA,NA,NA
"35",2010-02-11,602,1.49,6.40025744530882,0.398776119957368,0.0275161925727534,0.0275161925727534,NA,NA,NA,NA,NA
"36",2010-02-17,386,1.424,5.95583736946483,0.353469812989784,0.010082901266219,0.010082901266219,NA,NA,NA,NA,NA
"37",2010-02-24,483,1.218,6.18001665365257,0.197210169287705,-0.170041904205038,-0.170041904205038,NA,NA,NA,NA,NA
"38",2010-03-03,207,1.4225,5.33271879326537,0.352415887018349,0.0330650838581184,0.0330650838581184,NA,NA,NA,NA,NA
"39",2010-03-10,156,1.365,5.04985600724954,0.311154428636923,-0.0555123922987792,-0.0555123922987792,NA,NA,NA,NA,NA
"40",2010-03-17,109,1.174,4.69134788222914,0.160416721405905,-0.274523221332888,-0.274523221332888,NA,NA,NA,NA,NA
"41",2010-03-23,2590,1.031,7.85941315469358,0.0305292050348228,0.0788884005703917,0.0788884005703917,NA,NA,NA,NA,NA
"42",2010-03-31,474,1.27,6.16120732169508,0.2390169004705,-0.128066029334022,-0.128066029334022,NA,NA,NA,NA,NA
"43",2010-04-07,450,2.634,6.10924758276437,0.968503603321089,0.60133091194769,0.60133091194769,NA,NA,NA,NA,NA
"44",2010-04-14,201,1.035,5.30330490805908,0.0344014267173323,-0.286543643176045,-0.286543643176045,NA,NA,NA,NA,NA
"45",2010-04-21,125,1.238,4.8283137373023,0.213497174262404,-0.203488855578725,-0.203488855578725,NA,NA,NA,NA,NA
"46",2010-04-28,139,1.258,4.93447393313069,0.229523158278249,-0.168620262926856,-0.168620262926856,NA,NA,NA,NA,NA
"47",2010-05-05,92,1.127,4.52178857704904,0.119559235057639,-0.328002151829812,-0.328002151829812,NA,NA,NA,NA,NA
"48",2010-05-12,175,1.293,5.16478597392351,0.25696509978972,-0.0802569222846297,-0.0802569222846297,NA,NA,NA,NA,NA
"49",2010-05-14,670,1.211,6.50727771238501,0.191446464570955,-0.169109999356609,-0.169109999356609,NA,NA,NA,NA,NA
"50",2010-05-14,670,1.311,6.50727771238501,0.270790204781563,-0.0897662591460009,-0.0897662591460009,NA,NA,NA,NA,NA
"51",2010-05-15,2350,0.964,7.7621706071382,-0.0366639843715915,-0.0135570188170744,-0.0135570188170744,NA,NA,NA,NA,NA
"52",2010-05-17,1140,0.995,7.03878354138854,-0.00501254182354429,-0.208150459300533,-0.208150459300533,NA,NA,NA,NA,NA
"53",2010-05-26,530,1.12,6.27287700654617,0.113328685307003,-0.256683409671716,-0.256683409671716,NA,NA,NA,NA,NA
"54",2010-06-02,103,1.294,4.63472898822964,0.257738196078709,-0.18420639245638,-0.18420639245638,NA,NA,NA,NA,NA
"55",2010-06-09,51,1.626,3.93182563272433,0.486123011125619,0.0492676284851362,0.0492676284851362,NA,NA,NA,NA,NA
"56",2010-06-16,38,1.607,3.63758615972639,0.474369086755376,0.00806046383099462,0.00806046383099462,NA,NA,NA,NA,NA
"57",2010-06-24,14,1.596,2.63905732961526,0.467500499027617,0.289930705782385,0.289930705782385,NA,NA,NA,NA,NA
"58",2010-07-08,14,1.465,2.63905732961526,0.381855242469031,0.204285449223799,0.204285449223799,NA,NA,NA,NA,NA
"59",2010-07-13,1480,1.588,7.29979736675816,0.462475362824944,0.337700109798964,0.337700109798964,NA,NA,NA,NA,NA
"60",2010-07-22,231,1.876,5.44241771052179,0.629141850584033,0.313538413214405,0.313538413214405,NA,NA,NA,NA,NA
