"","Date","concentrations.SRP","Flow"
"1",2009-07-08,0.009,37
"2",2009-07-15,0.006,33
"3",2009-07-22,0.008,115
"4",2009-07-29,0.006,35
"5",2009-08-05,0.005,21
"6",2009-08-12,0.003,53
"7",2009-08-19,0.002,15
"8",2009-08-26,0.001,15
"9",2009-09-02,0.002,14
"10",2009-09-09,0.005,51
"11",2009-09-16,0.024,142
"12",2009-09-17,0.083,495
"13",2009-09-22,0.03,2980
"14",2009-09-29,0.014,123
"15",2009-10-07,0.0105,101
"16",2009-10-09,0.093,14800
"17",2009-10-14,0.033,1980
"18",2009-10-21,0.018,359
"19",2009-10-28,0.025,688
"20",2009-10-30,0.03,4170
"21",2009-11-04,0.016,517
"22",2009-11-11,0.01,263
"23",2009-11-18,0.011,388
"24",2009-11-24,0.013,237
"25",2009-12-02,0.006,192
"26",2009-12-09,0.007,163
"27",2009-12-16,0.007,135
"28",2009-12-22,0.002,112
"29",2009-12-31,0.01,324
"30",2010-01-06,0.01,208
"31",2010-01-13,0.009,143
"32",2010-01-20,0.003,138
"33",2010-01-27,0.008,297
"34",2010-02-04,0.012,958
"35",2010-02-11,0.01,602
"36",2010-02-17,0.016,386
"37",2010-02-24,0.011,483
"38",2010-03-03,0.0105,207
"39",2010-03-10,0.009,156
"40",2010-03-17,0.006,109
"41",2010-03-23,0.024,2590
"42",2010-03-31,0.006,474
"43",2010-04-07,0.015,450
"44",2010-04-14,0.002,201
"45",2010-04-21,0.008,125
"46",2010-04-28,0.004,139
"47",2010-05-05,0.005,92
"48",2010-05-12,0.012,175
"49",2010-05-14,0.037,670
"50",2010-05-14,0.042,670
"51",2010-05-15,0.031,2350
"52",2010-05-17,0.014,1140
"53",2010-05-26,0.018,530
"54",2010-06-02,0.006,103
"55",2010-06-09,0.015,51
"56",2010-06-16,0.014,38
"57",2010-06-24,0.0095,14
"58",2010-07-08,0.009,14
"59",2010-07-13,0.096,1480
"60",2010-07-22,0.016,231
"61",2010-07-28,0.006,108
"62",2010-08-05,0.002,58
"63",2010-08-10,0.002,42
"64",2010-08-19,0.003,27
"65",2010-08-26,0.014,16
"66",2010-09-01,0.002,17
"67",2010-09-09,0.047,679
"68",2010-09-16,0.03,236
"69",2010-09-22,0.012,80
"70",2010-09-29,0.007,60
"71",2010-10-06,0.007,36
"72",2010-10-14,0.009,21
"73",2010-10-20,0.001,24
"74",2010-10-27,0.01,35
"75",2010-11-02,0.009,22
"76",2010-11-10,0.006,19
"77",2010-11-17,0.009,20
"78",2010-11-30,0.009,100
"79",2010-12-07,0.008,44
"80",2010-12-14,0.003,24
"81",2010-12-19,0.009,20
"82",2011-01-05,0.006,67
"83",2011-01-11,0.006,39
"84",2011-01-18,0.005,28
"85",2011-01-25,0.007,22
"86",2011-02-04,0.013,99
"87",2011-02-08,0.012,195
"88",2011-02-14,0.014,533
"89",2011-02-25,0.049,992
"90",2011-02-28,0.041,780
"91",2011-03-05,0.052,955
"92",2011-03-14,0.017,359
"93",2011-03-29,0.005,144
"94",2011-04-06,0.006,246
"95",2011-04-11,0.018,1020
"96",2011-04-22,0.016,506
"97",2011-04-23,0.07,3370
"98",2011-04-25,0.066,23200
"99",2011-04-26,0.036,12600
"100",2011-05-12,0.011,313
"101",2011-05-19,0.006,284
"102",2011-05-24,0.054,12300
"103",2011-06-08,0.0015,185
"104",2011-06-15,0.007,112
"105",2011-07-15,0.002,30
"106",2011-07-21,0.001,22
"107",2011-07-29,0.005,20
"108",2011-08-03,0.002,17
"109",2011-08-11,0.01,278
"110",2011-08-18,0.014,227
"111",2011-09-01,0.0085,34
"112",2011-09-08,0.007,16
"113",2011-09-16,0.012,15
"114",2011-09-22,0.0085,144
"115",2011-09-26,0.006,106
"116",2011-10-06,0.004,27
"117",2011-10-13,0.012,33
"118",2011-10-26,0.002,24
"119",2011-11-03,0.009,50
"120",2011-11-09,0.032,3460
"121",2011-11-17,0.017,375
"122",2011-12-01,0.013,264
"123",2011-12-08,0.01,459
"124",2011-12-15,0.027,2530
"125",2012-01-05,0.008,133
"126",2012-01-12,0.008,362
"127",2012-01-19,0.004,114
"128",2012-01-25,0.024,2560
"129",2012-02-02,0.011,343
"130",2012-02-09,0.011,391
"131",2012-02-16,0.008,389
"132",2012-03-01,0.008,190
"133",2012-03-12,0.05,1700
"134",2012-03-20,0.018,4310
"135",2012-03-22,0.02,6410
"136",2012-03-29,0.006,422
"137",2012-04-12,0.006,99
"138",2012-04-19,0.005,88
"139",2012-04-26,0.002,52
"140",2012-05-02,0.002,64
"141",2012-05-10,0.007,30
"142",2012-05-16,0.005,25
"143",2012-05-24,0.001,19
"144",2012-06-01,0.006,22
"145",2012-06-05,0.004,29
"146",2012-06-14,0.005,15
"147",2012-06-21,0.007,13
"148",2012-06-28,0.005,11
"149",2012-07-12,0.002,11
"150",2012-07-19,0.002,9.6
"151",2012-08-02,0.002,8.6
"152",2012-08-17,0.0025,10
"153",2012-08-20,0.005,13
"154",2012-08-29,0.002,11
"155",2012-09-05,0.002,9.8
"156",2012-09-11,0.004,53
"157",2012-09-25,0.001,12
"158",2012-10-01,0.005,13
"159",2012-10-09,0.008,12
"160",2012-10-15,0.011,389
"161",2012-10-24,0.003,44
"162",2012-10-31,0.014,21
"163",2012-11-07,0.003,13
"164",2012-11-14,0.0115,16
"165",2012-11-28,0.002,12
"166",2012-12-05,0.004,56
"167",2012-12-12,0.003,27
"168",2013-01-04,0.003,94
"169",2013-01-10,0.001,58
"170",2013-01-15,0.006,291
"171",2013-01-23,0.004,76
"172",2013-01-30,0.027,4720
"173",2013-02-06,0.007,135
"174",2013-02-11,0.007,632
"175",2013-02-20,0.006,241
"176",2013-02-27,0.006,554
"177",2013-03-06,0.006,155
"178",2013-03-11,0.014,1650
"179",2013-03-19,0.007,236
"180",2013-03-29,0.009,268
"181",2013-04-03,0.01,781
"182",2013-04-11,0.014,791
"183",2013-04-19,0.018,1470
"184",2013-04-24,0.008,393
"185",2013-04-27,0.022,1590
"186",2013-05-10,0.034,1640
"187",2013-05-21,0.016,1740
"188",2013-05-22,0.022,3060
"189",2013-05-30,0.009,128
"190",2013-06-06,0.015,288
"191",2013-06-12,0.007,70
"192",2013-06-25,0.003,17
"193",2013-07-08,0.003,6.9
"194",2013-07-19,0.004,7.2
"195",2013-07-31,0.007,12
"196",2013-08-07,0.028,72
"197",2013-08-08,0.093,804
"198",2013-08-14,0.025,1040
"199",2013-08-20,0.009,180
"200",2013-08-28,0.003,45
"201",2013-09-04,0.011,30
"202",2013-09-11,0.003,21
"203",2013-09-18,0.007,26
"204",2013-09-23,0.011,24
"205",2013-10-02,0.008,19
"206",2013-10-06,0.083,536
"207",2013-10-24,0.012,71
"208",2013-10-30,0.009,44
"209",2013-11-06,0.008,60
"210",2013-11-13,0.008,94
"211",2013-11-22,0.008,503
"212",2013-12-02,0.001,81
"213",2013-12-12,0.007,101
"214",2013-12-18,0.006,650
"215",2014-01-09,0.013,323
"216",2014-01-11,0.019,1590
"217",2014-01-22,0.009,231
"218",2014-01-28,0.022,138
"219",2014-02-06,0.01,105
"220",2014-02-12,0.011,80
"221",2014-02-21,0.006,110
"222",2014-02-25,0.004,83
"223",2014-03-07,0.007,408
"224",2014-03-11,0.005,477
"225",2014-03-17,0.015,3740
"226",2014-03-27,0.01,349
"227",2014-04-03,0.0095,457
"228",2014-04-04,0.124,3150
"229",2014-04-07,0.032,2930
"230",2014-04-14,0.01,696
"231",2014-04-22,0.006,298
"232",2014-04-28,0.002,233
"233",2014-05-09,0.005,365
"234",2014-05-13,0.007,964
"235",2014-05-20,0.004,246
"236",2014-05-28,0.007,53
"237",2014-06-02,0.005,71
"238",2014-06-10,0.021,468
"239",2014-07-01,0.0115,36
"240",2014-07-09,0.006,16
"241",2014-07-23,0.005,11
"242",2014-07-29,0.004,6.7
"243",2014-08-05,0.003,7.6
"244",2014-08-12,0.004,8.6
"245",2014-08-19,0.005,259
"246",2014-08-27,0.007,13
"247",2014-09-04,0.01,23
"248",2014-09-10,0.006,13
"249",2014-09-17,0.006,15
"250",2014-09-24,0.003,12
"251",2014-10-01,0.005,10
"252",2014-10-08,0.005,16
"253",2014-10-10,0.028,75
"254",2014-10-11,0.068,726
"255",2014-10-13,0.019,1720
"256",2014-10-22,0.013,114
"257",2014-10-29,0.009,48
"258",2014-11-06,0.02,391
"259",2014-11-12,0.006,56
"260",2014-11-19,0.002,19
"261",2014-12-05,0.005,24
"262",2014-12-10,0.0075,60
"263",2014-12-17,0.009,258
"264",2015-01-05,0.014,642
"265",2015-01-07,0.008,368
"266",2015-01-14,0.007,105
"267",2015-01-21,0.006,46
"268",2015-01-28,0.006,30
"269",2015-02-04,0.008,31
"270",2015-02-11,0.0055,23
"271",2015-02-18,0.001,22
"272",2015-02-25,0.009,195
"273",2015-03-05,0.008,1390
"274",2015-03-11,0.006,915
"275",2015-03-14,0.018,4240
"276",2015-03-19,0.007,914
"277",2015-03-26,0.017,2320
"278",2015-04-01,0.014,377
"279",2015-04-14,0.01,418
"280",2015-04-22,0.007,235
"281",2015-04-29,0.002,89
"282",2015-05-11,0.014,6670
"283",2015-05-17,0.033,2520
"284",2015-06-01,0.016,1010
"285",2015-06-20,0.022,1790
