"","Dates","Flow","Conc","lnQ","lnC","Reg_Residuals","Special_Residuals","Reg_Pvalue","Special_Span","Special_Pvalue","Reg_Perc_Change_yr","Special_Perc_Change_yr"
"1",2009-07-08,37,0.009,3.61091791264422,-4.71053070164592,0.497778538836093,0.521631890417568,0.0877288153862799,0.75,0.0837728412502921,-3.72453068226974,-3.78633105189152
"2",2009-07-15,33,0.006,3.49650756146648,-5.11599580975408,0.1088618620886,0.140614825794132,NA,NA,NA,NA,NA
"3",2009-07-22,115,0.008,4.74493212836325,-4.8283137373023,0.169721485808455,0.202007032189958,NA,NA,NA,NA,NA
"4",2009-07-29,35,0.006,3.55534806148941,-5.11599580975408,0.100080049529176,0.127678589825714,NA,NA,NA,NA,NA
"5",2009-08-05,21,0.005,3.04452243772342,-5.29831736654804,0.0349085498381827,0.0801734101247993,NA,NA,NA,NA,NA
"6",2009-08-12,53,0.003,3.97029191355212,-5.80914299031403,-0.641357539575117,-0.644944474456331,NA,NA,NA,NA,NA
"7",2009-08-19,15,0.002,2.70805020110221,-6.21460809842219,-0.749870164515896,-0.730810945115763,NA,NA,NA,NA,NA
"8",2009-08-26,15,0.001,2.70805020110221,-6.90775527898214,-1.44301734507585,-1.42395812567571,NA,NA,NA,NA,NA
"9",2009-09-02,14,0.002,2.63905732961526,-6.21460809842219,-0.720435242626467,-0.707210524522712,NA,NA,NA,NA,NA
"10",2009-09-09,51,0.005,3.93182563272433,-5.29831736654804,-0.12895850378384,-0.126719119513567,NA,NA,NA,NA,NA
"11",2009-09-16,142,0.024,4.95582705760126,-3.72970144863419,1.20980011315662,1.23581218598074,NA,NA,NA,NA,NA
"12",2009-09-17,495,0.083,6.20455776256869,-2.48891467118554,1.82970869690752,1.86499625933216,NA,NA,NA,NA,NA
"13",2009-09-22,2980,0.03,7.99967857949945,-3.50655789731998,0.0437829367691949,0.0653087122264173,NA,NA,NA,NA,NA
"14",2009-09-29,123,0.014,4.81218435537242,-4.26869794936688,0.704822268966503,0.743715730905766,NA,NA,NA,NA,NA
"15",2009-10-07,101,0.0105,4.61512051684126,-4.55638002181866,0.488651885488739,0.500918969034754,NA,NA,NA,NA,NA
"16",2009-10-09,14800,0.093,9.60238245975221,-2.37515578582888,0.68592418625939,0.685823648344017,NA,NA,NA,NA,NA
"17",2009-10-14,1980,0.033,7.59085212368858,-3.41124771751566,0.252114326149743,0.314728932323202,NA,NA,NA,NA,NA
"18",2009-10-21,359,0.018,5.88332238848828,-4.01738352108597,0.543672173419506,0.508509607438976,NA,NA,NA,NA,NA
"19",2009-10-28,688,0.025,6.53378883793334,-3.68887945411394,0.410301312988978,0.497369970288813,NA,NA,NA,NA,NA
"20",2009-10-30,4170,0.03,8.33567131479285,-3.50655789731998,-0.0576200907164535,-0.0545470514561166,NA,NA,NA,NA,NA
"21",2009-11-04,517,0.016,6.24804287450843,-4.13516655674236,0.152908023638457,0.196894008678352,NA,NA,NA,NA,NA
"22",2009-11-11,263,0.01,5.57215403217776,-4.60517018598809,0.164091444591595,0.0926707462876752,NA,NA,NA,NA,NA
"23",2009-11-18,388,0.011,5.96100533962327,-4.50986000618377,-0.00590322621233064,-0.0286656685896203,NA,NA,NA,NA,NA
"24",2009-11-24,237,0.013,5.46806014113513,-4.3428059215206,0.472534819367532,0.404226300695755,NA,NA,NA,NA,NA
"25",2009-12-02,192,0.006,5.25749537202778,-5.11599580975408,-0.239156090125908,-0.272447697820251,NA,NA,NA,NA,NA
"26",2009-12-09,163,0.007,5.09375020080676,-4.96184512992682,-0.0441881397393518,-0.0488273144928986,NA,NA,NA,NA,NA
"27",2009-12-16,135,0.007,4.90527477843843,-4.96184512992682,-0.0128448177671112,0.0211805908003955,NA,NA,NA,NA,NA
"28",2009-12-22,112,0.002,4.71849887129509,-6.21460809842219,-1.20626611239688,-1.17806098692079,NA,NA,NA,NA,NA
"29",2009-12-31,324,0.01,5.78074351579233,-4.60517018598809,0.0262478077134469,-0.0197865376076791,NA,NA,NA,NA,NA
"30",2010-01-06,208,0.01,5.33753807970132,-4.60517018598809,0.24809431710483,0.202374964345942,NA,NA,NA,NA,NA
"31",2010-01-13,143,0.009,4.96284463025991,-4.71053070164592,0.227784810970364,0.25247310107171,NA,NA,NA,NA,NA
"32",2010-01-20,138,0.003,4.92725368515721,-5.80914299031403,-0.864507830251994,-0.833606214411184,NA,NA,NA,NA,NA
"33",2010-01-27,297,0.008,5.6937321388027,-4.8283137373023,-0.135577266869847,-0.193825106303139,NA,NA,NA,NA,NA
"34",2010-02-04,958,0.012,6.86484777797086,-4.42284862919414,-0.509128910695678,-0.398859815897946,NA,NA,NA,NA,NA
"35",2010-02-11,602,0.01,6.40025744530882,-4.60517018598809,-0.424686636485342,-0.350639941853753,NA,NA,NA,NA,NA
