"","Date","concentrations.TN","Flow"
"1",2009-07-08,1.87,37
"2",2009-07-15,1.74,33
"3",2009-07-29,1.86,35
"4",2009-08-05,1.64,21
"5",2009-08-12,1.58,53
"6",2009-08-19,1.47,15
"7",2009-08-26,1.39,15
"8",2009-09-02,0.91,14
"9",2009-09-09,1.46,51
"10",2009-09-16,1.27,142
"11",2009-09-17,1.31,495
"12",2009-09-22,0.96,2980
"13",2009-09-29,1.58,123
"14",2009-10-07,1.585,101
"15",2009-10-09,1.37,14800
"16",2009-10-14,1.34,1980
"17",2009-10-21,1.84,359
"18",2009-10-28,1,688
"19",2009-10-30,1.18,4170
"20",2009-11-04,1.53,517
"21",2009-11-11,1.51,263
"22",2009-11-18,1.01,388
"23",2009-11-24,1.15,237
"24",2009-12-02,1.09,192
"25",2009-12-09,1.29,163
"26",2009-12-16,1.2,135
"27",2009-12-22,1.3,112
"28",2009-12-31,1.03,324
"29",2010-01-06,1.05,208
"30",2010-01-13,1.29,143
"31",2010-01-20,1.21,138
"32",2010-01-27,1.35,297
"33",2010-02-04,1.36,958
"34",2010-02-11,1.56,602
"35",2010-02-17,1.37,386
"36",2010-02-24,1.25,483
"37",2010-03-03,1.46,207
"38",2010-03-10,1.44,156
"39",2010-03-17,1.36,109
"40",2010-03-23,1.33,2590
"41",2010-03-31,1.38,474
"42",2010-04-07,1.04,450
"43",2010-04-14,1.18,201
"44",2010-04-21,1.41,125
"45",2010-04-28,1.435,139
"46",2010-05-05,1.32,92
"47",2010-05-12,1.57,175
"48",2010-05-14,1.49,670
"49",2010-05-14,1.66,670
"50",2010-05-15,1.32,2350
"51",2010-05-17,1.17,1140
"52",2010-05-26,1.23,530
"53",2010-06-02,1.37,103
"54",2010-06-09,1.71,51
"55",2010-06-16,1.66,38
"56",2010-06-24,1.72,14
"57",2010-07-08,1.59,14
"58",2010-07-13,2,1480
"59",2010-07-22,2.02,231
"60",2010-07-28,1.82,108
"61",2010-08-05,1.73,58
"62",2010-08-10,1.63,42
"63",2010-08-19,1.685,27
"64",2010-08-26,1.68,16
"65",2010-09-01,1.53,17
"66",2010-09-09,1.68,679
"67",2010-09-16,2.17,236
"68",2010-09-22,1.765,80
"69",2010-09-29,1.78,60
"70",2010-10-06,1.77,36
"71",2010-10-14,1.84,21
"72",2010-10-20,1.87,24
"73",2010-10-27,1.74,35
"74",2010-11-02,2.07,22
"75",2010-11-10,1.81,19
"76",2010-11-17,1.9,20
"77",2010-11-30,1.19,100
"78",2010-12-07,1.28,44
"79",2010-12-14,1.58,24
"80",2010-12-19,1.67,20
"81",2011-01-05,2.23,67
"82",2011-01-11,1.73,39
"83",2011-01-18,1.66,28
"84",2011-01-25,1.69,22
"85",2011-02-04,1.84,99
"86",2011-02-08,1.35,195
"87",2011-02-14,1.96,533
"88",2011-02-25,2.61,992
"89",2011-02-28,3.06,780
"90",2011-03-05,2.06,955
"91",2011-03-14,1.94,359
"92",2011-03-29,1.47,144
"93",2011-04-06,0.81,246
"94",2011-04-11,1.62,1020
"95",2011-04-22,2.05,506
"96",2011-04-23,2.49,3370
"97",2011-04-25,1.33,23200
"98",2011-04-26,1.11,12600
"99",2011-05-12,1.99,313
"100",2011-05-19,1.53,284
"101",2011-05-24,1.1,12300
"102",2011-06-08,1.84,185
"103",2011-06-15,1.97,112
"104",2011-07-15,1.77,30
"105",2011-07-21,1.63,22
"106",2011-07-29,1.53,20
"107",2011-08-03,1.39,17
"108",2011-08-11,1.94,278
"109",2011-08-18,2.62,227
"110",2011-09-01,1.715,34
"111",2011-09-08,1.62,16
"112",2011-09-16,1.92,15
"113",2011-09-22,2.635,144
"114",2011-09-26,3.48,106
"115",2011-10-06,2.33,27
"116",2011-10-13,2.065,33
"117",2011-10-26,2.06,24
"118",2011-11-03,2.08,50
"119",2011-11-09,3.57,3460
"120",2011-11-17,3.7,375
"121",2011-12-01,2.514,264
"122",2011-12-08,2.35,459
"123",2011-12-15,1.99,2530
"124",2012-01-05,2.01,133
"125",2012-01-12,1.4,362
"126",2012-01-19,1.5,114
"127",2012-01-25,1.79,2560
"128",2012-02-02,1.95,343
"129",2012-02-09,1.75,391
"130",2012-02-16,1.61,389
"131",2012-03-01,1.5,190
"132",2012-03-12,0.87,1700
"133",2012-03-20,1.17,4310
"134",2012-03-22,1.76,6410
"135",2012-03-29,1.72,422
"136",2012-04-12,1.66,99
"137",2012-04-19,1.62,88
"138",2012-04-26,1.82,52
"139",2012-05-02,1.83,64
"140",2012-05-10,1.91,30
"141",2012-05-16,1.91,25
"142",2012-05-24,1.82,19
"143",2012-06-01,1.64,22
"144",2012-06-05,1.67,29
"145",2012-06-14,1.39,15
"146",2012-06-21,1.15,13
"147",2012-06-28,0.8,11
"148",2012-07-12,1.13,11
"149",2012-07-19,0.85,9.6
