"","Dates","Flow","Conc","lnQ","lnC","Reg_Residuals","Special_Residuals","Reg_Pvalue","Special_Span","Special_Pvalue","Reg_Perc_Change_yr","Special_Perc_Change_yr"
"1",2009-07-08,37,1.87,3.61091791264422,0.625938430866495,0.0774918855811518,0.0815694873171252,0.404916182595845,0.45,0.423005105495509,-0.851779475752323,-0.818375933420157
"2",2009-07-15,33,1.74,3.49650756146648,0.553885113226438,-0.0111822396134985,-0.00957695863601316,NA,NA,NA,NA,NA
"3",2009-07-29,35,1.86,3.55534806148941,0.62057648772511,0.0631350131836882,0.0661099652153004,NA,NA,NA,NA,NA
"4",2009-08-05,21,1.64,3.04452243772342,0.494696241836107,-0.00102609738571907,-0.0169383995455951,NA,NA,NA,NA,NA
"5",2009-08-12,53,1.58,3.97029191355212,0.457424847038875,-0.0604072698149826,-0.0548982153096621,NA,NA,NA,NA,NA
"6",2009-08-19,15,1.47,2.70805020110221,0.385262400790645,0.0193157468849974,0.0142418011601397,NA,NA,NA,NA,NA
"7",2009-08-26,15,1.39,2.70805020110221,0.3293037471426,-0.0366429067630475,-0.0417168524879053,NA,NA,NA,NA,NA
"8",2009-09-02,14,0.91,2.63905732961526,-0.0943106794712413,-0.428301190842074,-0.432032790082325,NA,NA,NA,NA,NA
"9",2009-09-09,51,1.46,3.93182563272433,0.378436435720245,-0.14198581133974,-0.135932056485761,NA,NA,NA,NA,NA
"10",2009-09-16,142,1.27,4.95582705760126,0.2390169004705,-0.227473840996671,-0.235487806153918,NA,NA,NA,NA,NA
"11",2009-09-17,495,1.31,6.20455776256869,0.27002713721306,-0.184995441230008,-0.194258082389681,NA,NA,NA,NA,NA
"12",2009-09-22,2980,0.96,7.99967857949945,-0.0408219945202552,-0.48063691907052,-0.476200110369812,NA,NA,NA,NA,NA
"13",2009-09-29,123,1.58,4.81218435537242,0.457424847038875,-0.0319606201519036,-0.0456314715083487,NA,NA,NA,NA,NA
"14",2009-10-07,101,1.585,4.61512051684126,0.460584407329244,-0.059882909416183,-0.063949720424905,NA,NA,NA,NA,NA
"15",2009-10-09,14800,1.37,9.60238245975221,0.314810739840034,0.0628556901355513,0.0590314567481007,NA,NA,NA,NA,NA
"16",2009-10-14,1980,1.34,7.59085212368858,0.29266961396282,-0.172606279722671,-0.168184329335351,NA,NA,NA,NA,NA
"17",2009-10-21,359,1.84,5.88332238848828,0.609765571620894,0.195868850762476,0.197222708257221,NA,NA,NA,NA,NA
"18",2009-10-28,688,1,6.53378883793334,0,-0.491336705523968,-0.503885834185818,NA,NA,NA,NA,NA
"19",2009-10-30,4170,1.18,8.33567131479285,0.165514438477573,-0.246375218333136,-0.242842627730503,NA,NA,NA,NA,NA
"20",2009-11-04,517,1.53,6.24804287450843,0.425267735404344,-0.0357067954792585,-0.0456797326903856,NA,NA,NA,NA,NA
"21",2009-11-11,263,1.51,5.57215403217776,0.412109650826833,0.0169772958991606,0.0224552995042939,NA,NA,NA,NA,NA
"22",2009-11-18,388,1.01,5.96100533962327,0.00995033085316809,-0.412353462591769,-0.41346828781452,NA,NA,NA,NA,NA
"23",2009-11-24,237,1.15,5.46806014113513,0.139761942375159,-0.256818751586217,-0.251342702218321,NA,NA,NA,NA,NA
"24",2009-12-02,192,1.09,5.25749537202778,0.0861776962410524,-0.322721824973778,-0.317163304299145,NA,NA,NA,NA,NA
"25",2009-12-09,163,1.29,5.09375020080676,0.254642218373581,-0.180117881310156,-0.180041475225473,NA,NA,NA,NA,NA
"26",2009-12-16,135,1.2,4.90527477843843,0.182321556793955,-0.294317425967036,-0.30497171548619,NA,NA,NA,NA,NA
"27",2009-12-22,112,1.3,4.71849887129509,0.262364264467491,-0.242074402686836,-0.251958326274605,NA,NA,NA,NA,NA
"28",2009-12-31,324,1.03,5.78074351579233,0.0295588022415444,-0.376846036543529,-0.373360996500083,NA,NA,NA,NA,NA
"29",2010-01-06,208,1.05,5.33753807970132,0.048790164169432,-0.354366549398505,-0.348581942182946,NA,NA,NA,NA,NA
"30",2010-01-13,143,1.29,4.96284463025991,0.254642218373581,-0.210317447473668,-0.217933395724024,NA,NA,NA,NA,NA
"31",2010-01-20,138,1.21,4.92725368515721,0.19062035960865,-0.281821690954835,-0.291384470647541,NA,NA,NA,NA,NA
"32",2010-01-27,297,1.35,5.6937321388027,0.300104592450338,-0.0999920212798589,-0.0952183019536945,NA,NA,NA,NA,NA
"33",2010-02-04,958,1.36,6.86484777797086,0.307484699747961,-0.177598667261172,-0.181596807753465,NA,NA,NA,NA,NA
"34",2010-02-11,602,1.56,6.40025744530882,0.444685821261446,-0.0380370791124735,-0.0496522155346474,NA,NA,NA,NA,NA
"35",2010-02-17,386,1.37,5.95583736946483,0.314810739840034,-0.106710821838812,-0.107621915869651,NA,NA,NA,NA,NA
"36",2010-02-24,483,1.25,6.18001665365257,0.22314355131421,-0.228921395449769,-0.237715939268847,NA,NA,NA,NA,NA
"37",2010-03-03,207,1.46,5.33271879326537,0.378436435720245,-0.0250373864366425,-0.0192517889693973,NA,NA,NA,NA,NA
"38",2010-03-10,156,1.44,5.04985600724954,0.364643113587909,-0.0801860327799479,-0.0826253357193659,NA,NA,NA,NA,NA
"39",2010-03-17,109,1.36,4.69134788222914,0.307484699747961,-0.201811844987059,-0.209861848026881,NA,NA,NA,NA,NA
"40",2010-03-23,2590,1.33,7.85941315469358,0.285178942233662,-0.164554006802313,-0.159828520726108,NA,NA,NA,NA,NA
"41",2010-03-31,474,1.38,6.16120732169508,0.322083499169113,-0.127978074459474,-0.136377170686657,NA,NA,NA,NA,NA
"42",2010-04-07,450,1.04,6.10924758276437,0.0392207131532813,-0.406309043883227,-0.413394755346437,NA,NA,NA,NA,NA
"43",2010-04-14,201,1.18,5.30330490805908,0.165514438477573,-0.239982055128312,-0.234225643447615,NA,NA,NA,NA,NA
"44",2010-04-21,125,1.41,4.8283137373023,0.343589704390077,-0.144042928669573,-0.157509748071118,NA,NA,NA,NA,NA
"45",2010-04-28,139,1.435,4.93447393313069,0.361164849211584,-0.109821142778802,-0.119004898248203,NA,NA,NA,NA,NA
"46",2010-05-05,92,1.32,4.52178857704904,0.27763173659828,-0.247633171171068,-0.250727645377275,NA,NA,NA,NA,NA
"47",2010-05-12,175,1.57,5.16478597392351,0.451075619360217,0.0306340035724442,0.0340935320848109,NA,NA,NA,NA,NA
"48",2010-05-14,670,1.49,6.50727771238501,0.398776119957368,-0.0920911104300935,-0.104529943488435,NA,NA,NA,NA,NA
"49",2010-05-14,670,1.66,6.50727771238501,0.506817602368452,0.0159503719809904,0.00351153892264888,NA,NA,NA,NA,NA
"50",2010-05-15,2350,1.32,7.7621706071382,0.27763173659828,-0.178303136386353,-0.173506776198963,NA,NA,NA,NA,NA
"51",2010-05-17,1140,1.17,7.03878354138854,0.157003748809665,-0.324123683912892,-0.323847304880875,NA,NA,NA,NA,NA
"52",2010-05-26,530,1.23,6.27287700654617,0.207014169384326,-0.25761738406041,-0.26793617506135,NA,NA,NA,NA,NA
"53",2010-06-02,103,1.37,4.63472898822964,0.314810739840034,-0.203349781992441,-0.20810125927691,NA,NA,NA,NA,NA
"54",2010-06-09,51,1.71,3.93182563272433,0.536493370514568,0.0160711234545831,0.0221248783085617,NA,NA,NA,NA,NA
"55",2010-06-16,38,1.66,3.63758615972639,0.506817602368452,-0.0372017960141597,-0.0326535368257278,NA,NA,NA,NA,NA
"56",2010-06-24,14,1.72,2.63905732961526,0.542324290825362,0.20833377945453,0.204602180214279,NA,NA,NA,NA,NA
"57",2010-07-08,14,1.59,2.63905732961526,0.46373401623214,0.129743504861308,0.126011905621057,NA,NA,NA,NA,NA
"58",2010-07-13,1480,2,7.29979736675816,0.693147180559945,0.216751123029256,0.219397108927408,NA,NA,NA,NA,NA
"59",2010-07-22,231,2.02,5.44241771052179,0.703097511413113,0.305580090680633,0.311125561039091,NA,NA,NA,NA,NA
"60",2010-07-28,108,1.82,4.68213122712422,0.598836501088704,0.0879429740132217,0.0805083766577367,NA,NA,NA,NA,NA
"61",2010-08-05,58,1.73,4.06044301054642,0.548121408509688,0.0353050997321531,0.0396772692853472,NA,NA,NA,NA,NA
"62",2010-08-10,42,1.63,3.73766961828337,0.488580014818671,-0.0419836977589474,-0.0359526845181037,NA,NA,NA,NA,NA
"63",2010-08-19,27,1.685,3.29583686600433,0.521765563804325,-0.0330665379541329,-0.0391200891686819,NA,NA,NA,NA,NA
"64",2010-08-26,16,1.68,2.77258872223978,0.518793793415168,0.124643280348185,0.118488729139173,NA,NA,NA,NA,NA
"65",2010-09-01,17,1.53,2.83321334405622,0.425267735404344,0.00587964891249004,-0.00182404355734606,NA,NA,NA,NA,NA
"66",2010-09-09,679,1.68,6.5206211275587,0.518793793415168,0.0276615083655105,0.0151425994088576,NA,NA,NA,NA,NA
"67",2010-09-16,236,2.17,5.46383180502561,0.774727167552368,0.378005863121462,0.383492334657485,NA,NA,NA,NA,NA
"68",2010-09-22,80,1.765,4.38202663467388,0.56815069038526,0.0460832136141177,0.0455417306836703,NA,NA,NA,NA,NA
"69",2010-09-29,60,1.78,4.0943445622221,0.576613364303994,0.0648582731573384,0.0690228373261105,NA,NA,NA,NA,NA
"70",2010-10-06,36,1.77,3.58351893845611,0.570979546585738,0.0179906186696465,0.0215461354029211,NA,NA,NA,NA,NA
"71",2010-10-14,21,1.84,3.04452243772342,0.609765571620894,0.114043232399068,0.0981309302391918,NA,NA,NA,NA,NA
"72",2010-10-20,24,1.87,3.17805383034795,0.625938430866495,0.094333695386426,0.0804120432007861,NA,NA,NA,NA,NA
"73",2010-10-27,35,1.74,3.55534806148941,0.553885113226438,-0.00355636131498382,-0.000581409283371581,NA,NA,NA,NA,NA
"74",2010-11-02,22,2.07,3.09104245335832,0.727548607277278,0.21813134764611,0.201623764343058,NA,NA,NA,NA,NA
"75",2010-11-10,19,1.81,2.94443897916644,0.593326845277734,0.131164011008479,0.118783168557532,NA,NA,NA,NA,NA
"76",2010-11-17,20,1.9,2.99573227355399,0.641853886172395,0.161835573871357,0.147373233210259,NA,NA,NA,NA,NA
"77",2010-11-30,100,1.19,4.60517018598809,0.173953307123438,-0.347474753785334,-0.351332088579974,NA,NA,NA,NA,NA
"78",2010-12-07,44,1.28,3.78418963391826,0.246860077931526,-0.281087953514574,-0.274492166418792,NA,NA,NA,NA,NA
"79",2010-12-14,24,1.58,3.17805383034795,0.457424847038875,-0.0741798884411941,-0.088101540626834,NA,NA,NA,NA,NA
"80",2010-12-19,20,1.67,2.99573227355399,0.512823626428664,0.0328053141276256,0.018342973466528,NA,NA,NA,NA,NA
"81",2011-01-05,67,2.23,4.20469261939097,0.802001585472027,0.289053079683725,0.292093531970106,NA,NA,NA,NA,NA
"82",2011-01-11,39,1.73,3.66356164612965,0.548121408509688,0.00824003255484862,0.0132137512724084,NA,NA,NA,NA,NA
"83",2011-01-18,28,1.66,3.3322045101752,0.506817602368452,-0.0536524980007046,-0.0575068518727874,NA,NA,NA,NA,NA
"84",2011-01-25,22,1.69,3.09104245335832,0.524728528934982,0.0153112693038135,-0.00119631399923825,NA,NA,NA,NA,NA
"85",2011-02-04,99,1.84,4.59511985013459,0.609765571620894,0.0875292768815074,0.0837741922281257,NA,NA,NA,NA,NA
"86",2011-02-08,195,1.35,5.27299955856375,0.300104592450338,-0.107613340586396,-0.101963816550498,NA,NA,NA,NA,NA
"87",2011-02-14,533,1.96,6.27852142416584,0.672944473242426,0.207467703131245,0.197075677890197,NA,NA,NA,NA,NA
"88",2011-02-25,992,2.61,6.89972310728487,0.959350221334602,0.475339288608491,0.472498595800095,NA,NA,NA,NA,NA
"89",2011-02-28,780,3.06,6.65929391968364,1.11841491596429,0.62750729016713,0.616673323998425,NA,NA,NA,NA,NA
"90",2011-03-05,955,2.06,6.86171134048073,0.72270598280149,0.237523066223669,0.233416878907216,NA,NA,NA,NA,NA
"91",2011-03-14,359,1.94,5.88332238848828,0.662687973075237,0.248791252216819,0.250145109711564,NA,NA,NA,NA,NA
"92",2011-03-29,144,1.47,4.969813299576,0.385262400790645,-0.0781544252033914,-0.0853696393325328,NA,NA,NA,NA,NA
"93",2011-04-06,246,0.81,5.50533153593236,-0.210721031315653,-0.606315028797538,-0.600902091599489,NA,NA,NA,NA,NA
"94",2011-04-11,1020,1.62,6.92755790627832,0.482426149244293,-0.000794755315944917,-0.00278823076215573,NA,NA,NA,NA,NA
"95",2011-04-22,506,2.05,6.22653666928747,0.717839793150317,0.259901596808713,0.250262101532986,NA,NA,NA,NA,NA
"96",2011-04-23,3370,2.49,8.12266802334641,0.912282710476616,0.48200401862523,0.48614709934141,NA,NA,NA,NA,NA
"97",2011-04-25,23200,1.33,10.0519075576544,0.285178942233662,0.111547297543415,0.103053150804388,NA,NA,NA,NA,NA
"98",2011-04-26,12600,1.11,9.44145209293957,0.104360015324243,-0.172833952496971,-0.17528691140882,NA,NA,NA,NA,NA
"99",2011-05-12,313,1.99,5.74620319054015,0.688134638736401,0.284358047392687,0.288421069646908,NA,NA,NA,NA,NA
"100",2011-05-19,284,1.53,5.64897423816121,0.425267735404344,0.0277375804127988,0.0329363498418255,NA,NA,NA,NA,NA
"101",2011-05-24,12300,1.1,9.41735454136051,0.0953101798043249,-0.185537340472179,-0.187797608392642,NA,NA,NA,NA,NA
"102",2011-06-08,185,1.84,5.22035582507832,0.609765571620894,0.197472442340211,0.202583777551981,NA,NA,NA,NA,NA
"103",2011-06-15,112,1.97,4.71849887129509,0.678033542749897,0.17359487559557,0.163710952007801,NA,NA,NA,NA,NA
"104",2011-07-15,30,1.77,3.40119738166216,0.570979546585738,0.00276245957705423,0.00163493790687941,NA,NA,NA,NA,NA
"105",2011-07-21,22,1.63,3.09104245335832,0.488580014818671,-0.0208372448124974,-0.0373448281155492,NA,NA,NA,NA,NA
"106",2011-07-29,20,1.53,2.99573227355399,0.425267735404344,-0.0547505768966944,-0.069212917557792,NA,NA,NA,NA,NA
"107",2011-08-03,17,1.39,2.83321334405622,0.3293037471426,-0.0900843393492539,-0.09778803181909,NA,NA,NA,NA,NA
"108",2011-08-11,278,1.94,5.62762111369064,0.662687973075237,0.266116339226715,0.271452790183678,NA,NA,NA,NA,NA
"109",2011-08-18,227,2.62,5.4249500174814,0.963174317773006,0.564908441145896,0.570506343089847,NA,NA,NA,NA,NA
"110",2011-09-01,34,1.715,3.52636052461616,0.539413080617903,-0.022149441621451,-0.019821535039954,NA,NA,NA,NA,NA
"111",2011-09-08,16,1.62,2.77258872223978,0.482426149244293,0.0882756361773095,0.0821210849682976,NA,NA,NA,NA,NA
"112",2011-09-16,15,1.92,2.70805020110221,0.65232518603969,0.286378532134042,0.281304586409185,NA,NA,NA,NA,NA
"113",2011-09-22,144,2.635,4.969813299576,0.968883181993326,0.50546635599929,0.498251141870148,NA,NA,NA,NA,NA
"114",2011-09-26,106,3.48,4.66343909411207,1.24703229378638,0.733048646251383,0.726796759799097,NA,NA,NA,NA,NA
"115",2011-10-06,27,2.33,3.29583686600433,0.845868267577609,0.291036165819151,0.284982614604602,NA,NA,NA,NA,NA
